#  aims_uuid : 8110C97C-BA9C-4F75-A500-21220760C7C9                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.61450238        0.02538574        0.07516476        0.50881663        0.00493932        0.00019593
       -9.98998999        3.04675215        0.12934657        0.34408980        2.55004137        0.02248305        0.00079136
       -9.97997998        0.56884386        0.03101358        0.05309389        0.47945439        0.00514958        0.00013243
       -9.96996997        1.67027845        0.03485685        0.14476201        1.47872768        0.01131722        0.00061470
       -9.95995996        1.14599437        0.03581445        0.10792429        0.99376019        0.00796621        0.00052923
       -9.94994995        0.34305628        0.02433117        0.03448104        0.28138602        0.00278158        0.00007647
       -9.93993994        0.53927396        0.04575044        0.05466364        0.43426611        0.00447386        0.00011991
       -9.92992993        0.72122534        0.07405819        0.07448782        0.56649094        0.00603365        0.00015474
       -9.91991992        0.67921881        0.05648551        0.06838055        0.54810337        0.00608395        0.00016543
       -9.90990991        0.84300176        0.04662185        0.08591889        0.70228545        0.00793492        0.00024065
       -9.89989990        0.34088089        0.01683435        0.03076531        0.28985687        0.00334202        0.00008234
       -9.88988989        0.32484088        0.01528981        0.02797937        0.27829484        0.00320785        0.00006900
       -9.87987988        0.34987232        0.01632184        0.02914575        0.30078280        0.00355870        0.00006324
       -9.86986987        0.45273716        0.02049175        0.04345988        0.38379116        0.00491829        0.00007609
       -9.85985986        0.55475255        0.01979631        0.06800619        0.46029760        0.00655056        0.00010190
       -9.84984985        0.58920447        0.01699758        0.10429762        0.46027122        0.00751352        0.00012453
       -9.83983984        1.15799542        0.02217244        0.31242588        0.80704778        0.01603071        0.00031861
       -9.82982983        0.45271757        0.00520484        0.12042101        0.32036702        0.00660449        0.00012019
       -9.81981982        0.13365576        0.00109283        0.05623486        0.07424132        0.00205497        0.00003179
       -9.80980981        0.20925736        0.00706323        0.04685272        0.15252675        0.00275788        0.00005679
       -9.79979980        0.14781420        0.00584469        0.02065292        0.11936496        0.00191018        0.00004146
       -9.78978979        0.14290688        0.00492372        0.02030702        0.11558468        0.00205200        0.00003946
       -9.77977978        0.13860369        0.00408524        0.02010134        0.11220049        0.00217886        0.00003776
       -9.76976977        0.50525348        0.01463492        0.11051011        0.37381217        0.00617221        0.00012407
       -9.75975976        0.36002631        0.00912376        0.06710518        0.27781570        0.00586989        0.00011179
       -9.74974975        0.27496365        0.00563047        0.04828853        0.21622112        0.00473880        0.00008473
       -9.73973974        0.27259855        0.00457452        0.04765918        0.21559631        0.00468628        0.00008226
       -9.72972973        0.26955736        0.00363974        0.04700593        0.21421294        0.00461875        0.00007999
       -9.71971972        0.26584007        0.00282612        0.04632879        0.21207099        0.00453624        0.00007794
       -9.70970971        0.26144670        0.00213366        0.04562774        0.20917049        0.00443873        0.00007609
       -9.69969970        0.25637725        0.00156237        0.04490279        0.20551142        0.00432623        0.00007444
       -9.68968969        0.12357039        0.00086141        0.01959336        0.10152695        0.00155179        0.00003688
       -9.67967968        0.11541054        0.00054606        0.01762399        0.09577404        0.00143214        0.00003431
       -9.66966967        0.32116613        0.00407627        0.05087338        0.26038211        0.00571362        0.00012075
       -9.65965966        0.13897501        0.00246813        0.01760713        0.11687139        0.00198986        0.00003850
       -9.64964965        0.18590726        0.00279719        0.02376399        0.15671221        0.00258482        0.00004905
       -9.63963964        0.23223838        0.00299029        0.02820735        0.19775406        0.00322692        0.00005977
       -9.62962963        0.27796837        0.00304743        0.03093721        0.23999694        0.00391614        0.00007065
       -9.61961962        0.32309723        0.00296861        0.03195357        0.28344085        0.00465249        0.00008170
       -9.60960961        0.47714297        0.00791036        0.04191791        0.42016449        0.00701037        0.00013983
       -9.59959960        0.62562838        0.01004621        0.05858860        0.54773142        0.00908132        0.00018083
       -9.58958959        0.47423627        0.01003413        0.06740906        0.39014005        0.00651185        0.00014118
       -9.57957958        0.59867382        0.00975285        0.10529234        0.47594845        0.00752583        0.00015434
       -9.56956957        0.34311674        0.00498732        0.05908383        0.27435082        0.00460298        0.00009180
       -9.55955956        0.28609148        0.00350663        0.05296953        0.22573280        0.00380887        0.00007364
