#  aims_uuid : 8110C97C-BA9C-4F75-A500-21220760C7C9                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.88027127        0.02759786        0.81039059        0.03869323        0.00358959
       -9.98998999        3.16704791        0.06868516        2.97305433        0.11437212        0.01093630
       -9.97997998        0.39360277        0.01189993        0.35974398        0.02051152        0.00144734
       -9.96996997        0.99409723        0.01792915        0.93047470        0.04099894        0.00469444
       -9.95995996        0.87597367        0.01916879        0.80744222        0.04575969        0.00360298
       -9.94994995        0.29859384        0.00965370        0.27402642        0.01398373        0.00092999
       -9.93993994        0.45133778        0.01411305        0.41536983        0.02041366        0.00144123
       -9.92992993        0.61341571        0.01832260        0.56645037        0.02672360        0.00191914
       -9.91991992        0.63199331        0.01712689        0.58882504        0.02390967        0.00213170
       -9.90990991        0.95053824        0.02323149        0.89430293        0.02975019        0.00325362
       -9.89989990        0.35781163        0.00734255        0.33836017        0.01085061        0.00125830
       -9.88988989        0.35453566        0.00618678        0.33711074        0.01003582        0.00120232
       -9.87987988        0.39907416        0.00652772        0.38022626        0.01100017        0.00132001
       -9.86986987        0.52882629        0.00873302        0.50375110        0.01457709        0.00176509
       -9.85985986        0.64327510        0.00961442        0.61442489        0.01700387        0.00223191
       -9.84984985        0.63656249        0.00934902        0.60836847        0.01647252        0.00237249
       -9.83983984        1.23796393        0.01457943        1.18945169        0.02879173        0.00514108
       -9.82982983        0.41078036        0.00464995        0.39446007        0.00999528        0.00167506
       -9.81981982        0.11191194        0.00172152        0.10662636        0.00306590        0.00049816
       -9.80980981        0.25437042        0.00229056        0.24413869        0.00717885        0.00076233
       -9.79979980        0.20836547        0.00148716        0.20089469        0.00542270        0.00056092
       -9.78978979        0.20761747        0.00136066        0.20080153        0.00490854        0.00054675
       -9.77977978        0.20745460        0.00124564        0.20123565        0.00443780        0.00053552
       -9.76976977        0.67265036        0.00844965        0.64592170        0.01590462        0.00237439
       -9.75975976        0.74746424        0.00556876        0.72278786        0.01728384        0.00182378
       -9.74974975        0.55087299        0.00369896        0.53400832        0.01184990        0.00131581
       -9.73973974        0.51060368        0.00345094        0.49548811        0.01041286        0.00125177
       -9.72972973        0.47461346        0.00321341        0.46108547        0.00912182        0.00119275
       -9.71971972        0.44290233        0.00298635        0.43080042        0.00797680        0.00113876
       -9.70970971        0.41547031        0.00276977        0.40463295        0.00697779        0.00108980
       -9.69969970        0.39231739        0.00256367        0.38258306        0.00612479        0.00104587
       -9.68968969        0.14112410        0.00164073        0.13578106        0.00326243        0.00043988
       -9.67967968        0.12084097        0.00145575        0.11625955        0.00273792        0.00038776
       -9.66966967        0.76964988        0.01154546        0.74576952        0.01046628        0.00186862
       -9.65965966        0.31340426        0.00139042        0.30534498        0.00590922        0.00075964
       -9.64964965        0.39689432        0.00170152        0.38679315        0.00741544        0.00098421
       -9.63963964        0.47387181        0.00198990        0.46187218        0.00882903        0.00118071
       -9.62962963        0.54433673        0.00225555        0.53058206        0.01014997        0.00134914
       -9.61961962        0.60828907        0.00249848        0.59292281        0.01137828        0.00148950
       -9.60960961        1.01682247        0.00444323        0.99128319        0.01871323        0.00238281
       -9.59959960        1.27345851        0.00678926        1.24025168        0.02338981        0.00302776
       -9.58958959        0.99719495        0.00780667        0.96975339        0.01711395        0.00252094
       -9.57957958        1.06160941        0.01140440        1.02924788        0.01799324        0.00296389
       -9.56956957        0.59014386        0.00602324        0.57248811        0.01002446        0.00160805
       -9.55955956        0.44823406        0.00515538        0.43418424        0.00762728        0.00126716
       -9.54954955        0.32063854        0.00423323        0.30994734        0.00550808        0.00094990
       -9.53953954        0.20735733        0.00325680        0.19977741        0.00366687        0.00065625
       -9.52952953        0.10839041        0.00222609        0.10367444        0.00210364        0.00038624
       -9.51951952        0.07033090        0.00118449        0.06768156        0.00122814        0.00023671
       -9.50950951        0.05418624        0.00053688        0.05269669        0.00079430        0.00015838
       -9.49949950        0.06707802        0.00067130        0.06521102        0.00098150        0.00021419
       -9.48948949        0.09457942        0.00095987        0.09191586        0.00139445        0.00030924
       -9.47947948        0.12684294        0.00126985        0.12329533        0.00188067        0.00039710
       -9.46946947        0.16386856        0.00160124        0.15934943        0.00244014        0.00047776
       -9.45945946        0.41829378        0.00363683        0.40750534        0.00619891        0.00095270
       -9.44944945        0.39023396        0.00341320        0.38019439        0.00574451        0.00088186
       -9.43943944        0.36251741        0.00319502        0.35320710        0.00530262        0.00081266
       -9.42942943        0.33514411        0.00298229        0.32654348        0.00487326        0.00074509
       -9.41941942        0.30811407        0.00277500        0.30020352        0.00445640        0.00067915
       -9.40940941        0.28142729        0.00257315        0.27418723        0.00405206        0.00061485
       -9.39939940        0.25508377        0.00237675        0.24849460        0.00366024        0.00055218
       -9.38938939        0.22908350        0.00218579        0.22312563        0.00328093        0.00049115
       -9.37937938        0.34460656        0.00326457        0.33503860        0.00559172        0.00071167
       -9.36936937        0.94865286        0.00852178        0.92147595        0.01577568        0.00287946
       -9.35935936        0.82766073        0.00756168        0.80321129        0.01439546        0.00249230
       -9.34934935        0.71157064        0.00662953        0.68990401        0.01291990        0.00211721
       -9.33933934        0.60038260        0.00572533        0.58155409        0.01134900        0.00175418
       -9.32932933        0.49409660        0.00484909        0.47816154        0.00968276        0.00140320
       -9.31931932        0.32811709        0.00306638        0.31735025        0.00679090        0.00090957
       -9.30930931        0.24226532        0.00240417        0.23412893        0.00511781        0.00061442
       -9.29929930        0.00369686       -0.00000151        0.00354144        0.00012279        0.00003413
