#  aims_uuid : 388B6FD9-B1F2-4BD7-AAE4-585B63D5ED02                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.82407848        0.02077663        0.76734026        0.03272654        0.00323505
       -9.98998999        1.40951633        0.04255892        1.32514307        0.03586313        0.00595121
       -9.97997998        2.03531849        0.02636617        1.88504993        0.11639715        0.00750524
       -9.96996997        0.62486640        0.00649209        0.59234359        0.02406192        0.00196880
       -9.95995996        0.38973679        0.00406472        0.37717879        0.00741649        0.00107679
       -9.94994995        2.27427601        0.05371630        2.11488949        0.09766556        0.00800465
       -9.93993994        0.27595672        0.00720976        0.24298251        0.02422181        0.00154263
       -9.92992993        0.06614148        0.00242213        0.06009298        0.00328767        0.00033869
       -9.91991992        0.04591875        0.00200480        0.04186326        0.00182150        0.00022920
       -9.90990991        1.45811034        0.04517999        1.34992233        0.05695968        0.00604834
       -9.89989990        0.33199464        0.00775362        0.31292955        0.01012184        0.00118962
       -9.88988989        0.32748033        0.00611754        0.31228493        0.00799940        0.00107847
       -9.87987988        0.39386503        0.00658904        0.37631039        0.00970376        0.00126184
       -9.86986987        0.44986920        0.00755099        0.42973486        0.01114041        0.00144294
       -9.85985986        0.46361154        0.00877328        0.44100477        0.01230899        0.00152451
       -9.84984985        0.49304349        0.01117905        0.46526953        0.01491773        0.00167719
       -9.83983984        0.63957481        0.01745180        0.60080589        0.01909404        0.00222308
       -9.82982983        1.18819255        0.02314933        1.12761588        0.03323221        0.00419513
       -9.81981982        0.98199752        0.01398453        0.94420451        0.02103323        0.00277525
       -9.80980981        0.30219268        0.00443508        0.28916834        0.00768776        0.00090149
       -9.79979980        0.50205987        0.00542344        0.48690568        0.00836214        0.00136861
       -9.78978979        1.20419204        0.00979778        1.17248546        0.01882119        0.00308762
       -9.77977978        0.76521944        0.00807093        0.73964182        0.01550563        0.00200106
       -9.76976977        0.53804845        0.00957925        0.50558664        0.02122823        0.00165433
       -9.75975976        0.29428890        0.00738211        0.28031582        0.00540754        0.00118344
       -9.74974975        0.37004435        0.00701688        0.35302482        0.00899301        0.00100965
       -9.73973974        0.38081833        0.00597276        0.36607362        0.00772026        0.00105170
       -9.72972973        0.57491828        0.00713075        0.55319110        0.01297398        0.00162245
       -9.71971972        0.55731459        0.00580058        0.54055060        0.00933913        0.00162428
       -9.70970971        0.61284231        0.00565239        0.59660399        0.00877355        0.00181238
       -9.69969970        1.03528719        0.01131373        0.99543156        0.02588700        0.00265489
       -9.68968969        0.24777544        0.00250530        0.23909054        0.00552645        0.00065315
       -9.67967968        0.26671404        0.00288237        0.25765160        0.00540415        0.00077592
       -9.66966967        0.26143836        0.00304790        0.25265179        0.00497790        0.00076077
       -9.65965966        0.33450020        0.00354653        0.32477093        0.00527297        0.00090977
       -9.64964965        0.50630606        0.00536388        0.49282306        0.00683748        0.00128163
       -9.63963964        0.68124719        0.00839665        0.66223160        0.00891360        0.00170533
       -9.62962963        0.17555542        0.00224846        0.17065561        0.00188536        0.00076600
       -9.61961962        0.22406723        0.00305166        0.21764340        0.00240521        0.00096696
       -9.60960961        0.27366301        0.00388528        0.26570581        0.00290516        0.00116677
       -9.59959960        0.32434277        0.00474930        0.31484282        0.00338520        0.00136544
       -9.58958959        0.43651723        0.00645715        0.42366049        0.00466096        0.00173864
       -9.57957958        0.51959412        0.00778915        0.50431461        0.00546399        0.00202637
       -9.56956957        0.31875443        0.00474342        0.30891359        0.00386869        0.00122873
       -9.55955956        0.29713865        0.00437995        0.28791097        0.00373939        0.00110834
       -9.54954955        0.28123081        0.00395246        0.27275394        0.00351322        0.00101119
       -9.53953954        0.27103093        0.00346095        0.26344249        0.00319020        0.00093729
       -9.52952953        0.52063393        0.00984916        0.50207430        0.00691215        0.00179832
       -9.51951952        0.38687214        0.00720661        0.37351586        0.00485466        0.00129501
       -9.50950951        0.23143994        0.00427566        0.22352834        0.00283455        0.00080139
       -9.49949950        0.05433733        0.00105630        0.05211174        0.00085181        0.00031748
       -9.48948949        0.03789367        0.00079408        0.03613620        0.00067983        0.00028356
       -9.47947948        0.03197140        0.00070985        0.03037797        0.00061166        0.00027192
       -9.46946947        0.05534374        0.00114179        0.05299836        0.00084817        0.00035542
       -9.45945946        0.09493896        0.00191825        0.09120897        0.00132293        0.00048882
       -9.44944945        0.13270599        0.00273215        0.12750127        0.00186231        0.00061026
       -9.43943944        0.33542821        0.00576243        0.32355425        0.00486703        0.00124450
       -9.42942943        0.30831850        0.00604989        0.29642213        0.00469049        0.00115599
       -9.41941942        0.28201463        0.00625185        0.27020999        0.00448998        0.00106281
       -9.40940941        0.25651663        0.00636831        0.24491782        0.00426552        0.00096497
       -9.39939940        0.23182447        0.00639925        0.22054564        0.00401711        0.00086247
       -9.38938939        0.20793818        0.00634470        0.19709342        0.00374474        0.00075531
       -9.37937938        0.18564636        0.00625675        0.17521450        0.00349656        0.00067855
       -9.36936937        0.16400151        0.00609935        0.15405028        0.00324007        0.00061182
       -9.35935936        0.14268138        0.00585498        0.13332328        0.00295922        0.00054389
       -9.34934935        0.12168596        0.00552365        0.11303352        0.00265403        0.00047476
       -9.33933934        0.10101526        0.00510536        0.09318100        0.00232448        0.00040443
       -9.32932933        0.54431579        0.01790802        0.50788449        0.01578980        0.00273347
       -9.31931932        0.85195269        0.05073650        0.77483261        0.02269826        0.00368533
       -9.30930931        0.99535667        0.07240586        0.89476873        0.02432163        0.00386045
       -9.29929930        0.39555613        0.02146253        0.36431192        0.00842399        0.00135769
       -9.28928929        0.04065845        0.00047857        0.03942973        0.00068447        0.00006569
       -9.27927928        0.75139967        0.04429898        0.67892520        0.02475748        0.00341801
       -9.26926927        1.00194397        0.05372991        0.91112032        0.03286749        0.00422625
       -9.25925926        0.41033314        0.01871831        0.37056360        0.01886376        0.00218747
       -9.24924925        0.56249962        0.01970711        0.50422947        0.03499468        0.00356837
       -9.23923924        0.43506760        0.01603188        0.39125812        0.02506708        0.00271052
       -9.22922923        0.40963551        0.01329866        0.36248444        0.03073219        0.00312022
       -9.21921922        1.48564238        0.03907988        1.38031822        0.05821520        0.00802908
       -9.20920921        0.36947530        0.02074592        0.32149678        0.02451277        0.00271983
       -9.19919920        1.30285259        0.06491005        1.17740368        0.05363353        0.00690533
       -9.18918919        2.32664157        0.16794971        2.03481403        0.11241252        0.01146531
       -9.17917918        1.24689296        0.09944508        1.08679390        0.05450773        0.00614625
       -9.16916917        1.09191096        0.09933376        0.94587212        0.04236613        0.00433895
       -9.15915916        0.81190816        0.07117856        0.71117746        0.02669703        0.00285510
       -9.14914915        0.12487418        0.01058419        0.11051436        0.00332163        0.00045399
       -9.13913914        8.24705196        0.69323546        7.22436630        0.29132837        0.03812183
       -9.12912913        0.80338130        0.04579009        0.71178634        0.04128218        0.00452268
       -9.11911912        1.14202960        0.09997529        0.98287164        0.05267894        0.00650372
       -9.10910911        0.58313631        0.03646199        0.51484792        0.02804884        0.00377756
       -9.09909910        1.02314986        0.08231926        0.88543165        0.04922601        0.00617294
       -9.08908909        0.48566750        0.04303530        0.41728620        0.02287031        0.00247570
       -9.07907908        1.25536353        0.10518420        1.09726419        0.04757840        0.00533674
       -9.06906907        2.17950674        0.16362572        1.93663217        0.07056775        0.00868109
       -9.05905906        0.58932357        0.03910976        0.52576125        0.02191890        0.00253365
       -9.04904905        2.34652433        0.15668829        2.08647243        0.09080655        0.01255706
       -9.03903904        1.72921976        0.11929292        1.54540956        0.05633544        0.00818183
       -9.02902903        0.42257776        0.01336116        0.39818929        0.00959900        0.00142832
       -9.01901902        1.41654392        0.07253074        1.28303151        0.05344231        0.00753937
       -9.00900901        2.04431893        0.11755255        1.83293354        0.08185914        0.01197370
       -8.99899900        1.10936554        0.08398592        0.97497473        0.04395270        0.00645219
       -8.98898899        0.95588866        0.06754326        0.85946216        0.02501188        0.00387136
       -8.97897898        1.14233120        0.10010231        1.00314953        0.03438083        0.00469853
       -8.96896897        1.82244794        0.15159379        1.60488766        0.05763788        0.00832861
       -8.95895896        1.44455596        0.11156295        1.27222688        0.05246586        0.00830028
       -8.94894895        0.29385293        0.02251085        0.25736531        0.01176566        0.00221110
       -8.93893894        0.57084421        0.04036100        0.51223095        0.01553621        0.00271606
       -8.92892893        1.04782092        0.07071533        0.94526930        0.02686561        0.00497069
       -8.91891892        0.60875177        0.05302164        0.53733807        0.01571660        0.00267545
       -8.90890891        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.89889890        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.88888889        0.36946090        0.02711426        0.32487448        0.01487472        0.00259743
       -8.87887888        0.48279106        0.02947466        0.43133328        0.01855938        0.00342374
       -8.86886887        0.63668327        0.03539945        0.57197964        0.02453960        0.00476458
       -8.85885886        0.81443427        0.04520596        0.73110282        0.03185488        0.00627061
       -8.84884885        0.61364762        0.02293251        0.56924854        0.01768944        0.00377714
       -8.83883884        1.03429687        0.03425061        0.96935402        0.02496897        0.00572326
       -8.82882883        0.45480860        0.02523287        0.41530307        0.01147475        0.00279791
       -8.81881882        0.19263961        0.00934302        0.17663545        0.00545160        0.00120955
       -8.80880881        0.39681694        0.02033266        0.36129585        0.01256804        0.00262038
       -8.79879880        0.64333953        0.03907180        0.57121828        0.02761210        0.00543736
       -8.78878879        0.53765128        0.03122383        0.48274754        0.01969515        0.00398475
       -8.77877878        0.48222007        0.02675272        0.43491413        0.01709586        0.00345735
       -8.76876877        0.42089556        0.02198723        0.38150515        0.01446832        0.00293487
       -8.75875876        0.35367776        0.01692735        0.32252059        0.01181252        0.00241730
       -8.74874875        0.28056666        0.01157309        0.25796045        0.00912847        0.00190465
       -8.73873874        0.26693342        0.00882770        0.24649028        0.00966128        0.00195416
       -8.72872873        0.31531282        0.01068711        0.29033846        0.01196206        0.00232519
       -8.71871872        0.29501394        0.00964250        0.27201011        0.01124409        0.00211724
       -8.70870871        0.27464679        0.00860157        0.25362154        0.01050553        0.00191816
       -8.69869870        0.25421137        0.00756430        0.23517275        0.00974639        0.00172794
       -8.68868869        0.23984168        0.00653056        0.22239409        0.00931363        0.00160341
       -8.67867868        0.22650388        0.00549259        0.21056140        0.00894877        0.00150113
       -8.66866867        0.34133870        0.01497967        0.30604493        0.01733515        0.00297895
