#  aims_uuid : 388B6FD9-B1F2-4BD7-AAE4-585B63D5ED02                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.279045 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.72095519        0.82436126        0.02079318        0.76760940        0.03272469        0.00323400
       -4.71094518        1.40574912        0.04292971        1.32111403        0.03575339        0.00595198
       -4.70093517        2.05291875        0.02732914        1.89842278        0.11947771        0.00768912
       -4.69092516        0.61857598        0.00612949        0.58757189        0.02297117        0.00190342
       -4.68091515        0.38926297        0.00403433        0.37682754        0.00732960        0.00107150
       -4.67090514        2.27880257        0.05367763        2.11913481        0.09797241        0.00801771
       -4.66089513        0.27568151        0.00721219        0.24273617        0.02419230        0.00154084
       -4.65088512        0.06613032        0.00242250        0.06008398        0.00328515        0.00033868
       -4.64087511        0.04591939        0.00200484        0.04186492        0.00182038        0.00022924
       -4.63086510        1.45583291        0.04525728        1.34754270        0.05698848        0.00604445
       -4.62085509        0.33106989        0.00782661        0.31191230        0.01014389        0.00118708
       -4.61084508        0.32724937        0.00613529        0.31203325        0.00800283        0.00107800
       -4.60083507        0.39458865        0.00653836        0.37710288        0.00968321        0.00126420
       -4.59082506        0.45195979        0.00740388        0.43201955        0.01108681        0.00144955
       -4.58081505        0.46562307        0.00864160        0.44319209        0.01225801        0.00153136
       -4.57080504        0.49657746        0.01094483        0.46911290        0.01483055        0.00168917
       -4.56079503        0.66945651        0.01548199        0.63326627        0.01838551        0.00232274
       -4.55078502        1.17113787        0.02452657        1.10876516        0.03372081        0.00412532
       -4.54077501        0.99520038        0.01408072        0.95735296        0.02100354        0.00276316
       -4.53076500        0.30218222        0.00443727        0.28915697        0.00768632        0.00090165
       -4.52075499        0.50177992        0.00542210        0.48662497        0.00836385        0.00136901
       -4.51074498        1.20062567        0.00975700        1.16893969        0.01883798        0.00309101
       -4.50073497        0.75585575        0.00796823        0.73033874        0.01553906        0.00200972
       -4.49072496        0.57492706        0.01001032        0.54215088        0.02114018        0.00162567
       -4.48071495        0.29400182        0.00738146        0.28004033        0.00539611        0.00118392
       -4.47070494        0.36987666        0.00710983        0.35279160        0.00895839        0.00101684
       -4.46069493        0.38075981        0.00602302        0.36597788        0.00770335        0.00105556
       -4.45068492        0.57491207        0.00714825        0.55316274        0.01297747        0.00162362
       -4.44067491        0.55566701        0.00579958        0.53887918        0.00936427        0.00162397
       -4.43066490        0.60769560        0.00565891        0.59139569        0.00882837        0.00181263
       -4.42065489        1.02943245        0.01129856        0.98952959        0.02595052        0.00265378
       -4.41064488        0.24415689        0.00255038        0.23540333        0.00554660        0.00065658
       -4.40063487        0.26550371        0.00289869        0.25641604        0.00541180        0.00077718
       -4.39062486        0.26313584        0.00301078        0.25439293        0.00497157        0.00076057
       -4.38061485        0.33984508        0.00341782        0.33026964        0.00524821        0.00090941
       -4.37060484        0.51610221        0.00510518        0.50292175        0.00679311        0.00128217
       -4.36059483        0.69634154        0.00796940        0.67781344        0.00885116        0.00170755
       -4.35058482        0.18591034        0.00174443        0.18152819        0.00185817        0.00077955
       -4.34057481        0.23573118        0.00248405        0.22989047        0.00237446        0.00098219
       -4.33056480        0.28318672        0.00342271        0.27570480        0.00288016        0.00117905
       -4.32055479        0.32827699        0.00456042        0.31897117        0.00337527        0.00137013
       -4.31054478        0.43128581        0.00671342        0.41816563        0.00467584        0.00173091
       -4.30053477        0.49879065        0.00872656        0.48254316        0.00552357        0.00199736
       -4.29052476        0.29883183        0.00544880        0.28825059        0.00393182        0.00120063
       -4.28051475        0.27043418        0.00512267        0.26041088        0.00383048        0.00107015
       -4.27050474        0.24228328        0.00489269        0.23278475        0.00365071        0.00095513
       -4.26049473        0.21437913        0.00475886        0.20537219        0.00339249        0.00085558
       -4.25048472        0.55090817        0.00916187        0.53309959        0.00680463        0.00184209
       -4.24047471        0.40057428        0.00689572        0.38755798        0.00480576        0.00131481
       -4.23046470        0.23503304        0.00419555        0.22720901        0.00282181        0.00080668
       -4.22045469        0.05428447        0.00106134        0.05205267        0.00085276        0.00031769
       -4.21044468        0.03789430        0.00079394        0.03613691        0.00067992        0.00028353
       -4.20043467        0.03197097        0.00070971        0.03037763        0.00061174        0.00027189
       -4.19042466        0.05535648        0.00114074        0.05301221        0.00084813        0.00035541
       -4.18041465        0.09502179        0.00191477        0.09129588        0.00132229        0.00048886
       -4.17040464        0.13293044        0.00272385        0.12773601        0.00186024        0.00061034
       -4.16039463        0.33652388        0.00572510        0.32469772        0.00485614        0.00124493
       -4.15038462        0.30905914        0.00602472        0.29719477        0.00468334        0.00115631
       -4.14037461        0.28244844        0.00623719        0.27066212        0.00448608        0.00106304
       -4.13036460        0.25669177        0.00636251        0.24509977        0.00426436        0.00096513
       -4.12035459        0.23178913        0.00640066        0.22050774        0.00401817        0.00086257
       -4.11034458        0.20774053        0.00635166        0.19688600        0.00374751        0.00075536
       -4.10033457        0.18533373        0.00626759        0.17488706        0.00350053        0.00067856
       -4.09032456        0.16362161        0.00611240        0.15365268        0.00324473        0.00061180
       -4.08031455        0.14228216        0.00586859        0.13290564        0.00296407        0.00054386
       -4.07030454        0.12131539        0.00553617        0.11264595        0.00265854        0.00047473
       -4.06029453        0.10072130        0.00511512        0.09287361        0.00232815        0.00040442
       -4.05028452        0.54772127        0.01798545        0.51120702        0.01580244        0.00272635
