#  aims_uuid : FEE633DF-569B-4468-A6BF-F5BC4890AA15                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.276370 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.72363010        1.02510773        0.03736531        0.15629170        0.81872832        0.01074719        0.00197521
       -5.71362009        1.42184506        0.05060106        0.21954355        1.13276726        0.01625584        0.00267735
       -5.70361008        2.18818158        0.07729410        0.35752071        1.72150154        0.02883163        0.00303360
       -5.69360007        2.45057330        0.09262902        0.35982796        1.95668375        0.03761823        0.00381435
       -5.68359006        2.14665879        0.13415302        0.37130701        1.60808903        0.02918544        0.00392428
       -5.67358005        2.05375780        0.14784382        0.35408429        1.51558879        0.03229701        0.00394390
       -5.66357004        1.63695063        0.15053024        0.31445172        1.14301303        0.02567130        0.00328434
       -5.65356003        1.82591494        0.20764273        0.41950174        1.16711820        0.02765731        0.00399495
       -5.64355002        1.86896902        0.22376366        0.42645245        1.18546823        0.02935217        0.00393251
       -5.63354001        1.08073965        0.12407148        0.25731729        0.68081726        0.01618439        0.00234923
       -5.62353000        0.38981810        0.05742273        0.09468129        0.23079414        0.00590631        0.00101363
       -5.61351999        0.73108737        0.16047042        0.20172133        0.35398130        0.01270551        0.00220880
       -5.60350998        2.35236443        0.42719294        0.40225223        1.48205445        0.03554034        0.00532447
       -5.59349997        1.71259457        0.39880548        0.30492488        0.97890092        0.02588069        0.00408261
       -5.58348996        1.11251790        0.26980106        0.22290187        0.59906291        0.01808465        0.00266743
       -5.57347995        0.69704233        0.17049347        0.14077269        0.37300289        0.01108176        0.00169153
       -5.56346994        0.60886627        0.12021762        0.12070936        0.35613297        0.01035894        0.00144738
       -5.55345993        0.87976447        0.13891791        0.16911535        0.55395266        0.01571324        0.00206533
       -5.54344992        1.07856898        0.16541709        0.19095011        0.70132074        0.01831586        0.00256519
       -5.53343991        1.33034682        0.21153536        0.21108424        0.88399325        0.02049625        0.00323771
       -5.52342990        1.63574720        0.27805329        0.22875191        1.10264721        0.02221326        0.00408153
       -5.51341989        1.38334919        0.25328189        0.27272772        0.82716131        0.02681105        0.00336721
       -5.50340988        1.69360453        0.20168503        0.26242091        1.18978043        0.03629943        0.00341873
       -5.49339987        0.65574374        0.09988583        0.10485047        0.43492470        0.01471854        0.00136419
       -5.48338986        0.40804010        0.06228141        0.06457298        0.27054094        0.00983605        0.00080872
       -5.47337985        0.31177258        0.03923911        0.04308953        0.22073374        0.00817352        0.00053668
       -5.46336984        0.56753629        0.07783203        0.04578029        0.43267500        0.01009775        0.00115122
       -5.45335983        1.01009167        0.14016848        0.07607650        0.77433867        0.01741718        0.00209084
       -5.44334982        1.08141670        0.13568165        0.08929391        0.83204205        0.02229113        0.00210796
       -5.43333981        1.10593385        0.12394816        0.10627308        0.84613749        0.02754945        0.00202567
       -5.42332980        1.12910965        0.10759736        0.13187093        0.85393929        0.03375185        0.00195021
       -5.41331979        0.64898201        0.07035537        0.08834588        0.47229323        0.01656099        0.00142654
       -5.40330978        0.60205294        0.06523080        0.08313660        0.43985432        0.01232115        0.00151006
       -5.39329977        0.47162792        0.04012186        0.05306611        0.36900194        0.00836815        0.00106986
       -5.38328976        0.21890585        0.00951821        0.01533048        0.18641136        0.00736205        0.00028375
       -5.37327975        0.30472717        0.02220360        0.02264165        0.24917403        0.01020765        0.00050025
       -5.36326974        0.29746391        0.02598346        0.02201678        0.23981040        0.00908974        0.00056352
       -5.35325973        0.28282368        0.02512384        0.01856206        0.23128383        0.00727890        0.00057505
       -5.34324972        0.32520041        0.03073230        0.02066403        0.26542743        0.00767267        0.00070398
       -5.33323971        0.36883385        0.03615235        0.02277104        0.30103118        0.00804261        0.00083667
       -5.32322970        0.41372401        0.04138401        0.02488307        0.33809509        0.00838874        0.00097311
       -5.31321969        0.45987089        0.04642726        0.02700014        0.37661915        0.00871103        0.00111330
       -5.30320968        0.50727448        0.05128211        0.02912224        0.41660337        0.00900951        0.00125725
       -5.29319967        0.51339616        0.05615368        0.02870099        0.41978053        0.00740303        0.00135793
       -5.28318966        0.54697439        0.06261286        0.02652750        0.44940428        0.00696054        0.00146921
       -5.27317965        0.76785691        0.07564269        0.05000072        0.63052690        0.00955848        0.00212813
       -5.26316964        0.81372851        0.05862060        0.06273952        0.67533590        0.01501467        0.00201782
       -5.25315963        0.38010808       -0.00019492        0.05065139        0.31729013        0.01162244        0.00073904
       -5.24314962        0.44360600       -0.00041020        0.05544668        0.37413767        0.01364593        0.00078592
       -5.23313961        0.36679305        0.00002970        0.03123911        0.32248753        0.01254928        0.00048743
       -5.22312960        0.25852410       -0.00001224        0.02135287        0.22806749        0.00878733        0.00032866
       -5.21311959        0.52203564        0.00188245        0.03132216        0.47176169        0.01641189        0.00065746
       -5.20310958        0.49471425        0.00626214        0.02970845        0.44553376        0.01242556        0.00078434
       -5.19309957        0.47714636        0.01196071        0.02932770        0.42551818        0.00940252        0.00093726
       -5.18308956        0.44736964        0.01630643        0.02973995        0.39310012        0.00716876        0.00105438
       -5.17307955        0.40538410        0.01929932        0.03094521        0.34827957        0.00572429        0.00113571
       -5.16306954        0.45910121        0.02094013        0.04918967        0.38052381        0.00678201        0.00166559
       -5.15305953        0.61310070        0.02121184        0.07640549        0.50448448        0.00860042        0.00239846
       -5.14304952        0.83072240        0.02014109        0.10362479        0.69377040        0.01011034        0.00307579
       -5.13303951        0.85920407        0.01817879        0.10034629        0.72701243        0.01051723        0.00314933
       -5.12302950        1.11436600        0.01570750        0.13095184        0.95112807        0.01257683        0.00400177
       -5.11301949        0.90183376        0.01245794        0.09538422        0.78090299        0.00991694        0.00317166
       -5.10300948        0.81943295        0.00956164        0.08798228        0.70971210        0.00920870        0.00296824
       -5.09299947        0.80098962        0.00702586        0.08276883        0.69858391        0.00974233        0.00286868
       -5.08298946        0.80061960        0.00474507        0.08023787        0.70212426        0.01067602        0.00283639
       -5.07297945        0.76343863        0.00270938        0.07560751        0.67022837        0.01231266        0.00258071
       -5.06296944        1.58708348        0.07487155        0.09328225        1.39316538        0.02061989        0.00514442
       -5.05295943        2.10444831        0.05897969        0.13500819        1.87186673        0.03214214        0.00645156
       -5.04294942        2.49867526        0.03882604        0.17478533        2.22188216        0.05612968        0.00705206
       -5.03293941        2.94553364        0.01408117        0.19878312        2.67644075        0.04762091        0.00860769
       -5.02292940        0.89105797        0.00026929        0.09217685        0.78643903        0.00859174        0.00358107
       -5.01291939        1.60437302        0.02102817        0.30922515        1.23948707        0.02886809        0.00576454
       -5.00290938        1.69735163        0.01328621        0.26620451        1.38769421        0.02307193        0.00709476
       -4.99289937        0.69956568        0.00610408        0.25930121        0.41855876        0.01312767        0.00247396
       -4.98288936        4.45447780        0.01346807        0.41632465        3.97068966        0.03195913        0.02203628
       -4.97287935        2.30093222        0.02224452        0.30134671        1.94058460        0.02678427        0.00997212
       -4.96286934        1.83638342        0.00222043        0.09784777        1.71649437        0.01088066        0.00894018
       -4.95285933        2.23671554        0.07339386        0.13425997        2.00354819        0.01605043        0.00946309
       -4.94284932        2.90929276        0.08076423        0.12074320        2.67620702        0.01909693        0.01248138
       -4.93283931        0.65435472        0.00005303        0.07961204        0.56774235        0.00331418        0.00363313
       -4.92282930        0.91422725        0.00110283        0.21548362        0.68591909        0.00648900        0.00523271
       -4.91281929        0.54680858        0.00097297        0.14434037        0.39417971        0.00417669        0.00313885
       -4.90280928        0.35663994        0.00101409        0.11236090        0.23806111        0.00317484        0.00202900
       -4.89279927        0.23201914        0.00083460        0.08527460        0.14228794        0.00228182        0.00134019
       -4.88278926        0.24911932        0.00069486        0.06046145        0.18384670        0.00300652        0.00110978
