#  aims_uuid : D71290D0-A6B9-4E73-A2DE-F27E3966DF24                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.38094244        0.07935323        0.06590783        0.22402509        0.01165629
       -9.99000000        0.46254435        0.10701688        0.06821140        0.27475490        0.01256117
       -9.98000000        0.37442390        0.05762418        0.05329047        0.25053421        0.01297505
       -9.97000000        0.18324954        0.00324341        0.02637110        0.14478120        0.00885382
       -9.96000000        0.14488018        0.00272953        0.01015571        0.12751648        0.00447846
       -9.95000000        0.24565034        0.01171360        0.02044306        0.20782156        0.00567211
       -9.94000000        0.89950360        0.12960463        0.11247764        0.64459767        0.01282366
       -9.93000000        1.16215083        0.16480160        0.18103284        0.80328040        0.01303600
       -9.92000000        0.23143496        0.03513113        0.04225008        0.14937633        0.00467741
       -9.91000000        0.26095852        0.04197136        0.04584547        0.16794773        0.00519395
       -9.90000000        0.37561999        0.05289508        0.06070243        0.25542540        0.00659708
       -9.89000000        0.41038110        0.06346464        0.06739102        0.27252501        0.00700043
       -9.88000000        0.44766931        0.07599489        0.07285680        0.29139940        0.00741822
       -9.87000000        0.48748462        0.09048584        0.07709978        0.31204856        0.00785044
       -9.86000000        0.52982703        0.10693749        0.08011995        0.33447251        0.00829708
       -9.85000000        0.34007658        0.04465158        0.06573185        0.22379043        0.00590271
       -9.84000000        0.30157188        0.03508484        0.05701246        0.20553883        0.00393575
       -9.83000000        0.28433569        0.03167568        0.04819111        0.20018400        0.00428491
       -9.82000000        0.25914196        0.02832421        0.03727850        0.18910125        0.00443800
       -9.81000000        0.36474928        0.03304574        0.04812131        0.27882422        0.00475801
       -9.80000000        0.43932012        0.03669137        0.05738741        0.33890103        0.00634031
       -9.79000000        0.38579027        0.03003431        0.04303991        0.30557831        0.00713773
       -9.78000000        0.33188514        0.02438531        0.03288166        0.26746263        0.00715553
       -9.77000000        0.35698654        0.03037204        0.03343293        0.28455457        0.00862700
       -9.76000000        0.30225206        0.03483315        0.02904549        0.23153330        0.00684012
       -9.75000000        0.24856798        0.03546709        0.02526074        0.18264928        0.00519087
       -9.74000000        0.20083936        0.03227440        0.02161214        0.14316041        0.00379240
       -9.73000000        0.18725904        0.02841071        0.02749251        0.12843254        0.00292329
       -9.72000000        0.29623952        0.02959362        0.05928158        0.20399943        0.00336489
       -9.71000000        0.49811238        0.02941307        0.08387750        0.38000480        0.00481701
       -9.70000000        0.66751293        0.03624591        0.06513894        0.56104804        0.00508005
       -9.69000000        0.60480830        0.03369753        0.06136810        0.50498754        0.00475513
       -9.68000000        0.41299180        0.01959357        0.05810883        0.33147166        0.00381773
       -9.67000000        0.56501437        0.01977371        0.08812156        0.45107294        0.00604615
       -9.66000000        0.49347643        0.01732726        0.07231186        0.39814059        0.00569673
       -9.65000000        0.43618024        0.01526161        0.06909246        0.34594159        0.00588459
       -9.64000000        0.41299472        0.01358047        0.07422629        0.31873490        0.00645307
       -9.63000000        0.45010434        0.01282675        0.08790598        0.34181228        0.00755932
       -9.62000000        0.58792726        0.01293705        0.11198499        0.45284700        0.01015822
       -9.61000000        0.41688536        0.00494217        0.10682483        0.29605328        0.00906509
       -9.60000000        0.43425033        0.00479643        0.11950748        0.30002621        0.00992021
       -9.59000000        0.62533585        0.00898393        0.16153528        0.44145908        0.01335756
       -9.58000000        0.52706137        0.00494803        0.10068469        0.40928013        0.01214851
       -9.57000000        0.56883449        0.00388299        0.09553686        0.45777646        0.01163818
       -9.56000000        1.55157526        0.01087693        0.25065499        1.26596778        0.02407557
       -9.55000000        0.80513450        0.00330862        0.14305836        0.64735665        0.01141088
       -9.54000000        0.80822803        0.00350969        0.14477901        0.64738306        0.01255627
       -9.53000000        0.49569961        0.00769512        0.07014601        0.41204377        0.00581471
       -9.52000000        0.59976423        0.01369949        0.07419870        0.50568170        0.00618435
       -9.51000000        0.77726280        0.01981197        0.10652342        0.64292132        0.00800609
       -9.50000000        1.69341174        0.05760795        0.25755485        1.35341149        0.02483744
       -9.49000000        1.87706380        0.07640598        0.32802333        1.44957290        0.02306159
       -9.48000000        0.97447788        0.03480617        0.17120236        0.75537353        0.01309582
       -9.47000000        0.52252978        0.01518374        0.11305993        0.38564907        0.00863705
       -9.46000000        1.94383480        0.01464878        0.18536801        1.71652230        0.02729570
       -9.45000000        0.63998124        0.00809076        0.14613050        0.47738193        0.00837805
       -9.44000000        0.93321702        0.01151733        0.23136432        0.68039129        0.00994408
       -9.43000000        1.31501373        0.01545555        0.22953566        1.05925869        0.01076384
       -9.42000000        1.38467453        0.01650477        0.18349438        1.17416524        0.01051015
       -9.41000000        1.64123846        0.01520151        0.17900953        1.43345975        0.01356767
       -9.40000000        1.53389673        0.00123736        0.15929764        1.36362194        0.00973978
       -9.39000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.38000000        0.84075855        0.00083622        0.04470896        0.78447363        0.01073973
       -9.37000000        0.79467610        0.00062812        0.04338839        0.74165028        0.00900932
       -9.36000000        1.85201566        0.00174559        0.14716283        1.68591687        0.01719037
       -9.35000000        0.88565305        0.00085930        0.07755124        0.79806895        0.00917356
       -9.34000000        1.11740328        0.00439910        0.09609771        1.00576913        0.01113734
       -9.33000000        1.72454137        0.01724599        0.18402264        1.50760479        0.01566796
       -9.32000000        1.21413450        0.01549617        0.07951670        1.10861551        0.01050612
       -9.31000000        1.44998725        0.01381653        0.06969647        1.35473772        0.01173653
       -9.30000000        1.54951573        0.01225567        0.06907534        1.44876914        0.01941558
       -9.29000000        1.70847535        0.01011730        0.08293046        1.60138540        0.01404219
       -9.28000000        2.06462331        0.00742186        0.08566733        1.95618853        0.01534559
       -9.27000000        1.20015078        0.00315072        0.06956608        1.11704438        0.01038960
       -9.26000000        1.04156958        0.00156814        0.05594530        0.97532337        0.00873276
       -9.25000000        0.91005361        0.00143784        0.04449492        0.85680075        0.00732010
       -9.24000000        0.77361439        0.00139713        0.03478721        0.73144895        0.00598110
       -9.23000000        0.63225193        0.00144602        0.02682217        0.59926795        0.00471579
       -9.22000000        0.75621858        0.00201955        0.02453536        0.72430624        0.00535743
       -9.21000000        0.79848534        0.00393344        0.02371403        0.76518616        0.00565171
       -9.20000000        0.84607767        0.00743060        0.02642526        0.80615223        0.00606958
       -9.19000000        1.16963872        0.01259988        0.03504489        1.11341281        0.00858113
       -9.18000000        0.97117190        0.01321316        0.03363704        0.91672723        0.00759447
       -9.17000000        0.83309652        0.01287190        0.03143251        0.78127292        0.00751919
       -9.16000000        0.73873416        0.01250290        0.03025320        0.68805491        0.00792315
       -9.15000000        0.76055912        0.01211732        0.03085892        0.70852779        0.00905508
       -9.14000000        1.09936474        0.01540185        0.05553091        1.01443588        0.01399609
       -9.13000000        0.83670871        0.01400786        0.02971878        0.77827708        0.01470498
       -9.12000000        1.10209573        0.02456715        0.05591893        1.00766260        0.01394704
       -9.11000000        1.02256771        0.02436553        0.05721381        0.92883712        0.01215125
       -9.10000000        0.91291288        0.02267430        0.06819790        0.81018294        0.01185774
       -9.09000000        0.73724704        0.01531610        0.05313604        0.65817791        0.01061699
       -9.08000000        4.64710656        0.02566895        0.09986373        4.43484375        0.08673013
       -9.07000000        1.36763207        0.02598589        0.15273152        1.16553669        0.02337798
       -9.06000000        1.06541333        0.01191129        0.07887207        0.95768969        0.01694027
       -9.05000000        0.76066782        0.00802673        0.05873912        0.68062990        0.01327208
       -9.04000000        0.52218191        0.00472897        0.03511680        0.47288167        0.00945448
       -9.03000000        0.41604002        0.00200606        0.01637794        0.39127288        0.00638313
       -9.02000000        0.94292537        0.00151266        0.01281640        0.91975447        0.00884184
       -9.01000000        0.47861800        0.00058029        0.00389025        0.46836823        0.00577922
       -9.00000000        0.29049638        0.00022118        0.00244214        0.28372478        0.00410828
       -8.99000000        1.26263852        0.00039750        0.00862718        1.24648211        0.00713174
       -8.98000000        1.05357892        0.00387480        0.04418236        0.99767552        0.00784624
       -8.97000000        0.87160478        0.00720398        0.07375622        0.78224706        0.00839753
       -8.96000000        0.71671610        0.01038503        0.09734874        0.60019673        0.00878561
       -8.95000000        0.82783115        0.01880621        0.15692904        0.63865927        0.01343662
       -8.94000000        0.55918384        0.00070084        0.00165154        0.55180202        0.00502944
       -8.93000000        0.60511790        0.00293048        0.00331372        0.59372824        0.00514547
       -8.92000000        0.70249790        0.00673622        0.00608737        0.68438477        0.00528955
       -8.91000000        1.27433886        0.01525883        0.01237667        1.23977733        0.00692603
       -8.90000000        0.40491415        0.00392128        0.00294193        0.38950542        0.00854552
       -8.89000000        0.75139863        0.01132782        0.00692155        0.72511269        0.00803657
       -8.88000000        0.80892928        0.01017344        0.01438106        0.77827583        0.00609895
       -8.87000000        0.84372967        0.00953459        0.02663561        0.80278088        0.00477859
       -8.86000000        0.84817754        0.00941083        0.04367967        0.79102598        0.00406106
       -8.85000000        1.18341663        0.01331710        0.09581881        1.06828466        0.00599606
       -8.84000000        1.23038091        0.02142694        0.17811423        1.01969775        0.01114198
       -8.83000000        0.96871686        0.01244786        0.09841346        0.84584590        0.01200965
       -8.82000000        0.95716624        0.00782668        0.05622530        0.88103807        0.01207619
       -8.81000000        0.87009583        0.00660500        0.04543895        0.80906385        0.00898803
       -8.80000000        0.80421035        0.00971121        0.05516631        0.72863211        0.01070072
       -8.79000000        0.74989431        0.01241959        0.07002196        0.65546510        0.01198766
       -8.78000000        0.62993376        0.01392957        0.08855975        0.51613191        0.01131253
       -8.77000000        0.62890087        0.01482625        0.10749198        0.49444044        0.01214220
       -8.76000000        0.45318378        0.00981908        0.07248413        0.36108473        0.00979585
       -8.75000000        0.36809883        0.00802388        0.05798049        0.29373535        0.00835913
       -8.74000000        0.21854795        0.00604583        0.04572991        0.16362327        0.00314895
       -8.73000000        0.18758500        0.00471427        0.03493512        0.14515781        0.00277779
       -8.72000000        0.15863772        0.00357744        0.02584874        0.12678788        0.00242366
       -8.71000000        0.13170614        0.00263536        0.01847077        0.10851347        0.00208655
       -8.70000000        0.10679024        0.00188802        0.01280119        0.09033457        0.00176646
       -8.69000000        0.15115452        0.00140713        0.01026523        0.13741751        0.00206464
       -8.68000000        0.31380542        0.00139730        0.01334153        0.29552438        0.00354221
       -8.67000000        0.51199254        0.00185463        0.01840093        0.48606105        0.00567594
       -8.66000000        0.68769640        0.00271696        0.02372863        0.65314853        0.00810227
       -8.65000000        0.70234462        0.00372259        0.02703441        0.66379400        0.00779363
       -8.64000000        0.66344529        0.00426462        0.02913328        0.62218440        0.00786298
       -8.63000000        0.54350116        0.00400550        0.03134422        0.50141639        0.00673504
       -8.62000000        0.40933514        0.00261538        0.03276077        0.36854889        0.00541010
       -8.61000000        0.53768957        0.00307892        0.05148501        0.47481256        0.00831308
       -8.60000000        0.59841313        0.00348107        0.06128814        0.52413058        0.00951335
       -8.59000000        0.69113090        0.00380556        0.06610785        0.61073153        0.01048595
       -8.58000000        0.81037895        0.00391149        0.06589688        0.72935147        0.01121912
       -8.57000000        0.87170429        0.00481381        0.07223991        0.78220605        0.01244452
       -8.56000000        0.51575360        0.00288539        0.02412632        0.48161070        0.00713119
       -8.55000000        0.55439245        0.00310152        0.02525003        0.51823042        0.00781048
       -8.54000000        0.59461893        0.00309924        0.02689736        0.55623781        0.00838451
       -8.53000000        0.65927079        0.00314740        0.03062832        0.61540663        0.01008844
       -8.52000000        0.51583543        0.00254471        0.01592133        0.48812560        0.00924378
       -8.51000000        0.64574741        0.00271067        0.02085754        0.60964306        0.01253614
       -8.50000000        0.49595433        0.00245622        0.01684534        0.46695748        0.00969530
       -8.49000000        0.57725018        0.00303866        0.02391260        0.53908903        0.01120989
       -8.48000000        0.61040403        0.00318808        0.02859114        0.56668081        0.01194399
       -8.47000000        0.65023263        0.00343719        0.03310085        0.60091695        0.01277765
       -8.46000000        0.51001052        0.00287503        0.02741469        0.46988299        0.00983781
       -8.45000000        0.66409740        0.00348990        0.05257740        0.59648962        0.01154049
       -8.44000000        0.44779947        0.00342287        0.04987245        0.38652609        0.00797806
       -8.43000000        0.23085915        0.00248186        0.02136481        0.20231339        0.00469908
       -8.42000000        0.23592162        0.00270942        0.02291583        0.20577082        0.00452555
       -8.41000000        0.24090676        0.00293784        0.02438361        0.20924553        0.00433978
       -8.40000000        1.07246435        0.00931762        0.12403460        0.91892190        0.02019022
       -8.39000000        0.57481175        0.00346404        0.01988012        0.54320753        0.00826005
       -8.38000000        0.80853812        0.00906431        0.05624282        0.73171873        0.01151226
       -8.37000000        1.07238291        0.01897900        0.11948318        0.91947620        0.01444453
       -8.36000000        0.46336044        0.01051943        0.07830016        0.36788532        0.00665553
       -8.35000000        0.76923003        0.01219827        0.07726033        0.66733133        0.01244010
       -8.34000000        0.66977930        0.00618996        0.05891162        0.59208837        0.01258934
       -8.33000000        0.28493211        0.00237533        0.04580865        0.23006954        0.00667860
       -8.32000000        0.26972569        0.00388936        0.03550912        0.22357400        0.00675320
       -8.31000000        0.92394783        0.01530438        0.12248022        0.76766807        0.01849516
       -8.30000000        0.98955295        0.01879744        0.15464069        0.79601102        0.02010379
       -8.29000000        0.89702827        0.01612218        0.14960641        0.71216036        0.01913932
       -8.28000000        0.63249148        0.00982599        0.09672714        0.51441356        0.01152479
       -8.27000000        0.49521036        0.00531953        0.07360707        0.40846881        0.00781494
       -8.26000000        0.40825268        0.00363625        0.05722464        0.34169692        0.00569486
       -8.25000000        0.75406010        0.00858096        0.13971035        0.59269074        0.01307806
       -8.24000000        1.30705386        0.00808463        0.15688685        1.12625969        0.01582268
       -8.23000000        0.35257720        0.00215101        0.04536599        0.30170028        0.00335992
       -8.22000000        0.57041789        0.00677801        0.12953657        0.42510177        0.00900154
       -8.21000000        0.96717817        0.01217044        0.17691148        0.76391596        0.01418029
       -8.20000000        0.44604855        0.00312968        0.06354312        0.37312378        0.00625197
       -8.19000000        0.17082839        0.00041331        0.01598042        0.15212905        0.00230562
       -8.18000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -8.17000000        0.96797414        0.00176814        0.14085022        0.81095386        0.01440192
       -8.16000000        1.87030409        0.00695574        0.11732741        1.72673660        0.01928434
       -8.15000000        0.08700175        0.00041340        0.02292632        0.06245919        0.00120284
       -8.14000000        0.99896730        0.00193079        0.07507457        0.91023762        0.01172433
       -8.13000000        0.75142081        0.00262342        0.06126013        0.67821936        0.00931789
       -8.12000000        1.45620335        0.00478340        0.14200516        1.28749863        0.02191616
       -8.11000000        1.80701828        0.01090009        0.19638679        1.56531887        0.03441253
       -8.10000000        0.42721877        0.00413157        0.06570819        0.34571269        0.01166633
       -8.09000000        2.95679935        0.01054579        0.54168229        2.32870267        0.07586861
       -8.08000000        0.95336101        0.00319102        0.06639527        0.86305715        0.02071758
       -8.07000000        1.87337006        0.00623726        0.13775598        1.70171791        0.02765892
       -8.06000000        1.53343504        0.00761034        0.11439603        1.38423691        0.02719175
       -8.05000000        1.57078888        0.00770327        0.16347801        1.37040629        0.02920131
       -8.04000000        3.57488492        0.01406407        0.29686800        3.19562002        0.06833284
       -8.03000000        1.38893337        0.00609656        0.15858892        1.19695132        0.02729657
       -8.02000000        1.88497190        0.00895823        0.16106948        1.68308229        0.03186189
       -8.01000000        1.42795684        0.00547685        0.09333443        1.30000002        0.02914554
       -8.00000000        1.47451017        0.00630759        0.08860492        1.34590882        0.03368884
       -7.99000000        1.10583032        0.00541684        0.07410651        1.00106611        0.02524086
       -7.98000000        1.19610652        0.00584215        0.09214636        1.07091274        0.02720526
       -7.97000000        1.44238917        0.00754075        0.13251492        1.27308788        0.02924562
       -7.96000000        1.52238511        0.00823672        0.14711186        1.33478669        0.03224984
       -7.95000000        1.12642384        0.00700282        0.11505443        0.97652333        0.02784326
       -7.94000000        0.99335927        0.00570134        0.10431032        0.86067582        0.02267179
       -7.93000000        0.76324233        0.00553815        0.08777418        0.65373482        0.01619518
       -7.92000000        0.74729871        0.00545051        0.09268968        0.63321485        0.01594367
       -7.91000000        0.78981546        0.00576559        0.10300523        0.66442630        0.01661834
       -7.90000000        0.86226861        0.00670814        0.11235753        0.72548591        0.01771703
       -7.89000000        0.80909067        0.00485801        0.09195026        0.69388355        0.01839885
       -7.88000000        0.62941393        0.00368126        0.06700759        0.54281312        0.01591196
       -7.87000000        0.70550475        0.00377908        0.07613299        0.60813097        0.01746171
       -7.86000000        0.95872642        0.00413921        0.10520721        0.82640257        0.02297743
       -7.85000000        0.92975320        0.00420233        0.10659328        0.79615487        0.02280272
       -7.84000000        2.12574078        0.01067916        0.26058848        1.79632613        0.05814702
       -7.83000000        1.04515264        0.00620848        0.13860685        0.87865656        0.02168075
       -7.82000000        0.71424950        0.00299954        0.13276321        0.55777554        0.02071120
       -7.81000000        0.62113856        0.00323157        0.13029234        0.47251835        0.01509630
       -7.80000000        0.92243159        0.00426448        0.14398389        0.75374456        0.02043867
       -7.79000000        1.29741686        0.00730899        0.29917270        0.95352900        0.03740617
       -7.78000000        0.61487648        0.00493223        0.12677061        0.46975859        0.01341505
       -7.77000000        0.70784203        0.00647682        0.14956639        0.53640211        0.01539670
       -7.76000000        1.10677005        0.01089837        0.24844133        0.82537424        0.02205612
       -7.75000000        0.38076787        0.00354988        0.08955664        0.27622000        0.01144134
       -7.74000000        0.20154275        0.00210343        0.05161913        0.14125883        0.00656136
       -7.73000000        0.24585277        0.00274467        0.06052605        0.17450825        0.00807380
       -7.72000000        1.56324488        0.02493481        0.57123602        0.92205128        0.04502276
       -7.71000000        0.79460790        0.01327953        0.13557641        0.62450705        0.02124491
       -7.70000000        1.09647341        0.01850732        0.19888373        0.85369158        0.02539078
       -7.69000000        8.59899030        0.02347968        0.82750270        7.55068398        0.19732394
       -7.68000000        0.34517584        0.00023859        0.11260304        0.22654031        0.00579390
       -7.67000000        1.47338587        0.01079869        0.39374964        1.04482006        0.02401749
       -7.66000000        0.27847087        0.00339942        0.07370211        0.19691627        0.00445307
       -7.65000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -7.64000000        1.33950453        0.01676377        0.37374531        0.91961950        0.02937595
       -7.63000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -7.62000000        0.50991662        0.00685295        0.09854674        0.38973315        0.01478377
       -7.61000000        1.97810337        0.02519887        0.22581636        1.69236771        0.03472042
       -7.60000000        1.04193647        0.01687466        0.20994714        0.78723127        0.02788339
       -7.59000000        0.55430291        0.00822979        0.10211122        0.42884605        0.01511587
       -7.58000000        0.49679632        0.00662477        0.09265167        0.38242374        0.01509615
       -7.57000000        0.44939142        0.00520766        0.07990844        0.34923496        0.01504036
       -7.56000000        1.10871132        0.01228339        0.11379006        0.96224127        0.02039661
       -7.55000000        0.45154281        0.00402139        0.05749177        0.37641106        0.01361859
       -7.54000000        0.35893761        0.00302499        0.04614899        0.30087900        0.00888462
       -7.53000000        0.63530887        0.00661840        0.08480704        0.52597912        0.01790432
       -7.52000000        0.45047678        0.00444234        0.06324516        0.37063656        0.01215272
       -7.51000000        0.43264157        0.00439978        0.06063560        0.35638823        0.01121797
       -7.50000000        0.45169011        0.00452342        0.06242737        0.37290530        0.01183402
       -7.49000000        0.63336013        0.00512022        0.07519967        0.53566236        0.01737789
       -7.48000000        0.50510698        0.00460456        0.07056714        0.41732233        0.01261295
       -7.47000000        0.55817155        0.00491977        0.08191232        0.45814757        0.01319191
       -7.46000000        0.66799869        0.00554238        0.09915367        0.54836449        0.01493814
       -7.45000000        0.70491832        0.00524497        0.10515255        0.57850380        0.01601699
       -7.44000000        0.64583811        0.00434169        0.08507817        0.54196443        0.01445382
       -7.43000000        0.76616503        0.00443316        0.08756759        0.65714448        0.01701980
       -7.42000000        0.84265005        0.00463281        0.09337689        0.72563642        0.01900393
       -7.41000000        0.77176151        0.00611125        0.10864019        0.63973163        0.01727844
       -7.40000000        0.56392059        0.00330819        0.07042299        0.47708631        0.01310311
       -7.39000000        0.62235977        0.00404273        0.10060398        0.50105535        0.01665772
       -7.38000000        0.67211008        0.00499748        0.11020968        0.53866187        0.01824105
       -7.37000000        0.72735979        0.00631881        0.12255538        0.57919863        0.01928698
       -7.36000000        0.59290313        0.00479476        0.09784825        0.47435967        0.01590044
       -7.35000000        0.83819190        0.00593057        0.12271844        0.68869101        0.02085187
       -7.34000000        0.56316619        0.00467339        0.07206553        0.47366303        0.01276423
       -7.33000000        0.43755232        0.00496196        0.07194344        0.35027818        0.01036873
       -7.32000000        0.70168768        0.00680247        0.12549004        0.55067999        0.01871517
