#  aims_uuid : D71290D0-A6B9-4E73-A2DE-F27E3966DF24                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.530259 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.46974141        0.49078056        0.02172938        0.45304018        0.01358540        0.00242560
       -4.45974141        0.54925570        0.02649996        0.50353577        0.01618923        0.00303075
       -4.44974141        0.46079768        0.01549569        0.43147661        0.01149180        0.00233358
       -4.43974141        0.24540238        0.00273170        0.23719342        0.00443872        0.00103853
       -4.42974141        0.14540030        0.00536443        0.13519378        0.00407457        0.00076751
       -4.41974141        0.24722373        0.01284381        0.22539325        0.00749403        0.00149263
       -4.40974141        0.86460708        0.05906439        0.76504204        0.03349908        0.00700157
       -4.39974141        1.26387207        0.08926797        1.11506476        0.04977463        0.00976470
       -4.38974141        0.26503162        0.01642031        0.23774738        0.00904665        0.00181728
       -4.37974141        0.28515902        0.01708635        0.25596626        0.01008321        0.00202321
       -4.36974141        0.39472819        0.02675812        0.35152437        0.01358254        0.00286316
       -4.35974141        0.41423108        0.02737229        0.36887013        0.01488506        0.00310360
       -4.34974141        0.43093668        0.02784091        0.38352766        0.01621715        0.00335095
       -4.33974141        0.44484499        0.02816400        0.39549695        0.01757881        0.00360522
       -4.32974141        0.45595600        0.02834155        0.40477800        0.01897004        0.00386641
       -4.31974141        0.33904255        0.02024813        0.30433744        0.01200307        0.00245391
       -4.30974141        0.27390954        0.01828318        0.24356779        0.01006063        0.00199793
       -4.29974141        0.25041016        0.01547856        0.22402202        0.00910933        0.00180025
       -4.28974141        0.21856955        0.01234195        0.19673566        0.00793177        0.00156016
       -4.27974141        0.26772911        0.01317925        0.24034260        0.01197421        0.00223305
       -4.26974141        0.32275907        0.01432356        0.29104375        0.01466529        0.00272647
       -4.25974141        0.28896583        0.01133258        0.26318731        0.01216219        0.00228375
       -4.24974141        0.25424526        0.00898905        0.23329026        0.01007089        0.00189506
       -4.23974141        0.28011396        0.00988245        0.25801282        0.01027017        0.00194852
       -4.22974141        0.23330174        0.00917213        0.21330288        0.00913075        0.00169598
       -4.21974141        0.19128060        0.00832775        0.17357480        0.00794030        0.00143775
       -4.20974141        0.15676854        0.00728105        0.14147390        0.00681866        0.00119493
       -4.19974141        0.15506061        0.00671561        0.13990360        0.00734408        0.00109732
       -4.18974141        0.25132819        0.00841390        0.22789977        0.01336388        0.00165065
       -4.17974141        0.38889557        0.01143208        0.35364542        0.02097653        0.00284154
       -4.16974141        0.41432656        0.01108037        0.37426552        0.02495655        0.00402413
       -4.15974141        0.39735183        0.01079327        0.36013975        0.02271407        0.00370474
       -4.14974141        0.32843699        0.00897979        0.30041259        0.01656878        0.00247583
       -4.13974141        0.58512035        0.01830106        0.53925361        0.02416122        0.00340446
       -4.12974141        0.48068634        0.01607685        0.44251177        0.01920763        0.00289010
       -4.11974141        0.42117001        0.01174189        0.38931551        0.01745601        0.00265661
       -4.10974141        0.42036758        0.00897533        0.39082638        0.01793490        0.00263097
       -4.09974141        0.49321046        0.01029487        0.46014237        0.01993324        0.00283998
       -4.08974141        0.66387892        0.01298675        0.61969482        0.02767857        0.00351878
       -4.07974141        0.58471810        0.01286850        0.55054082        0.01883423        0.00247455
       -4.06974141        0.61806567        0.01306801        0.58255919        0.01987061        0.00256785
       -4.05974141        0.86860874        0.01972681        0.81239365        0.03233086        0.00415742
       -4.04974141        0.68964166        0.01355485        0.64829531        0.02458209        0.00320941
       -4.03974141        0.67242803        0.01237292        0.63554322        0.02169854        0.00281335
       -4.02974141        1.51821400        0.02958146        1.42468061        0.05818287        0.00576906
       -4.01974141        0.96738362        0.01811653        0.91419874        0.03208509        0.00298326
       -4.00974141        1.16069708        0.02284547        1.09984013        0.03433314        0.00367835
       -3.99974141        0.50225433        0.01205169        0.46996190        0.01777366        0.00246708
       -3.98974141        0.56513023        0.01263552        0.52632229        0.02298570        0.00318672
       -3.97974141        0.76043725        0.01552994        0.70955865        0.03130236        0.00404631
       -3.96974141        1.81483323        0.03986345        1.69602251        0.07000549        0.00894178
       -3.95974141        1.94556565        0.04123535        1.80694834        0.08693746        0.01044449
       -3.94974141        1.04492369        0.02043969        0.97162588        0.04739220        0.00546592
       -3.93974141        0.62752055        0.01171117        0.58433647        0.02863009        0.00284281
       -3.92974141        1.77951484        0.04145612        1.66328682        0.06527000        0.00950189
       -3.91974141        0.77819126        0.02242058        0.71960137        0.03256616        0.00360315
       -3.90974141        1.04375711        0.02672254        0.96590082        0.04624165        0.00489211
       -3.89974141        1.15860086        0.02430105        1.07353955        0.05402008        0.00674018
       -3.88974141        1.00492861        0.01356784        0.93646782        0.04879413        0.00609882
       -3.87974141        1.18913686        0.01609512        1.11534422        0.05141970        0.00627782
       -3.86974141        1.16089208        0.01972020        1.09958549        0.03594520        0.00564120
       -3.85974141        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -3.84974141        0.66577453        0.01022903        0.62990481        0.02225379        0.00338690
       -3.83974141        0.57137522        0.00784624        0.54132864        0.01889711        0.00330323
       -3.82974141        1.21091735        0.02549956        1.13593891        0.04192077        0.00755810
