#  aims_uuid : 6C1A0529-5FCB-4EF9-A3AE-035874795391                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.084098 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.91590216        0.53445609        0.00628435        0.50693548        0.01821276        0.00302349
       -4.90590216        0.63576638        0.00665348        0.60271261        0.02220520        0.00419509
       -4.89590216        0.35503082        0.00060613        0.34093650        0.01102722        0.00246097
       -4.88590216        0.26410251        0.00083960        0.24865178        0.01275482        0.00185631
       -4.87590216        0.00665487        0.00002619        0.00620128        0.00038030        0.00004711
       -4.86590216        0.30652640        0.01114227        0.27703976        0.01624896        0.00209541
       -4.85590216        0.72162377        0.03265958        0.64896738        0.03457266        0.00542414
       -4.84590216        1.09722993        0.05050995        0.98578151        0.05151716        0.00942132
       -4.83590216        0.19529944        0.00520862        0.17836782        0.01011589        0.00160711
       -4.82590216        0.33529727        0.01639384        0.30127802        0.01474277        0.00288264
       -4.81590216        0.35433314        0.01665659        0.31865429        0.01596615        0.00305611
       -4.80590216        0.37626382        0.01689045        0.33888128        0.01724965        0.00324244
       -4.79590216        0.40108929        0.01709541        0.36195897        0.01859328        0.00344162
       -4.78590216        0.42880956        0.01727149        0.38788737        0.01999702        0.00365367
       -4.77590216        0.45942463        0.01741868        0.41666649        0.02146089        0.00387857
       -4.76590216        0.35314882        0.01265501        0.32275856        0.01497069        0.00276457
       -4.75590216        0.25047539        0.00964106        0.22825206        0.01066296        0.00191931
       -4.74590216        0.24872257        0.00827668        0.22903708        0.00971380        0.00169500
       -4.73590216        0.23945576        0.00688917        0.22250344        0.00860706        0.00145609
       -4.72590216        0.22442029        0.00562103        0.21005623        0.00751055        0.00123248
       -4.71590216        0.32776745        0.01087702        0.30168254        0.01284569        0.00236220
       -4.70590216        0.30760053        0.00839255        0.28600939        0.01121085        0.00198774
       -4.69590216        0.37467448        0.00714500        0.35401946        0.01164054        0.00186948
       -4.68590216        0.34737797        0.00585701        0.32822925        0.01147337        0.00181834
       -4.67590216        0.32007289        0.00499375        0.30228665        0.01106811        0.00172438
       -4.66590216        0.29162482        0.00438237        0.27530164        0.01036243        0.00157838
       -4.65590216        0.26180100        0.00380692        0.24728321        0.00933341        0.00137746
       -4.64590216        0.23135105        0.00329506        0.21887755        0.00804807        0.00113036
       -4.63590216        0.36477272        0.00492706        0.34727606        0.01088614        0.00168347
       -4.62590216        0.58659522        0.00861418        0.55892770        0.01664685        0.00240648
       -4.61590216        0.84863409        0.01434885        0.80563596        0.02535132        0.00329796
       -4.60590216        1.13940317        0.02199521        1.07662853        0.03650339        0.00427605
       -4.59590216        0.50864203        0.01021166        0.48124561        0.01535535        0.00182942
       -4.58590216        0.47728348        0.01055939        0.45014319        0.01484858        0.00173232
       -4.57590216        0.89145029        0.01394627        0.85182678        0.02368273        0.00199452
       -4.56590216        0.68011008        0.01302431        0.64550045        0.01965572        0.00192960
       -4.55590216        0.42029438        0.01441787        0.38957083        0.01429082        0.00201486
       -4.54590216        0.47578263        0.01659080        0.44148035        0.01549861        0.00221288
       -4.53590216        0.53835380        0.01850835        0.50065822        0.01678064        0.00240659
       -4.52590216        0.60800789        0.02017052        0.56710446        0.01813693        0.00259598
       -4.51590216        3.83621729        0.24884897        3.43782309        0.13061986        0.01892537
       -4.50590216        1.11280783        0.03329571        1.05016903        0.02565454        0.00368855
       -4.49590216        0.74371205        0.01345437        0.71285130        0.01532229        0.00208408
       -4.48590216        0.57721766        0.01331361        0.55046938        0.01242283        0.00101184
       -4.47590216        1.24115900        0.02323540        1.18343664        0.03133761        0.00314935
       -4.46590216        0.20979684        0.00517767        0.19609904        0.00767369        0.00084644
       -4.45590216        1.69462183        0.02611560        1.61563518        0.04993182        0.00293923
       -4.44590216        1.51864498        0.02275210        1.44585791        0.04675396        0.00328102
       -4.43590216        0.85372146        0.01630841        0.79676223        0.03694374        0.00370708
       -4.42590216        1.32312036        0.02692561        1.24706784        0.04497217        0.00415473
       -4.41590216        1.00487678        0.02224830        0.94443699        0.03471514        0.00347635
       -4.40590216        0.68253645        0.01533128        0.63472123        0.02908450        0.00339944
       -4.39590216        0.77235889        0.02084454        0.71692235        0.03078600        0.00380601
       -4.38590216        1.66934686        0.04755714        1.57328551        0.04330305        0.00520116
       -4.37590216        1.23505649        0.03941002        1.15654234        0.03474816        0.00435597
       -4.36590216        0.83696812        0.02723886        0.78377459        0.02313996        0.00281472
       -4.35590216        1.22407131        0.05122456        1.14333898        0.02629995        0.00320782
       -4.34590216        1.28806073        0.04060330        1.18807464        0.05275308        0.00662971
       -4.33590216        0.88879220        0.01999414        0.81025684        0.05257527        0.00596595
       -4.32590216        1.02958267        0.03795159        0.95550330        0.03099068        0.00513711
       -4.31590216        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.30590216        0.78958100        0.02515283        0.73978124        0.02147567        0.00317126
       -4.29590216        0.47362605        0.01388316        0.43642311        0.01985719        0.00346260
       -4.28590216        1.24087962        0.01992702        1.16315499        0.04927600        0.00852161
       -4.27590216        1.17367575        0.02346883        1.10669339        0.03680076        0.00671278
       -4.26590216        0.31154426        0.00580616        0.29226996        0.01153328        0.00193485
       -4.25590216        0.31607338        0.00322358        0.30094585        0.01054518        0.00135877
       -4.24590216        0.63250751        0.00888982        0.59090363        0.02762908        0.00508498
       -4.23590216        0.81984237        0.02212600        0.73631514        0.05173217        0.00966906
       -4.22590216        3.07105531        0.06876486        2.77552432        0.18991680        0.03684934
       -4.21590216        0.82233350        0.01533567        0.76141917        0.03833822        0.00724043
       -4.20590216        1.07732103        0.02168011        0.99635053        0.05140819        0.00788220
       -4.19590216        0.62806968        0.01272072        0.58369360        0.02628528        0.00537007
       -4.18590216        0.53943886        0.01138397        0.50047950        0.02280887        0.00476652
       -4.17590216        0.45325171        0.00990791        0.42038171        0.01889880        0.00406329
       -4.16590216        0.38459462        0.00893824        0.35596801        0.01612711        0.00356126
       -4.15590216        0.32433797        0.00829722        0.29881535        0.01403753        0.00318786
       -4.14590216        0.26337453        0.00765365        0.24115453        0.01178259        0.00278375
       -4.13590216        0.25556623        0.00811845        0.23427086        0.01067300        0.00250391
       -4.12590216        0.57189929        0.01784277        0.53068916        0.01841589        0.00495147
       -4.11590216        0.55788504        0.01940363        0.51675405        0.01734721        0.00438015
       -4.10590216        0.52645510        0.01794283        0.48582529        0.01833998        0.00434700
       -4.09590216        0.47176555        0.01340818        0.43305446        0.02072162        0.00458129
       -4.08590216        0.35303319        0.00677805        0.32323614        0.01904555        0.00397343
       -4.07590216        0.33134203        0.00550140        0.30396822        0.01813722        0.00373520
       -4.06590216        0.33543368        0.00571736        0.30838477        0.01764754        0.00368401
       -4.05590216        0.42122674        0.00811787        0.38667947        0.02154409        0.00488531
       -4.04590216        0.95889089        0.03037337        0.87746394        0.04256558        0.00848800
       -4.03590216        0.44431895        0.00721498        0.40587969        0.02609639        0.00512789
       -4.02590216        0.41553928        0.00751967        0.37982770        0.02335529        0.00483662
       -4.01590216        0.47948666        0.00883143        0.43756416        0.02695763        0.00613345
       -4.00590216        0.43429604        0.00806011        0.40112129        0.01996334        0.00515130
       -3.99590216        1.70077446        0.03777117        1.61151007        0.03665028        0.01484294
       -3.98590216        1.50670073        0.03349404        1.38531522        0.07679012        0.01110135
       -3.97590216        0.86239442        0.01710658        0.78850436        0.04930190        0.00748157
       -3.96590216        0.59058199        0.01107321        0.53853873        0.03477933        0.00619071
       -3.95590216        0.32563944        0.00664738        0.29984292        0.01505132        0.00409781
       -3.94590216        0.57222339        0.01362576        0.53021168        0.02219358        0.00619238
       -3.93590216        0.75588154        0.01581349        0.69866416        0.03122844        0.01017546
       -3.92590216        0.41450761        0.00832982        0.38564725        0.01561241        0.00491813
       -3.91590216        0.28826119        0.00487185        0.26782409        0.01224125        0.00332400
       -3.90590216        0.70107742        0.01171696        0.65654656        0.02706029        0.00575360
       -3.89590216        0.60642875        0.00912030        0.56497942        0.02708402        0.00524501
       -3.88590216        0.52314901        0.00689367        0.48538266        0.02617878        0.00469390
       -3.87590216        0.45123820        0.00503708        0.41775627        0.02434458        0.00410026
       -3.86590216        0.42921078        0.00387499        0.39840521        0.02312530        0.00380528
       -3.85590216        2.01342794        0.01623656        1.86240392        0.10485689        0.02993057
       -3.84590216        0.24836238        0.00512551        0.22258688        0.01045242        0.01019757
       -3.83590216        7.49793092        0.16575036        6.90959158        0.26001717        0.16257181
       -3.82590216        0.49109665        0.01178848        0.45641863        0.01626926        0.00662026
       -3.81590216        0.47121233        0.00879238        0.44532450        0.01272397        0.00437149
       -3.80590216        0.36322668        0.00448600        0.34110067        0.01307160        0.00456841
       -3.79590216        0.37133836        0.00439848        0.34634966        0.01553710        0.00505311
       -3.78590216        0.37363207        0.00444850        0.34651835        0.01745021        0.00521501
       -3.77590216        0.43490679        0.00586255        0.39829011        0.02456744        0.00618668
       -3.76590216        0.52665381        0.00801602        0.48077673        0.03095222        0.00690885
       -3.75590216        0.62814377        0.01128646        0.57134220        0.03960279        0.00591232
       -3.74590216        0.58317960        0.00925386        0.53822932        0.02988385        0.00581256
       -3.73590216        0.55932557        0.00744944        0.52226800        0.02368994        0.00591819
       -3.72590216        0.54029236        0.00589337        0.50826875        0.02020070        0.00592953
       -3.71590216        0.36741622        0.00314622        0.34401249        0.01639478        0.00386273
       -3.70590216        0.41374013        0.00701325        0.38640646        0.01660702        0.00371341
       -3.69590216        0.56952174        0.01160486        0.53234828        0.02154110        0.00402750
       -3.68590216        0.78309314        0.00877857        0.73856434        0.03120755        0.00454267
       -3.67590216        0.50294281        0.00389761        0.47537433        0.02035402        0.00331684
       -3.66590216        0.42911493        0.00352894        0.40502081        0.01759579        0.00296939
       -3.65590216        0.35552228        0.00302614        0.33477468        0.01508715        0.00263430
       -3.64590216        0.21315759        0.00158890        0.19762967        0.01217860        0.00176042
       -3.63590216        0.17992371        0.00146660        0.16610977        0.01069126        0.00165608
       -3.62590216        0.14968260        0.00132175        0.13759215        0.00924716        0.00152155
       -3.61590216        0.12243428        0.00115432        0.11207681        0.00784631        0.00135683
       -3.60590216        0.09872602        0.00097911        0.09001558        0.00654734        0.00118400
       -3.59590216        0.11163588        0.00103868        0.10190350        0.00671923        0.00197447
       -3.58590216        0.09592056        0.00071419        0.08825320        0.00485996        0.00209321
       -3.57590216        0.14054746        0.00109153        0.12905215        0.00746202        0.00294175
       -3.56590216        0.18981882        0.00151731        0.17405779        0.01054507        0.00369865
       -3.55590216        0.10936840        0.00084190        0.09888757        0.00761785        0.00202109
       -3.54590216        0.24445401        0.00207846        0.20630501        0.03165149        0.00441906
       -3.53590216        0.34970643        0.00486698        0.31470731        0.02469059        0.00544155
       -3.52590216        0.45415503        0.01011899        0.40231184        0.03420369        0.00752051
       -3.51590216        0.28219727        0.00423694        0.24852670        0.02461483        0.00481880
       -3.50590216        0.29228637        0.00429158        0.25820447        0.02505749        0.00473283
       -3.49590216        0.36602326        0.00466675        0.32523862        0.03028287        0.00583502
       -3.48590216        0.44942680        0.00522293        0.40271244        0.03486480        0.00662664
       -3.47590216        0.54218691        0.00596056        0.49034658        0.03877862        0.00710115
       -3.46590216        0.55451049        0.00613907        0.51579215        0.02691505        0.00566422
       -3.45590216        0.31115193        0.00513922        0.28424451        0.01744543        0.00432277
       -3.44590216        0.31617891        0.00595200        0.28897340        0.01680428        0.00444922
