#  aims_uuid : 0205306D-2C6D-4364-A885-A570226C02A6                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        1.35916199        0.03482376        1.27902513        0.04193214        0.00338096
       -9.98998999        1.40749966        0.02202415        1.34953261        0.03207759        0.00386530
       -9.97997998        0.33393289        0.00620280        0.31183233        0.01489938        0.00099838
       -9.96996997        0.95585889        0.01752475        0.90400358        0.03067782        0.00365273
       -9.95995996        0.37842902        0.01027465        0.34999987        0.01698718        0.00116732
       -9.94994995        2.83872867        0.08934552        2.63548717        0.10607680        0.00781918
       -9.93993994        0.44765651        0.01422733        0.41761095        0.01473438        0.00108385
       -9.92992993        0.46101860        0.01177485        0.43520211        0.01270916        0.00133248
       -9.91991992        0.64394410        0.01533223        0.60797072        0.01876482        0.00187632
       -9.90990991        0.35907990        0.00779652        0.34062966        0.00961272        0.00104101
       -9.89989990        0.25197398        0.00643622        0.23720913        0.00756653        0.00076211
       -9.88988989        0.23684972        0.00589371        0.22360115        0.00664589        0.00070897
       -9.87987988        0.38201254        0.00969927        0.35973224        0.01149607        0.00108495
       -9.86986987        0.53007097        0.01406169        0.49807818        0.01642781        0.00150328
       -9.85985986        0.68102501        0.01898096        0.63863899        0.02144110        0.00196396
       -9.84984985        0.82176796        0.02420067        0.76813125        0.02703798        0.00239806
       -9.83983984        1.80804118        0.05768179        1.68992772        0.05425939        0.00617227
       -9.82982983        0.48276429        0.01403862        0.45141335        0.01580462        0.00150770
       -9.81981982        0.93795107        0.02797547        0.87292150        0.03429967        0.00275443
       -9.80980981        1.20889550        0.03325639        1.12848664        0.04361350        0.00353897
       -9.79979980        5.65267991        0.14039352        5.29137548        0.20518731        0.01572361
       -9.78978979        1.39507438        0.03076445        1.31622651        0.04394677        0.00413665
       -9.77977978        1.60511901        0.04062603        1.50833796        0.05150471        0.00465030
       -9.76976977        1.66597882        0.03997834        1.56261419        0.05856371        0.00482258
       -9.75975976        0.48296408        0.01374004        0.45244897        0.01548822        0.00128685
       -9.74974975        0.41653620        0.01107315        0.39162591        0.01269977        0.00113737
       -9.73973974        0.35976162        0.00859217        0.34021971        0.00992378        0.00102597
       -9.72972973        0.31458502        0.00641738        0.29962255        0.00761281        0.00093228
       -9.71971972        6.36311859        0.16511756        5.96387002        0.22120043        0.01293057
       -9.70970971        0.67505247        0.01106620        0.64586523        0.01664344        0.00147761
       -9.69969970        0.61794897        0.00897579        0.59322870        0.01432818        0.00141631
       -9.68968969        0.57489786        0.00719909        0.55380355        0.01252743        0.00136779
       -9.67967968        0.28322761        0.00559983        0.26881723        0.00820798        0.00060257
       -9.66966967        0.24387007        0.00478822        0.23155768        0.00695714        0.00056702
       -9.65965966        0.32985343        0.00499547        0.31642140        0.00768308        0.00075348
       -9.64964965        0.47485370        0.00571700        0.45994738        0.00796861        0.00122071
       -9.63963964        0.58423840        0.00703980        0.56644976        0.00912111        0.00162773
       -9.62962963        0.64135528        0.00886650        0.61947473        0.01108710        0.00192695
       -9.61961962        0.28606398        0.00498150        0.27586973        0.00448804        0.00072471
       -9.60960961        0.32646823        0.00549094        0.31491134        0.00521440        0.00085154
       -9.59959960        0.36664427        0.00579719        0.35389331        0.00597492        0.00097884
       -9.58958959        0.40659211        0.00590023        0.39281564        0.00676961        0.00110662
       -9.57957958        0.44631174        0.00580007        0.43167833        0.00759846        0.00123488
       -9.56956957        0.48580318        0.00549671        0.47048139        0.00846147        0.00136361
       -9.55955956        0.76372981        0.00973775        0.74267194        0.00969668        0.00162344
       -9.54954955        1.28551472        0.02569618        1.24061970        0.01578290        0.00341593
       -9.53953954        0.71968975        0.01146354        0.69795562        0.00837270        0.00189788
       -9.52952953        0.56602747        0.00793882        0.55041389        0.00614455        0.00153020
       -9.51951952        0.41305852        0.00502588        0.40276608        0.00412469        0.00114187
       -9.50950951        0.26078291        0.00272473        0.25501218        0.00231311        0.00073289
       -9.49949950        0.13489865        0.00152905        0.13175814        0.00120097        0.00041050
       -9.48948949        0.04534920        0.00110379        0.04351185        0.00055580        0.00017776
       -9.47947948        0.05480149        0.00156379        0.05212161        0.00088300        0.00023309
       -9.46946947        0.06819287        0.00203366        0.06462220        0.00124833        0.00028868
       -9.45945946        0.08552333        0.00251341        0.08101361        0.00165178        0.00034454
       -9.44944945        0.10679288        0.00300303        0.10129584        0.00209335        0.00040066
