#  aims_uuid : 2841C762-F556-4C42-A5FC-8DCA354B85C9                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.714534 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.28546570        1.04178525        0.02313641        0.97570228        0.03945580        0.00349076
       -5.27546570        1.62780609        0.03069992        1.51886495        0.07330411        0.00493711
       -5.26546570        0.37499300        0.01282151        0.34562671        0.01563477        0.00091001
       -5.25546570        0.92968784        0.02394864        0.87564931        0.02777470        0.00231518
       -5.24546570        4.97281965        0.16173087        4.60563677        0.19242401        0.01302799
       -5.23546570        0.21328211        0.00533858        0.20144798        0.00568178        0.00081377
       -5.22546570        0.44243275        0.01132513        0.41667827        0.01293415        0.00149520
       -5.21546570        0.72127622        0.01877438        0.67777000        0.02253777        0.00219407
       -5.20546570        0.67054979        0.01738399        0.63115257        0.02005339        0.00195985
       -5.19546570        0.07195639        0.00195522        0.06823313        0.00147790        0.00029014
       -5.18546570        0.94434482        0.02547812        0.89431475        0.02108810        0.00346384
       -5.17546570        0.91626503        0.02360044        0.86400313        0.02527235        0.00338911
       -5.16546570        0.33967188        0.00915697        0.32141259        0.00765910        0.00144322
       -5.15546570        0.07678930        0.00144952        0.07375992        0.00129284        0.00028702
       -5.14546570        0.04650836        0.00073166        0.04483870        0.00076922        0.00016877
       -5.13546570        0.83239194        0.02188136        0.77990537        0.02841174        0.00219347
       -5.12546570        2.57271917        0.07342126        2.39677755        0.09525152        0.00726884
       -5.11546570        1.87238274        0.04998872        1.74563675        0.07134920        0.00540807
       -5.10546570        2.54884961        0.06292883        2.38018495        0.09859939        0.00713645
       -5.09546570        0.73912796        0.01986454        0.69249145        0.02455480        0.00221717
       -5.08546570        1.01056678        0.02495644        0.94823102        0.03445282        0.00292651
       -5.07546570        1.45001742        0.03438907        1.36156977        0.04995205        0.00410653
       -5.06546570        0.52018564        0.01294435        0.48929624        0.01648024        0.00146481
       -5.05546570        0.62097693        0.01457273        0.58490135        0.01980518        0.00169768
       -5.04546570        0.83675146        0.01630179        0.79090196        0.02718704        0.00236067
       -5.03546570        1.43515319        0.02091463        1.37266183        0.03785152        0.00372521
       -5.02546570        0.46394360        0.00844747        0.44075859        0.01392606        0.00081149
       -5.01546570        0.58417084        0.01192871        0.55241345        0.01868825        0.00114042
       -5.00546570        0.41187064        0.00862874        0.38970203        0.01262973        0.00091014
       -4.99546570        0.53330625        0.01122335        0.50714005        0.01361967        0.00132318
       -4.98546570        0.57966898        0.01208212        0.55279927        0.01321560        0.00157199
       -4.97546570        0.61164139        0.01180176        0.58525825        0.01283322        0.00174816
       -4.96546570        0.62922348        0.01038228        0.60451697        0.01247252        0.00185170
       -4.95546570        0.28442317        0.00437573        0.27448105        0.00485163        0.00071476
       -4.94546570        0.34148976        0.00552378        0.32925475        0.00581141        0.00089982
       -4.93546570        0.39007551        0.00693183        0.37538550        0.00667269        0.00108548
       -4.92546570        0.43018041        0.00859991        0.41287330        0.00743546        0.00127174
       -4.91546570        0.60213751        0.01242037        0.57816192        0.00984291        0.00171232
       -4.90546570        0.67556777        0.01524845        0.64733394        0.01097251        0.00201287
       -4.89546570        0.41648448        0.00735742        0.40171250        0.00631349        0.00110107
       -4.88546570        0.39944833        0.00669967        0.38603915        0.00565121        0.00105829
       -4.87546570        0.38271537        0.00604610        0.37073004        0.00491765        0.00102157
       -4.86546570        1.11775379        0.01562468        1.08507051        0.01448298        0.00257561
       -4.85546570        0.72443755        0.00932438        0.70373818        0.00949710        0.00187788
       -4.84546570        0.46506606        0.00505082        0.45319303        0.00555767        0.00126454
       -4.83546570        0.19593142        0.00202586        0.19104007        0.00228933        0.00057616
       -4.82546570        0.05682273        0.00092287        0.05484260        0.00085945        0.00019781
       -4.81546570        0.05306943        0.00081035        0.05128253        0.00078969        0.00018685
       -4.80546570        0.05543379        0.00088909        0.05347273        0.00087017        0.00020180
       -4.79546570        0.07614155        0.00139005        0.07313200        0.00133609        0.00028340
       -4.78546570        0.10079307        0.00184960        0.09674869        0.00183144        0.00036333
       -4.77546570        0.12938834        0.00226773        0.12432280        0.00235623        0.00044158
