#  aims_uuid : 2841C762-F556-4C42-A5FC-8DCA354B85C9                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.90054995        0.01495433        0.83083313        0.05112923        0.00363325
       -9.99000000        1.51275808        0.02154202        1.38465258        0.10015307        0.00641041
       -9.98000000        0.26359210        0.00664706        0.24036016        0.01564646        0.00093842
       -9.97000000        0.42929036        0.01344372        0.39219036        0.02198113        0.00167515
       -9.96000000        1.23631195        0.02754986        1.11442293        0.08790005        0.00643912
       -9.95000000        0.18428523        0.00578744        0.17218218        0.00546417        0.00085143
       -9.94000000        0.36245365        0.00969057        0.34007127        0.01122577        0.00146604
       -9.93000000        0.56621067        0.01288004        0.53315181        0.01817094        0.00200788
       -9.92000000        0.55223298        0.01043266        0.52387129        0.01618851        0.00174051
       -9.91000000        0.11669105        0.00186529        0.11329309        0.00113848        0.00039419
       -9.90000000        1.15401915        0.02337962        1.11015231        0.01648108        0.00400615
       -9.89000000        1.19643824        0.02168158        1.14905593        0.02175744        0.00394329
       -9.88000000        0.59879993        0.00644993        0.58261193        0.00855851        0.00117955
       -9.87000000        0.14511618        0.00215507        0.14169750        0.00085199        0.00041161
       -9.86000000        0.09441632        0.00125574        0.09242116        0.00048775        0.00025167
       -9.85000000        0.57454967        0.00619060        0.55336562        0.01347824        0.00151522
       -9.84000000        1.26653619        0.01883467        1.20592659        0.03794248        0.00383244
       -9.83000000        0.85524601        0.01623243        0.81037838        0.02588961        0.00274559
       -9.82000000        0.97919517        0.01578101        0.92660960        0.03370241        0.00310216
       -9.81000000        0.48441739        0.00801968        0.46374939        0.01115514        0.00149318
       -9.80000000        0.57450930        0.00921559        0.54912939        0.01444000        0.00172431
       -9.79000000        0.73782976        0.01188226        0.70383548        0.01992820        0.00218382
       -9.78000000        0.36529448        0.00682267        0.34886447        0.00854196        0.00106537
       -9.77000000        0.40309023        0.00760934        0.38432208        0.00999177        0.00116704
       -9.76000000        0.46881937        0.00672849        0.44901452        0.01162663        0.00144973
