#  aims_uuid : 2209FF7D-1A79-407D-AE29-847614AC8520                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        1.78870810        0.06256230        1.65767555        0.06255621        0.00591403
       -9.98998999        1.42991301        0.03253357        1.33162379        0.06107103        0.00468461
       -9.97997998        1.29655701        0.02511874        1.21811869        0.04820743        0.00511215
       -9.96996997        0.61202373        0.01070573        0.57680313        0.02226873        0.00224615
       -9.95995996        1.09065729        0.02468541        1.01154214        0.05061374        0.00381601
       -9.94994995        0.55148960        0.00812457        0.52729961        0.01454596        0.00151946
       -9.93993994        0.59519308        0.01170577        0.54739053        0.03365337        0.00244341
       -9.92992993        0.54581085        0.00964979        0.51409986        0.02016266        0.00189854
       -9.91991992        0.38634799        0.00507401        0.36170252        0.01768396        0.00188750
       -9.90990991        0.53411992        0.01025273        0.49286493        0.02835387        0.00264839
       -9.89989990        0.47970031        0.00653067        0.44662866        0.02410639        0.00243458
       -9.88988989        0.54708556        0.00804548        0.50901172        0.02739520        0.00263317
       -9.87987988        0.54124871        0.00826493        0.50643705        0.02430993        0.00223681
       -9.86986987        0.51799168        0.01023702        0.48528077        0.02039074        0.00208314
       -9.85985986        0.84996999        0.01633315        0.80303671        0.02780861        0.00279152
       -9.84984985        0.77506091        0.01082637        0.74506596        0.01733695        0.00183162
       -9.83983984        0.17177822        0.00334343        0.16516043        0.00276021        0.00051415
       -9.82982983        0.40737939        0.00822937        0.39083835        0.00731387        0.00099780
       -9.81981982        1.51104661        0.03363770        1.43228116        0.04049378        0.00463397
       -9.80980981        0.71051924        0.01063942        0.68452485        0.01315743        0.00219754
       -9.79979980        0.29601482        0.00557459        0.28636853        0.00311990        0.00095179
       -9.78978979        0.73393296        0.00497193        0.71701812        0.01047144        0.00147148
       -9.77977978        1.13074934        0.00859191        1.09664398        0.02319470        0.00231874
       -9.76976977        0.70586446        0.00622357        0.67841066        0.01901512        0.00221511
       -9.75975976        0.47409832        0.00439464        0.45659364        0.01121835        0.00189169
       -9.74974975        0.08197227        0.00170345        0.07785853        0.00193715        0.00047314
       -9.73973974        0.44692529        0.00256853        0.43458661        0.00875704        0.00101311
       -9.72972973        0.41959128        0.00476826        0.40746994        0.00600296        0.00135012
       -9.71971972        0.23301560        0.00237191        0.22638022        0.00361479        0.00064868
       -9.70970971        0.25179647        0.00212938        0.24542059        0.00360801        0.00063850
       -9.69969970        0.29905655        0.00222004        0.29209839        0.00406714        0.00067098
       -9.68968969        0.37815028        0.00326059        0.36903831        0.00508424        0.00076714
       -9.67967968        0.45283512        0.00440835        0.44125728        0.00624608        0.00092340
       -9.66966967        0.73668025        0.00849231        0.71531197        0.01150448        0.00137148
       -9.65965966        0.33995198        0.00554378        0.32722308        0.00631734        0.00086777
       -9.64964965        0.27607400        0.00446041        0.26593814        0.00508484        0.00059060
       -9.63963964        0.35035714        0.00471550        0.33933387        0.00556351        0.00074426
       -9.62962963        0.50175943        0.00594166        0.48773515        0.00684046        0.00124215
       -9.61961962        0.74806210        0.00686808        0.73113608        0.00832270        0.00173524
       -9.60960961        1.05243407        0.00844526        1.03018015        0.01161615        0.00219252
       -9.59959960        0.08980101        0.00145968        0.08647821        0.00137397        0.00048916
       -9.58958959        0.09810197        0.00163481        0.09431467        0.00160955        0.00054295
       -9.57957958        0.25058632        0.00341956        0.24227542        0.00358187        0.00130946
       -9.56956957        0.34478705        0.00517119        0.33235248        0.00544432        0.00181906
       -9.55955956        0.91590907        0.01511088        0.87438516        0.02233104        0.00408199
       -9.54954955        0.54033398        0.01110063        0.51354535        0.01285046        0.00283755
       -9.53953954        0.38567519        0.00760391        0.36740638        0.00823966        0.00242524
       -9.52952953        0.03698775        0.00212056        0.03335157        0.00120000        0.00031562
       -9.51951952        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.50950951        0.12996970        0.00023281        0.12773455        0.00150711        0.00049523
       -9.49949950        0.35000793        0.00192844        0.34308409        0.00393943        0.00105596
       -9.48948949        1.16899298        0.00737740        1.14815624        0.01136380        0.00209554
       -9.47947948        0.59801210        0.00554735        0.58024258        0.01000298        0.00221920
       -9.46946947        0.48360601        0.00366968        0.47135783        0.00718556        0.00139293
       -9.45945946        0.04686505        0.00109676        0.04443513        0.00100345        0.00032970
       -9.44944945        0.04228492        0.00122983        0.03949625        0.00122578        0.00033307
       -9.43943944        0.03855427        0.00134244        0.03547278        0.00140671        0.00033234
       -9.42942943        0.03567310        0.00143460        0.03236474        0.00154625        0.00032752
       -9.41941942        0.03364140        0.00150630        0.03017212        0.00164439        0.00031860
       -9.40940941        0.03245918        0.00155755        0.02889492        0.00170113        0.00030558
       -9.39939940        0.05699670        0.00201307        0.05113333        0.00324130        0.00060900
       -9.38938939        0.16766108        0.00544589        0.15327759        0.00749310        0.00144450
       -9.37937938        0.17646382        0.00551826        0.16220217        0.00731593        0.00142746
       -9.36936937        0.18840893        0.00603770        0.17401493        0.00696545        0.00139086
       -9.35935936        0.21678422        0.00622401        0.20225184        0.00695337        0.00135500
       -9.34934935        0.23581885        0.00629533        0.22119113        0.00702047        0.00131193
       -9.33933934        0.24461840        0.00642805        0.22976840        0.00714734        0.00127460
       -9.32932933        0.25607101        0.00703560        0.24007230        0.00762891        0.00133421
       -9.31931932        0.21471893        0.00661927        0.19962794        0.00745497        0.00101676
       -9.30930931        0.43708588        0.02031697        0.39869912        0.01598688        0.00208291
       -9.29929930        0.50563560        0.01833201        0.46599278        0.01867984        0.00263097
       -9.28928929        0.16041750        0.00809422        0.14466973        0.00630754        0.00134601
       -9.27927928        0.07733476        0.00408487        0.06867331        0.00394387        0.00063271
       -9.26926927        0.12741202        0.00685955        0.11288405        0.00666990        0.00099851
       -9.25925926        0.19210761        0.01598627        0.17138331        0.00403139        0.00070664
       -9.24924925        0.86659191        0.06099218        0.76354685        0.03781450        0.00423838
       -9.23923924        1.13012935        0.09805779        0.99606567        0.02908937        0.00691652
       -9.22922923        0.32035157        0.02594380        0.27924414        0.01355729        0.00160634
       -9.21921922        1.84891177        0.14724490        1.62644191        0.06631193        0.00891303
       -9.20920921        0.61834957        0.05894556        0.53634305        0.01990422        0.00315674
       -9.19919920        1.78038146        0.11211253        1.57169841        0.08639230        0.01017823
       -9.18918919        2.33668586        0.14630901        2.07146004        0.10788499        0.01103182
       -9.17917918        2.10352399        0.14293459        1.87085281        0.08132121        0.00841538
       -9.16916917        1.34268319        0.08966407        1.19667952        0.05171609        0.00462350
       -9.15915916        3.70553412        0.31319244        3.26246506        0.11662603        0.01325060
       -9.14914915        1.25914119        0.09970372        1.09457429        0.05685623        0.00800695
       -9.13913914        2.19345047        0.19601240        1.90115099        0.08403303        0.01225404
       -9.12912913        4.98776926        0.35411486        4.40536264        0.20380157        0.02449019
       -9.11911912        0.59573982        0.03118656        0.52720312        0.03375447        0.00359567
       -9.10910911        0.58571181        0.04239855        0.51024006        0.02878372        0.00428948
       -9.09909910        1.64727674        0.11940403        1.46498298        0.05546166        0.00742808
       -9.08908909        1.42535337        0.10516654        1.26394265        0.04856342        0.00768075
       -9.07907908        3.12190126        0.19433507        2.75679552        0.15082381        0.01994686
       -9.06906907        2.23579918        0.15299902        1.98528665        0.08472262        0.01279089
       -9.05905906        1.45104686        0.10667438        1.28076670        0.05520582        0.00839996
       -9.04904905        1.54061236        0.10825797        1.34523113        0.07594693        0.01117634
       -9.03903904        1.62079159        0.12923595        1.41000945        0.07032851        0.01121769
       -9.02902903        0.79458819        0.06731126        0.67807662        0.04348500        0.00571532
       -9.01901902        1.64830022        0.14517891        1.41746512        0.07503181        0.01062438
       -9.00900901        0.64847447        0.06774625        0.55203636        0.02512086        0.00357100
       -8.99899900        0.50327510        0.02648973        0.44320364        0.02962184        0.00395988
       -8.98898899        2.27072166        0.12359868        2.00797220        0.12396464        0.01518614
       -8.97897898        0.56062214        0.03232483        0.51067480        0.01579397        0.00182855
       -8.96896897        1.21255514        0.07967709        1.08778348        0.04015611        0.00493847
       -8.95895896        1.09065763        0.07250417        0.97231435        0.04120095        0.00463815
       -8.94894895        0.69316437        0.04707148        0.61496464        0.02771221        0.00341604
       -8.93893894        0.38784578        0.02194780        0.34723555        0.01659704        0.00206540
       -8.92892893        0.29779108        0.01620770        0.25936961        0.01848171        0.00373205
       -8.91891892        0.34374007        0.01734926        0.30615050        0.01634925        0.00389106
       -8.90890891        0.96242466        0.02141647        0.89484193        0.03931609        0.00685017
       -8.89889890        0.70670336        0.02167516        0.65384222        0.02680975        0.00437623
       -8.88888889        0.76775364        0.04346281        0.69412799        0.02598672        0.00417612
       -8.87887888        0.64413514        0.06219993        0.55966179        0.01852173        0.00375169
       -8.86886887        0.64332361        0.06590057        0.54861908        0.02435887        0.00444508
       -8.85885886        0.50918199        0.04897409        0.43717623        0.01943103        0.00360064
       -8.84884885        0.31096327        0.02892651        0.26701737        0.01274377        0.00227563
       -8.83883884        0.24303589        0.02352513        0.20237593        0.01470409        0.00243073
       -8.82882883        0.19449229        0.01789693        0.15996358        0.01414387        0.00248791
       -8.81881882        0.18783623        0.01345426        0.15656592        0.01479321        0.00302284
       -8.80880881        0.24602573        0.01097794        0.21316144        0.01793755        0.00394880
       -8.79879880        0.26958590        0.00822453        0.24190532        0.01615496        0.00330109
       -8.78878879        0.29129104        0.00808083        0.26524642        0.01510049        0.00286330
       -8.77877878        0.29528677        0.00878467        0.27038876        0.01362481        0.00248853
       -8.76876877        0.42316629        0.01050088        0.38606459        0.02274457        0.00385625
       -8.75875876        0.40561353        0.00962610        0.36715805        0.02462516        0.00420422
       -8.74874875        0.37958829        0.00936057        0.34513319        0.02112812        0.00396641
       -8.73873874        0.35349714        0.00920589        0.32322329        0.01757164        0.00349631
       -8.72872873        0.38289089        0.00878376        0.35490137        0.01607027        0.00313549
       -8.71871872        0.48171119        0.00863418        0.45094456        0.01860722        0.00352521
       -8.70870871        0.66116943        0.01360397        0.61419789        0.02765632        0.00571125
       -8.69869870        0.54868761        0.01024234        0.51087473        0.02313569        0.00443486
       -8.68868869        0.53833648        0.00886875        0.50362968        0.02204929        0.00378875
       -8.67867868        0.45466801        0.00754540        0.42789661        0.01666202        0.00256398
       -8.66866867        0.32720720        0.00714366        0.30895374        0.00974542        0.00136438
       -8.65865866        0.27017238        0.00718728        0.25546955        0.00664396        0.00087159
       -8.64864865        0.24449002        0.00704645        0.23110479        0.00562415        0.00071463
       -8.63863864        0.37336142        0.00944910        0.35318658        0.00937958        0.00134616
       -8.62862863        1.02747063        0.02272485        0.97585964        0.02526167        0.00362446
       -8.61861862        0.46160308        0.00680856        0.43902574        0.01365916        0.00210962
       -8.60860861        0.61068264        0.00962848        0.57800079        0.02002583        0.00302754
       -8.59859860        0.59547132        0.01024138        0.55864786        0.02295040        0.00363168
       -8.58858859        0.60041698        0.00937972        0.56095014        0.02599791        0.00408921
       -8.57857858        0.59329523        0.00730522        0.55354422        0.02811661        0.00432919
       -8.56856857        0.44647936        0.00473521        0.42031309        0.01877372        0.00265734
       -8.55855856        0.32676495        0.00306961        0.30906796        0.01283188        0.00179550
       -8.54854855        0.19294363        0.00169229        0.18187910        0.00812365        0.00124859
       -8.53853854        0.34923274        0.00476472        0.32847073        0.01381906        0.00217822
       -8.52852853        0.39647361        0.00598708        0.37169077        0.01629978        0.00249598
       -8.51851852        0.63667766        0.01091852        0.59776619        0.02400090        0.00399206
       -8.50850851        0.72331415        0.01260018        0.67870169        0.02813815        0.00387413
       -8.49849850        0.84999661        0.01290087        0.79757252        0.03476978        0.00475344
       -8.48848849        0.59471742        0.00913899        0.55076438        0.03057441        0.00423964
       -8.47847848        1.10671160        0.01143821        1.04085131        0.04717920        0.00724288
       -8.46846847        1.09085542        0.01186649        1.03549470        0.03792312        0.00557111
       -8.45845846        1.46428035        0.02292188        1.37976532        0.05239667        0.00919647
       -8.44844845        1.49525286        0.04955554        1.38853698        0.04842732        0.00873302
       -8.43843844        1.51259892        0.03471001        1.43808779        0.03388019        0.00592093
       -8.42842843        0.93362876        0.00928741        0.90020379        0.02186389        0.00227367
       -8.41841842        2.92403522        0.04536612        2.79546074        0.07474884        0.00845953
       -8.40840841        1.67232453        0.02002896        1.60093725        0.04528446        0.00607386
       -8.39839840        1.72397124        0.02884394        1.63750303        0.04976652        0.00785775
       -8.38838839        1.24282996        0.02089454        1.17451485        0.04063436        0.00678622
       -8.37837838        1.08392247        0.01544960        1.02551359        0.03891410        0.00404518
       -8.36836837        1.13599073        0.01566954        1.08053864        0.03533834        0.00444421
       -8.35835836        2.12893014        0.02955403        2.02059331        0.06856373        0.01021907
       -8.34834835        0.75891474        0.01261689        0.71527833        0.02499871        0.00602082
       -8.33833834        1.20622854        0.01423262        1.12435456        0.05759330        0.01004806
       -8.32832833        1.12146448        0.01017917        1.06051485        0.04388599        0.00688447
       -8.31831832        1.96521033        0.01946766        1.87055558        0.06432817        0.01085892
       -8.30830831        1.38660338        0.01956723        1.30702157        0.04686001        0.01315457
       -8.29829830        1.61597825        0.01907353        1.53901315        0.04881257        0.00907899
       -8.28828829        1.75241269        0.02922115        1.66059425        0.05199792        0.01059937
       -8.27827828        1.09031954        0.01580666        1.03608487        0.03071873        0.00770928
       -8.26826827        1.10483671        0.01753010        1.04821786        0.03079440        0.00829435
       -8.25825826        1.61204807        0.01579481        1.53706817        0.04920248        0.00998261
       -8.24824825        0.98739838        0.01002026        0.94159608        0.02954044        0.00624161
       -8.23823824        1.84803840        0.03127727        1.75681398        0.04908815        0.01085901
       -8.22822823        1.15005787        0.01376768        1.09178919        0.03669445        0.00780655
       -8.21821822        0.79495812        0.00965097        0.75443289        0.02529910        0.00557517
       -8.20820821        0.98992953        0.01325606        0.93924844        0.03109089        0.00633415
       -8.19819820        2.21553348        0.01613064        2.13289914        0.05685906        0.00964464
       -8.18818819        1.06088117        0.01260243        1.00217005        0.03711372        0.00899497
       -8.17817818        0.61390393        0.00494778        0.58089708        0.02202924        0.00602982
       -8.16816817        0.71924857        0.00998989        0.67433243        0.02700298        0.00792328
       -8.15815816        0.59331950        0.01108222        0.55038080        0.02644831        0.00540817
