#  aims_uuid : CE905A5A-FFE0-48B0-A4DD-10D8E49B15C1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.34135838        0.05639395        0.05723901        0.22243849        0.00528694
       -9.99000000        0.52292719        0.06766553        0.05518088        0.39274300        0.00733779
       -9.98000000        0.49555521        0.07643040        0.05349548        0.35928119        0.00634814
       -9.97000000        0.48641682        0.06887753        0.07739384        0.33438876        0.00575669
       -9.96000000        0.53051611        0.07384061        0.09184982        0.35901369        0.00581200
       -9.95000000        0.43410833        0.06217442        0.07072075        0.29659462        0.00461854
       -9.94000000        0.41274041        0.05580707        0.06200760        0.29070377        0.00422196
       -9.93000000        0.30604543        0.03496634        0.04283418        0.22504753        0.00319739
       -9.92000000        0.29559467        0.01982525        0.04249493        0.22961977        0.00365473
       -9.91000000        0.37291348        0.01681495        0.05296808        0.29820320        0.00492724
       -9.90000000        0.44973969        0.01806328        0.05576899        0.37072843        0.00517899
       -9.89000000        0.73467419        0.03210763        0.05773673        0.63675195        0.00807788
       -9.88000000        0.48745568        0.02080877        0.04543027        0.41557119        0.00564546
       -9.87000000        0.49541011        0.03168447        0.05759922        0.39879619        0.00733022
       -9.86000000        0.57955652        0.04160310        0.07296943        0.45550746        0.00947653
       -9.85000000        0.50769111        0.03202216        0.07424362        0.39213349        0.00929184
       -9.84000000        0.43777752        0.03015542        0.07746778        0.32057065        0.00958368
       -9.83000000        0.40431843        0.02488228        0.08259491        0.28709019        0.00975105
       -9.82000000        0.38004573        0.01931771        0.07296694        0.27961130        0.00814979
       -9.81000000        0.39013773        0.03004953        0.05984978        0.29251582        0.00772259
       -9.80000000        0.40922659        0.04123909        0.04890523        0.31167084        0.00741143
       -9.79000000        0.38179659        0.03533695        0.04351491        0.29643983        0.00650490
       -9.78000000        0.49131978        0.05253185        0.04864299        0.38270316        0.00744177
       -9.77000000        0.32407040        0.03061463        0.02704170        0.26035979        0.00605428
       -9.76000000        0.29954161        0.02842817        0.02084510        0.24425497        0.00601337
       -9.75000000        0.27244054        0.02513684        0.01590629        0.22546212        0.00593529
       -9.74000000        0.44942168        0.02458050        0.02759266        0.38770197        0.00954654
       -9.73000000        0.47630923        0.02533867        0.03128779        0.40950419        0.01017858
       -9.72000000        0.58529949        0.02599698        0.03779480        0.51002741        0.01148030
       -9.71000000        0.60062492        0.02378726        0.04679786        0.51901811        0.01102169
       -9.70000000        0.51125890        0.02556946        0.05293530        0.42369344        0.00906070
       -9.69000000        0.45398181        0.02849795        0.06144285        0.35618700        0.00785401
       -9.68000000        0.40130506        0.03105990        0.07145280        0.29163476        0.00715760
       -9.67000000        0.38951633        0.03213850        0.08185334        0.26848137        0.00704313
       -9.66000000        0.38504355        0.03324980        0.07080891        0.27461351        0.00637134
       -9.65000000        0.42310536        0.03968349        0.06812521        0.30894168        0.00635498
       -9.64000000        0.45008601        0.04639209        0.06790911        0.32919792        0.00658689
       -9.63000000        0.49391169        0.05358868        0.07255391        0.36029642        0.00747268
       -9.62000000        0.56205342        0.03630809        0.10048430        0.41571820        0.00954283
       -9.61000000        0.40555914        0.01001327        0.09177010        0.29648866        0.00728712
       -9.60000000        0.83265126        0.02012952        0.17146376        0.62784266        0.01321532
       -9.59000000        1.08233613        0.02357508        0.25042618        0.78925641        0.01907845
       -9.58000000        1.01035363        0.02431332        0.23512390        0.73308082        0.01783560
       -9.57000000        0.96051857        0.02416486        0.17742225        0.74064749        0.01828396
       -9.56000000        0.59695589        0.01164501        0.09843376        0.47825857        0.00861855
       -9.55000000        1.04725983        0.01435948        0.14750209        0.87175171        0.01364655
       -9.54000000        1.90092755        0.01666894        0.17059894        1.69509757        0.01856209
       -9.53000000        1.33251136        0.02883425        0.16306114        1.12588404        0.01473193
       -9.52000000        1.81379142        0.08433166        0.37174447        1.32930892        0.02840636
       -9.51000000        3.89787685        0.02578201        0.53488638        3.29428030        0.04292817
       -9.50000000        0.99017017        0.02209211        0.15030821        0.80732694        0.01044290
       -9.49000000        1.18392061        0.01572657        0.15971566        0.99611011        0.01236828
       -9.48000000        1.31399042        0.02516995        0.19701283        1.07614818        0.01565945
       -9.47000000        2.15875619        0.02397373        0.16630617        1.94735998        0.02111631
       -9.46000000        1.72118974        0.01407418        0.14657649        1.54319709        0.01734199
       -9.45000000        2.66232001        0.01113529        0.13634042        2.48882746        0.02601684
       -9.44000000        1.04420446        0.01033370        0.06986366        0.95481675        0.00919035
       -9.43000000        0.56943581        0.00945508        0.05133116        0.50330640        0.00534317
       -9.42000000        0.91071461        0.01121464        0.06498952        0.82608460        0.00842585
       -9.41000000        1.35866849        0.01524875        0.12665116        1.20316672        0.01360185
       -9.40000000        0.91904661        0.00886844        0.06610207        0.83214377        0.01193233
       -9.39000000        1.24702706        0.01111210        0.14167087        1.07748283        0.01676126
       -9.38000000        1.63394785        0.01047817        0.15456233        1.44895881        0.01994855
       -9.37000000        0.71545602        0.00471008        0.07399001        0.62912805        0.00762788
       -9.36000000        1.52252763        0.01981855        0.13924272        1.34347172        0.01999464
       -9.35000000        0.81625159        0.00860146        0.08578955        0.71028865        0.01157193
       -9.34000000        1.56333470        0.01465550        0.09713984        1.43307002        0.01846934
       -9.33000000        1.76271896        0.01272313        0.10339566        1.62331267        0.02328750
       -9.32000000        1.41555749        0.00967351        0.08589532        1.30236303        0.01762564
       -9.31000000        1.35116411        0.01223705        0.08226865        1.24040505        0.01625337
       -9.30000000        1.08743658        0.01124001        0.06234214        1.00229266        0.01156178
       -9.29000000        1.10140471        0.01365065        0.06391174        1.01258961        0.01125271
       -9.28000000        0.87863979        0.01104363        0.04509047        0.81377018        0.00873550
       -9.27000000        0.72173718        0.00926748        0.03818204        0.66665031        0.00763735
       -9.26000000        0.95366195        0.01193353        0.05710325        0.87535611        0.00926906
       -9.25000000        0.81562446        0.00997575        0.04057554        0.75763387        0.00743930
       -9.24000000        0.76193489        0.00809065        0.03599921        0.71117858        0.00666644
       -9.23000000        0.94357650        0.00808275        0.03178589        0.89474596        0.00896189
       -9.22000000        1.23999460        0.01018149        0.04802538        1.16854292        0.01324480
       -9.21000000        0.98443774        0.00887057        0.02592153        0.94031408        0.00933156
       -9.20000000        1.18622383        0.01126390        0.02489762        1.13925252        0.01080979
       -9.19000000        1.36226226        0.00910811        0.03009372        1.31115102        0.01190941
       -9.18000000        1.02488879        0.01024471        0.07535577        0.92617439        0.01311392
       -9.17000000        1.04125410        0.01102434        0.05651897        0.96198956        0.01172123
       -9.16000000        0.99376524        0.01069705        0.03883254        0.93214835        0.01208729
       -9.15000000        1.26918441        0.01191839        0.04558253        1.19895898        0.01272451
       -9.14000000        0.84039237        0.01190520        0.04499887        0.77344007        0.01004823
