#  aims_uuid : CE905A5A-FFE0-48B0-A4DD-10D8E49B15C1                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.40061703        0.03107754        0.34882092        0.01741876        0.00329981
       -9.99000000        0.53379904        0.05780972        0.45441879        0.01786312        0.00370740
       -9.98000000        0.41245334        0.04681803        0.34769637        0.01482184        0.00311710
       -9.97000000        0.32073041        0.03462145        0.26751757        0.01555006        0.00304132
       -9.96000000        0.27421891        0.02564690        0.22927211        0.01616781        0.00313208
       -9.95000000        0.21071808        0.01743839        0.17719196        0.01363903        0.00244869
       -9.94000000        0.18058272        0.01222235        0.15361701        0.01251226        0.00223109
       -9.93000000        0.13899387        0.00822623        0.11867449        0.01047082        0.00162233
       -9.92000000        0.14580719        0.00627201        0.12504196        0.01253674        0.00195648
       -9.91000000        0.19541878        0.00827563        0.16825832        0.01608745        0.00279737
       -9.90000000        0.26143790        0.01064331        0.23047493        0.01732011        0.00299955
       -9.89000000        0.63991997        0.03798052        0.57311150        0.02488617        0.00394179
       -9.88000000        0.35092410        0.02087524        0.31412580        0.01355923        0.00236383
       -9.87000000        0.37107926        0.01379011        0.33749823        0.01683426        0.00295667
       -9.86000000        0.44598213        0.01595858        0.40322350        0.02305332        0.00374673
       -9.85000000        0.39939639        0.01402088        0.36339917        0.01863722        0.00333912
       -9.84000000        0.45351816        0.01039307        0.42097566        0.01895854        0.00319090
       -9.83000000        0.47915353        0.00791384        0.45035682        0.01781110        0.00307176
       -9.82000000        0.37200350        0.00739894        0.34779988        0.01375920        0.00304548
       -9.81000000        0.32401332        0.00811295        0.29658066        0.01549071        0.00382901
       -9.80000000        0.37917256        0.00918995        0.34722965        0.01869523        0.00405773
       -9.79000000        0.42377758        0.00960033        0.39270877        0.01815009        0.00331840
       -9.78000000        0.64602687        0.01484071        0.60084567        0.02638974        0.00395073
       -9.77000000        0.37421117        0.00994497        0.34700232        0.01494728        0.00231660
       -9.76000000        0.34785571        0.01019335        0.32215426        0.01352499        0.00198312
       -9.75000000        0.31814423        0.01031131        0.29446512        0.01175561        0.00161219
       -9.74000000        0.47849521        0.01404298        0.44616561        0.01643975        0.00184687
       -9.73000000        0.56588078        0.01570565        0.53228044        0.01615357        0.00174112
       -9.72000000        0.60850068        0.01806886        0.57211379        0.01631578        0.00200225
       -9.71000000        0.53785430        0.01521803        0.50504819        0.01530115        0.00228694
       -9.70000000        0.43219156        0.01219265        0.40391795        0.01393255        0.00214842
       -9.69000000        0.38701813        0.00938390        0.36131897        0.01423800        0.00207726
       -9.68000000        0.37428227        0.00700679        0.34995287        0.01534007        0.00198254
       -9.67000000        0.37446411        0.00599958        0.35034920        0.01616196        0.00195337
       -9.66000000        0.34048646        0.00660078        0.31632941        0.01540643        0.00214984
       -9.65000000        0.34098757        0.00763687        0.31439078        0.01638199        0.00257794
       -9.64000000        0.34705657        0.00754867        0.31909045        0.01753490        0.00288254
       -9.63000000        0.40342038        0.00662750        0.37328933        0.02023527        0.00326828
       -9.62000000        0.49216615        0.00599802        0.46224441        0.02078521        0.00313851
       -9.61000000        0.37282012        0.00520878        0.35129114        0.01430621        0.00201400
       -9.60000000        0.62402088        0.00863491        0.58917494        0.02281893        0.00339210
       -9.59000000        0.78510151        0.01452900        0.72326001        0.04238603        0.00492647
       -9.58000000        0.68586421        0.01328258        0.63967057        0.02953931        0.00337174
       -9.57000000        0.61049234        0.01259337        0.56662481        0.02789832        0.00337584
       -9.56000000        0.33069861        0.00399891        0.31005254        0.01467251        0.00197464
       -9.55000000        0.59021029        0.00526324        0.55601682        0.02584603        0.00308420
       -9.54000000        1.07865638        0.01475958        1.00925402        0.05002888        0.00461390
       -9.53000000        1.21531500        0.02642935        1.13827677        0.04405157        0.00655731
       -9.52000000        1.85311067        0.02573081        1.73778559        0.07753628        0.01205799
