#  aims_uuid : CE905A5A-FFE0-48B0-A4DD-10D8E49B15C1                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.588719 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.41128073        0.39957193        0.02408967        0.35906729        0.01406435        0.00235063
       -5.40128073        0.50515261        0.03337272        0.45073901        0.01777122        0.00326967
       -5.39128073        0.42581166        0.02858367        0.37824001        0.01584451        0.00314346
       -5.38128073        0.37580212        0.02404034        0.33371311        0.01498914        0.00305952
       -5.37128073        0.36523123        0.02104958        0.32505715        0.01576151        0.00336298
       -5.36128073        0.31297747        0.01685148        0.28008170        0.01328026        0.00276404
       -5.35128073        0.29870262        0.01405341        0.26922258        0.01276717        0.00265947
       -5.34128073        0.26689424        0.01053310        0.24397691        0.01050799        0.00187624
       -5.33128073        0.31396776        0.01153943        0.28908224        0.01154600        0.00180009
       -5.32128073        0.43257859        0.01932314        0.39560338        0.01541956        0.00223251
       -5.31128073        0.53453638        0.02772799        0.48508969        0.01904403        0.00267466
       -5.30128073        0.84672548        0.04191074        0.77086848        0.02919233        0.00475393
       -5.29128073        0.49878453        0.02442845        0.45186584        0.01938123        0.00310901
       -5.28128073        0.53725393        0.02348106        0.49055625        0.02011120        0.00310541
       -5.27128073        0.62117300        0.02283574        0.57385890        0.02131387        0.00316448
       -5.26128073        0.59120371        0.01985332        0.55081378        0.01796207        0.00257454
       -5.25128073        0.53952231        0.01887227        0.50310810        0.01524823        0.00229372
       -5.24128073        0.51789545        0.01940342        0.48218033        0.01415531        0.00215639
       -5.23128073        0.49639630        0.01877056        0.46148516        0.01430936        0.00183122
       -5.22128073        0.50785679        0.01646711        0.47283572        0.01667810        0.00187586
       -5.21128073        0.53534173        0.01584805        0.49936338        0.01806366        0.00206665
       -5.20128073        0.47536498        0.01514588        0.44265718        0.01562529        0.00193663
       -5.19128073        0.64552113        0.01925399        0.60216288        0.02130832        0.00279594
       -5.18128073        0.35696016        0.01082290        0.33242239        0.01210841        0.00160645
       -5.17128073        0.30896682        0.00866273        0.28794568        0.01089854        0.00145987
       -5.16128073        0.26433026        0.00659768        0.24681099        0.00962804        0.00129355
       -5.15128073        0.34670548        0.00593965        0.32479213        0.01405076        0.00192294
       -5.14128073        0.40605413        0.00672299        0.38256040        0.01454371        0.00222703
       -5.13128073        0.50850187        0.00874409        0.48076686        0.01633848        0.00265245
       -5.12128073        0.56332393        0.00991257        0.53387501        0.01678586        0.00275050
       -5.11128073        0.53698066        0.01148055        0.50728006        0.01561889        0.00260116
       -5.10128073        0.50787948        0.01293025        0.47805311        0.01443359        0.00246253
       -5.09128073        0.46971754        0.01359802        0.44082944        0.01304223        0.00224785
       -5.08128073        0.44328451        0.01356693        0.41469153        0.01279066        0.00223539
       -5.07128073        0.41739379        0.01164148        0.39026972        0.01332906        0.00215354
       -5.06128073        0.44331967        0.01172360        0.41396569        0.01530020        0.00233018
       -5.05128073        0.46189524        0.01253329        0.43058300        0.01635438        0.00242457
       -5.04128073        0.52130186        0.01429285        0.48693760        0.01755293        0.00251849
       -5.03128073        0.64897673        0.01137205        0.61485873        0.02033450        0.00241145
       -5.02128073        0.44683215        0.00477920        0.42623675        0.01425968        0.00155652
       -5.01128073        0.70726700        0.01715739        0.66293041        0.02372932        0.00344988
       -5.00128073        1.05574025        0.03918257        0.97838564        0.03267988        0.00549216
       -4.99128073        0.71017026        0.01949696        0.65870672        0.02757112        0.00439546
       -4.98128073        0.78648076        0.01963964        0.73612990        0.02669476        0.00401647
       -4.97128073        0.46413655        0.00869729        0.43640006        0.01663537        0.00240382
       -4.96128073        0.76134945        0.01562266        0.71503534        0.02698600        0.00370545
       -4.95128073        1.03736493        0.02792942        0.96890039        0.03668328        0.00385184
       -4.94128073        1.01778738        0.02467369        0.95656194        0.03245232        0.00409943
       -4.93128073        1.61759892        0.03721473        1.51283045        0.05919779        0.00835595
       -4.92128073        1.70983622        0.04630791        1.58989914        0.06232052        0.01130865
       -4.91128073        0.68356222        0.01843896        0.63660203        0.02425349        0.00426775
       -4.90128073        0.81963346        0.02347617        0.76625341        0.02594649        0.00395739
       -4.89128073        1.34952569        0.03624508        1.27015328        0.03815639        0.00497094
       -4.88128073        1.62037559        0.04191210        1.52238513        0.04981890        0.00625946
       -4.87128073        1.20219291        0.03600325        1.11821134        0.04229970        0.00567861
       -4.86128073        1.47542211        0.03579911        1.38335980        0.04895003        0.00731318
       -4.85128073        0.71099103        0.02172649        0.65930483        0.02626029        0.00369942
       -4.84128073        0.58618822        0.01756288        0.54940212        0.01675449        0.00246873
       -4.83128073        0.79133790        0.02066005        0.74277271        0.02424026        0.00366489
       -4.82128073        1.33644194        0.03280815        1.25711845        0.03979236        0.00672298
       -4.81128073        0.92038384        0.02619211        0.85411049        0.03483307        0.00524816
       -4.80128073        1.30819200        0.03856554        1.21469781        0.04741954        0.00750910
       -4.79128073        1.28878864        0.03458870        1.19776011        0.04905482        0.00738501
       -4.78128073        0.60913974        0.02220299        0.56393524        0.01985737        0.00314414
       -4.77128073        1.20068025        0.04132110        1.11038261        0.04257460        0.00640195
       -4.76128073        0.88485706        0.02411436        0.82347289        0.03228599        0.00498382
       -4.75128073        1.19767975        0.03386652        1.12539494        0.03220161        0.00621668
       -4.74128073        1.09982725        0.03571047        1.01997785        0.03630494        0.00783399
       -4.73128073        0.84431448        0.02770652        0.77950441        0.03088307        0.00622049
       -4.72128073        0.82926506        0.02431546        0.76375857        0.03516254        0.00602849
       -4.71128073        0.81749440        0.01742981        0.75661583        0.03739107        0.00605769
       -4.70128073        0.73443371        0.01514292        0.68216056        0.03163412        0.00549611
       -4.69128073        0.53514624        0.01150985        0.49618821        0.02322988        0.00421830
       -4.68128073        0.51532400        0.01169777        0.47905182        0.02056737        0.00400703
       -4.67128073        0.81296957        0.01770836        0.75833024        0.03115753        0.00577344
       -4.66128073        0.58473824        0.01135650        0.54687762        0.02227189        0.00423223
       -4.65128073        0.53375109        0.00931906        0.50304225        0.01790744        0.00348234
       -4.64128073        0.57620172        0.01002382        0.54070226        0.02137311        0.00410253
       -4.63128073        0.79824209        0.01500790        0.74783774        0.02957302        0.00582342
       -4.62128073        0.53800985        0.01016320        0.50273783        0.02100111        0.00410771
       -4.61128073        0.59943819        0.01133227        0.55994337        0.02345403        0.00470852
       -4.60128073        0.67515704        0.01353466        0.63000317        0.02643358        0.00518564
       -4.59128073        0.79613438        0.01367976        0.73619202        0.03995634        0.00630626
       -4.58128073        0.70343355        0.01217131        0.65271602        0.03265401        0.00589220
       -4.57128073        0.63702507        0.01053879        0.59358368        0.02766629        0.00523631
       -4.56128073        0.65328793        0.01163317        0.60634908        0.02975665        0.00554903
       -4.55128073        0.50739019        0.00828080        0.47047178        0.02400016        0.00463745
       -4.54128073        0.96646217        0.01435238        0.89751922        0.04474390        0.00984666
       -4.53128073        0.36818119        0.00723083        0.34086752        0.01637559        0.00370725
       -4.52128073        0.37898262        0.00932993        0.35081985        0.01543981        0.00339303
       -4.51128073        0.54904197        0.01645012        0.50461622        0.02321921        0.00475642
       -4.50128073        0.63436843        0.01853277        0.58196266        0.02861646        0.00525653
       -4.49128073        0.65862674        0.01718481        0.60213852        0.03392691        0.00537650
       -4.48128073        0.37770736        0.01141300        0.34277167        0.01967197        0.00385072
       -4.47128073        0.58122322        0.01712006        0.52809016        0.03006206        0.00595095
       -4.46128073        0.92888601        0.02673106        0.84478758        0.04685553        0.01051184
       -4.45128073        0.66797117        0.01348381        0.61332071        0.03407606        0.00709059
       -4.44128073        1.08399681        0.02120099        0.99216247        0.05847248        0.01216087
       -4.43128073        0.53532544        0.00929097        0.49597498        0.02520228        0.00485721
       -4.42128073        0.64535370        0.01220774        0.59007201        0.03573946        0.00733450
       -4.41128073        0.95765209        0.01329973        0.90287498        0.03478492        0.00669246
       -4.40128073        0.72451809        0.00811039        0.68267855        0.02862209        0.00510707
       -4.39128073        0.50020239        0.00598654        0.46965645        0.02104024        0.00351917
       -4.38128073        0.84815407        0.01186884        0.80303292        0.02823107        0.00502124
       -4.37128073        0.87686236        0.01271602        0.82973555        0.02929196        0.00511883
       -4.36128073        0.56894970        0.01610104        0.52871809        0.01973337        0.00439719
       -4.35128073        0.62805823        0.01888443        0.58065344        0.02275634        0.00576402
       -4.34128073        0.68850638        0.01760760        0.63748251        0.02707210        0.00634417
       -4.33128073        0.38799600        0.00752340        0.35762566        0.01850017        0.00434677
       -4.32128073        0.23102386        0.00208565        0.21371723        0.01206286        0.00315811
       -4.31128073        1.48940300        0.01318360        1.40533555        0.05784408        0.01303977
       -4.30128073        0.79313904        0.01056644        0.73783046        0.03657658        0.00816557
       -4.29128073        0.29749309        0.00531637        0.27230146        0.01649367        0.00338159
       -4.28128073        0.61712538        0.01301886        0.57233389        0.02623330        0.00553933
       -4.27128073        0.31808443        0.00656700        0.29113243        0.01706398        0.00332101
       -4.26128073        0.38222463        0.00800850        0.35131361        0.01910059        0.00380193
       -4.25128073        0.42019358        0.00903607        0.38776935        0.01943645        0.00395171
       -4.24128073        0.47765216        0.01058461        0.44162369        0.02111710        0.00432676
       -4.23128073        0.51128287        0.01151076        0.47404418        0.02130040        0.00442752
       -4.22128073        0.56810954        0.01288518        0.52836314        0.02216131        0.00469991
       -4.21128073        0.62044486        0.01422216        0.57874115        0.02256844        0.00491311
       -4.20128073        0.61619078        0.01439198        0.57578904        0.02123944        0.00477032
       -4.19128073        0.59695240        0.01388376        0.55824133        0.02016198        0.00466532
       -4.18128073        0.58138918        0.01282916        0.54400894        0.01989248        0.00465860
       -4.17128073        0.68017493        0.01441472        0.63747688        0.02274660        0.00553672
       -4.16128073        0.54215111        0.01083076        0.50771759        0.01932535        0.00427741
       -4.15128073        0.70034727        0.01361804        0.65589866        0.02516138        0.00566918
       -4.14128073        0.54713140        0.01030924        0.51126936        0.02140781        0.00414500
       -4.13128073        0.63590903        0.01323966        0.59328388        0.02454686        0.00483863
       -4.12128073        0.41138379        0.00747836        0.38042654        0.01998485        0.00349404
       -4.11128073        0.61866302        0.00980022        0.57066369        0.03334321        0.00485590
       -4.10128073        0.54964701        0.01141965        0.50424984        0.02907471        0.00490280
       -4.09128073        0.46304323        0.01061108        0.42401261        0.02414106        0.00427847
       -4.08128073        0.39593587        0.01012178        0.36042617        0.02148379        0.00390413
       -4.07128073        0.63988514        0.01616133        0.58377308        0.03355428        0.00639644
       -4.06128073        0.71702797        0.01112482        0.65644208        0.04221512        0.00724596
       -4.05128073        0.65268373        0.01228636        0.59969388        0.03450230        0.00620119
       -4.04128073        0.20459093        0.00330010        0.19041097        0.00900473        0.00187513
       -4.03128073        0.29086937        0.00658034        0.27195451        0.00978829        0.00254623
       -4.02128073        0.52497336        0.01382479        0.48968209        0.01717771        0.00428878
       -4.01128073        0.49905712        0.01446430        0.46011487        0.02004291        0.00443505
       -4.00128073        0.55122524        0.01720757        0.50369661        0.02510157        0.00521949
       -3.99128073        0.53225150        0.01777490        0.48411929        0.02542198        0.00493532
       -3.98128073        0.50582292        0.01739762        0.46134678        0.02278656        0.00429196
       -3.97128073        0.40906706        0.01365880        0.37516982        0.01700131        0.00323712
       -3.96128073        0.44851829        0.01658459        0.41431457        0.01442445        0.00319468
       -3.95128073        0.43056827        0.01756024        0.39711835        0.01266113        0.00322855
       -3.94128073        0.38109330        0.01476667        0.35162052        0.01150380        0.00320230
       -3.93128073        0.40914541        0.01470773        0.37705867        0.01368212        0.00369690
       -3.92128073        0.72940539        0.02053606        0.67692268        0.02471932        0.00722733
       -3.91128073        0.86880020        0.02251921        0.80660397        0.03072946        0.00894756
       -3.90128073        0.53237821        0.01319046        0.49260261        0.02059683        0.00598833
       -3.89128073        0.77892330        0.02071046        0.72149482        0.02868208        0.00803595
       -3.88128073        0.60924532        0.01821472        0.56149077        0.02360364        0.00593619
       -3.87128073        0.60053586        0.01811365        0.55212882        0.02428088        0.00601252
       -3.86128073        0.62754522        0.02033955        0.57635131        0.02455870        0.00629566
