#  aims_uuid : 4F08B47D-0774-47F9-AFFB-F9EC715CF0A5                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.075611 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.92438875        0.71250982        0.11353708        0.07863515        0.51250752        0.00783007
       -4.91438875        0.73571942        0.08281018        0.09248908        0.55291080        0.00750936
       -4.90438875        0.69145730        0.08530963        0.09014388        0.50901800        0.00698580
       -4.89438875        0.58334335        0.07309354        0.08798363        0.41626666        0.00599952
       -4.88438875        0.56363712        0.08034990        0.08997288        0.38747653        0.00583782
       -4.87438875        0.56230334        0.09407550        0.08953877        0.37277114        0.00591792
       -4.86438875        0.38386998        0.04779196        0.04869679        0.28337755        0.00400368
       -4.85438875        0.35324728        0.04084673        0.03695718        0.27166080        0.00378256
       -4.84438875        0.36998349        0.04836251        0.03761019        0.27986572        0.00414507
       -4.83438875        0.46937521        0.06700070        0.04966188        0.34653273        0.00617990
       -4.82438875        0.62192098        0.07029014        0.05909345        0.48349830        0.00903909
       -4.81438875        0.81519762        0.05490234        0.04892003        0.69547905        0.01589620
       -4.80438875        0.52928264        0.04181506        0.04109393        0.43677390        0.00959975
       -4.79438875        0.53354324        0.05015384        0.04809660        0.42539616        0.00989664
       -4.78438875        0.48012575        0.04623681        0.04500144        0.37978057        0.00910692
       -4.77438875        0.47655244        0.04376340        0.05124510        0.37246922        0.00907472
       -4.76438875        0.47176105        0.03987027        0.06202936        0.36099458        0.00886684
       -4.75438875        0.40969074        0.04345765        0.07706106        0.28079067        0.00838136
       -4.74438875        0.36640340        0.04496243        0.08700459        0.22642745        0.00800893
       -4.73438875        0.35754121        0.05040846        0.07865149        0.22106536        0.00741590
       -4.72438875        0.36813183        0.05270712        0.05866343        0.24996128        0.00679999
       -4.71438875        0.54924047        0.06389142        0.07130148        0.40511797        0.00892959
       -4.70438875        0.31864159        0.03697007        0.04106691        0.23512931        0.00547530
       -4.69438875        0.31045077        0.03445463        0.03536976        0.23561031        0.00501607
       -4.68438875        0.29974488        0.03126705        0.03012472        0.23373322        0.00461989
       -4.67438875        0.28652391        0.02740734        0.02533178        0.22949802        0.00428678
       -4.66438875        1.07443495        0.03961482        0.06360912        0.95641833        0.01479267
       -4.65438875        0.48605692        0.02234395        0.02703889        0.42925824        0.00741585
       -4.64438875        0.73993991        0.02413299        0.04373457        0.66249706        0.00957529
       -4.63438875        0.69605913        0.01758520        0.04041780        0.62920262        0.00885351
       -4.62438875        0.64148981        0.01464554        0.03864662        0.58034798        0.00784967
