#  aims_uuid : 4F08B47D-0774-47F9-AFFB-F9EC715CF0A5                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.075611 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.92438875        0.73920798        0.03883744        0.67810046        0.01901090        0.00325919
       -4.91438875        0.68428233        0.03045050        0.62949695        0.02094028        0.00339460
       -4.90438875        0.65748179        0.02893483        0.60313105        0.02195640        0.00345951
       -4.89438875        0.59023495        0.02996090        0.53677803        0.02023494        0.00326107
       -4.88438875        0.62140403        0.03565950        0.56214824        0.02024184        0.00335445
       -4.87438875        0.66418751        0.04277510        0.59876648        0.01926955        0.00337638
       -4.86438875        0.44424960        0.02588980        0.40297882        0.01299725        0.00238373
       -4.85438875        0.40670729        0.02483530        0.36903485        0.01069968        0.00213746
       -4.84438875        0.39134463        0.02733363        0.35258108        0.00931518        0.00211474
       -4.83438875        0.44588208        0.03427452        0.39791224        0.01102419        0.00267114
       -4.82438875        0.51827815        0.03645599        0.46370333        0.01471324        0.00340558
       -4.81438875        0.69996970        0.05134049        0.62067327        0.02297480        0.00498113
       -4.80438875        0.50664588        0.02365229        0.46061841        0.01907712        0.00329806
       -4.79438875        0.58308835        0.02023840        0.53876583        0.02069165        0.00339247
       -4.78438875        0.54424736        0.01800063        0.50552634        0.01775130        0.00296908
       -4.77438875        0.54180807        0.01876979        0.50417392        0.01611079        0.00275357
       -4.76438875        0.51389796        0.02047499        0.47684347        0.01410966        0.00246985
       -4.75438875        0.50183612        0.02276319        0.46280107        0.01408009        0.00219177
       -4.74438875        0.51737401        0.02693948        0.47423981        0.01424048        0.00195425
       -4.73438875        0.51357141        0.03060296        0.46781775        0.01329254        0.00185816
       -4.72438875        0.45989900        0.02899280        0.41743703        0.01163692        0.00183225
       -4.71438875        0.54043155        0.03058515        0.49092769        0.01629938        0.00261932
       -4.70438875        0.28504255        0.01575137        0.25850126        0.00924473        0.00154518
       -4.69438875        0.24312850        0.01374934        0.21955106        0.00835413        0.00147397
       -4.68438875        0.20409715        0.01163226        0.18366856        0.00742592        0.00137041
       -4.67438875        0.16794850        0.00940013        0.15085376        0.00646009        0.00123451
       -4.66438875        1.11162094        0.04005490        1.04473903        0.02218984        0.00463717
       -4.65438875        0.33849228        0.01317095        0.31376823        0.00977590        0.00177720
       -4.64438875        0.41022126        0.01535929        0.37941405        0.01295861        0.00248931
       -4.63438875        0.39612277        0.01455367        0.36648798        0.01275511        0.00232601
       -4.62438875        0.38354648        0.01312334        0.35504411        0.01310966        0.00226938
       -4.61438875        0.37603125        0.01216451        0.34822801        0.01341332        0.00222542
       -4.60438875        0.36436912        0.01146025        0.33741544        0.01334010        0.00215333
       -4.59438875        0.33559062        0.01078917        0.31046027        0.01237161        0.00196958
       -4.58438875        0.30480391        0.01043873        0.28042265        0.01210575        0.00183678
       -4.57438875        0.31262635        0.01345866        0.28354854        0.01355862        0.00206053
       -4.56438875        0.32538543        0.01504673        0.29273214        0.01536203        0.00224453
       -4.55438875        0.34308115        0.01520293        0.30797347        0.01751597        0.00238879
       -4.54438875        0.42919794        0.01531222        0.38968890        0.02140658        0.00279024
       -4.53438875        0.31015760        0.01123940        0.28320647        0.01381813        0.00189360
       -4.52438875        0.23588973        0.00783733        0.21746690        0.00915478        0.00143072
       -4.51438875        0.35796964        0.00819177        0.33549947        0.01238990        0.00188850
       -4.50438875        0.49261399        0.00800155        0.46644308        0.01565280        0.00251657
       -4.49438875        0.73553375        0.01249112        0.69748108        0.02206343        0.00349813
       -4.48438875        1.34494065        0.02400823        1.28007946        0.03469443        0.00615853
       -4.47438875        0.29243599        0.01697707        0.26466624        0.00894608        0.00184661
       -4.46438875        0.73793581        0.04394036        0.66943183        0.02115318        0.00341044
       -4.45438875        0.84955330        0.03691835        0.78108566        0.02761108        0.00393821
       -4.44438875        1.50316129        0.04165390        1.40412367        0.05045057        0.00693315
       -4.43438875        0.27673857        0.00434910        0.26336552        0.00764483        0.00137911
       -4.42438875        1.11509281        0.02131917        1.05580039        0.03434447        0.00362876
       -4.41438875        0.77571831        0.01547642        0.73029602        0.02711868        0.00282720
       -4.40438875        1.24592638        0.05025730        1.13163669        0.05749714        0.00653525
       -4.39438875        1.81833118        0.07139616        1.67472552        0.06387086        0.00833863
       -4.38438875        1.36743295        0.04763574        1.27602840        0.03700038        0.00676844
       -4.37438875        0.44383841        0.00711168        0.41876777        0.01498923        0.00296973
       -4.36438875        0.56594091        0.01503154        0.52562162        0.02101852        0.00426923
       -4.35438875        0.53859950        0.01633373        0.49559225        0.02281739        0.00385614
       -4.34438875        2.27822559        0.05854816        2.11119029        0.09664448        0.01184267
       -4.33438875        1.30299327        0.03319644        1.20892126        0.05342835        0.00744722
       -4.32438875        0.72661436        0.01777710        0.67311516        0.03240170        0.00332040
       -4.31438875        1.62324368        0.03843242        1.51011406        0.06847885        0.00621835
       -4.30438875        0.51617619        0.00980576        0.48214131        0.02118906        0.00304006
       -4.29438875        1.26445218        0.02866458        1.16357807        0.06149372        0.01071581
       -4.28438875        1.25784812        0.02664905        1.16532864        0.05664198        0.00922845
       -4.27438875        1.13447385        0.03001507        1.05965567        0.03843632        0.00636679
       -4.26438875        1.49730630        0.04248665        1.39633810        0.05108406        0.00739748
       -4.25438875        0.74007873        0.02279183        0.69014297        0.02298679        0.00415715
       -4.24438875        0.77803194        0.02417041        0.71941920        0.02894842        0.00549391
       -4.23438875        0.63898125        0.02099502        0.58556219        0.02687584        0.00554819
       -4.22438875        0.86315471        0.02037131        0.80350383        0.03199333        0.00728623
       -4.21438875        0.53875344        0.01462779        0.49943136        0.02027072        0.00442357
       -4.20438875        0.52071191        0.01326098        0.48435395        0.01878957        0.00430741
       -4.19438875        0.57952748        0.01294537        0.54325310        0.01872703        0.00460198
       -4.18438875        0.63026204        0.01357989        0.59051845        0.02105974        0.00510396
       -4.17438875        0.46285420        0.01122489        0.42767265        0.01949055        0.00446611
       -4.16438875        0.36466986        0.00867816        0.33611857        0.01604279        0.00383034
       -4.15438875        0.50976240        0.01217760        0.46963195        0.02262512        0.00532774
       -4.14438875        0.71734650        0.01928113        0.66077648        0.02988725        0.00740164
       -4.13438875        0.41158227        0.00698089        0.38087989        0.01939800        0.00432349
       -4.12438875        0.76592509        0.01244428        0.71796867        0.02767403        0.00783810
       -4.11438875        0.47684943        0.00675917        0.44305059        0.02269199        0.00434768
       -4.10438875        0.32423677        0.00540891        0.30085938        0.01549570        0.00247278
       -4.09438875        0.69610056        0.01155849        0.64082452        0.03763970        0.00607784
       -4.08438875        0.61566354        0.01091552        0.57266407        0.02771133        0.00437263
       -4.07438875        0.88599913        0.01352725        0.83006105        0.03686889        0.00554194
       -4.06438875        0.70489543        0.01158028        0.66061515        0.02762414        0.00507587
       -4.05438875        0.53072148        0.01306181        0.49105170        0.02175255        0.00485543
       -4.04438875        0.33222025        0.00713676        0.30854391        0.01280913        0.00373045
       -4.03438875        0.41253865        0.00709349        0.38530091        0.01620081        0.00394344
       -4.02438875        0.55890867        0.00765905        0.52613643        0.01997885        0.00513434
       -4.01438875        0.65992700        0.00877499        0.62557325        0.02005301        0.00552575
       -4.00438875        0.76497818        0.01242249        0.72847482        0.01906176        0.00501910
       -3.99438875        0.33329221        0.00485104        0.31763615        0.00882516        0.00197985
       -3.98438875        0.53094365        0.01369253        0.49064088        0.02239448        0.00421575
       -3.97438875        0.89743933        0.02633020        0.82374242        0.04039781        0.00696889
