#  aims_uuid : 4F08B47D-0774-47F9-AFFB-F9EC715CF0A5                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.43683142        0.01833413        0.39703743        0.01865712        0.00280275
       -9.99000000        0.46466605        0.02420887        0.41778417        0.01939402        0.00327899
       -9.98000000        0.45488425        0.02348004        0.40796495        0.02016752        0.00327173
       -9.97000000        0.39004796        0.02032041        0.34866889        0.01791908        0.00313958
       -9.96000000        0.37353336        0.01954571        0.33217640        0.01838998        0.00342126
       -9.95000000        0.34692408        0.01820208        0.30596606        0.01893831        0.00381763
       -9.94000000        0.26118880        0.01285129        0.23334828        0.01268427        0.00230496
       -9.93000000        0.22450105        0.01091225        0.20077116        0.01075424        0.00206340
       -9.92000000        0.20522631        0.00968096        0.18361051        0.00992662        0.00200821
       -9.91000000        0.26363226        0.01262699        0.23601340        0.01257340        0.00241847
       -9.90000000        0.38344357        0.01990719        0.34213509        0.01794145        0.00345983
       -9.89000000        0.49544301        0.03117539        0.43551240        0.02319277        0.00556245
       -9.88000000        0.42761038        0.02079802        0.38712897        0.01642131        0.00326208
       -9.87000000        0.46926987        0.01694544        0.43294103        0.01630114        0.00308226
       -9.86000000        0.39717159        0.01260821        0.36757535        0.01405818        0.00292984
       -9.85000000        0.35820998        0.01116982        0.33036519        0.01355789        0.00311709
       -9.84000000        0.32246029        0.01175597        0.29349973        0.01384484        0.00335975
       -9.83000000        0.33596860        0.01268747        0.30602104        0.01393600        0.00332409
       -9.82000000        0.34989640        0.01241700        0.32121583        0.01317447        0.00308911
       -9.81000000        0.35346428        0.01099496        0.32708498        0.01263900        0.00274534
       -9.80000000        0.32708706        0.00913976        0.30325114        0.01243470        0.00226147
       -9.79000000        0.37897985        0.01252371        0.34611698        0.01778934        0.00254982
       -9.78000000        0.22538944        0.00714242        0.20595221        0.01062449        0.00167032
       -9.77000000        0.20635003        0.00639825        0.18843513        0.00993998        0.00157667
       -9.76000000        0.18742452        0.00568581        0.17101129        0.00924291        0.00148451
       -9.75000000        0.16861291        0.00500509        0.15368069        0.00853329        0.00139383
       -9.74000000        0.76429903        0.03350085        0.69896997        0.02784898        0.00397923
       -9.73000000        0.33294512        0.01359351        0.30362793        0.01366643        0.00205725
       -9.72000000        0.36050039        0.01328758        0.32551425        0.01855326        0.00314530
       -9.71000000        0.33976481        0.01168830        0.30719758        0.01795245        0.00292649
       -9.70000000        0.33193249        0.01098989        0.30088393        0.01733642        0.00272223
       -9.69000000        0.32601481        0.01065870        0.29647353        0.01638170        0.00250088
       -9.68000000        0.31444035        0.01026759        0.28713414        0.01481251        0.00222611
       -9.67000000        0.29412457        0.00963401        0.27031063        0.01233317        0.00184676
       -9.66000000        0.26709964        0.00862594        0.24552088        0.01128646        0.00166635
       -9.65000000        0.25826278        0.00805934        0.23684051        0.01163627        0.00172666
       -9.64000000        0.25990227        0.00775143        0.23790342        0.01243922        0.00180821
       -9.63000000        0.27201811        0.00770220        0.24870961        0.01369530        0.00191101
       -9.62000000        0.32894543        0.00887280        0.30137378        0.01646318        0.00223566
       -9.61000000        0.27448749        0.00619846        0.25419690        0.01255380        0.00153833
       -9.60000000        0.27695943        0.00595313        0.25868626        0.01083271        0.00148733
       -9.59000000        0.42958192        0.01054840        0.39951221        0.01739784        0.00212347
       -9.58000000        0.62586995        0.01444714        0.57896926        0.02944788        0.00300567
       -9.57000000        0.93280912        0.02061648        0.86127168        0.04685626        0.00406470
       -9.56000000        1.90378855        0.03812522        1.75165049        0.10687726        0.00713558
       -9.55000000        0.25522849        0.01183903        0.23263820        0.00919562        0.00155563
       -9.54000000        0.50251979        0.01747189        0.45504713        0.02679025        0.00321052
       -9.53000000        0.57766612        0.01451534        0.52395891        0.03510970        0.00408217
       -9.52000000        1.15635889        0.00836704        1.07893293        0.06266477        0.00639414
       -9.51000000        0.14217391        0.00248724        0.12396401        0.01427001        0.00145264
       -9.50000000        0.57580219        0.01524640        0.52554226        0.03190453        0.00310901
       -9.49000000        0.48647591        0.01132828        0.44610588        0.02684648        0.00219526
       -9.48000000        1.27287437        0.03665276        1.16136881        0.06903791        0.00581488
       -9.47000000        1.90919788        0.04208056        1.77192710        0.08786929        0.00732094
       -9.46000000        1.42977426        0.04387205        1.30506769        0.07376288        0.00707164
       -9.45000000        0.59004368        0.01186600        0.54273866        0.03306464        0.00237437
       -9.44000000        0.82749739        0.01959984        0.75493786        0.04899317        0.00396653
       -9.43000000        0.81139613        0.02254172        0.74271371        0.04232755        0.00381315
       -9.42000000        2.63516308        0.05790778        2.45622366        0.11032956        0.01070208
       -9.41000000        1.87505763        0.02690023        1.74934301        0.09174301        0.00707138
