#  aims_uuid : 41AABDFA-2096-4E79-A5EB-A566EAD51DB9                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000       11.50034009        0.28143512        1.64265689        9.46814055        0.10511476        0.00299277
       -9.98998999        8.92680142        0.23777266        1.43864839        7.16305752        0.08505303        0.00226982
       -9.97997998       10.04981882        0.35299384        1.60832524        7.98742112        0.09856766        0.00251096
       -9.96996997        8.59406898        0.12860761        1.41470929        6.96306574        0.08552701        0.00215934
       -9.95995996        6.91055371        0.11609136        1.08577289        5.63811125        0.06883129        0.00174692
       -9.94994995        6.77770054        0.10843364        1.04791437        5.55110077        0.06851711        0.00173466
       -9.93993994        6.80125905        0.10315891        1.06278996        5.56342759        0.07012231        0.00176028
       -9.92992993        5.48353479        0.08584121        0.81773707        4.52100436        0.05746510        0.00148703
       -9.91991992        5.59445049        0.08147053        0.86791369        4.58355731        0.05998353        0.00152543
       -9.90990991        5.84435813        0.07696896        0.96256797        4.73891481        0.06432966        0.00157673
       -9.89989990        5.28282490        0.07277360        0.87985839        4.26893322        0.05978373        0.00147596
       -9.88988989        6.67127143        0.07526357        1.12452508        5.39210271        0.07743718        0.00194289
       -9.87987988        7.44730877        0.07862994        1.27330706        6.00529383        0.08782985        0.00224808
       -9.86986987        9.29374950        0.09237469        1.54349160        7.54429574        0.11056414        0.00302333
       -9.85985986       10.34665161        0.10529953        1.69723190        8.41647996        0.12409114        0.00354907
       -9.84984985       11.41808954        0.12056457        1.83849062        9.31703001        0.13788492        0.00411943
       -9.83983984       12.50806330        0.13816980        1.96726774       10.24594589        0.15194547        0.00473440
       -9.82982983       10.89837887        0.14101429        1.83808567        8.78178422        0.13334207        0.00415262
       -9.81981982        9.07166788        0.15375393        1.74352059        7.05955268        0.11138228        0.00345840
       -9.80980981       10.65934922        0.18727445        2.01390822        8.32273652        0.13129524        0.00413479
       -9.79979980        9.71503011        0.19560287        1.81476642        7.58181185        0.11883293        0.00401603
       -9.78978979        9.71359330        0.20899023        1.73644183        7.64706354        0.11683978        0.00425792
       -9.77977978        8.91433067        0.20057963        1.53081654        7.07180840        0.10702130        0.00410481
       -9.76976977        7.16340760        0.19100972        1.10979727        5.77543564        0.08334431        0.00382067
       -9.75975976        7.24236437        0.20024208        1.09191973        5.86148332        0.08474849        0.00397077
       -9.74974975        7.31460717        0.20345722        1.07701971        5.94335332        0.08673797        0.00403895
       -9.73973974        7.38013600        0.20065516        1.06509721        6.02104565        0.08931276        0.00402522
       -9.72972973        7.43895085        0.19183588        1.05615224        6.09456031        0.09247284        0.00392958
       -9.71971972        5.90748058        0.27765168        0.91873351        4.63649864        0.07022213        0.00437461
       -9.70970971       12.33879100        0.81577802        1.97649282        9.39925933        0.13568599        0.01157485
       -9.69969970       19.30662599        0.99864695        2.96848424       15.09646998        0.22756149        0.01546333
       -9.68968969        9.76032772        0.47864046        1.55376688        7.60038882        0.11995394        0.00757761
       -9.67967968        7.67223085        0.33772311        1.22801000        6.00286547        0.09802049        0.00561178
       -9.66966967        5.60153314        0.22295059        0.89613930        4.40479661        0.07374545        0.00390119
       -9.65965966        4.08466238        0.13690194        0.64931707        3.23994139        0.05588390        0.00261808
       -9.64964965        2.76089912        0.07491249        0.43090466        2.21425565        0.03920829        0.00161803
       -9.63963964        1.44187325        0.03564216        0.20958112        1.17507161        0.02074203        0.00083633
       -9.62962963        0.79494516        0.02361286        0.09982505        0.65982071        0.01116216        0.00052438
       -9.61961962        0.74154031        0.02104751        0.09122906        0.61816036        0.01061626        0.00048711
       -9.60960961        2.27772601        0.03545647        0.41489101        1.79039692        0.03608690        0.00089470
       -9.59959960        6.10281340        0.06374536        1.16223385        4.77634526        0.09853735        0.00195159
       -9.58958959        5.79983878        0.06356112        1.08827098        4.55167271        0.09441692        0.00191706
       -9.57957958        5.50071169        0.06318267        1.01744607        4.32794106        0.09026588        0.00187602
       -9.56956957        5.78380130        0.06902459        1.05402053        4.56334674        0.09536057        0.00204887
       -9.55955956        6.06947299        0.07498586        1.08758756        4.80403773        0.10063348        0.00222836
       -9.54954955        6.35772676        0.08106646        1.11814718        5.05001402        0.10608462        0.00241448
       -9.53953954        6.64856260        0.08726641        1.14569939        5.30127561        0.11171398        0.00260723
       -9.52952953        6.94198053        0.09358569        1.17024417        5.55782250        0.11752155        0.00280660
       -9.51951952       10.27251638        0.13371380        1.54307785        8.41487332        0.17623210        0.00461932
       -9.50950951       12.38691357        0.15678935        1.77925844       10.23119293        0.21386924        0.00580361
       -9.49949950       10.99893085        0.14986362        1.60595040        9.04702747        0.19096633        0.00512303
       -9.48948949        9.61149055        0.14081890        1.43297970        7.86546148        0.16779664        0.00443382
       -9.47947948        8.25559969        0.12998011        1.26308944        6.71385519        0.14491977        0.00375518
       -9.46946947        6.92620329        0.11718529        1.09562204        5.58804501        0.12226719        0.00308376
       -9.45945946        5.59758626        0.10213300        0.92824083        4.46542739        0.09938149        0.00240355
       -9.44944945        3.57282164        0.06664455        0.63134807        2.80956023        0.06386647        0.00140232
       -9.43943944        2.20281217        0.04201486        0.40159751        1.71880966        0.03956608        0.00082407
