#  aims_uuid : 41AABDFA-2096-4E79-A5EB-A566EAD51DB9                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.197245 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.80275452        0.43507549        0.00625808        0.41762915        0.00984569        0.00134256
       -5.79274451        0.37118255        0.00511331        0.35752355        0.00745614        0.00108954
       -5.78273450        0.43008311        0.00580715        0.41442510        0.00861685        0.00123402
       -5.77272449        0.36500342        0.00579525        0.35184730        0.00624159        0.00111928
       -5.76271448        0.27935889        0.00435696        0.26897787        0.00516601        0.00085804
       -5.75270447        0.27025816        0.00432618        0.26006670        0.00501750        0.00084778
       -5.74269446        0.27153343        0.00438789        0.26135650        0.00492088        0.00086816
       -5.73268445        0.23093991        0.00336683        0.22272964        0.00412177        0.00072167
       -5.72267444        0.24049847        0.00364605        0.23201990        0.00407470        0.00075781
       -5.71266443        0.25763495        0.00425461        0.24851102        0.00404711        0.00082220
       -5.70265442        0.22920125        0.00405841        0.22078241        0.00360594        0.00075449
       -5.69264441        0.30642965        0.00499784        0.29591773        0.00459325        0.00092083
       -5.68263440        0.34346521        0.00568106        0.33168035        0.00506031        0.00104349
       -5.67262439        0.40481296        0.00705826        0.39021257        0.00615409        0.00138804
       -5.66261438        0.44362630        0.00763710        0.42750809        0.00693018        0.00155093
       -5.65260437        0.48044262        0.00807621        0.46287564        0.00778170        0.00170907
       -5.64259436        0.51526192        0.00837558        0.49631524        0.00870866        0.00186244
       -5.63258435        0.47550146        0.00806643        0.45835915        0.00747455        0.00160134
       -5.62257434        0.41623641        0.00767931        0.40119004        0.00601588        0.00135118
       -5.61256433        0.48779375        0.00853234        0.47043120        0.00731875        0.00151146
       -5.60255432        0.42191066        0.00739357        0.40619655        0.00696038        0.00136016
       -5.59254431        0.37330894        0.00706954        0.35771117        0.00711167        0.00141656
       -5.58253430        0.33076379        0.00620620        0.31659885        0.00666535        0.00129339
       -5.57252429        0.24962834        0.00418395        0.23855576        0.00586365        0.00102497
       -5.56251428        0.24559368        0.00401626        0.23455928        0.00598413        0.00103401
       -5.55250427        0.24245000        0.00386774        0.23152041        0.00602043        0.00104142
       -5.54249426        0.24019731        0.00373840        0.22943914        0.00597256        0.00104722
       -5.53248425        0.23883561        0.00362822        0.22831547        0.00584052        0.00105139
       -5.52247424        0.18537829        0.00358940        0.17548486        0.00548226        0.00082177
       -5.51246423        0.40290339        0.00682274        0.38116720        0.01319378        0.00171966
       -5.50245422        0.67334518        0.00750525        0.64428788        0.01882215        0.00272989
       -5.49244421        0.35687153        0.00485260        0.34127921        0.00933181        0.00140791
       -5.48243420        0.29709332        0.00380794        0.28507949        0.00707955        0.00112634
       -5.47242419        0.23227146        0.00264798        0.22376682        0.00501799        0.00083866
       -5.46241418        0.17923959        0.00187901        0.17324600        0.00349517        0.00061942
       -5.45240417        0.12640694        0.00123663        0.12249508        0.00225726        0.00041797
       -5.44239416        0.06782902        0.00055398        0.06588771        0.00117926        0.00020807
       -5.43238415        0.03758347        0.00021738        0.03656228        0.00070192        0.00010188
       -5.42237414        0.03612146        0.00021277        0.03516177        0.00065347        0.00009345
       -5.41236413        0.11466450        0.00197790        0.11086642        0.00147633        0.00034385
       -5.40235412        0.29493506        0.00588265        0.28500598        0.00312378        0.00092265
       -5.39234411        0.28214312        0.00555805        0.27266146        0.00304801        0.00087561
       -5.38233410        0.26939582        0.00524394        0.26035503        0.00296740        0.00082945
       -5.37232409        0.28495830        0.00535984        0.27543223        0.00329771        0.00086852
       -5.36231408        0.29991451        0.00549225        0.28989677        0.00361510        0.00091039
       -5.35230407        0.31426447        0.00564118        0.30374864        0.00391957        0.00095507
       -5.34229406        0.32800816        0.00580663        0.31698785        0.00421112        0.00100256
       -5.33228405        0.34114559        0.00598859        0.32961439        0.00448975        0.00105285
       -5.32227404        0.47889845        0.00814237        0.46221643        0.00692766        0.00161199
       -5.31226403        0.56098510        0.00940678        0.54099756        0.00856604        0.00201472
       -5.30225402        0.49901375        0.00874284        0.48084139        0.00760199        0.00182753
       -5.29224401        0.43839931        0.00801630        0.42212806        0.00663115        0.00162380
       -5.28223400        0.38125490        0.00724173        0.36692654        0.00568010        0.00140653
       -5.27222399        0.32735434        0.00641787        0.31501704        0.00474438        0.00117504
       -5.26221398        0.27497989        0.00553297        0.26471823        0.00380189        0.00092680
       -5.25220397        0.16980892        0.00389328        0.16307946        0.00227032        0.00056587
       -5.24219396        0.10910662        0.00239432        0.10508267        0.00129866        0.00033096
       -5.23218395        0.20260246        0.00353120        0.19465619        0.00360340        0.00081167
       -5.22217394        0.33969188        0.00459086        0.32722712        0.00662275        0.00125115
       -5.21216393        0.30338618        0.00334987        0.29223622        0.00681487        0.00098522
       -5.20215392        0.28784773        0.00335069        0.27611989        0.00750843        0.00086872
       -5.19214391        0.26692950        0.00355296        0.25437994        0.00821738        0.00077922
       -5.18213390        0.24063148        0.00395667        0.22701637        0.00894172        0.00071672
       -5.17212389        0.25604164        0.00471215        0.24027847        0.01031145        0.00073956
       -5.16211388        0.47076484        0.00825268        0.43831079        0.02294980        0.00125157
       -5.15210387        0.33515266        0.00760142        0.31361035        0.01306101        0.00087988
       -5.14209386        0.22199713        0.00521641        0.20791470        0.00827470        0.00059132
       -5.13208385        0.55747311        0.01107688        0.51980213        0.02494775        0.00164635
       -5.12207384        0.10134348        0.00454325        0.09308872        0.00297676        0.00073475
       -5.11206383        1.92270453        0.13812966        1.72436057        0.05327454        0.00693977
       -5.10205382        1.11367634        0.07790996        0.99304553        0.03741184        0.00530902
       -5.09204381        0.79045043        0.05538047        0.69792228        0.03242895        0.00471873
       -5.08203380        1.68222307        0.12944171        1.46144009        0.08057106        0.01077022
       -5.07202379        3.89304033        0.29472404        3.43219584        0.14571385        0.02040659
       -5.06201378        4.33527245        0.33851279        3.77745083        0.19239370        0.02691513
       -5.05200377        1.86436452        0.14989745        1.62602689        0.07795145        0.01048873
       -5.04199376        2.80980112        0.22850548        2.45207576        0.11489481        0.01432506
       -5.03198375        1.72307475        0.12748866        1.51125190        0.07532071        0.00901348
       -5.02197374        0.54167053        0.03957051        0.47147102        0.02704488        0.00358412
       -5.01196373        2.08838138        0.16118632        1.83323665        0.08290554        0.01105287
       -5.00195372        1.47094976        0.09878394        1.30610132        0.05837853        0.00768596
       -4.99194371        2.03573884        0.16184515        1.78984649        0.07413877        0.00990842
       -4.98193370        2.55002523        0.17949361        2.24722462        0.10943337        0.01387362
       -4.97192369        1.36563498        0.07716818        1.22409599        0.05719799        0.00717282
       -4.96191368        3.53464344        0.21529349        3.11107015        0.18787455        0.02040524
       -4.95190367        2.91894095        0.18738767        2.57938207        0.13482033        0.01735087
       -4.94189366        2.92835230        0.18923793        2.58230893        0.14129125        0.01551419
       -4.93188365        1.89378213        0.14496554        1.65384085        0.08476393        0.01021180
       -4.92187364        1.25864498        0.09216694        1.09604454        0.06289648        0.00753702
       -4.91186363        0.48802857        0.03353009        0.43354365        0.01864066        0.00231416
       -4.90185362        0.52761352        0.03603375        0.47082353        0.01823559        0.00252065
       -4.89184361        0.70398920        0.04768112        0.62968757        0.02301604        0.00360446
       -4.88183360        0.63724001        0.04174625        0.57172725        0.02034575        0.00342076
       -4.87182359        1.15979629        0.06963652        1.05097269        0.03354330        0.00564377
       -4.86181358        1.26660793        0.07988694        1.13800656        0.04197882        0.00673560
       -4.85180357        0.94355478        0.06476029        0.84332600        0.03075787        0.00471062
       -4.84179356        0.93599977        0.06431881        0.83761295        0.02954202        0.00452599
       -4.83178355        0.98785183        0.06455234        0.88754750        0.03075837        0.00499362
