#  aims_uuid : 41AABDFA-2096-4E79-A5EB-A566EAD51DB9                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.49206593        0.01075581        0.47025215        0.00945919        0.00159879
       -9.98998999        0.35575912        0.00981994        0.33752181        0.00706780        0.00134956
       -9.97997998        0.38149967        0.01057663        0.36161357        0.00782354        0.00148593
       -9.96996997        0.31323930        0.00815570        0.29814131        0.00566682        0.00127546
       -9.95995996        0.26457767        0.00691734        0.25202530        0.00458052        0.00105452
       -9.94994995        0.25621760        0.00638376        0.24433291        0.00448271        0.00101822
       -9.93993994        0.25418752        0.00633952        0.24232812        0.00450092        0.00101896
       -9.92992993        0.16881964        0.00409154        0.16021191        0.00376660        0.00074958
       -9.91991992        0.17232188        0.00420964        0.16351865        0.00382208        0.00077151
       -9.90990991        0.17986255        0.00446287        0.17062304        0.00396792        0.00080873
       -9.89989990        0.17081905        0.00445259        0.16191536        0.00369189        0.00075922
       -9.88988989        0.21161209        0.00568556        0.20032402        0.00461704        0.00098547
       -9.87987988        0.23948197        0.00653372        0.22654868        0.00527859        0.00112097
       -9.86986987        0.31589696        0.00818382        0.29937680        0.00692251        0.00141383
       -9.85985986        0.36097978        0.00951856        0.34182403        0.00801877        0.00161842
       -9.84984985        0.40874367        0.01098021        0.38674038        0.00918495        0.00183814
       -9.83983984        0.45918863        0.01256876        0.43412584        0.01042103        0.00207299
       -9.82982983        0.43260378        0.01265031        0.40839795        0.00969721        0.00185831
       -9.81981982        0.41291799        0.01293742        0.38942836        0.00891305        0.00163916
       -9.80980981        0.48577748        0.01567758        0.45744754        0.01067543        0.00197693
       -9.79979980        0.45335052        0.01504315        0.42615474        0.01027846        0.00187416
       -9.78978979        0.45068022        0.01473942        0.42347517        0.01058157        0.00188406
       -9.77977978        0.41266429        0.01350766        0.38728452        0.01011639        0.00175573
       -9.76976977        0.34141061        0.01070553        0.31997405        0.00927601        0.00145501
       -9.75975976        0.34458009        0.01080919        0.32266554        0.00961651        0.00148886
       -9.74974975        0.34326712        0.01079562        0.32120968        0.00974951        0.00151232
       -9.73973974        0.33747171        0.01066482        0.31560647        0.00967502        0.00152540
       -9.72972973        0.32719385        0.01041678        0.30585593        0.00939305        0.00152810
       -9.71971972        0.30690376        0.01065114        0.28465598        0.01020175        0.00139489
       -9.70970971        0.70939969        0.02619628        0.65330061        0.02671159        0.00319121
       -9.69969970        0.98414190        0.03301838        0.91176731        0.03494679        0.00440942
       -9.68968969        0.48103956        0.01684099        0.44497373        0.01701453        0.00221030
       -9.67967968        0.35425113        0.01246590        0.32771513        0.01241432        0.00165578
       -9.66966967        0.24034791        0.00860175        0.22212159        0.00847826        0.00114631
       -9.65965966        0.16032449        0.00574248        0.14824314        0.00555067        0.00078820
       -9.64964965        0.09945560        0.00349151        0.09214337        0.00331054        0.00051019
       -9.63963964        0.05027424        0.00166639        0.04670903        0.00162388        0.00027495
       -9.62962963        0.02946928        0.00091148        0.02741456        0.00096966        0.00017357
       -9.61961962        0.02637639        0.00083217        0.02450681        0.00087443        0.00016299
       -9.60960961        0.09827310        0.00268600        0.09295197        0.00224529        0.00038983
       -9.59959960        0.27027710        0.00685209        0.25708406        0.00534215        0.00099881
       -9.58958959        0.25502253        0.00655514        0.24243288        0.00507620        0.00095831
       -9.57957958        0.24018190        0.00626311        0.22818565        0.00481640        0.00091675
       -9.56956957        0.24681425        0.00656604        0.23423981        0.00505550        0.00095290
       -9.55955956        0.25344802        0.00684609        0.24031759        0.00529228        0.00099206
       -9.54954955        0.26008321        0.00710327        0.24641900        0.00552674        0.00103421
       -9.53953954        0.26671983        0.00733758        0.25254403        0.00575887        0.00107935
       -9.52952953        0.27335787        0.00754901        0.25869269        0.00598868        0.00112749
       -9.51951952        0.38494736        0.01024472        0.36458052        0.00844098        0.00168115
       -9.50950951        0.45582778        0.01111543        0.43256703        0.01008173        0.00206359
       -9.49949950        0.40872941        0.01008413        0.38771592        0.00912549        0.00180388
       -9.48948949        0.36053767        0.00906132        0.34178693        0.00813852        0.00155089
       -9.47947948        0.31172423        0.00807156        0.29520028        0.00714033        0.00131206
       -9.46946947        0.26208828        0.00710882        0.24776878        0.00612438        0.00108629
       -9.45945946        0.21120226        0.00615216        0.19910910        0.00507353        0.00086747
       -9.44944945        0.13242771        0.00388494        0.12487680        0.00313815        0.00052783
       -9.43943944        0.07639696        0.00238081        0.07170474        0.00198450        0.00032691
       -9.42942943        0.19326816        0.00428478        0.18442860        0.00371023        0.00084455
       -9.41941942        0.29367827        0.00569999        0.28009277        0.00640030        0.00148521
       -9.40940941        0.23208628        0.00559701        0.21924784        0.00596501        0.00127642
       -9.39939940        0.20982647        0.00660097        0.19594043        0.00614326        0.00114181
       -9.38938939        0.19510471        0.00788196        0.17985663        0.00639075        0.00097537
       -9.37937938        0.18792101        0.00943999        0.17099646        0.00670745        0.00077711
       -9.36936937        0.19954831        0.01190212        0.17933758        0.00754939        0.00075922
       -9.35935936        0.37257617        0.02241754        0.33267222        0.01622158        0.00126482
       -9.34934935        0.24226257        0.02082207        0.21124786        0.00929778        0.00089486
       -9.33933934        0.15199095        0.01406631        0.13144121        0.00589409        0.00058934
