#  aims_uuid : 32E2CA7B-0136-4A85-A00F-677880496647                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.28252920        0.02037375        0.05178285        0.20683180        0.00354080
       -9.99000000        0.30523154        0.01836342        0.04780485        0.23337080        0.00569247
       -9.98000000        0.34400205        0.01587221        0.04206876        0.27748643        0.00857465
       -9.97000000        1.36862339        0.10605894        0.10338139        1.13323114        0.02595193
       -9.96000000        0.43958347        0.04881297        0.02457886        0.35913655        0.00705509
       -9.95000000        0.33268409        0.02955052        0.02004132        0.27679804        0.00629421
       -9.94000000        0.25015336        0.02280855        0.01466040        0.20822098        0.00446343
       -9.93000000        0.84644844        0.10256482        0.06043505        0.67156451        0.01188406
       -9.92000000        0.35978950        0.03687914        0.02488569        0.29247089        0.00555378
       -9.91000000        0.35112043        0.03442277        0.02606841        0.28524312        0.00538613
       -9.90000000        0.34218480        0.03188168        0.02720009        0.27784859        0.00525444
       -9.89000000        0.34298177        0.02936816        0.02939369        0.27886372        0.00535620
       -9.88000000        0.34886343        0.02702560        0.03202274        0.28423204        0.00558304
       -9.87000000        0.35645864        0.02487676        0.03465676        0.29106624        0.00585889
       -9.86000000        0.36356198        0.02262213        0.03718912        0.29758436        0.00616637
       -9.85000000        0.37017343        0.02026170        0.03961984        0.30378639        0.00650549
       -9.84000000        0.37629299        0.01779548        0.04194891        0.30967235        0.00687625
       -9.83000000        0.38210029        0.01523250        0.04419827        0.31539014        0.00727938
       -9.82000000        0.38930508        0.01264101        0.04658035        0.32236237        0.00772134
       -9.81000000        0.35688704        0.00968440        0.04351674        0.29638557        0.00730033
       -9.80000000        0.92349637        0.05637864        0.07527194        0.77786630        0.01397949
       -9.79000000        0.49223180        0.03334170        0.05709104        0.39257257        0.00922649
       -9.78000000        0.51336420        0.03269129        0.07530299        0.39581821        0.00955170
       -9.77000000        0.52308579        0.01853171        0.10393135        0.38951370        0.01110903
       -9.76000000        0.32338524        0.00348954        0.02979931        0.28300973        0.00708666
       -9.75000000        0.59657144        0.00861337        0.04849480        0.52734839        0.01211488
       -9.74000000        0.57247389        0.00705447        0.05454726        0.49897401        0.01189815
       -9.73000000        0.43512733        0.00383317        0.05664373        0.36719755        0.00745289
       -9.72000000        1.06903951        0.00895402        0.13452750        0.90512111        0.02043688
       -9.71000000        0.54292670        0.00983938        0.10312767        0.42116472        0.00879493
       -9.70000000        0.92056404        0.02245822        0.18677968        0.69391626        0.01740988
       -9.69000000        1.02124947        0.01703907        0.14647607        0.83914811        0.01858622
