#  aims_uuid : 32E2CA7B-0136-4A85-A00F-677880496647                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.278293 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.72170731        0.32927643        0.02470071        0.04006615        0.26043435        0.00407523
       -5.71170731        0.41632892        0.02259861        0.03528863        0.35363815        0.00480353
       -5.70170731        0.50664857        0.02041883        0.02781946        0.45198089        0.00642939
       -5.69170731        1.39109986        0.17835991        0.09267514        1.09401042        0.02605438
       -5.68170731        0.35007579        0.09611251        0.04399463        0.20437252        0.00559614
       -5.67170731        0.24928668        0.05753014        0.03778856        0.14910185        0.00486614
       -5.66170731        0.19081616        0.04510084        0.02537539        0.11671360        0.00362633
       -5.65170731        0.79800332        0.05451247        0.07569558        0.65709279        0.01070248
       -5.64170731        0.29592395        0.04569673        0.03363994        0.21166352        0.00492376
       -5.63170731        0.28996218        0.04458052        0.03208581        0.20815778        0.00513807
       -5.62170731        0.28426914        0.04303484        0.03044823        0.20541474        0.00537132
       -5.61170731        0.28451457        0.04106439        0.02924880        0.20809940        0.00610197
       -5.60170731        0.28887341        0.03868215        0.02863537        0.21456513        0.00699076
       -5.59170731        0.29567902        0.03588033        0.02860236        0.22336454        0.00783178
       -5.58170731        0.30303500        0.03265649        0.02863801        0.23311796        0.00862254
       -5.57170731        0.31094135        0.02901064        0.02874232        0.24382537        0.00936302
       -5.56170731        0.31939807        0.02494276        0.02891529        0.25548677        0.01005324
       -5.55170731        0.32849722        0.02052289        0.02915720        0.26812333        0.01069381
       -5.54170731        0.33904850        0.01641025        0.02946570        0.28188261        0.01128994
       -5.53170731        0.30929536        0.01179530        0.02859548        0.25870016        0.01020442
       -5.52170731        0.79625081        0.02845312        0.04760019        0.70304081        0.01715669
       -5.51170731        0.48065478        0.01437800        0.03092898        0.42304952        0.01229827
       -5.50170731        0.52245302        0.02267877        0.03759601        0.44988769        0.01229055
       -5.49170731        0.54948614        0.03465577        0.05093111        0.45015269        0.01374657
       -5.48170731        0.35046136        0.00195586        0.02478994        0.31519618        0.00851938
       -5.47170731        0.72389936        0.00308668        0.04314352        0.66393680        0.01373237
       -5.46170731        0.67031794        0.00341358        0.04656373        0.60789476        0.01244587
       -5.45170731        0.42665373        0.00437008        0.05459197        0.36047944        0.00721225
       -5.44170731        1.02438772        0.01710085        0.12492383        0.86115880        0.02120424
       -5.43170731        0.59523945        0.00103332        0.14184528        0.44658114        0.00577971
       -5.42170731        1.09073018        0.00224762        0.27172862        0.80465347        0.01210047
       -5.41170731        1.41878180        0.00608842        0.20136382        1.19755562        0.01377395
       -5.40170731        0.64041381        0.00315246        0.10213951        0.52648100        0.00864084
       -5.39170731        0.48971579        0.00143186        0.06009742        0.42200665        0.00617986
       -5.38170731        0.45365754        0.00378914        0.08243757        0.36020978        0.00722104
       -5.37170731        1.29855450        0.01720466        0.30758090        0.95520826        0.01856069
       -5.36170731        0.78315564        0.01444096        0.20737583        0.55219491        0.00914394
       -5.35170731        1.46692321        0.03443250        0.26885438        1.14834104        0.01529530
       -5.34170731        1.34360021        0.05418253        0.25427239        1.02153445        0.01361084
       -5.33170731        1.29558512        0.03267039        0.24183041        1.00759771        0.01348661
       -5.32170731        0.98859451        0.06500845        0.22663617        0.68505705        0.01189284
       -5.31170731        0.95075613        0.05220410        0.16614995        0.72298736        0.00941472
