#  aims_uuid : 32E2CA7B-0136-4A85-A00F-677880496647                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.35383560        0.02862908        0.31310358        0.01007689        0.00202606
       -9.99000000        0.36451395        0.02524541        0.32704103        0.01016148        0.00206603
       -9.98000000        0.38398047        0.01980068        0.35172880        0.01044726        0.00200372
       -9.97000000        1.25862364        0.06244735        1.14722550        0.04193330        0.00701748
       -9.96000000        0.32142014        0.01405979        0.28999583        0.01504160        0.00232292
       -9.95000000        0.25524007        0.01002555        0.23256883        0.01092064        0.00172504
       -9.94000000        0.18709207        0.00759385        0.16999292        0.00821346        0.00129186
       -9.93000000        0.58504887        0.01828402        0.53116800        0.03022487        0.00537198
       -9.92000000        0.25711430        0.00984181        0.23278379        0.01241969        0.00206902
       -9.91000000        0.25267748        0.00992390        0.22875458        0.01197881        0.00202019
       -9.90000000        0.24902255        0.01000111        0.22553213        0.01152442        0.00196487
       -9.89000000        0.25450746        0.01033282        0.23096027        0.01125272        0.00196165
       -9.88000000        0.26518964        0.01076315        0.24130123        0.01114271        0.00198255
       -9.87000000        0.27800351        0.01118037        0.25366106        0.01115363        0.00200844
       -9.86000000        0.29158952        0.01156418        0.26682140        0.01117929        0.00202465
       -9.85000000        0.30594767        0.01191456        0.28078225        0.01121969        0.00203118
       -9.84000000        0.32107797        0.01223153        0.29554359        0.01127483        0.00202802
       -9.83000000        0.33703076        0.01251870        0.31114963        0.01134648        0.00201594
       -9.82000000        0.35422715        0.01280646        0.32797076        0.01144794        0.00200200
       -9.81000000        0.32818068        0.01099308        0.30439295        0.01094637        0.00184828
       -9.80000000        0.66458294        0.02019550        0.60805974        0.03144213        0.00488557
       -9.79000000        0.42611392        0.01238187        0.39531239        0.01588443        0.00253524
       -9.78000000        0.46778950        0.01459226        0.43094421        0.01951760        0.00273543
       -9.77000000        0.55017715        0.01873640        0.50468506        0.02377290        0.00298279
       -9.76000000        0.31668034        0.01012655        0.29568986        0.00944414        0.00141979
       -9.75000000        0.57018867        0.02170253        0.52754361        0.01844778        0.00249475
       -9.74000000        0.55867226        0.02140642        0.51738400        0.01730949        0.00257235
       -9.73000000        0.45429156        0.01187689        0.42537611        0.01539943        0.00163913
       -9.72000000        1.10975165        0.02546105        1.04119342        0.03850500        0.00459219
       -9.71000000        0.59804048        0.01814247        0.55477063        0.02245427        0.00267311
       -9.70000000        0.97258585        0.02812756        0.90128995        0.03799754        0.00517080
       -9.69000000        1.14552311        0.03778138        1.05915749        0.04505500        0.00352924
       -9.68000000        0.67891373        0.02647957        0.62532264        0.02482613        0.00228539
       -9.67000000        0.53889352        0.02355794        0.49074291        0.02240571        0.00218697
       -9.66000000        0.52265712        0.01375258        0.48211756        0.02409338        0.00269360
       -9.65000000        1.30817569        0.04026227        1.20487935        0.05686730        0.00616677
       -9.64000000        0.77173680        0.01836108        0.70921739        0.03974444        0.00441389
       -9.63000000        1.27763705        0.03146506        1.17323874        0.06522566        0.00770759
       -9.62000000        1.12734103        0.03197430        1.03960928        0.04902310        0.00673434
       -9.61000000        1.16964418        0.02547627        1.08673876        0.05169806        0.00573109
       -9.60000000        0.89862040        0.01851138        0.83123641        0.04424171        0.00463089
       -9.59000000        0.83046105        0.01843338        0.76955433        0.03837367        0.00409966
       -9.58000000        0.80985108        0.01838243        0.74926596        0.03770285        0.00449985
       -9.57000000        3.32359032        0.04914211        3.08112755        0.17220929        0.02111137
       -9.56000000        1.07299981        0.02731701        0.99875247        0.04289371        0.00403662
       -9.55000000        1.06995917        0.03087915        0.99097933        0.04303041        0.00507028
       -9.54000000        1.04892752        0.02972932        0.97488975        0.03839456        0.00591389
       -9.53000000        1.06322025        0.02473121        1.00090145        0.03252855        0.00505904
       -9.52000000        0.99662428        0.02057603        0.94194692        0.02926430        0.00483703
       -9.51000000        0.81955274        0.01348700        0.77539455        0.02653466        0.00413654
       -9.50000000        0.65341229        0.01109799        0.61881087        0.02022490        0.00327853
       -9.49000000        2.10207874        0.06710579        1.91900685        0.10357400        0.01239210
       -9.48000000        4.05442114        0.10013749        3.75577860        0.18377690        0.01472814
       -9.47000000        0.95991976        0.02024121        0.89769020        0.03758849        0.00439986
       -9.46000000        0.96087716        0.02581983        0.89019544        0.04009211        0.00476978
       -9.45000000        0.85228077        0.02446717        0.78900253        0.03420259        0.00460848
       -9.44000000        0.71608482        0.02121907        0.66203008        0.02897345        0.00386222
       -9.43000000        0.68494371        0.01998031        0.63347825        0.02760605        0.00387911
       -9.42000000        0.73933726        0.02106581        0.68533648        0.02865440        0.00428056
       -9.41000000        0.70098477        0.01916668        0.64955604        0.02765577        0.00460629
       -9.40000000        0.75038561        0.02084030        0.69497263        0.02913542        0.00543726
       -9.39000000        0.96227281        0.01729526        0.89483416        0.04155843        0.00858496
       -9.38000000        0.82022257        0.01377127        0.76464714        0.03411368        0.00769046
       -9.37000000        0.65147024        0.01072701        0.60744626        0.02682517        0.00647180
       -9.36000000        0.65733247        0.01656093        0.60290720        0.03107046        0.00679388
       -9.35000000        1.31771392        0.01681287        1.23073754        0.05569299        0.01447051
       -9.34000000        0.63410454        0.00827224        0.58143952        0.03667306        0.00771972
       -9.33000000        0.44532654        0.00681762        0.40289220        0.03106970        0.00454702
       -9.32000000        0.19823592        0.00318716        0.18005838        0.01304131        0.00194906
       -9.31000000        0.26804469        0.00461523        0.24503273        0.01579036        0.00260637
       -9.30000000        0.58986376        0.01000474        0.54660065        0.02696189        0.00629649
       -9.29000000        0.94191527        0.01365475        0.88744040        0.02964140        0.01117872
       -9.28000000        0.30963822        0.00207584        0.29293523        0.01174748        0.00287968
       -9.27000000        0.50279413        0.01032282        0.47553139        0.01222342        0.00471650
       -9.26000000        0.48459503        0.00857948        0.45491925        0.01546729        0.00562900
       -9.25000000        0.68628906        0.00664430        0.64671909        0.02683155        0.00609412
       -9.24000000        3.36361207        0.09341865        3.06544292        0.17970590        0.02504460
       -9.23000000        0.78037595        0.01229053        0.72599172        0.03313670        0.00895700
       -9.22000000        1.00826834        0.02128147        0.92800541        0.04672535        0.01225611
