#  aims_uuid : 32E2CA7B-0136-4A85-A00F-677880496647                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.278293 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.72170731        0.30506031        0.02827487        0.26587917        0.00883940        0.00206688
       -5.71170731        0.32884630        0.02506555        0.29230882        0.00936954        0.00210239
       -5.70170731        0.35629690        0.01925113        0.32458109        0.01032951        0.00213517
       -5.69170731        1.21250423        0.06026970        1.10639052        0.03853475        0.00730927
       -5.68170731        0.34424398        0.01669172        0.31185409        0.01312926        0.00256891
       -5.67170731        0.28369567        0.01286379        0.25980596        0.00918675        0.00183917
       -5.66170731        0.20404742        0.00919087        0.18632536        0.00716669        0.00136450
       -5.65170731        0.62695753        0.02867942        0.56669288        0.02647347        0.00511176
       -5.64170731        0.28347971        0.01325090        0.25712041        0.01107142        0.00203698
       -5.63170731        0.27630041        0.01273975        0.25044791        0.01113207        0.00198067
       -5.62170731        0.26976401        0.01222354        0.24448194        0.01114124        0.00191731
       -5.61170731        0.27679533        0.01209178        0.25148923        0.01134649        0.00186783
       -5.60170731        0.28978443        0.01208905        0.26420342        0.01166094        0.00183102
       -5.59170731        0.30372456        0.01205668        0.27785228        0.01201192        0.00180368
       -5.58170731        0.31746757        0.01197485        0.29140659        0.01231496        0.00177117
       -5.57170731        0.33101346        0.01184356        0.30486635        0.01257008        0.00173348
       -5.56170731        0.34436224        0.01166281        0.31823157        0.01277726        0.00169060
       -5.55170731        0.35756328        0.01144312        0.33153536        0.01294144        0.00164336
       -5.54170731        0.37103298        0.01128379        0.34504210        0.01310782        0.00159928
       -5.53170731        0.35564781        0.01054403        0.33134599        0.01235811        0.00139967
       -5.52170731        0.78929830        0.02576652        0.72523509        0.03400829        0.00428840
       -5.51170731        0.45851862        0.01394451        0.42346719        0.01891721        0.00218971
       -5.50170731        0.51853664        0.01790381        0.47498917        0.02328832        0.00235534
       -5.49170731        0.62362245        0.02336760        0.56972001        0.02813158        0.00240326
       -5.48170731        0.27468751        0.00762534        0.25853667        0.00747816        0.00104733
       -5.47170731        0.42237849        0.01407232        0.39339256        0.01300443        0.00190917
       -5.46170731        0.43636822        0.01066423        0.40909585        0.01463944        0.00196869
       -5.45170731        0.35891084        0.00949123        0.33411898        0.01395967        0.00134095
       -5.44170731        0.98168714        0.02416470        0.91994686        0.03400436        0.00357122
       -5.43170731        0.57637594        0.01941836        0.53443763        0.02068831        0.00183164
       -5.42170731        1.15072833        0.04589259        1.06542698        0.03548640        0.00392236
       -5.41170731        1.10484368        0.05494045        1.01067699        0.03436285        0.00486339
       -5.40170731        0.71381183        0.03212406        0.65504503        0.02397848        0.00266425
       -5.39170731        0.55331121        0.02028875        0.50655586        0.02428081        0.00218580
