#  aims_uuid : 956FA417-A4D4-405E-A86F-18B2641EDD37                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.945407 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.05459276        0.11452576        0.01667819        0.01510588        0.08157937        0.00116231
       -5.04459276        0.08529426        0.01439683        0.00735258        0.06277245        0.00077239
       -5.03459276        1.01425049        0.03366859        0.14467850        0.80882243        0.02708097
       -5.02459276        0.72005953        0.01456812        0.05078367        0.63621803        0.01848971
       -5.01459276        0.45798370        0.06049192        0.02182101        0.36900798        0.00666279
       -5.00459276        0.35630193        0.03748991        0.02005711        0.29217530        0.00657962
       -4.99459276        0.27182816        0.02509344        0.01615126        0.22517513        0.00540832
       -4.98459276        1.44321429        0.12075348        0.12246840        1.17967042        0.02032199
       -4.97459276        0.34750224        0.03789425        0.02336888        0.28088888        0.00535022
       -4.96459276        0.34005249        0.03551817        0.02406784        0.27526444        0.00520205
       -4.95459276        0.33232442        0.03307441        0.02476195        0.26939978        0.00508828
       -4.94459276        0.33543767        0.03056424        0.02659967        0.27303653        0.00523724
       -4.93459276        0.34066174        0.02821239        0.02852459        0.27847838        0.00544637
       -4.92459276        0.34777051        0.02612008        0.03046400        0.28548398        0.00570245
       -4.91459276        0.35448557        0.02392854        0.03233340        0.29223597        0.00598765
       -4.90459276        0.36080692        0.02163778        0.03413281        0.29873436        0.00630198
       -4.89459276        0.36673457        0.01924781        0.03586221        0.30497914        0.00664541
       -4.88459276        0.37226851        0.01675861        0.03752162        0.31097031        0.00701797
       -4.87459276        0.37821433        0.01421017        0.03920688        0.31737459        0.00742269
       -4.86459276        0.38510854        0.01160753        0.04098576        0.32465430        0.00786096
       -4.85459276        0.39160502        0.00887409        0.04269982        0.33170370        0.00832741
       -4.84459276        0.78707143        0.04905446        0.05814274        0.66853886        0.01133537
       -4.83459276        0.48572024        0.05416588        0.06005576        0.36267452        0.00882407
       -4.82459276        0.54042768        0.04054587        0.08473221        0.40481479        0.01033481
       -4.81459276        0.35300028        0.00146229        0.03148777        0.31304013        0.00701009
       -4.80459276        0.39603766        0.00179178        0.03562971        0.35133857        0.00727759
       -4.79459276        0.82880714        0.00774002        0.06077794        0.74771116        0.01257803
       -4.78459276        0.42140025        0.00204491        0.02690201        0.38407438        0.00837894
       -4.77459276        1.36489994        0.00340242        0.08846066        1.24136365        0.03167320
       -4.76459276        0.30238151        0.00323112        0.03528671        0.25779598        0.00606770
       -4.75459276        0.94012399        0.00554117        0.11717268        0.79521550        0.02219464
       -4.74459276        0.88395725        0.02243029        0.15973158        0.68482599        0.01696939
       -4.73459276        0.73378441        0.03444602        0.13853023        0.54736071        0.01344745
       -4.72459276        0.58691233        0.02394722        0.09871843        0.45474282        0.00950385
       -4.71459276        0.86948148        0.02716148        0.17380810        0.65699416        0.01151773
       -4.70459276        1.21518784        0.05214233        0.28962208        0.85974475        0.01367868
       -4.69459276        0.51502703        0.01014049        0.07473125        0.42514717        0.00500811
       -4.68459276        0.61561330        0.01675072        0.11422157        0.47802432        0.00661668
       -4.67459276        2.35807553        0.10326788        0.36915605        1.85965617        0.02599543
       -4.66459276        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.65459276        3.46317684        0.21327334        0.37018846        2.84937496        0.03034008
       -4.64459276        1.43806098        0.05082657        0.26915407        1.10231375        0.01576658
       -4.63459276        1.41256759        0.04971074        0.19887209        1.14934163        0.01464312
       -4.62459276        1.06508508        0.02420232        0.16248684        0.86720267        0.01119325
       -4.61459276        1.01080823        0.02370176        0.19344665        0.78398239        0.00967742
       -4.60459276        1.98150717        0.04249857        0.32623807        1.59658433        0.01618620
       -4.59459276        1.53564294        0.02542171        0.36255384        1.13111706        0.01655034
