#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.29693611        0.33190093        0.01021844        0.05317865        0.26459447        0.00383265        0.00007673
       -5.28692610        0.32934252        0.00937327        0.05412391        0.26190608        0.00386498        0.00007428
       -5.27691609        0.32687877        0.00819613        0.05525272        0.25948408        0.00387358        0.00007226
       -5.26690608        0.22761581        0.00564189        0.03751101        0.18192118        0.00249421        0.00004752
       -5.25689607        0.22174427        0.00480671        0.03709014        0.17744275        0.00236034        0.00004434
       -5.24688606        0.14431625        0.00403150        0.02259720        0.11604828        0.00160772        0.00003154
       -5.23687605        0.14137597        0.00377972        0.02298364        0.11299219        0.00158976        0.00003066
       -5.22686604        0.13941938        0.00355327        0.02358372        0.11066901        0.00158352        0.00002986
       -5.21685603        0.15221348        0.00339662        0.02828234        0.11877044        0.00173407        0.00003000
       -5.20684602        0.16717662        0.00336251        0.03320725        0.12867479        0.00190102        0.00003104
       -5.19683601        0.18234079        0.00345198        0.03777207        0.13900922        0.00207467        0.00003286
       -5.18682600        0.19770599        0.00366501        0.04197679        0.14977374        0.00225500        0.00003545
       -5.17681599        0.21327221        0.00400162        0.04582141        0.16096834        0.00244203        0.00003881
       -5.16680598        0.22903946        0.00446180        0.04930594        0.17259302        0.00263576        0.00004294
       -5.15679597        0.37128922        0.00773056        0.06884504        0.29040499        0.00422859        0.00008004
       -5.14678596        0.47806208        0.01162812        0.08261447        0.37824562        0.00545463        0.00011924
       -5.13677595        0.55510720        0.01582364        0.09225699        0.44053519        0.00634221        0.00014916
       -5.12676594        0.63284816        0.02057293        0.10126675        0.50355627        0.00727094        0.00018127
       -5.11675593        0.71128496        0.02587597        0.10964374        0.56730888        0.00824082        0.00021556
       -5.10674592        0.53164962        0.02482580        0.06277893        0.43792231        0.00592776        0.00019481
       -5.09673591        0.60048593        0.03042750        0.06855690        0.49445518        0.00681812        0.00022823
       -5.08672590        0.43943172        0.02518348        0.05357523        0.35494849        0.00556192        0.00016260
       -5.07671589        0.42676523        0.02469546        0.05281597        0.34327111        0.00582750        0.00015519
       -5.06670588        0.44590556        0.03785516        0.06180328        0.34023127        0.00584887        0.00016698
       -5.05669587        0.30820628        0.03697377        0.04815691        0.21940626        0.00354664        0.00012269
       -5.04668586        0.17020367        0.02018288        0.02779753        0.12011308        0.00204269        0.00006749
       -5.03667585        0.07589428        0.00055424        0.01033076        0.06356064        0.00142439        0.00002426
       -5.02666584        1.22736760        0.25339626        0.22223690        0.74696199        0.00426049        0.00051195
       -5.01665583        0.47654561        0.08340205        0.08289448        0.30765792        0.00240451        0.00018665
       -5.00664582        0.41530095        0.06452198        0.07136050        0.27696021        0.00230470        0.00015356
