#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.703064 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.29693611        0.30660188        0.00728380        0.29135302        0.00695692        0.00100813
       -5.28692610        0.31928136        0.00758225        0.30387815        0.00677453        0.00104642
       -5.27691609        0.33412552        0.00785659        0.31869655        0.00647923        0.00109316
       -5.26690608        0.25407076        0.00618917        0.24230435        0.00472507        0.00085218
       -5.25689607        0.25961808        0.00630748        0.24834267        0.00410352        0.00086441
       -5.24688606        0.16257038        0.00391745        0.15529917        0.00284812        0.00050563
       -5.23687605        0.16358039        0.00392828        0.15647805        0.00267031        0.00050375
       -5.22686604        0.16584580        0.00398805        0.15883986        0.00251169        0.00050621
       -5.21685603        0.19145646        0.00470865        0.18371336        0.00245603        0.00057843
       -5.20684602        0.21977822        0.00543144        0.21125098        0.00244093        0.00065486
       -5.19683601        0.24723054        0.00611069        0.23792631        0.00246532        0.00072823
       -5.18682600        0.27381343        0.00674638        0.26373934        0.00252919        0.00079853
       -5.17681599        0.29952690        0.00733852        0.28869008        0.00263254        0.00086576
       -5.16680598        0.32437093        0.00788710        0.31277853        0.00277536        0.00092994
       -5.15679597        0.44656743        0.00962799        0.43093597        0.00452211        0.00148136
       -5.14678596        0.56514441        0.01188590        0.54535251        0.00601137        0.00189464
       -5.13677595        0.64177624        0.01340457        0.61911477        0.00708230        0.00217460
       -5.12676594        0.71419652        0.01481233        0.68871763        0.00821538        0.00245118
       -5.11675593        0.78240525        0.01610917        0.75416110        0.00941060        0.00272438
       -5.10674592        0.45646949        0.00819271        0.43923246        0.00706899        0.00197532
       -5.09673591        0.49808505        0.00908933        0.47865994        0.00811803        0.00221775
       -5.08672590        0.34894859        0.00625259        0.33509435        0.00590112        0.00170053
       -5.07671589        0.32473810        0.00554403        0.31169353        0.00579571        0.00170482
       -5.06670588        0.32182866        0.00687286        0.30744390        0.00583774        0.00167416
       -5.05669587        0.22592690        0.00673226        0.21445688        0.00369425        0.00104351
       -5.04668586        0.14478974        0.00495885        0.13715837        0.00206877        0.00060375
       -5.03667585        0.09572577        0.00284952        0.09125975        0.00121494        0.00040156
       -5.02666584        0.37493815        0.01907448        0.34572560        0.00887406        0.00126401
       -5.01665583        0.17488958        0.00876690        0.16171115        0.00374816        0.00066336
       -5.00664582        0.15149631        0.00806474        0.13948551        0.00333549        0.00061058
       -4.99663581        0.12715907        0.00716922        0.11654721        0.00289716        0.00054548
       -4.98662580        0.10187785        0.00608033        0.09289626        0.00243317        0.00046809
       -4.97661579        0.07565266        0.00479809        0.06853265        0.00194352        0.00037840
       -4.96660578        0.04848349        0.00332250        0.04345639        0.00142821        0.00027640
       -4.95659577        0.03412021        0.00225564        0.03063808        0.00101396        0.00021254
       -4.94658576        0.02129843        0.00114835        0.01942024        0.00058601        0.00014383
       -4.93657575        0.01287352        0.00037667        0.01210548        0.00029607        0.00009530
       -4.92656574        0.01239672        0.00034203        0.01167414        0.00028357        0.00009698
       -4.91655573        0.20166296        0.00497316        0.19191434        0.00397203        0.00080344
       -4.90654572        0.19848663        0.00482409        0.18892189        0.00394247        0.00079818
       -4.89653571        0.21022709        0.00469410        0.20060418        0.00409651        0.00083230
       -4.88652570        0.22056567        0.00459451        0.21086497        0.00424219        0.00086400
       -4.87651569        0.22950239        0.00452531        0.21970427        0.00437952        0.00089329
       -4.86650568        0.23703724        0.00448652        0.22712207        0.00450850        0.00092015
       -4.85649567        0.24317022        0.00447812        0.23311837        0.00462912        0.00094460
       -4.84648566        0.24790132        0.00450012        0.23769317        0.00474139        0.00096663
       -4.83647565        0.25123055        0.00455252        0.24084648        0.00484531        0.00098625
       -4.82646564        0.25315792        0.00463532        0.24257829        0.00494087        0.00100344
       -4.81645563        0.25368341        0.00474852        0.24288860        0.00502807        0.00101822
       -4.80644562        0.25280703        0.00489211        0.24177741        0.00510693        0.00103058
       -4.79643561        0.25052878        0.00506611        0.23924473        0.00517742        0.00104052
