#  aims_uuid : 282258B3-0A00-4C8B-ABE0-40F779DADCD2                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.31204113        0.00617174        0.29861468        0.00618586        0.00106885
       -9.98998999        0.31262141        0.00625192        0.29948087        0.00580837        0.00108025
       -9.97997998        0.31622030        0.00638565        0.30331385        0.00541767        0.00110313
       -9.96996997        0.22493933        0.00464904        0.21577771        0.00374208        0.00077050
       -9.95995996        0.22815556        0.00469159        0.21911821        0.00356882        0.00077694
       -9.94994995        0.13688116        0.00269392        0.13118390        0.00251951        0.00048382
       -9.93993994        0.13726079        0.00270692        0.13163294        0.00243405        0.00048688
       -9.92992993        0.13856254        0.00276767        0.13294065        0.00236043        0.00049378
       -9.91991992        0.15957757        0.00342557        0.15317990        0.00240393        0.00056817
       -9.90990991        0.18266745        0.00401263        0.17550473        0.00250222        0.00064787
       -9.89989990        0.20447778        0.00452814        0.19658327        0.00264069        0.00072568
       -9.88988989        0.22500858        0.00497211        0.21641551        0.00281936        0.00080160
       -9.87987988        0.24425983        0.00534452        0.23500146        0.00303822        0.00087563
       -9.86986987        0.26223154        0.00564539        0.25234111        0.00329727        0.00094777
       -9.85985986        0.42144755        0.00640135        0.40771300        0.00610536        0.00122785
       -9.84984985        0.51209372        0.00808811        0.49423567        0.00803697        0.00173297
       -9.83983984        0.57639099        0.00900762        0.55574908        0.00959071        0.00204359
       -9.82982983        0.63894384        0.00986215        0.61550561        0.01122422        0.00235188
       -9.81981982        0.69975227        0.01065168        0.67350525        0.01293749        0.00265784
       -9.80980981        0.47645754        0.00582736        0.45852704        0.01022419        0.00187895
       -9.79979980        0.52526175        0.00675511        0.50463991        0.01172177        0.00214495
       -9.78978979        0.40003248        0.00616567        0.38336751        0.00895776        0.00154154
       -9.77977978        0.40298339        0.00642299        0.38621820        0.00890022        0.00144198
       -9.76976977        0.39408503        0.00639010        0.37676671        0.00941905        0.00150918
       -9.75975976        0.23364450        0.00421353        0.22170022        0.00664012        0.00109062
       -9.74974975        0.11957382        0.00264304        0.11261591        0.00367147        0.00064340
       -9.73973974        0.06631243        0.00187696        0.06255158        0.00156718        0.00031671
       -9.72972973        0.69859270        0.00982097        0.65967630        0.02575684        0.00333859
       -9.71971972        0.29257644        0.00451243        0.27728760        0.00943028        0.00134613
       -9.70970971        0.26611684        0.00385378        0.25342246        0.00766032        0.00118028
       -9.69969970        0.23638629        0.00319089        0.22613495        0.00604924        0.00101122
       -9.68968969        0.20338481        0.00252376        0.19542507        0.00459704        0.00083894
       -9.67967968        0.16711240        0.00185239        0.16129283        0.00330372        0.00066346
       -9.66966967        0.12756904        0.00117679        0.12373821        0.00216927        0.00048477
       -9.65965966        0.09018539        0.00075171        0.08770635        0.00139369        0.00033364
       -9.64964965        0.04957479        0.00036508        0.04822086        0.00080738        0.00018148
       -9.63963964        0.02170990        0.00012290        0.02099654        0.00050927        0.00008119
       -9.62962963        0.02094310        0.00012142        0.02026808        0.00047732        0.00007627
       -9.61961962        0.29042734        0.00528804        0.28148341        0.00276197        0.00089393
       -9.60960961        0.29052748        0.00498390        0.28189893        0.00278726        0.00085739
       -9.59959960        0.30010954        0.00488410        0.29137712        0.00299447        0.00085385
       -9.58958959        0.30844224        0.00480972        0.29959498        0.00318497        0.00085257
       -9.57957958        0.31552559        0.00476075        0.30655252        0.00335876        0.00085356
       -9.56956957        0.32135958        0.00473719        0.31224974        0.00351584        0.00085681
       -9.55955956        0.32594422        0.00473905        0.31668663        0.00365621        0.00086233
       -9.54954955        0.32927951        0.00476632        0.31986320        0.00377987        0.00087012
       -9.53953954        0.33136544        0.00481901        0.32177944        0.00388681        0.00088018
       -9.52952953        0.33220201        0.00489710        0.32243536        0.00397705        0.00089250
       -9.51951952        0.33178923        0.00500062        0.32183096        0.00405057        0.00090708
       -9.50950951        0.33012710        0.00512954        0.31996624        0.00410738        0.00092394
       -9.49949950        0.32721561        0.00528388        0.31684119        0.00414749        0.00094306
       -9.48948949        0.55432874        0.00922329        0.53491619        0.00823274        0.00195652
       -9.47947948        0.47229542        0.00863666        0.45494160        0.00704034        0.00167682
       -9.46946947        0.61382106        0.00971721        0.59181067        0.00996402        0.00232917
       -9.45945946        0.51727730        0.00836638        0.49790801        0.00901051        0.00199240
       -9.44944945        0.33129693        0.00594957        0.31648905        0.00737328        0.00148503
       -9.43943944        0.21546556        0.00240900        0.20613779        0.00596069        0.00095808
       -9.42942943        0.19782147        0.00233995        0.18846696        0.00617744        0.00083711
       -9.41941942        0.18459207        0.00235810        0.17507176        0.00645165        0.00071056
       -9.40940941        0.17577736        0.00246342        0.16595219        0.00678330        0.00057844
       -9.39939940        0.18949472        0.00289440        0.17840755        0.00763845        0.00055432
       -9.38938939        0.21914286        0.00368720        0.20589890        0.00890514        0.00065163
       -9.37937938        0.25226781        0.00489058        0.23614180        0.01040113        0.00083430
       -9.36936937        0.28754489        0.00647634        0.26799348        0.01206100        0.00101408
       -9.35935936        0.82829552        0.01969552        0.77176304        0.03439452        0.00244243
       -9.34934935        0.09790748        0.00520516        0.08858737        0.00339136        0.00072360
       -9.33933934        0.12038317        0.00724445        0.10782440        0.00444058        0.00087374
       -9.32932933        0.14416232        0.00961913        0.12790520        0.00561717        0.00102082
       -9.31931932        2.99401814        0.24778787        2.63145426        0.10070472        0.01407129
       -9.30930931        0.72518457        0.05727115        0.62910571        0.03469644        0.00411127
       -9.29929930        1.53118068        0.11287342        1.34050677        0.06932200        0.00847849
       -9.28928929        1.88630412        0.15177959        1.65567462        0.06882840        0.01002150
       -9.27927928        4.25217985        0.34369784        3.69707488        0.18464095        0.02676618
       -9.26926927        2.23777507        0.19768101        1.95354089        0.07565806        0.01089510
       -9.25925926        2.86786773        0.22843895        2.50455523        0.12051528        0.01435826
       -9.24924925        3.78834665        0.27722275        3.32597946        0.16399191        0.02115253
       -9.23923924        3.33496165        0.23423650        2.95458440        0.12769667        0.01844408
       -9.22922923        1.55636211        0.10302843        1.38385231        0.06128382        0.00819755
       -9.21921922        1.91171548        0.11690883        1.71663024        0.06860406        0.00957236
       -9.20920921        1.71732388        0.12812257        1.51306447        0.06724208        0.00889476
       -9.19919920        1.79324085        0.12388279        1.56799878        0.09092109        0.01043819
       -9.18918919        0.91316142        0.06130301        0.80798492        0.03931078        0.00456271
       -9.17917918        1.64793994        0.09400693        1.43055705        0.11351340        0.00986256
       -9.16916917        2.18446629        0.14171882        1.92694034        0.10209819        0.01370894
       -9.15915916        2.42097940        0.15159126        2.13046692        0.12561262        0.01330860
       -9.14914915        2.03469379        0.15708516        1.77385376        0.09269922        0.01105566
       -9.13913914        1.85032274        0.15633808        1.59959140        0.08404073        0.01035253
       -9.12912913        0.50290774        0.03648421        0.44566356        0.01851265        0.00224731
       -9.11911912        0.51599863        0.03776490        0.45820538        0.01767874        0.00234961
       -9.10910911        0.62875593        0.04635570        0.55808224        0.02115127        0.00316672
       -9.09909910        0.54299197        0.04135548        0.48036239        0.01846757        0.00280654
       -9.08908909        0.79989214        0.06157154        0.70826867        0.02613192        0.00392001
       -9.07907908        0.86276748        0.05853459        0.76898463        0.03082861        0.00441965
       -9.06906907        1.18513380        0.05744851        1.08299777        0.03884158        0.00584595
       -9.05905906        1.37692033        0.07256311        1.25869684        0.03921232        0.00644806
       -9.04904905        1.51936721        0.07337545        1.39713668        0.03922670        0.00962837
       -9.03903904        0.78697177        0.03712806        0.72082271        0.02332556        0.00569544
       -9.02902903        0.47547267        0.02355774        0.43591245        0.01336787        0.00263462
       -9.01901902        0.33866216        0.01620731        0.30982904        0.01060439        0.00202142
       -9.00900901        0.66850726        0.04359848        0.59752974        0.02312717        0.00425187
       -8.99899900        0.60160318        0.03623745        0.53624463        0.02480779        0.00431331
       -8.98898899        0.33761809        0.02108878        0.30071497        0.01338866        0.00242567
       -8.97897898        0.30922189        0.01919609        0.27536488        0.01240601        0.00225491
       -8.96896897        0.28104524        0.01731218        0.25024133        0.01141238        0.00207936
       -8.95895896        0.25308816        0.01543706        0.22534432        0.01040777        0.00189900
       -8.94894895        0.22535062        0.01357073        0.20067387        0.00939219        0.00171383
       -8.93893894        0.19783265        0.01171320        0.17622996        0.00836563        0.00152386
       -8.92892893        0.17053422        0.00986445        0.15201260        0.00732809        0.00132909
       -8.91891892        0.14345536        0.00802449        0.12802179        0.00627957        0.00112951
       -8.90890891        0.11659605        0.00619331        0.10425753        0.00522008        0.00092513
       -8.89889890        0.34488137        0.01110980        0.31565309        0.01561120        0.00250728
       -8.88888889        0.45814547        0.01593203        0.41660198        0.02154494        0.00406652
       -8.87887888        0.47729468        0.01527824        0.43830125        0.01988040        0.00383478
       -8.86886887        0.50029354        0.01507121        0.46310030        0.01843278        0.00368924
       -8.85885886        0.67784631        0.03047949        0.62228486        0.02041179        0.00467017
       -8.84884885        0.57464217        0.02524863        0.52931540        0.01648824        0.00358990
       -8.83883884        0.44261860        0.02016491        0.40750319        0.01233358        0.00261691
       -8.82882883        0.35798548        0.01660580        0.32904346        0.01013443        0.00220179
       -8.81881882        0.31662271        0.01462472        0.29064180        0.00932814        0.00202805
       -8.80880881        0.28222712        0.01329886        0.25838892        0.00866547        0.00187387
       -8.79879880        0.26105409        0.01213342        0.23893436        0.00821922        0.00176709
       -8.78878879        0.25025797        0.01105769        0.22958393        0.00792775        0.00168859
       -8.77877878        0.25409372        0.01006720        0.23455753        0.00782268        0.00164632
       -8.76876877        0.26748294        0.00919571        0.24879837        0.00786557        0.00162329
       -8.75875876        0.28669079        0.00865891        0.26826565        0.00813958        0.00162665
       -8.74874875        0.35383201        0.01072936        0.32945189        0.01150078        0.00214998
       -8.73873874        0.42301675        0.01246350        0.39346827        0.01447235        0.00261263
       -8.72872873        0.49321410        0.01386102        0.45935232        0.01699593        0.00300484
       -8.71871872        0.56442407        0.01492191        0.52710403        0.01907150        0.00332662
       -8.70870871        0.63664665        0.01564618        0.59672342        0.02069909        0.00357796
       -8.69869870        0.70988185        0.01603383        0.66821048        0.02187867        0.00375887
       -8.68868869        0.27952877        0.00514265        0.26665344        0.00666742        0.00106527
       -8.67867868        0.30644722        0.00612094        0.29155600        0.00761236        0.00115793
       -8.66866867        0.33054896        0.00720646        0.31347004        0.00863525        0.00123721
       -8.65865866        0.35183397        0.00839921        0.33239557        0.00973609        0.00130311
       -8.64864865        0.37030227        0.00969919        0.34833258        0.01091488        0.00135562
       -8.63863864        0.22163631        0.00837603        0.20347698        0.00894705        0.00083625
       -8.62862863        0.16675000        0.00627095        0.15365386        0.00622271        0.00060248
       -8.61861862        0.73398936        0.02299171        0.67989932        0.02811983        0.00297850
       -8.60860861        0.94910748        0.02051854        0.88545983        0.03967283        0.00345629
       -8.59859860        1.24071513        0.03752593        1.15036422        0.04655729        0.00626770
       -8.58858859        0.50502638        0.01416920        0.45840383        0.02785547        0.00459788
       -8.57857858        0.80664328        0.01656129        0.74563910        0.03872636        0.00571653
       -8.56856857        1.09737783        0.01988391        1.03080824        0.04151858        0.00516710
       -8.55855856        0.34665802        0.00513004        0.32589864        0.01370642        0.00192292
       -8.54854855        0.44109189        0.01825918        0.39702550        0.02156706        0.00424015
       -8.53853854        1.80349624        0.04514355        1.64539732        0.10127450        0.01168088
       -8.52852853        0.80610600        0.01783893        0.73767895        0.04461792        0.00597021
       -8.51851852        0.65738824        0.01112737        0.59612018        0.04321349        0.00692720
       -8.50850851        1.97357904        0.02147584        1.86633249        0.07826287        0.00750785
       -8.49849850        2.31765940        0.01888148        2.21614984        0.07281102        0.00981706
       -8.48848849        0.62299824        0.00556635        0.59371928        0.02167290        0.00203971
       -8.47847848        2.42261053        0.03894370        2.29550988        0.08023167        0.00792529
