#  aims_uuid : E0B071FE-6498-47A6-A752-875227F10387                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.26894099        0.00601262        0.25625508        0.00566194        0.00101135
       -9.99000000        0.22746977        0.00464436        0.21755492        0.00448036        0.00079014
       -9.98000000        0.25941396        0.00560345        0.24840590        0.00450423        0.00090038
       -9.97000000        0.21104923        0.00471955        0.20172013        0.00385073        0.00075883
       -9.96000000        0.22845659        0.00519882        0.21855262        0.00388265        0.00082250
       -9.95000000        0.24497128        0.00562105        0.23451501        0.00395084        0.00088439
       -9.94000000        0.26059330        0.00598622        0.24960730        0.00405528        0.00094450
       -9.93000000        0.32296205        0.00661353        0.31021398        0.00506895        0.00106559
       -9.92000000        0.36979060        0.00780530        0.35476857        0.00588966        0.00132707
       -9.91000000        0.40129942        0.00840514        0.38494294        0.00648643        0.00146491
       -9.90000000        0.43166319        0.00894932        0.41400814        0.00710784        0.00159788
       -9.89000000        0.46088192        0.00943786        0.44196417        0.00775390        0.00172599
       -9.88000000        0.48895560        0.00987076        0.46881102        0.00842460        0.00184923
       -9.87000000        0.45434799        0.00886801        0.43610635        0.00769972        0.00167392
       -9.86000000        0.42525020        0.00780468        0.40888236        0.00708217        0.00148099
       -9.85000000        0.32759130        0.00578698        0.31475318        0.00595482        0.00109632
       -9.84000000        0.38900632        0.00762464        0.37276083        0.00718737        0.00143348
       -9.83000000        0.22354525        0.00423120        0.21357275        0.00489979        0.00084151
       -9.82000000        0.22493971        0.00428282        0.21466539        0.00512903        0.00086248
       -9.81000000        0.22643517        0.00431863        0.21587440        0.00535825        0.00088389
       -9.80000000        0.22803163        0.00433864        0.21719980        0.00558745        0.00090574
       -9.79000000        0.22972909        0.00434285        0.21864157        0.00581663        0.00092804
       -9.78000000        0.23152755        0.00433125        0.22019973        0.00604579        0.00095077
       -9.77000000        0.23342701        0.00430385        0.22187427        0.00627493        0.00097395
       -9.76000000        0.23542747        0.00426065        0.22366519        0.00650405        0.00099758
       -9.75000000        0.43389505        0.00761473        0.41069995        0.01364656        0.00193382
       -9.74000000        0.17077473        0.00387439        0.15979820        0.00625972        0.00084242
       -9.73000000        0.05468194        0.00126069        0.05179156        0.00138973        0.00023996
       -9.72000000        1.48700465        0.02264499        1.40721669        0.05068714        0.00645584
       -9.71000000        0.40358483        0.00713194        0.38150642        0.01326562        0.00168085
       -9.70000000        0.34125362        0.00559989        0.32531517        0.00902297        0.00131560
       -9.69000000        0.23777946        0.00364258        0.22805173        0.00522418        0.00086098
       -9.68000000        0.09316234        0.00126001        0.08971611        0.00186922        0.00031700
       -9.67000000        0.03630020        0.00034953        0.03502899        0.00080943        0.00011225
       -9.66000000        0.16368893        0.00428688        0.15597959        0.00294092        0.00048154
       -9.65000000        0.27194373        0.00686320        0.26004299        0.00424179        0.00079576
       -9.64000000        0.25897899        0.00641968        0.24773608        0.00406134        0.00076189
       -9.63000000        0.24596017        0.00599004        0.23536250        0.00387998        0.00072765
       -9.62000000        0.24106843        0.00574020        0.23074212        0.00386558        0.00072054
       -9.61000000        0.24795581        0.00574478        0.23735337        0.00410352        0.00075413
       -9.60000000        0.25502985        0.00575583        0.24413795        0.00434645        0.00078962
       -9.59000000        0.26229057        0.00577333        0.25109585        0.00459438        0.00082701
       -9.58000000        0.26973795        0.00579729        0.25822707        0.00484730        0.00086629
       -9.57000000        0.27737200        0.00582771        0.26553162        0.00510521        0.00090746
       -9.56000000        0.28519272        0.00586459        0.27300948        0.00536811        0.00095054
       -9.55000000        0.29320010        0.00590793        0.28066067        0.00563600        0.00099550
       -9.54000000        0.54878538        0.00953551        0.52684344        0.01029232        0.00211411
       -9.53000000        0.47853852        0.00870063        0.45853147        0.00942974        0.00187667
       -9.52000000        0.41051249        0.00783006        0.39254795        0.00849496        0.00163952
       -9.51000000        0.34470728        0.00692378        0.32889287        0.00748797        0.00140266
       -9.50000000        0.28112289        0.00598180        0.26756624        0.00640877        0.00116608
       -9.49000000        0.19027914        0.00458264        0.18017902        0.00464350        0.00087398
       -9.48000000        0.11939449        0.00280709        0.11299794        0.00304685        0.00054261
       -9.47000000        0.04677029        0.00168769        0.04376024        0.00104430        0.00027806
       -9.46000000        0.15744312        0.00182888        0.15223070        0.00273295        0.00065059
       -9.45000000        0.28636120        0.00323689        0.27670041        0.00535590        0.00106799
       -9.44000000        0.27547282        0.00286005        0.26598359        0.00569099        0.00093819
       -9.43000000        0.25860594        0.00256648        0.24925529        0.00596324        0.00082094
       -9.42000000        0.23576056        0.00235616        0.22651551        0.00617264        0.00071624
       -9.41000000        0.20693666        0.00222911        0.19776426        0.00631920        0.00062409
       -9.40000000        0.17213426        0.00218533        0.16300153        0.00640291        0.00054449
       -9.39000000        0.25723425        0.00291625        0.24193791        0.01165885        0.00072124
       -9.38000000        0.20808180        0.00317098        0.19427478        0.00998390        0.00065214
       -9.37000000        0.16573086        0.00321203        0.15344007        0.00850249        0.00057626
       -9.36000000        0.13018140        0.00303941        0.11943378        0.00721461        0.00049360
       -9.35000000        0.11673584        0.00296161        0.10689987        0.00639816        0.00047620
       -9.34000000        0.14864229        0.00519195        0.13453042        0.00810082        0.00081911
       -9.33000000        0.07363390        0.00283278        0.06800441        0.00224102        0.00055569
       -9.32000000        0.10535246        0.00491615        0.09601471        0.00362883        0.00079276
       -9.31000000        0.53042867        0.02620880        0.48723518        0.01455443        0.00243025
       -9.30000000        1.30415050        0.07450228        1.18361062        0.04048184        0.00555576
       -9.29000000        0.88655461        0.06182306        0.78562596        0.03420145        0.00490414
       -9.28000000        1.76098516        0.11802763        1.53937130        0.09191395        0.01167228
       -9.27000000        1.81508712        0.11276575        1.62601987        0.06762867        0.00867283
       -9.26000000        2.59910451        0.18823945        2.25637731        0.13525513        0.01923262
       -9.25000000        1.89842136        0.13656958        1.66576089        0.08427098        0.01181992
       -9.24000000        2.38791841        0.19761312        2.08816545        0.09009357        0.01204627
       -9.23000000        1.95557663        0.16280679        1.70307511        0.07873793        0.01095680
       -9.22000000        2.73161586        0.22813965        2.37157027        0.11627875        0.01562720
       -9.21000000        8.02036075        0.66015976        6.98793188        0.32776802        0.04450109
       -9.20000000        1.59357162        0.11774427        1.39399939        0.07265019        0.00917777
       -9.19000000        1.82879273        0.11328913        1.62386620        0.08283864        0.00879876
       -9.18000000        1.34976004        0.09213405        1.18818345        0.06216693        0.00727561
       -9.17000000        3.02523506        0.20258602        2.65345825        0.15189336        0.01729743
       -9.16000000        1.06736995        0.06473488        0.93606701        0.05979714        0.00677092
       -9.15000000       18.17294012        1.36091558       15.78931215        0.89492801        0.12778438
       -9.14000000        2.88289138        0.21109197        2.53543256        0.11978351        0.01658334
       -9.13000000        2.15366718        0.16460431        1.89169250        0.08563368        0.01173669
       -9.12000000        1.44290246        0.11743315        1.25021243        0.06684724        0.00840963
       -9.11000000        1.77626542        0.13722396        1.53669812        0.09123361        0.01110972
       -9.10000000        1.36596225        0.09344803        1.21179914        0.05352180        0.00719329
       -9.09000000        1.06851922        0.05929765        0.96903051        0.03512033        0.00507074
       -9.08000000        1.04594720        0.04412963        0.97049669        0.02647988        0.00484100
       -9.07000000        0.51702641        0.03508218        0.45483190        0.02285014        0.00426218
       -9.06000000        1.36043808        0.07762900        1.22279638        0.05022472        0.00978798
       -9.05000000        0.33240063        0.01975506        0.30016185        0.01064045        0.00184326
       -9.04000000        1.92677307        0.12234284        1.73609658        0.05844604        0.00988760
       -9.03000000        0.91133730        0.05240012        0.82338285        0.03083220        0.00472212
       -9.02000000        7.89191053        0.20940951        7.42369747        0.22919228        0.02961127
       -9.01000000        0.70629421        0.05253239        0.62493753        0.02548951        0.00333478
       -9.00000000        0.29356212        0.02171380        0.25969259        0.01061271        0.00154301
       -8.99000000        0.26499883        0.01934848        0.23425369        0.00993893        0.00145772
       -8.98000000        0.23825769        0.01720586        0.21036466        0.00930616        0.00138100
       -8.97000000        0.38841581        0.03084451        0.34222035        0.01313022        0.00222074
       -8.96000000        0.45056130        0.03444413        0.39797721        0.01548707        0.00265288
       -8.95000000        0.50477081        0.03568468        0.44760068        0.01838243        0.00310302
       -8.94000000        0.55104434        0.03456615        0.49109076        0.02181628        0.00357115
       -8.93000000        0.44226012        0.02274166        0.39914549        0.01754437        0.00282860
       -8.92000000        0.33333198        0.01691676        0.30266371        0.01181460        0.00193691
       -8.91000000        0.29237304        0.01383455        0.26678230        0.01010888        0.00164732
       -8.90000000        0.24884533        0.01103189        0.22794449        0.00849370        0.00137526
       -8.89000000        0.20274885        0.00850879        0.18615027        0.00696906        0.00112073
       -8.88000000        0.15408361        0.00626526        0.14139965        0.00553497        0.00088373
       -8.87000000        0.10284959        0.00430127        0.09369262        0.00419143        0.00066427
       -8.86000000        0.63263532        0.04108362        0.56734295        0.01971081        0.00449794
       -8.85000000        1.11669260        0.03891763        1.04383214        0.02785635        0.00608649
       -8.84000000        0.77921984        0.02911112        0.70530292        0.03836978        0.00643602
       -8.83000000       16.68053597        0.81815508       14.78318167        0.90835076        0.17084845
       -8.82000000        0.23104329        0.00712936        0.21271025        0.00962859        0.00157509
       -8.81000000        0.21397015        0.00662147        0.19692612        0.00897939        0.00144317
