#  aims_uuid : EACBEF09-772F-436F-AC11-EA72FC92FBAC                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.169223 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.83077673        0.24848167        0.00715705        0.23325973        0.00700248        0.00106240
       -4.82077673        0.16243710        0.00530206        0.15189238        0.00459901        0.00064364
       -4.81077673        0.16415963        0.00541430        0.15366286        0.00442322        0.00065925
       -4.80077673        0.16847205        0.00558569        0.15788398        0.00431703        0.00068534
       -4.79077673        0.17351804        0.00578622        0.16277671        0.00424023        0.00071488
       -4.78077673        0.17929761        0.00601589        0.16834105        0.00419281        0.00074786
       -4.77077673        0.18581076        0.00627471        0.17457698        0.00417477        0.00078430
       -4.76077673        0.19305748        0.00656267        0.18148452        0.00418611        0.00082418
       -4.75077673        0.20103778        0.00687978        0.18906366        0.00422683        0.00086751
       -4.74077673        0.20975166        0.00722602        0.19731441        0.00429694        0.00091429
       -4.73077673        0.21919911        0.00760142        0.20623675        0.00439643        0.00096451
       -4.72077673        0.28772487        0.00998473        0.27032522        0.00603806        0.00137685
       -4.71077673        0.38344479        0.01207392        0.36164617        0.00797882        0.00174587
       -4.70077673        0.43992176        0.01361709        0.41506305        0.00923478        0.00200685
       -4.69077673        0.49768875        0.01517023        0.46968189        0.01055760        0.00227903
       -4.68077673        0.31344723        0.00748560        0.29709180        0.00738669        0.00148313
       -4.67077673        0.36326055        0.00861157        0.34426922        0.00865085        0.00172891
       -4.66077673        0.41373728        0.00972577        0.39207190        0.00995605        0.00198356
       -4.65077673        0.46487744        0.01082821        0.44049983        0.01130232        0.00224709
       -4.64077673        0.51668100        0.01191888        0.48955301        0.01268963        0.00251948
       -4.63077673        0.40061074        0.00896735        0.37971406        0.01013027        0.00179907
       -4.62077673        0.44018211        0.00994524        0.41681257        0.01147582        0.00194848
       -4.61077673        0.38919442        0.01054976        0.36590389        0.01100343        0.00173734
       -4.60077673        0.32744247        0.01013128        0.30599959        0.00983489        0.00147672
       -4.59077673        0.25492627        0.00868980        0.23709967        0.00797019        0.00116661
       -4.58077673        0.17164581        0.00622532        0.15920413        0.00540935        0.00080701
       -4.57077673        0.07760108        0.00273783        0.07231298        0.00215235        0.00039792
       -4.56077673        0.03512739        0.00102836        0.03321605        0.00067691        0.00020606
       -4.55077673        0.91241047        0.03866786        0.83171844        0.03769455        0.00432962
       -4.54077673        0.69915125        0.02590692        0.64371870        0.02635307        0.00317256
       -4.53077673        0.50034168        0.01571601        0.46549090        0.01697967        0.00215510
       -4.52077673        0.32318913        0.00837660        0.30377843        0.00970456        0.00132954
       -4.51077673        0.16189205        0.00371790        0.15309137        0.00442204        0.00066075
       -4.50077673        0.03701422        0.00180193        0.03350911        0.00149427        0.00020891
       -4.49077673        0.03439578        0.00169367        0.03110359        0.00139736        0.00020116
       -4.48077673        0.22427327        0.00851683        0.20870942        0.00614529        0.00090173
       -4.47077673        0.20998103        0.00808678        0.19519050        0.00583166        0.00087209
       -4.46077673        0.20085858        0.00776594        0.18658168        0.00565318        0.00085778
       -4.45077673        0.20219875        0.00767813        0.18789289        0.00575100        0.00087673
       -4.44077673        0.20346170        0.00759076        0.18914568        0.00583028        0.00089498
       -4.43077673        0.20464743        0.00750383        0.19034006        0.00589101        0.00091252
       -4.42077673        0.20575593        0.00741735        0.19147602        0.00593321        0.00092936
       -4.41077673        0.20678722        0.00733131        0.19255357        0.00595685        0.00094549
       -4.40077673        0.20774128        0.00724572        0.19357270        0.00596195        0.00096091
       -4.39077673        0.20861813        0.00716057        0.19453342        0.00594851        0.00097563
       -4.38077673        0.20941775        0.00707586        0.19543572        0.00591653        0.00098964
       -4.37077673        0.21014015        0.00699160        0.19627960        0.00586600        0.00100295
       -4.36077673        0.21078533        0.00690778        0.19706507        0.00579692        0.00101556
       -4.35077673        0.21135328        0.00682440        0.19779212        0.00570930        0.00102745
       -4.34077673        0.21184402        0.00674147        0.19846076        0.00560314        0.00103865
       -4.33077673        0.39114933        0.01319031        0.36522437        0.01042645        0.00230819
       -4.32077673        0.33629934        0.01007294        0.31617344        0.00833071        0.00172224
       -4.31077673        0.45912325        0.00639865        0.44167431        0.00910413        0.00194616
       -4.30077673        0.34654611        0.00403156        0.33374112        0.00726455        0.00150889
       -4.29077673        0.23715197        0.00217528        0.22810973        0.00571871        0.00114826
       -4.28077673        0.21106916        0.00208450        0.20234227        0.00560505        0.00103735
       -4.27077673        0.18715585        0.00213358        0.17859360        0.00550719        0.00092148
       -4.26077673        0.16550042        0.00234032        0.15691361        0.00543651        0.00080998
       -4.25077673        0.14550425        0.00266041        0.13679541        0.00536137        0.00068706
       -4.24077673        0.12716735        0.00309384        0.11823900        0.00528177        0.00055273
       -4.23077673        0.11742703        0.00367049        0.10796924        0.00535105        0.00043626
       -4.22077673        0.13150507        0.00452552        0.12058922        0.00592816        0.00046217
       -4.21077673        0.15456061        0.00564130        0.14170828        0.00667628        0.00053476
       -4.20077673        0.35201594        0.01072151        0.32002575        0.02010413        0.00116454
       -4.19077673        0.30108496        0.01395385        0.27067431        0.01535215        0.00110464
       -4.18077673        0.25092276        0.01465253        0.22409971        0.01117262        0.00099790
       -4.17077673        0.20152935        0.01281755        0.18030194        0.00756554        0.00084432
       -4.16077673        0.15290473        0.00844890        0.13928101        0.00453091        0.00064391
       -4.15077673        0.15218867        0.00821634        0.13881155        0.00448611        0.00067467
       -4.14077673        0.16624611        0.01043721        0.14955140        0.00545255        0.00080495
       -4.13077673        0.17893547        0.01292571        0.15855820        0.00650713        0.00094442
       -4.12077673        3.48986625        0.32270051        3.03931062        0.11295415        0.01490096
       -4.11077673        1.73807134        0.15792813        1.48829600        0.07981450        0.01203271
       -4.10077673        2.60159721        0.23022291        2.25496346        0.10230249        0.01410835
       -4.09077673        2.79940575        0.18266962        2.46486340        0.13443757        0.01743516
       -4.08077673        1.12932585        0.10682745        0.97130849        0.04479241        0.00639751
       -4.07077673        1.59401496        0.14274314        1.38772847        0.05495988        0.00858348
       -4.06077673        2.79723054        0.19165572        2.48047767        0.10773346        0.01736370
       -4.05077673        3.86898490        0.29741939        3.38017585        0.16683781        0.02455185
       -4.04077673        1.73905189        0.14562293        1.51011659        0.07321294        0.01009942
       -4.03077673        1.08583858        0.06829883        0.94658607        0.06386220        0.00709148
       -4.02077673        1.04893467        0.06537580        0.91428207        0.06297288        0.00630391
       -4.01077673        0.88306691        0.05986439        0.76496253        0.05298771        0.00525229
       -4.00077673        1.78542952        0.12799320        1.55799189        0.09010621        0.00933822
       -3.99077673        0.91530314        0.05438527        0.80475879        0.05129096        0.00486812
       -3.98077673        1.65631716        0.10631948        1.44543529        0.09483146        0.00973093
       -3.97077673        4.44187969        0.29533040        3.90714289        0.21330100        0.02610540
       -3.96077673        1.95102183        0.15085734        1.70635537        0.08291813        0.01089098
       -3.95077673        1.55119227        0.11632832        1.35972082        0.06628890        0.00885424
       -3.94077673        1.81559817        0.12617365        1.59468251        0.08404627        0.01069574
       -3.93077673        1.13725776        0.07251204        0.99540859        0.06132490        0.00801224
       -3.92077673        0.50240472        0.02477797        0.44931162        0.02425724        0.00405789
       -3.91077673        0.50869577        0.02178216        0.46198764        0.02085832        0.00406765
       -3.90077673        1.10058405        0.05692539        1.00031079        0.03612940        0.00721847
       -3.89077673        2.36430444        0.10052660        2.19102729        0.05997905        0.01277149
       -3.88077673        0.14260760        0.00397061        0.13515353        0.00286929        0.00061417
       -3.87077673        1.83821893        0.16620356        1.60513190        0.05701044        0.00987302
       -3.86077673        1.45119675        0.11887041        1.27645822        0.04767928        0.00818884
       -3.85077673        0.21762956        0.01314787        0.19326435        0.01006754        0.00114981
       -3.84077673        0.31533376        0.01807490        0.27966609        0.01594380        0.00164897
       -3.83077673        0.16060807        0.00936971        0.14243092        0.00785068        0.00095676
       -3.82077673        0.15796642        0.00892375        0.14007925        0.00796383        0.00099958
       -3.81077673        0.15506190        0.00848194        0.13750492        0.00803579        0.00103924
       -3.80077673        0.23783666        0.01416384        0.21117026        0.01100397        0.00149859
       -3.79077673        0.29596226        0.01728821        0.26342341        0.01334798        0.00190266
       -3.78077673        0.35065682        0.01944261        0.31292351        0.01591964        0.00237106
       -3.77077673        0.40192034        0.02062704        0.35967054        0.01871895        0.00290381
       -3.76077673        0.37980168        0.01793162        0.34141360        0.01758039        0.00287606
       -3.75077673        0.26017345        0.01164562        0.23482022        0.01177683        0.00193078
       -3.74077673        0.23084257        0.00970200        0.20886455        0.01054525        0.00173077
       -3.73077673        0.20103222        0.00797557        0.18219367        0.00933593        0.00152705
       -3.72077673        0.17074240        0.00646632        0.15480759        0.00814888        0.00131962
       -3.71077673        0.13997312        0.00517426        0.12670631        0.00698408        0.00110847
       -3.70077673        0.10872436        0.00409937        0.09788983        0.00584155        0.00089360
       -3.69077673        0.07699614        0.00324167        0.06835815        0.00472129        0.00067503
       -3.68077673        0.20399777        0.00729537        0.18198593        0.01248417        0.00223231
       -3.67077673        1.22464317        0.09758177        1.07365973        0.04417390        0.00922776
       -3.66077673        0.45929326        0.02190967        0.40783227        0.02468994        0.00486139
       -3.65077673        0.34697702        0.01145996        0.31988972        0.01315463        0.00247271
       -3.64077673        0.25682002        0.00768620        0.23746400        0.00992343        0.00174639
       -3.63077673        1.05093716        0.04363517        0.94984777        0.04843061        0.00902360
       -3.62077673        0.33166247        0.01035882        0.30524695        0.01373366        0.00232304
       -3.61077673        0.34454368        0.01192108        0.31605068        0.01420661        0.00236531
       -3.60077673        0.37579745        0.01411048        0.34415067        0.01504254        0.00249377
       -3.59077673        0.40645069        0.01570643        0.37231234        0.01582604        0.00260588
       -3.58077673        0.43827957        0.01677619        0.40206879        0.01671823        0.00271635
       -3.57077673        0.47171219        0.01733426        0.43378129        0.01776903        0.00282761
       -3.56077673        0.50456314        0.01729414        0.46556201        0.01878450        0.00292250
       -3.55077673        0.53683243        0.01665582        0.49741095        0.01976465        0.00300100
       -3.54077673        0.56852004        0.01541932        0.52932812        0.02070947        0.00306313
       -3.53077673        0.60021224        0.01363031        0.56178456        0.02167849        0.00311888
       -3.52077673        0.50997787        0.01091557        0.47612090        0.02047060        0.00247080
       -3.51077673        1.01374052        0.01925397        0.94112332        0.04739588        0.00596735
       -3.50077673        0.42123909        0.00662223        0.39714610        0.01570826        0.00176251
       -3.49077673        0.46228142        0.00716489        0.43435587        0.01888102        0.00187965
       -3.48077673        0.50519804        0.00813829        0.47242270        0.02264477        0.00199228
       -3.47077673        0.78563374        0.00699468        0.74936183        0.02690548        0.00237176
