#  aims_uuid : EACBEF09-772F-436F-AC11-EA72FC92FBAC                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.36364303        0.00931045        0.34452801        0.00853203        0.00127254
       -9.99000000        0.19872098        0.00495787        0.18709198        0.00599399        0.00067714
       -9.98000000        0.20627919        0.00488629        0.19520217        0.00550104        0.00068969
       -9.97000000        0.21613420        0.00501445        0.20531719        0.00508578        0.00071678
       -9.96000000        0.22571320        0.00514891        0.21509613        0.00472313        0.00074504
       -9.95000000        0.23501620        0.00528965        0.22453899        0.00441312        0.00077444
       -9.94000000        0.24404318        0.00543669        0.23364578        0.00415572        0.00080499
       -9.93000000        0.25279416        0.00559001        0.24241649        0.00395095        0.00083670
       -9.92000000        0.26126913        0.00574963        0.25085113        0.00379881        0.00086956
       -9.91000000        0.26946809        0.00591554        0.25894969        0.00369929        0.00090357
       -9.90000000        0.27739104        0.00608774        0.26671217        0.00365240        0.00093873
       -9.89000000        0.33879554        0.00793399        0.32521182        0.00429010        0.00135964
       -9.88000000        0.43776008        0.00862721        0.42109691        0.00639361        0.00164235
       -9.87000000        0.48728482        0.00919327        0.46877039        0.00748096        0.00184020
       -9.86000000        0.53542144        0.00975563        0.51498451        0.00863770        0.00204361
       -9.85000000        0.29793595        0.00456946        0.28561060        0.00644638        0.00130952
       -9.84000000        0.34060456        0.00477001        0.32677847        0.00756153        0.00149455
       -9.83000000        0.38236100        0.00492712        0.36705256        0.00869755        0.00168378
       -9.82000000        0.42320529        0.00504077        0.40643286        0.00985445        0.00187720
       -9.81000000        0.46313742        0.00511098        0.44491939        0.01103222        0.00207483
       -9.80000000        0.34601267        0.00414088        0.33234809        0.00805494        0.00146876
       -9.79000000        0.36670938        0.00466330        0.35179940        0.00866685        0.00157983
       -9.78000000        0.28970340        0.00343179        0.27751314        0.00746793        0.00129054
       -9.77000000        0.22197452        0.00240047        0.21234841        0.00621032        0.00101532
       -9.76000000        0.16352274        0.00156934        0.15630521        0.00489400        0.00075419
       -9.75000000        0.11434806        0.00093840        0.10938355        0.00351897        0.00050714
       -9.74000000        0.07445047        0.00050764        0.07158341        0.00208525        0.00027417
       -9.73000000        0.05162686        0.00034625        0.04984388        0.00127067        0.00016607
       -9.72000000        0.19087298        0.00637789        0.16973378        0.01238825        0.00237307
       -9.71000000        0.18844741        0.00705614        0.17000089        0.00954053        0.00184985
       -9.70000000        0.16362166        0.00671317        0.14878468        0.00678416        0.00133966
       -9.69000000        0.12858115        0.00541912        0.11784703        0.00443191        0.00088309
       -9.68000000        0.07463479        0.00311697        0.06879386        0.00227190        0.00045206
       -9.67000000        0.01241214        0.00041217        0.01135990        0.00053886        0.00010121
       -9.66000000        0.01242258        0.00038474        0.01144817        0.00049331        0.00009636
       -9.65000000        0.26817304        0.00309711        0.26106445        0.00327931        0.00073218
       -9.64000000        0.25444733        0.00309434        0.24755357        0.00308867        0.00071076
       -9.63000000        0.24456447        0.00319656        0.23769383        0.00297163        0.00070246
       -9.62000000        0.24319044        0.00352388        0.23593055        0.00301271        0.00072329
       -9.61000000        0.24288976        0.00380753        0.23526945        0.00306919        0.00074360
       -9.60000000        0.24366243        0.00404750        0.23571050        0.00314105        0.00076338
       -9.59000000        0.24550846        0.00424379        0.23725372        0.00322831        0.00078264
       -9.58000000        0.24842784        0.00439640        0.23989911        0.00333096        0.00080137
       -9.57000000        0.25242058        0.00450533        0.24364666        0.00344900        0.00081958
       -9.56000000        0.25748667        0.00457058        0.24849638        0.00358244        0.00083727
       -9.55000000        0.26362611        0.00459215        0.25444827        0.00373126        0.00085444
       -9.54000000        0.27083891        0.00457004        0.26150231        0.00389548        0.00087108
       -9.53000000        0.27912506        0.00450425        0.26965853        0.00407509        0.00088720
       -9.52000000        0.28848457        0.00439478        0.27891691        0.00427009        0.00090279
       -9.51000000        0.29891743        0.00424163        0.28927745        0.00448049        0.00091786
       -9.50000000        0.69459609        0.00521074        0.67715557        0.01002276        0.00220703
       -9.49000000        0.55588060        0.00485100        0.54119015        0.00826694        0.00157250
       -9.48000000        0.49328254        0.00693223        0.47478668        0.00988134        0.00168230
       -9.47000000        0.34602415        0.00534482        0.33166767        0.00767993        0.00133173
       -9.46000000        0.21463502        0.00378305        0.20421545        0.00556798        0.00106854
       -9.45000000        0.19064215        0.00337947        0.18086626        0.00540590        0.00099052
       -9.44000000        0.16711798        0.00307225        0.15791209        0.00523706        0.00089658
       -9.43000000        0.14486112        0.00286439        0.13614379        0.00505898        0.00079397
       -9.42000000        0.12231650        0.00274560        0.11403129        0.00486879        0.00067082
       -9.41000000        0.09948411        0.00271589        0.09157460        0.00466648        0.00052713
       -9.40000000        0.08825292        0.00281117        0.08043520        0.00461315        0.00039340
       -9.39000000        0.09460833        0.00329368        0.08573603        0.00512381        0.00045480
       -9.38000000        0.11334955        0.00393016        0.10307306        0.00581909        0.00052724
       -9.37000000        0.28051148        0.00589839        0.25496043        0.01847966        0.00117300
       -9.36000000        0.24473958        0.00850956        0.22209755        0.01307981        0.00105266
       -9.35000000        0.20436048        0.00938076        0.18516032        0.00891015        0.00090925
       -9.34000000        0.15937416        0.00851198        0.14414873        0.00597066        0.00074278
