#  aims_uuid : CEEA4ABD-C7D9-4836-A5BD-DEA31F7D55B3                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.148416 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.85158384        0.05183746        0.00000333        0.01850295        0.03257057        0.00075411        0.00000651
       -5.84157383        1.55804641        0.04713695        0.14442547        1.35323990        0.01252896        0.00071512
       -5.83156382        1.31237657        0.06851490        0.14310914        1.08837581        0.01199965        0.00037707
       -5.82155381        1.29996176        0.09410559        0.12776048        1.06571781        0.01189657        0.00048131
       -5.81154380        1.08122931        0.00943851        0.12457660        0.93647068        0.01033585        0.00040767
       -5.80153379        0.40056738        0.00327068        0.05000691        0.34314312        0.00400427        0.00014240
       -5.79152378        0.35655833        0.00182298        0.04769095        0.30319623        0.00374077        0.00010739
       -5.78151377        0.31677193        0.00081437        0.04585627        0.26655315        0.00346502        0.00008312
       -5.77150376        0.28120817        0.00024483        0.04450287        0.23321387        0.00317701        0.00006959
       -5.76149375        0.26176588        0.00010877        0.04574278        0.21282141        0.00302559        0.00006733
       -5.75148374        0.92903986        0.00018911        0.21750437        0.69883072        0.01230061        0.00021505
       -5.74147373        0.19285413        0.00012721        0.03500221        0.15538273        0.00229021        0.00005177
       -5.73146372        0.20106508        0.00014708        0.03796809        0.16046521        0.00243111        0.00005359
       -5.72145371        0.20956415        0.00016875        0.04058565        0.16617455        0.00257924        0.00005596
       -5.71144370        0.21835131        0.00019220        0.04285488        0.17251075        0.00273459        0.00005889
       -5.70143369        0.22742659        0.00021745        0.04477579        0.17947381        0.00289716        0.00006238
       -5.69142368        0.28778877        0.00031601        0.05303560        0.23061865        0.00373082        0.00008769
       -5.68141367        0.31418711        0.00036744        0.05678700        0.25279966        0.00413447        0.00009854
       -5.67140366        0.34040662        0.00041811        0.06042462        0.27490900        0.00454588        0.00010902
       -5.66139365        0.36644731        0.00046804        0.06394846        0.29694664        0.00496505        0.00011913
       -5.65138364        0.39230918        0.00051721        0.06735851        0.31891260        0.00539199        0.00012887
       -5.64137363        0.41799222        0.00056563        0.07065477        0.34080687        0.00582670        0.00013824
       -5.63136362        0.44349643        0.00061329        0.07383725        0.36262946        0.00626918        0.00014725
       -5.62135361        0.32071353        0.00047769        0.04854774        0.26705208        0.00452018        0.00011585
       -5.61134360        0.28994008        0.00024205        0.05464038        0.23082735        0.00415440        0.00007590
       -5.60133359        0.32539463        0.00026451        0.06308997        0.25721257        0.00474569        0.00008190
       -5.59132358        0.19938925        0.00018922        0.03182511        0.16448392        0.00282525        0.00006574
       -5.58131357        0.21037117        0.00020293        0.03271966        0.17437023        0.00300726        0.00007109
       -5.57130356        0.22178626        0.00021693        0.03351122        0.18478200        0.00319922        0.00007689
       -5.56129355        0.23363451        0.00023123        0.03419979        0.19571922        0.00340114        0.00008312
       -5.55128354        0.24591592        0.00024582        0.03478537        0.20718191        0.00361302        0.00008979
       -5.54127353        0.25863050        0.00026071        0.03526796        0.21917006        0.00383485        0.00009691
       -5.53126352        0.27177823        0.00027590        0.03564756        0.23168367        0.00406664        0.00010447
       -5.52125351        0.28535914        0.00029138        0.03592417        0.24472274        0.00430839        0.00011246
       -5.51124350        0.27688710        0.00029667        0.03409233        0.23814755        0.00423958        0.00011098
       -5.50123349        0.19611804        0.00027059        0.02588806        0.16676255        0.00311941        0.00007743
       -5.49122348        0.15446982        0.00024658        0.02077025        0.13087737        0.00251428        0.00006134
       -5.48121347        0.11276815        0.00020426        0.01515524        0.09549906        0.00186404        0.00004554
       -5.47120346        0.07101302        0.00014364        0.00904304        0.06062762        0.00116871        0.00003001
       -5.46119345        0.03236274        0.00007171        0.00292335        0.02886257        0.00048913        0.00001598
       -5.45118344        0.03087495        0.00007933        0.00278485        0.02752359        0.00047160        0.00001557
       -5.44117343        0.02939094        0.00008593        0.00264708        0.02618912        0.00045367        0.00001513
       -5.43116342        0.13363707        0.00032580        0.02418426        0.10675975        0.00233270        0.00003457
       -5.42115341        0.16844422        0.00048648        0.03083319        0.13412993        0.00295006        0.00004456
       -5.41114340        0.19810639        0.00064821        0.03601914        0.15793626        0.00344727        0.00005549
       -5.40113339        0.20349072        0.00073868        0.03636754        0.16270328        0.00362111        0.00006011
       -5.39112338        0.20875255        0.00083177        0.03667784        0.16739137        0.00378684        0.00006473
       -5.38111337        0.21389189        0.00092749        0.03695005        0.17200052        0.00394447        0.00006936
       -5.37110336        0.21890874        0.00102584        0.03718416        0.17653075        0.00409400        0.00007399
       -5.36109335        0.22380309        0.00112681        0.03738018        0.18098204        0.00423543        0.00007864
       -5.35108334        0.22857495        0.00123041        0.03753810        0.18535440        0.00436876        0.00008329
       -5.34107333        0.23322431        0.00133663        0.03765792        0.18964782        0.00449399        0.00008794
       -5.33106332        0.23775117        0.00144548        0.03773965        0.19386232        0.00461112        0.00009261
       -5.32105331        0.24215555        0.00155696        0.03778328        0.19799788        0.00472014        0.00009728
       -5.31104330        0.24643742        0.00167107        0.03778882        0.20205451        0.00482106        0.00010196
       -5.30103329        0.47435675        0.00323203        0.06293883        0.39890102        0.00904358        0.00024128
       -5.29102328        0.42101714        0.00291322        0.05657495        0.35338818        0.00793154        0.00020925
       -5.28101327        0.36713110        0.00258778        0.05007220        0.30744517        0.00684825        0.00017770
       -5.27100326        0.31269864        0.00225570        0.04343059        0.26107200        0.00579372        0.00014662
       -5.26099325        0.25771975        0.00191700        0.03665012        0.21426867        0.00476794        0.00011603
       -5.25098324        0.20219444        0.00157166        0.02973079        0.16703517        0.00377091        0.00008592
       -5.24097323        0.09404923        0.00075005        0.01424851        0.07724851        0.00176454        0.00003762
       -5.23096322        0.05282485        0.00047379        0.00878033        0.04250701        0.00104622        0.00001749
       -5.22095321        0.21062625        0.00112901        0.02824447        0.17693915        0.00420554        0.00010810
       -5.21094320        0.20010310        0.00172935        0.03012272        0.16418364        0.00396617        0.00010123
       -5.20093319        0.18969870        0.00242948        0.03178343        0.15167086        0.00371898        0.00009596
       -5.19092318        0.17941307        0.00322939        0.03322660        0.13940080        0.00346398        0.00009230
       -5.18091317        0.16924620        0.00412907        0.03445224        0.12737348        0.00320116        0.00009025
       -5.17090316        0.15919810        0.00512854        0.03546035        0.11558889        0.00293052        0.00008980
       -5.16089315        0.14926876        0.00622778        0.03625092        0.10404702        0.00265207        0.00009096
       -5.15088314        0.18776873        0.01060917        0.05679023        0.11706973        0.00319236        0.00010725
       -5.14087313        0.16415855        0.01160302        0.05078584        0.09902872        0.00262547        0.00011551
       -5.13086312        0.14026387        0.01213255        0.04511470        0.08082388        0.00207490        0.00011784
       -5.12085311        0.14958155        0.01256943        0.04349294        0.09112886        0.00225306        0.00013726
       -5.11084310        0.18081437        0.01353747        0.04558381        0.11879548        0.00272486        0.00017275
       -5.10083309        0.34241678        0.02190649        0.10609337        0.20944162        0.00470554        0.00026976
       -5.09082308        0.28625257        0.02298765        0.06695843        0.19248448        0.00350722        0.00031479
       -5.08081307        0.22981436        0.01422465        0.04059549        0.17242036        0.00231546        0.00025840
       -5.07080306        1.91637283        0.32373654        0.43004626        1.13524829        0.02483883        0.00250291
       -5.06079305        1.76455752        0.06045838        0.21027991        1.48627474        0.00569270        0.00185179
       -5.05078304        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04077303        5.00623374        0.25612046        0.78119552        3.93889734        0.02452006        0.00550037
       -5.03076302        2.79058082        0.20190477        0.45068885        2.11189442        0.02310695        0.00298583
       -5.02075301        1.48506300        0.10540759        0.22033938        1.14519142        0.01258230        0.00154231
       -5.01074300        2.11037175        0.10244398        0.23193013        1.76532623        0.00849570        0.00217571
       -5.00073298        1.72182030        0.45826087        0.31830480        0.92657466        0.01599822        0.00268177
       -4.99072297        1.65088930        0.34591574        0.33961532        0.94752162        0.01536744        0.00246919
       -4.98071296        2.16131971        0.36939651        0.42605410        1.34441880        0.01854574        0.00290456
       -4.97070295        2.41897828        0.20346200        0.41887327        1.76917448        0.02489379        0.00257473
       -4.96069294        1.67344250        0.14408523        0.28795827        1.22351052        0.01625832        0.00163016
       -4.95068293        1.46013030        0.13578710        0.26576024        1.04235607        0.01488374        0.00134316
       -4.94067292        1.44181832        0.18520249        0.29677065        0.94207466        0.01635167        0.00141885
       -4.93066291        1.90035898        0.11409807        0.36431526        1.40343552        0.01698487        0.00152526
       -4.92065290        4.09562138        0.18748415        0.64463054        3.23055385        0.02956393        0.00338891
       -4.91064289        0.74796202        0.12068721        0.09520226        0.52652237        0.00455747        0.00099269
       -4.90063288        3.41700529        0.45963484        0.61745560        2.30280782        0.03294860        0.00415843
       -4.89062287        2.48732723        0.27203253        0.35230104        1.84106226        0.01895290        0.00297850
       -4.88061286        0.93612545        0.24483741        0.15400129        0.52625152        0.00933142        0.00170381
       -4.87060285        1.15736933        0.30622024        0.17251702        0.66441478        0.01210382        0.00211347
       -4.86059284        2.66984478        0.80886379        0.26759519        1.56051801        0.02816330        0.00470450
       -4.85058283        0.84164330        0.16402600        0.10310997        0.55860098        0.01478113        0.00112522
       -4.84057282        0.32424883        0.04352936        0.05321521        0.21986329        0.00731882        0.00032216
       -4.83056281        0.19327924        0.04179181        0.04524268        0.10248394        0.00354542        0.00021539
       -4.82055280        2.68824026        0.22442141        0.36495528        2.05012902        0.04655601        0.00217854
       -4.81054279        1.47490444        0.09970403        0.19872521        1.14711750        0.02816164        0.00119605
       -4.80053278        0.68595983        0.05180142        0.09785372        0.52626687        0.00938445        0.00065337
       -4.79052277        1.03157616        0.07597572        0.13350122        0.80592887        0.01524645        0.00092389
       -4.78051276        1.30811239        0.04488982        0.14116289        1.08888135        0.03202218        0.00115615
       -4.77050275        0.18705119        0.02329900        0.02265671        0.13833794        0.00251180        0.00024574
       -4.76049274        0.18795757        0.02544706        0.02116892        0.13867502        0.00240171        0.00026486
       -4.75048273        0.18831459        0.02746259        0.01975063        0.13852934        0.00228943        0.00028260
       -4.74047272        0.26302861        0.04037837        0.03000417        0.18874242        0.00352163        0.00038201
       -4.73046271        0.32776471        0.05325763        0.03768053        0.23205609        0.00427417        0.00049628
