#  aims_uuid : CEEA4ABD-C7D9-4836-A5BD-DEA31F7D55B3                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.06519261        0.00001398        0.01491371        0.04974637        0.00051454        0.00000401
       -9.98998999        1.56271150        0.04969730        0.13558669        1.36441723        0.01229168        0.00071861
       -9.97997998        1.32358366        0.06820837        0.14263347        1.10080387        0.01157018        0.00036777
       -9.96996997        1.28979948        0.09379976        0.13170978        1.05268894        0.01114248        0.00045851
       -9.95995996        1.04878062        0.00938024        0.13374245        0.89551539        0.00975466        0.00038788
       -9.94994995        0.40462262        0.00327594        0.05689514        0.34048129        0.00382337        0.00014688
       -9.93993994        0.35763188        0.00182615        0.05540435        0.29660844        0.00367854        0.00011442
       -9.92992993        0.31761827        0.00081513        0.05230403        0.26091921        0.00348896        0.00009093
       -9.91991992        0.28458177        0.00024291        0.04759420        0.23341362        0.00325463        0.00007641
       -9.90990991        0.26855228        0.00010406        0.04454015        0.22071622        0.00312008        0.00007176
       -9.89989990        0.87818889        0.00027836        0.17030572        0.70024686        0.00722633        0.00013162
       -9.88988989        0.19391745        0.00011791        0.03288127        0.15844912        0.00241497        0.00005417
       -9.87987988        0.20063913        0.00013639        0.03540538        0.16245428        0.00258718        0.00005589
       -9.86986987        0.20791216        0.00015702        0.03771938        0.16721680        0.00276079        0.00005817
       -9.85985986        0.21573653        0.00017982        0.03982326        0.17273668        0.00293579        0.00006098
       -9.84984985        0.22411225        0.00020478        0.04171703        0.17901390        0.00311219        0.00006434
       -9.83983984        0.28423382        0.00030444        0.05015490        0.22972275        0.00396218        0.00008954
       -9.82982983        0.31093094        0.00035886        0.05429709        0.25179046        0.00438422        0.00010030
       -9.81981982        0.33776569        0.00041317        0.05848099        0.27395086        0.00481000        0.00011067
       -9.80980981        0.36473809        0.00046738        0.06270659        0.29620393        0.00523951        0.00012067
       -9.79979980        0.39184812        0.00052148        0.06697389        0.31854969        0.00567277        0.00013030
       -9.78978979        0.41909580        0.00057547        0.07128289        0.34098813        0.00610976        0.00013954
