#  aims_uuid : CEEA4ABD-C7D9-4836-A5BD-DEA31F7D55B3                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.148416 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.85158384        0.08756003        0.00188204        0.08507939        0.00032236        0.00027624
       -5.84157383        1.28944126        0.02325434        1.19308906        0.06829308        0.00480478
       -5.83156382        1.04097291        0.02341096        0.96407960        0.05013839        0.00334396
       -5.82155381        1.08360631        0.01325100        1.02095159        0.04596096        0.00344276
       -5.81154380        0.94174872        0.01483899        0.89802246        0.02536785        0.00351942
       -5.80153379        0.38678531        0.00665388        0.36900132        0.00975658        0.00137353
       -5.79152378        0.36354256        0.00658411        0.34802421        0.00767637        0.00125787
       -5.78151377        0.33634043        0.00626170        0.32283090        0.00610236        0.00114547
       -5.77150376        0.30517890        0.00568664        0.29342138        0.00503455        0.00103633
       -5.76149375        0.28399921        0.00523885        0.27320518        0.00457684        0.00097834
       -5.75148374        0.71755929        0.01683054        0.68602921        0.01176351        0.00293604
       -5.74147373        0.20090208        0.00379051        0.19307622        0.00331426        0.00072109
       -5.73146372        0.20995435        0.00405299        0.20176840        0.00337146        0.00076150
       -5.72145371        0.21946494        0.00430528        0.21090839        0.00344815        0.00080312
       -5.71144370        0.22943386        0.00454739        0.22049619        0.00354432        0.00084595
       -5.70143369        0.23986110        0.00477932        0.23053180        0.00365999        0.00088999
       -5.69142368        0.30204615        0.00583321        0.29034288        0.00472852        0.00114154
       -5.68141367        0.33127976        0.00637365        0.31846152        0.00518745        0.00125715
       -5.67140366        0.36118797        0.00693453        0.34723517        0.00564621        0.00137206
       -5.66139365        0.39177079        0.00751587        0.37666382        0.00610481        0.00148629
       -5.65138364        0.42302821        0.00811766        0.40674747        0.00656325        0.00159984
       -5.64137363        0.45496023        0.00873989        0.43748612        0.00702152        0.00171270
       -5.63136362        0.48756687        0.00938258        0.46887978        0.00747963        0.00182487
       -5.62135361        0.35145916        0.00648870        0.33799446        0.00564657        0.00132944
       -5.61134360        0.33501763        0.00696624        0.32216996        0.00469874        0.00118270
       -5.60133359        0.37358088        0.00783225        0.35920652        0.00523158        0.00131054
       -5.59132358        0.21355255        0.00394553        0.20523570        0.00356399        0.00080733
       -5.58131357        0.22281845        0.00401558        0.21416769        0.00378450        0.00085067
       -5.57130356        0.23195988        0.00406191        0.22299129        0.00401123        0.00089545
       -5.56129355        0.24097683        0.00408450        0.23170650        0.00424415        0.00094168
       -5.55128354        0.24986932        0.00408335        0.24031331        0.00448329        0.00098937
       -5.54127353        0.25863732        0.00405847        0.24881173        0.00472863        0.00103850
       -5.53126352        0.26728086        0.00400985        0.25720175        0.00498017        0.00108909
       -5.52125351        0.27579993        0.00393750        0.26548338        0.00523793        0.00114112
       -5.51124350        0.26454443        0.00364165        0.25474122        0.00505851        0.00110305
       -5.50123349        0.19028810        0.00272793        0.18334142        0.00344830        0.00077045
       -5.49122348        0.15000683        0.00214803        0.14459579        0.00266059        0.00060241
       -5.48121347        0.10921260        0.00154326        0.10530671        0.00192347        0.00043915
       -5.47120346        0.06790541        0.00091361        0.06547419        0.00123694        0.00028067
       -5.46119345        0.02883665        0.00029761        0.02776640        0.00063590        0.00013674
       -5.45118344        0.02757294        0.00028547        0.02655092        0.00060523        0.00013131
       -5.44117343        0.02630679        0.00027322        0.02533298        0.00057477        0.00012582
       -5.43116342        0.15299191        0.00321408        0.14691553        0.00235358        0.00050872
       -5.42115341        0.19600530        0.00423359        0.18805272        0.00306752        0.00065147
       -5.41114340        0.23183310        0.00509665        0.22220650        0.00374748        0.00078246
       -5.40113339        0.23740771        0.00505305        0.22773085        0.00382284        0.00080096
       -5.39112338        0.24275089        0.00501957        0.23300767        0.00390391        0.00081975
       -5.38111337        0.24786264        0.00499620        0.23803696        0.00399068        0.00083881
       -5.37110336        0.25274297        0.00498294        0.24281872        0.00408315        0.00085817
       -5.36109335        0.25739188        0.00497979        0.24735294        0.00418133        0.00087781
       -5.35108334        0.26180935        0.00498675        0.25163964        0.00428522        0.00089774
       -5.34107333        0.26599540        0.00500383        0.25567881        0.00439481        0.00091795
       -5.33106332        0.26995002        0.00503103        0.25947044        0.00451011        0.00093845
       -5.32105331        0.27367322        0.00506833        0.26301454        0.00463111        0.00095923
       -5.31104330        0.27716499        0.00511575        0.26631111        0.00475783        0.00098030
       -5.30103329        0.49868745        0.00835665        0.47915210        0.00914723        0.00203147
       -5.29102328        0.43636017        0.00757944        0.41891825        0.00807691        0.00178558
       -5.28101327        0.37618189        0.00677621        0.36084924        0.00701720        0.00153924
       -5.27100326        0.31815261        0.00594696        0.30494508        0.00596811        0.00129245
       -5.26099325        0.26227231        0.00509168        0.25120577        0.00492964        0.00104522
       -5.25098324        0.20854101        0.00421038        0.19963131        0.00390178        0.00079753
       -5.24097323        0.09803035        0.00202583        0.09381859        0.00182427        0.00036165
       -5.23096322        0.06017564        0.00131751        0.05758571        0.00108505        0.00018737
       -5.22095321        0.21649861        0.00268913        0.20866166        0.00417945        0.00096836
       -5.21094320        0.20834746        0.00246036        0.20025897        0.00471705        0.00091109
       -5.20093319        0.20050188        0.00231598        0.19214158        0.00518945        0.00085487
       -5.19092318        0.19296186        0.00225600        0.18430949        0.00559665        0.00079972
       -5.18091317        0.18572740        0.00228042        0.17676270        0.00593866        0.00074562
       -5.17090316        0.17879851        0.00238925        0.16950120        0.00621547        0.00069259
       -5.16089315        0.17217518        0.00258247        0.16252501        0.00642708        0.00064061
       -5.15088314        0.22891144        0.00328249        0.21421708        0.01067056        0.00074131
       -5.14087313        0.20582215        0.00383285        0.19193896        0.00939483        0.00065551
       -5.13086312        0.18165012        0.00417258        0.16869621        0.00821984        0.00056149
       -5.12085311        0.18967877        0.00466629        0.17660138        0.00777024        0.00064086
       -5.11084310        0.21721080        0.00585593        0.20242133        0.00809757        0.00083598
       -5.10083309        0.40390027        0.00979717        0.37364133        0.01897766        0.00148411
       -5.09082308        0.32469512        0.01245054        0.29865650        0.01217245        0.00141563
       -5.08081307        0.22094891        0.01148899        0.20016810        0.00804179        0.00125003
       -5.07080306        2.00293230        0.12006368        1.80912686        0.06515518        0.00858658
       -5.06079305        1.30965438        0.10090329        1.12869874        0.06965556        0.01039679
       -5.05078304        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04077303        4.18434074        0.31272007        3.64284210        0.20062206        0.02815651
       -5.03076302        2.52228568        0.16624123        2.23849739        0.10307647        0.01447060
       -5.02075301        1.30690631        0.08611963        1.15926328        0.05386317        0.00766023
       -5.01074300        1.59580401        0.12580553        1.37385892        0.08397802        0.01216154
       -5.00073298        1.74408034        0.14117157        1.52412119        0.06937871        0.00940887
       -4.99072297        1.68654397        0.12597886        1.48555695        0.06634963        0.00865853
       -4.98071296        2.16218764        0.16895446        1.89383907        0.08771159        0.01168251
       -4.97070295        2.14092413        0.13372225        1.90821970        0.08710045        0.01188173
       -4.96069294        1.60169214        0.10558045        1.41571551        0.07173937        0.00865681
       -4.95068293        1.43259484        0.09102193        1.26606559        0.06813034        0.00737697
       -4.94067292        1.52022569        0.10449715        1.34077602        0.06761407        0.00733846
       -4.93066291        1.78720598        0.10287514        1.57523427        0.09957163        0.00952493
       -4.92065290        3.50518587        0.18592820        3.07972269        0.21992179        0.01961319
       -4.91064289        0.60819869        0.04567723        0.52958218        0.02893202        0.00400726
       -4.90063288        3.47705624        0.28549667        3.03334885        0.13869374        0.01951698
       -4.89062287        2.21011474        0.17012088        1.92248979        0.10370851        0.01379556
       -4.88061286        0.84499446        0.05925745        0.74509537        0.03557804        0.00506360
       -4.87060285        1.01339978        0.06584589        0.89895664        0.04235065        0.00624659
       -4.86059284        2.17554400        0.14908189        1.91703591        0.09418806        0.01523813
       -4.85058283        0.81915258        0.04211805        0.74781884        0.02443441        0.00478127
       -4.84057282        0.38620510        0.02205716        0.35350271        0.00873220        0.00191303
       -4.83056281        0.26173920        0.02388849        0.22970860        0.00690117        0.00124093
       -4.82055280        2.71773289        0.18359399        2.44169993        0.07889359        0.01354539
       -4.81054279        1.67663707        0.09550682        1.52567267        0.04747917        0.00797841
       -4.80053278        0.70196324        0.04985986        0.62147682        0.02657468        0.00405188
       -4.79052277        1.06458313        0.06930000        0.94805512        0.04107110        0.00615691
       -4.78051276        1.40505236        0.03564027        1.33015862        0.03179753        0.00745595
       -4.77050275        0.19218531        0.01209399        0.17158060        0.00732606        0.00118465
       -4.76049274        0.18042552        0.01097798        0.16114227        0.00715016        0.00115512
       -4.75048273        0.16917451        0.00993188        0.15114581        0.00697027        0.00112656
       -4.74047272        0.25445156        0.01771715        0.22594511        0.00915452        0.00163477
       -4.73046271        0.31165475        0.02229921        0.27614400        0.01116899        0.00204256
       -4.72045270        0.36348306        0.02564645        0.32163834        0.01370973        0.00248855
       -4.71044269        0.40993649        0.02775887        0.36242813        0.01677675        0.00297273
       -4.70043268        0.45101503        0.02863649        0.39851338        0.02037005        0.00349511
       -4.69042267        0.26272478        0.01724127        0.23295295        0.01059423        0.00193634
