#  aims_uuid : CEEA4ABD-C7D9-4836-A5BD-DEA31F7D55B3                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.06844983        0.00162112        0.06614020        0.00045492        0.00023359
       -9.98998999        1.30120893        0.02235538        1.20171902        0.07212790        0.00500664
       -9.97997998        0.99350397        0.02330782        0.91917760        0.04789257        0.00312598
       -9.96996997        1.03628809        0.01309551        0.97579774        0.04413943        0.00325542
       -9.95995996        0.91694197        0.01433373        0.87408303        0.02506986        0.00345535
       -9.94994995        0.39800388        0.00545617        0.38148586        0.00972866        0.00133318
       -9.93993994        0.38030379        0.00542265        0.36603205        0.00762075        0.00122834
       -9.92992993        0.35312879        0.00532555        0.34063092        0.00604594        0.00112638
       -9.91991992        0.31647887        0.00516486        0.30528246        0.00500424        0.00102731
       -9.90990991        0.28717675        0.00521427        0.27640011        0.00458354        0.00097883
       -9.89989990        0.69995792        0.01653585        0.66873776        0.01178076        0.00290355
       -9.88988989        0.20669194        0.00409746        0.19856356        0.00328946        0.00074147
       -9.87987988        0.21668532        0.00448517        0.20807457        0.00333635        0.00078923
       -9.86986987        0.22686560        0.00483558        0.21778838        0.00340507        0.00083656
       -9.85985986        0.23723279        0.00514870        0.22770500        0.00349564        0.00088344
       -9.84984985        0.24778688        0.00542451        0.23782443        0.00360805        0.00092990
       -9.83983984        0.30986821        0.00649515        0.29751394        0.00467671        0.00118242
       -9.82982983        0.33878704        0.00702543        0.32532624        0.00513799        0.00129737
       -9.81981982        0.36812380        0.00754899        0.35356315        0.00560163        0.00141003
       -9.80980981        0.39787850        0.00806580        0.38222465        0.00606765        0.00152040
       -9.79979980        0.42805115        0.00857589        0.41131076        0.00653602        0.00162847
       -9.78978979        0.45864173        0.00907924        0.44082147        0.00700677        0.00173425
       -9.77977978        0.48965026        0.00957586        0.47075678        0.00747988        0.00183774
       -9.76976977        0.35156515        0.00653544        0.33803586        0.00565956        0.00133429
       -9.75975976        0.33609533        0.00698239        0.32321399        0.00471254        0.00118641
       -9.74974975        0.37478821        0.00783591        0.36039500        0.00524388        0.00131342
       -9.73973974        0.21465409        0.00394543        0.20632287        0.00357596        0.00080983
       -9.72972973        0.22381261        0.00401566        0.21514899        0.00379510        0.00085286
       -9.71971972        0.23278614        0.00406225        0.22380694        0.00401973        0.00089722
       -9.70970971        0.24157469        0.00408521        0.23229672        0.00424987        0.00094289
       -9.69969970        0.25017826        0.00408453        0.24061834        0.00448551        0.00098988
       -9.68968969        0.25859683        0.00406022        0.24877178        0.00472665        0.00103819
       -9.67967968        0.26683043        0.00401227        0.25675706        0.00497328        0.00108782
       -9.66966967        0.27487903        0.00394068        0.26457416        0.00522542        0.00113877
       -9.65965966        0.26309268        0.00364550        0.25330807        0.00503964        0.00109947
       -9.64964965        0.18848461        0.00273349        0.18155943        0.00342550        0.00076618
       -9.63963964        0.14819551        0.00215450        0.14280470        0.00263811        0.00059820
       -9.62962963        0.10773397        0.00154986        0.10384282        0.00190551        0.00043579
       -9.61961962        0.06709999        0.00091956        0.06467378        0.00122769        0.00027896
       -9.60960961        0.02905498        0.00030224        0.02797556        0.00063968        0.00013750
       -9.59959960        0.02782415        0.00029078        0.02679164        0.00060956        0.00013218
       -9.58958959        0.02658689        0.00027912        0.02560141        0.00057958        0.00012678
       -9.57957958        0.15325817        0.00322544        0.14716397        0.00235881        0.00050995
       -9.56956957        0.19623112        0.00426125        0.18823400        0.00308249        0.00065337
       -9.55955956        0.23201818        0.00515256        0.22229961        0.00378050        0.00078551
       -9.54954955        0.23758096        0.00509542        0.22783488        0.00384724        0.00080342
       -9.53953954        0.24291304        0.00504999        0.23312069        0.00392069        0.00082168
       -9.52952953        0.24801444        0.00501627        0.23815705        0.00400084        0.00084028
       -9.51951952        0.25288516        0.00499427        0.24294395        0.00408771        0.00085923
       -9.50950951        0.25752518        0.00498398        0.24748140        0.00418128        0.00087853
       -9.49949950        0.26193452        0.00498540        0.25176940        0.00428155        0.00089818
       -9.48948949        0.26611318        0.00499854        0.25580794        0.00438854        0.00091817
       -9.47947948        0.27006114        0.00502339        0.25959702        0.00450223        0.00093851
       -9.46946947        0.27377842        0.00505995        0.26313665        0.00462263        0.00095919
       -9.45945946        0.27726501        0.00510822        0.26642683        0.00474973        0.00098023
       -9.44944945        0.49860697        0.00834525        0.47909740        0.00913471        0.00202961
       -9.43943944        0.43607183        0.00756155        0.41866791        0.00806014        0.00178223
       -9.42942943        0.37576515        0.00675467        0.36047739        0.00699806        0.00153502
       -9.41941942        0.31768691        0.00592461        0.30452585        0.00594847        0.00128798
       -9.40940941        0.26183712        0.00507136        0.25081329        0.00491136        0.00104111
       -9.39939940        0.20821578        0.00419492        0.19933970        0.00388675        0.00079441
       -9.38938939        0.09786230        0.00201951        0.09366581        0.00181673        0.00036024
       -9.37937938        0.06016990        0.00132077        0.05757788        0.00108381        0.00018744
       -9.36936937        0.21663251        0.00269162        0.20879400        0.00417893        0.00096796
       -9.35935936        0.20855496        0.00250241        0.20043716        0.00470556        0.00090984
       -9.34934935        0.20082012        0.00244469        0.19237183        0.00515193        0.00085167
       -9.33933934        0.19342800        0.00251847        0.18459802        0.00551805        0.00079346
       -9.32932933        0.18637861        0.00272375        0.17711573        0.00580392        0.00073521
       -9.31931932        0.17967193        0.00306052        0.16992496        0.00600953        0.00067691
       -9.30930931        0.17330796        0.00352879        0.16302571        0.00613489        0.00061858
       -9.29929930        0.23056476        0.00470065        0.21492201        0.01023373        0.00070837
       -9.28928929        0.20795109        0.00579308        0.19276206        0.00878597        0.00060999
       -9.27927928        0.18409823        0.00651961        0.16958391        0.00748774        0.00050698
