#  aims_uuid : EB15EA6B-9F42-41DE-AFD1-2FF52FA8EE4B                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.32530961        0.05339066        0.03506862        0.23197234        0.00487800
       -9.99000000        0.38627637        0.06789549        0.04026739        0.27296264        0.00515085
       -9.98000000        0.45484350        0.08474303        0.04528924        0.31949046        0.00532077
       -9.97000000        0.28916550        0.04992547        0.03268080        0.20306313        0.00349611
       -9.96000000        0.26787132        0.04401968        0.03162646        0.18903869        0.00318649
       -9.95000000        0.24689774        0.03860312        0.03021752        0.17518915        0.00288795
       -9.94000000        0.22624475        0.03367578        0.02845397        0.16151451        0.00260049
       -9.93000000        0.20591236        0.02923766        0.02633583        0.14801476        0.00232411
       -9.92000000        0.18590056        0.02528877        0.02386308        0.13468990        0.00205881
       -9.91000000        0.16620935        0.02182910        0.02103573        0.12153993        0.00180459
       -9.90000000        0.22219134        0.01927560        0.03454747        0.16603500        0.00233327
       -9.89000000        0.25512561        0.01701050        0.03859887        0.19616510        0.00335113
       -9.88000000        0.29156903        0.01516040        0.03798941        0.23335405        0.00506517
       -9.87000000        0.33152162        0.01372532        0.03271908        0.27760183        0.00747539
       -9.86000000        0.79720020        0.01457497        0.09202642        0.67288339        0.01771542
       -9.85000000        0.46122571        0.01438233        0.04677221        0.38681504        0.01325613
       -9.84000000        1.03960446        0.10808960        0.06843365        0.84608514        0.01699607
       -9.83000000        0.44121639        0.04433314        0.03966782        0.35110222        0.00611320
       -9.82000000        0.36827018        0.03987106        0.02471791        0.29829258        0.00538863
       -9.81000000        0.36729998        0.03810002        0.02459225        0.29894423        0.00566348
       -9.80000000        0.36601669        0.03606431        0.02459851        0.29940765        0.00594622
       -9.79000000        0.36442032        0.03376394        0.02473669        0.29968285        0.00623684
       -9.78000000        0.36251086        0.03119890        0.02500679        0.29976981        0.00653536
       -9.77000000        0.36028832        0.02836919        0.02540882        0.29966855        0.00684177
       -9.76000000        0.35775269        0.02527481        0.02594276        0.29937906        0.00715606
       -9.75000000        0.35490398        0.02191577        0.02660862        0.29890134        0.00747825
       -9.74000000        0.35174218        0.01829207        0.02740640        0.29823539        0.00780832
       -9.73000000        0.34826730        0.01440369        0.02833610        0.29738121        0.00814629
       -9.72000000        0.36202520        0.01344358        0.03021716        0.30972217        0.00864230
       -9.71000000        0.42819958        0.02009529        0.03517955        0.36330480        0.00961993
       -9.70000000        0.49043673        0.02305077        0.04089876        0.41587876        0.01060844
       -9.69000000        0.54873665        0.02231002        0.04737478        0.46744403        0.01160783
       -9.68000000        0.56903380        0.01787010        0.05312738        0.48682748        0.01120884
       -9.67000000        0.58779907        0.00964611        0.05488006        0.51143892        0.01183398
       -9.66000000        0.32243072        0.00816481        0.03244774        0.27308888        0.00872928
       -9.65000000        0.34619094        0.00751119        0.03614261        0.29296378        0.00957335
       -9.64000000        0.36875772        0.00667876        0.04025093        0.31138248        0.01044556
       -9.63000000        0.56999090        0.00616082        0.05425515        0.49601642        0.01355852
       -9.62000000        1.09721877        0.01178710        0.12815122        0.93090382        0.02637663
       -9.61000000        0.97598405        0.01844235        0.30814523        0.63609516        0.01330131
       -9.60000000        0.73088514        0.01045460        0.21436206        0.49657993        0.00948855
       -9.59000000        0.53020015        0.00896114        0.15188539        0.36184688        0.00750674
       -9.58000000        1.20374317        0.00629725        0.18000836        1.00350777        0.01392979
       -9.57000000        0.77003155        0.00352184        0.12532977        0.63235394        0.00882600
       -9.56000000        0.36057222        0.00254246        0.08401267        0.26971949        0.00429761
       -9.55000000        0.68741965        0.00895313        0.13213521        0.53924998        0.00708134
       -9.54000000        0.74525014        0.02318890        0.15085434        0.56419888        0.00700802
       -9.53000000        0.97510518        0.04674924        0.16477088        0.75496081        0.00862424
       -9.52000000        3.25483140        0.28237717        0.33224442        2.61169866        0.02851115
       -9.51000000        1.77882757        0.08937784        0.36196069        1.30658201        0.02090703
       -9.50000000        0.98820290        0.02621250        0.14226396        0.81056223        0.00916422
       -9.49000000        0.91042369        0.01470716        0.14584713        0.74151363        0.00835578
       -9.48000000        0.87475726        0.01786774        0.13873368        0.71028727        0.00786856
       -9.47000000        0.74544690        0.03833932        0.13887805        0.56154461        0.00668492
       -9.46000000        0.75336049        0.05178140        0.08174963        0.61306336        0.00676609
       -9.45000000        3.44312997        0.20543827        0.30590606        2.89873081        0.03305482
       -9.44000000        0.46797144        0.00065115        0.02092203        0.43948725        0.00691100
       -9.43000000        0.83283771        0.00069304        0.06344323        0.75567008        0.01303136
       -9.42000000        1.15986538        0.00115010        0.14902394        0.99090311        0.01878823
       -9.41000000        0.97903542        0.00110055        0.09616104        0.86094156        0.02083228
       -9.40000000        0.69241509        0.00075783        0.06742050        0.60913917        0.01509759
       -9.39000000        0.86606014        0.00056166        0.07073230        0.77993773        0.01482845
       -9.38000000        1.19324153        0.00165376        0.07489289        1.09295621        0.02373868
       -9.37000000        1.11456159        0.00114151        0.11889387        0.97852257        0.01600364
       -9.36000000        1.22180204        0.00122942        0.17704039        1.03088345        0.01264877
       -9.35000000        0.88992362        0.00123477        0.08138935        0.79882442        0.00847508
       -9.34000000        0.85450698        0.00160937        0.08004396        0.76541982        0.00743383
       -9.33000000        0.81784980        0.00213494        0.07784950        0.73122040        0.00664496
       -9.32000000        0.77995206        0.00281149        0.07480596        0.69622614        0.00610847
       -9.31000000        0.86654936        0.00363883        0.07646670        0.78002833        0.00641550
       -9.30000000        0.85782355        0.00461087        0.07236386        0.77434967        0.00649916
       -9.29000000        1.12097259        0.00573563        0.07431014        1.03238392        0.00854290
       -9.28000000        0.98657925        0.00699550        0.08873491        0.88310600        0.00774284
       -9.27000000        0.78417955        0.00841072        0.05540896        0.71381770        0.00654216
       -9.26000000        0.57460965        0.00998415        0.02730352        0.53196831        0.00535367
       -9.25000000        1.01292606        0.01175059        0.02254832        0.96940313        0.00922402
       -9.24000000        0.57823083        0.03989106        0.03507440        0.49749895        0.00576642
       -9.23000000        0.69565460        0.03016017        0.06888616        0.58886845        0.00773982
       -9.22000000        1.33721643        0.01350200        0.32543709        0.98148204        0.01679530
       -9.21000000        0.58117511        0.00637257        0.03368984        0.53340872        0.00770399
       -9.20000000        0.78105109        0.00375753        0.04031865        0.72623203        0.01074288
       -9.19000000        0.98396112        0.00251367        0.04502320        0.92228026        0.01414399
       -9.18000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.17000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.16000000        0.76817996        0.00143154        0.00349403        0.75074474        0.01250964
       -9.15000000        0.89842931        0.00097570        0.00622166        0.88293977        0.00829218
       -9.14000000        0.52529836        0.00074699        0.00500807        0.51521084        0.00433246
       -9.13000000        5.08621413        0.00383138        0.02848061        5.01279262        0.04110952
       -9.12000000        1.80815081        0.00185051        0.01437512        1.76904712        0.02287805
       -9.11000000        1.29562454        0.00243646        0.01597405        1.25691271        0.02030132
       -9.10000000        1.19361909        0.00377110        0.02161268        1.14932708        0.01890822
       -9.09000000        1.57129863        0.03865084        0.03184914        1.48565768        0.01514096
       -9.08000000        0.99273718        0.02978767        0.04072091        0.91017050        0.01205810
       -9.07000000        0.91071785        0.03471593        0.04967875        0.81598960        0.01033357
       -9.06000000        0.85133948        0.03634007        0.05557712        0.75146712        0.00795517
       -9.05000000        1.00057147        0.03512415        0.05862273        0.89734207        0.00948251
       -9.04000000        1.11754373        0.03071149        0.05742687        1.01905434        0.01035103
       -9.03000000        1.23542190        0.02310390        0.05233886        1.14909498        0.01088415
       -9.02000000        1.67493385        0.02975184        0.12762750        1.49928721        0.01826730
       -9.01000000        0.98951060        0.03399350        0.22571140        0.71331364        0.01649207
       -9.00000000        0.76545435        0.01789428        0.10975651        0.62817909        0.00962447
       -8.99000000        0.50494297        0.01180125        0.07347675        0.41289887        0.00676611
       -8.98000000        0.60382347        0.01404593        0.09629590        0.48413738        0.00934425
       -8.97000000        0.68032139        0.01253085        0.08922407        0.56665550        0.01191097
       -8.96000000        0.70618969        0.01135063        0.07838044        0.60062738        0.01583124
       -8.95000000        0.47434561        0.00896753        0.06589410        0.38994516        0.00953882
       -8.94000000        0.49485648        0.00792707        0.05509199        0.42201368        0.00982373
       -8.93000000        0.54696601        0.00774997        0.05352716        0.47514369        0.01054518
       -8.92000000        0.59780437        0.00780599        0.05457203        0.52425405        0.01117231
       -8.91000000        0.64746724        0.00809633        0.05823720        0.56943338        0.01170033
       -8.90000000        0.69457759        0.00851844        0.06368883        0.61028135        0.01208896
       -8.89000000        0.75517238        0.00788733        0.06068382        0.67428766        0.01231357
       -8.88000000        0.63034472        0.00635089        0.05056008        0.56274499        0.01068876
       -8.87000000        0.76655011        0.00419088        0.03304024        0.71781078        0.01150822
       -8.86000000        0.44405074        0.00319482        0.02349956        0.40873523        0.00862113
       -8.85000000        0.50559391        0.00329993        0.02288285        0.46987477        0.00953636
       -8.84000000        0.56652920        0.00347698        0.02213016        0.53040264        0.01051942
       -8.83000000        0.63598402        0.00399719        0.02128009        0.59908308        0.01162367
       -8.82000000        0.73170008        0.00538167        0.02050541        0.69284532        0.01296769
       -8.81000000        0.96163466        0.00703839        0.01976289        0.91813514        0.01669823
       -8.80000000        0.70950205        0.00817145        0.02157797        0.66732089        0.01243173
       -8.79000000        0.59510754        0.00940577        0.02519661        0.54999530        0.01050986
       -8.78000000        0.46110201        0.00973045        0.02930048        0.41800629        0.00406479
       -8.77000000        0.51252716        0.01116540        0.03382608        0.46300624        0.00452944
       -8.76000000        0.56249483        0.01256782        0.03873015        0.50619822        0.00499863
       -8.75000000        0.61100502        0.01393771        0.04401269        0.54758225        0.00547237
       -8.74000000        6.32535356        0.19877155        0.09649673        5.98982064        0.04026465
       -8.73000000        0.32876911        0.00652621        0.01488677        0.30419396        0.00316218
       -8.72000000        0.34954649        0.00655384        0.01701502        0.32245346        0.00352416
       -8.71000000        0.36869300        0.00647574        0.01930140        0.33901784        0.00389802
       -8.70000000        0.38620867        0.00629191        0.02174591        0.35388710        0.00428374
       -8.69000000        0.40209347        0.00600233        0.02434855        0.36706125        0.00468134
       -8.68000000        0.41634741        0.00560703        0.02710931        0.37854027        0.00509080
       -8.67000000        0.14270590        0.00312114        0.00113450        0.13699198        0.00145828
       -8.66000000        0.15440655        0.00275896        0.00115911        0.14891889        0.00156958
       -8.65000000        0.16644479        0.00233250        0.00117849        0.16125043        0.00168337
       -8.64000000        0.17882063        0.00184175        0.00119262        0.17398659        0.00179967
       -8.63000000        0.11122233        0.00157727        0.00083562        0.10781099        0.00099846
       -8.62000000        0.11955390        0.00142246        0.00087563        0.11620722        0.00104859
       -8.61000000        0.12817675        0.00132426        0.00092894        0.12483603        0.00108753
       -8.60000000        0.70462118        0.00176813        0.00572062        0.69055839        0.00657405
       -8.59000000        0.35456676        0.00143324        0.00233354        0.34798297        0.00281701
       -8.58000000        0.36063490        0.00151537        0.00250371        0.35336598        0.00324984
       -8.57000000        0.41128849        0.00172169        0.00300225        0.40240891        0.00415562
       -8.56000000        0.49218997        0.00217890        0.00432409        0.47964265        0.00604434
       -8.55000000        0.57603898        0.00269443        0.00623006        0.55917197        0.00794253
       -8.54000000        0.65968134        0.00302146        0.00870329        0.63807103        0.00988556
       -8.53000000        0.71409286        0.00284611        0.01147861        0.68804714        0.01172100
       -8.52000000        0.77136739        0.00273140        0.01480717        0.74025163        0.01357719
       -8.51000000        0.59891301        0.00265647        0.01474282        0.56937213        0.01214159
       -8.50000000        0.59949292        0.00266605        0.01772545        0.56588682        0.01321460
       -8.49000000        0.53013960        0.00248491        0.01903323        0.49742828        0.01119319
       -8.48000000        0.51689866        0.00261592        0.02197249        0.48082486        0.01148539
       -8.47000000        0.45816961        0.00250261        0.02362665        0.42230675        0.00973361
       -8.46000000        0.43792681        0.00274194        0.02659106        0.39908422        0.00950958
       -8.45000000        0.43663603        0.00304755        0.03001037        0.39424801        0.00933010
       -8.44000000        0.43994958        0.00338097        0.03372489        0.39373077        0.00911293
       -8.43000000        0.44357524        0.00374117        0.03768328        0.39331752        0.00883326
       -8.42000000        0.41714755        0.00410737        0.04131474        0.36368541        0.00804003
       -8.41000000        0.42094399        0.00462063        0.04650665        0.36201878        0.00779792
       -8.40000000        3.54272038        0.01204875        0.17146987        3.32986977        0.02933199
       -8.39000000        1.08029443        0.03356124        0.41005381        0.60812557        0.02855382
       -8.38000000        0.49640295        0.01616960        0.15259961        0.31534868        0.01228506
       -8.37000000        0.66151823        0.02384363        0.20926108        0.41054470        0.01786882
       -8.36000000        0.41965063        0.00781372        0.07855437        0.32519303        0.00808951
       -8.35000000        0.94890071        0.01742746        0.16136968        0.75370891        0.01639466
       -8.34000000        1.77359871        0.03889026        0.31432955        1.38668774        0.03369116
       -8.33000000        1.27703739        0.01538093        0.14346798        1.09825037        0.01993811
       -8.32000000        1.28475206        0.01108031        0.10505176        1.15023889        0.01838109
       -8.31000000        1.07850907        0.01098670        0.10579899        0.94636063        0.01536275
       -8.30000000        0.93363594        0.00937768        0.15661439        0.75236414        0.01527972
       -8.29000000        0.25879600        0.00319321        0.02771867        0.22446818        0.00341594
       -8.28000000        0.87182674        0.01562882        0.12706854        0.71590830        0.01322109
       -8.27000000        0.91442071        0.01000907        0.08721862        0.80646351        0.01072952
       -8.26000000        0.86475899        0.00619948        0.06031470        0.78961553        0.00862928
       -8.25000000        0.97915038        0.00450617        0.05162249        0.91442644        0.00859528
       -8.24000000        1.13112631        0.00924004        0.09891163        1.01117532        0.01179931
       -8.23000000        0.93320163        0.01206475        0.13740253        0.77050011        0.01323425
       -8.22000000        0.43499465        0.00192757        0.03944106        0.38594535        0.00768066
       -8.21000000        0.43181553        0.00129209        0.03212327        0.38399795        0.01440223
       -8.20000000        0.37425252        0.00072669        0.02827564        0.33245152        0.01279866
       -8.19000000        0.43377887        0.00065173        0.03466654        0.38587453        0.01258607
       -8.18000000        0.70043085        0.00135800        0.05704416        0.62535199        0.01667671
       -8.17000000        0.96334058        0.00202953        0.07520805        0.86396177        0.02214124
       -8.16000000        0.72501227        0.00264775        0.09634351        0.60462535        0.02139566
       -8.15000000        0.92080550        0.00432168        0.12843593        0.76344598        0.02460191
       -8.14000000        1.51314618        0.01677601        0.24574364        1.21675191        0.03387462
       -8.13000000        1.01039498        0.00052950        0.07925626        0.91830842        0.01230081
       -8.12000000        0.89443099        0.00058572        0.09797432        0.78075895        0.01511199
       -8.11000000        1.89231031        0.00212214        0.15822181        1.70274209        0.02922427
       -8.10000000        2.67358499        0.00552935        0.41236856        2.20153707        0.05415001
       -8.09000000        0.86830364        0.00116540        0.08668953        0.76470080        0.01574791
       -8.08000000        2.05001134        0.00175998        0.21125724        1.78475517        0.05223895
       -8.07000000        0.80343662        0.00098956        0.06269644        0.72661535        0.01313527
       -8.06000000        0.79898545        0.00095445        0.05919098        0.72641163        0.01242839
       -8.05000000        0.82768064        0.00097829        0.05661217        0.75879720        0.01129297
       -8.04000000        0.62800237        0.00104136        0.05084076        0.56687746        0.00924280
       -8.03000000        0.60891566        0.00114395        0.05127336        0.54741918        0.00907917
       -8.02000000        1.13255173        0.00449666        0.09407949        1.01749598        0.01647960
       -8.01000000        0.87294043        0.00253440        0.06888516        0.78870620        0.01281468
       -8.00000000        1.35367441        0.00283154        0.07860808        1.25185960        0.02037519
       -7.99000000        4.77868917        0.02456890        0.91213533        3.74548114        0.09650379
       -7.98000000        1.34049806        0.00434119        0.15131214        1.15903650        0.02580822
       -7.97000000        1.19276172        0.00399799        0.12855782        1.03898152        0.02122439
       -7.96000000        1.09903981        0.00404653        0.12706347        0.94704634        0.02088348
       -7.95000000        1.07255671        0.00652428        0.15857736        0.88579537        0.02165970
       -7.94000000        1.09263513        0.00638450        0.16957957        0.89517750        0.02149356
       -7.93000000        0.76924969        0.00556712        0.11217404        0.63672207        0.01478646
       -7.92000000        0.71176762        0.00610984        0.09855107        0.59342441        0.01368230
       -7.91000000        0.90765830        0.00897443        0.12680356        0.75496483        0.01691547
       -7.90000000        0.90544229        0.00899429        0.12662993        0.75296982        0.01684825
       -7.89000000        1.28760459        0.01002063        0.15958496        1.09630474        0.02169426
       -7.88000000        1.20899252        0.00991863        0.14477799        1.03389706        0.02039885
       -7.87000000        1.08695825        0.00701337        0.12391357        0.93772133        0.01830998
       -7.86000000        1.56824447        0.01111936        0.18980034        1.34091611        0.02640867
       -7.85000000        1.17400442        0.00633961        0.14156001        1.00637740        0.01972740
       -7.84000000        1.44400337        0.00779475        0.15554406        1.25714188        0.02352268
       -7.83000000        0.88635593        0.00763576        0.12411798        0.73849967        0.01610252
       -7.82000000        0.81837195        0.00883688        0.10639781        0.68787273        0.01526453
       -7.81000000        1.07266230        0.01585076        0.14482409        0.89209822        0.01988923
