#  aims_uuid : EB15EA6B-9F42-41DE-AFD1-2FF52FA8EE4B                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.245693 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.75430702        0.32570683        0.05383901        0.03529061        0.23172659        0.00485062
       -5.74430702        0.38697739        0.06835503        0.04060901        0.27289577        0.00511758
       -5.73430702        0.45574864        0.08523076        0.04571031        0.31952472        0.00528284
       -5.72430702        0.29005994        0.05042098        0.03311380        0.20306721        0.00345794
       -5.71430702        0.26860531        0.04466083        0.03217325        0.18863184        0.00313939
       -5.70430702        0.24748179        0.03937603        0.03086697        0.17440599        0.00283281
       -5.69430702        0.22668937        0.03456657        0.02919496        0.16038965        0.00253818
       -5.68430702        0.20622806        0.03023246        0.02715723        0.14658285        0.00225552
       -5.67430702        0.18609786        0.02637370        0.02475378        0.13298556        0.00198483
       -5.66430702        0.16629876        0.02299028        0.02198459        0.11959780        0.00172609
       -5.65430702        0.22285855        0.02049861        0.03549397        0.16461512        0.00225085
       -5.64430702        0.26158137        0.01827392        0.03913128        0.20091321        0.00326296
       -5.63430702        0.30484696        0.01644885        0.03801714        0.24540938        0.00497159
       -5.62430702        0.35265533        0.01502340        0.03215156        0.29810363        0.00737674
       -5.61430702        0.84956858        0.01567981        0.08891897        0.72735776        0.01761204
       -5.60430702        0.55140406        0.01462710        0.04012950        0.48346885        0.01317860
       -5.59430702        0.98500394        0.10783792        0.07230847        0.78782860        0.01702895
       -5.58430702        0.41735573        0.04347225        0.04076755        0.32694987        0.00616606
       -5.57430702        0.34719907        0.03854012        0.02524643        0.27794292        0.00546959
       -5.56430702        0.34961584        0.03641415        0.02461094        0.28282116        0.00576960
       -5.55430702        0.35142748        0.03413592        0.02421229        0.28700922        0.00607004
       -5.54430702        0.35263396        0.03170544        0.02405050        0.29050710        0.00637092
       -5.53430702        0.35323531        0.02912270        0.02412556        0.29331481        0.00667224
       -5.52430702        0.35323150        0.02638770        0.02443748        0.29543234        0.00697399
       -5.51430702        0.35262255        0.02350044        0.02498624        0.29685970        0.00727618
       -5.50430702        0.35140846        0.02046092        0.02577185        0.29759688        0.00757880
       -5.49430702        0.34958921        0.01726915        0.02679432        0.29764389        0.00788186
       -5.48430702        0.34716483        0.01392511        0.02805364        0.29700072        0.00818536
       -5.47430702        0.36183878        0.01338869        0.03026379        0.30953756        0.00864874
       -5.46430702        0.42887463        0.01988334        0.03526460        0.36410665        0.00962004
       -5.45430702        0.49116316        0.02282728        0.04099412        0.41673759        0.01060418
       -5.44430702        0.54870437        0.02222050        0.04745234        0.46743038        0.01160115
       -5.43430702        0.56748258        0.01806010        0.05315712        0.48506348        0.01120188
       -5.42430702        0.58531572        0.01026226        0.05477023        0.50844809        0.01183515
       -5.41430702        0.31993846        0.00879056        0.03232256        0.27009475        0.00873060
       -5.40430702        0.34368681        0.00806913        0.03600749        0.29003812        0.00957206
       -5.39430702        0.36639890        0.00712234        0.04010388        0.30873160        0.01044108
       -5.38430702        0.59030925        0.00647081        0.05345642        0.51683351        0.01354850
       -5.37430702        1.12260734        0.01188992        0.12717055        0.95719199        0.02635489
       -5.36430702        0.95117461        0.01843537        0.30853591        0.61085433        0.01334901
       -5.35430702        0.71182097        0.01044417        0.21585277        0.47600734        0.00951669
       -5.34430702        0.53011379        0.00897524        0.15203531        0.36160197        0.00750127
       -5.33430702        1.20268581        0.00631764        0.18018026        1.00228948        0.01389843
       -5.32430702        0.76647086        0.00360244        0.12539475        0.62873778        0.00873588
       -5.31430702        0.35886578        0.00255092        0.08425458        0.26776552        0.00429476
       -5.30430702        0.68475387        0.00897748        0.13247714        0.53618598        0.00711327
       -5.29430702        0.75094615        0.02324707        0.15088104        0.56976317        0.00705487
       -5.28430702        0.97763303        0.04698151        0.16513480        0.75686234        0.00865438
       -5.27430702        3.27399813        0.28222502        0.34085081        2.62216911        0.02875319
       -5.26430702        1.78625222        0.08913019        0.36687712        1.30924008        0.02100483
       -5.25430702        0.97344143        0.02606599        0.13696109        0.80144429        0.00897005
       -5.24430702        0.90105139        0.01466690        0.14278778        0.73535293        0.00824379
       -5.23430702        0.87143059        0.01788532        0.13807500        0.70762584        0.00784443
       -5.22430702        0.74374424        0.03839547        0.13941325        0.55924011        0.00669541
       -5.21430702        0.75115472        0.05182598        0.08199063        0.61056382        0.00677429
       -5.20430702        3.44772426        0.20593426        0.29859752        2.91032313        0.03286936
       -5.19430702        0.48649460        0.00071959        0.02102893        0.45819639        0.00654968
       -5.18430702        0.84483876        0.00070603        0.06359781        0.76783176        0.01270316
       -5.17430702        1.21995721        0.00129529        0.14963674        1.05051002        0.01851516
       -5.16430702        1.08358332        0.00137533        0.09717900        0.96440482        0.02062417
       -5.15430702        0.77868253        0.00098752        0.06820930        0.69448156        0.01500414
       -5.14430702        0.86429323        0.00055728        0.07077968        0.77814474        0.01481152
       -5.13430702        1.16123261        0.00149723        0.07561760        1.06309499        0.02102279
       -5.12430702        1.09192345        0.00123138        0.12100538        0.95480395        0.01488275
       -5.11430702        1.21324858        0.00122574        0.17883412        1.02069672        0.01249199
       -5.10430702        0.89012316        0.00123664        0.08097497        0.79940989        0.00850167
       -5.09430702        0.85521456        0.00161227        0.07953626        0.76661101        0.00745502
       -5.08430702        0.81888988        0.00213859        0.07728244        0.73280666        0.00666219
       -5.07430702        0.78114914        0.00281560        0.07421350        0.69799685        0.00612318
       -5.06430702        0.86762426        0.00364315        0.07588880        0.78166248        0.00642984
       -5.05430702        0.85866642        0.00461504        0.07182720        0.77571212        0.00651206
       -5.04430702        1.12190276        0.00573966        0.07382040        1.03379191        0.00855079
       -5.03430702        0.98794531        0.00699909        0.08831853        0.88487909        0.00774859
       -5.02430702        0.78526520        0.00841368        0.05511684        0.71518813        0.00654656
       -5.01430702        0.57461870        0.00998625        0.02718040        0.53209468        0.00535737
       -5.00430702        1.01017437        0.01175143        0.02253091        0.96668948        0.00920255
       -4.99430702        0.57922720        0.03988878        0.03515953        0.49840107        0.00577783
       -4.98430702        0.69877281        0.03016177        0.06901143        0.59182941        0.00777020
       -4.97430702        1.34049999        0.01350790        0.32556180        0.98460611        0.01682418
       -4.96430702        0.57964070        0.00637336        0.03368444        0.53189264        0.00769026
       -4.95430702        0.77884847        0.00375686        0.04028690        0.72408187        0.01072285
       -4.94430702        0.98248814        0.00251271        0.04499786        0.92084740        0.01413017
       -4.93430702        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.92430702        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.91430702        0.76829483        0.00145215        0.00361320        0.75071756        0.01251193
       -4.90430702        0.89891865        0.00101643        0.00644541        0.88316118        0.00829563
