#  aims_uuid : EB15EA6B-9F42-41DE-AFD1-2FF52FA8EE4B                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.245693 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.75430702        0.30692791        0.02268621        0.27071079        0.01146596        0.00206495
       -5.74430702        0.34337175        0.02474844        0.30203788        0.01412200        0.00246342
       -5.73430702        0.37605488        0.02574587        0.33022760        0.01718837        0.00289303
       -5.72430702        0.24935995        0.01756502        0.21916934        0.01075147        0.00187412
       -5.71430702        0.23120498        0.01617946        0.20336259        0.00991697        0.00174596
       -5.70430702        0.21284742        0.01477416        0.18735672        0.00909949        0.00161704
       -5.69430702        0.19428726        0.01334913        0.17115172        0.00829905        0.00148736
       -5.68430702        0.17552451        0.01190436        0.15474759        0.00751564        0.00135692
       -5.67430702        0.15655916        0.01043986        0.13814434        0.00674926        0.00122571
       -5.66430702        0.13739123        0.00895562        0.12134196        0.00599990        0.00109375
       -5.65430702        0.20870701        0.01663551        0.18326889        0.00720868        0.00159393
       -5.64430702        0.25053063        0.01880400        0.22210563        0.00781549        0.00180551
       -5.63430702        0.29022281        0.01840040        0.26146159        0.00843966        0.00192116
       -5.62430702        0.32778354        0.01542470        0.30133677        0.00908119        0.00194088
       -5.61430702        0.83640127        0.04766653        0.76350297        0.02026807        0.00496371
       -5.60430702        0.51024858        0.01871481        0.47589536        0.01284036        0.00279805
       -5.59430702        0.76987446        0.03101394        0.70158056        0.03131228        0.00596768
       -5.58430702        0.33572078        0.01668478        0.30222491        0.01416653        0.00264456
       -5.57430702        0.26719628        0.01110206        0.24222265        0.01177619        0.00209538
       -5.56430702        0.27270960        0.01074633        0.24819133        0.01171455        0.00205739
       -5.55430702        0.27848985        0.01040966        0.25444318        0.01162142        0.00201559
       -5.54430702        0.28453702        0.01009205        0.26097820        0.01149679        0.00196998
       -5.53430702        0.29085111        0.00979351        0.26779637        0.01134067        0.00192056
       -5.52430702        0.29743212        0.00951402        0.27489771        0.01115306        0.00186732
       -5.51430702        0.30428006        0.00925360        0.28228222        0.01093396        0.00181028
       -5.50430702        0.31139491        0.00901224        0.28994989        0.01068336        0.00174942
       -5.49430702        0.31877668        0.00878993        0.29790073        0.01040126        0.00168476
       -5.48430702        0.32642538        0.00858669        0.30613473        0.01008768        0.00161628
       -5.47430702        0.34505629        0.00876015        0.32412597        0.01050033        0.00166984
       -5.46430702        0.39874061        0.01015349        0.37344553        0.01309264        0.00204894
       -5.45430702        0.45461793        0.01169065        0.42521716        0.01539100        0.00231912
       -5.44430702        0.51268824        0.01337163        0.47944085        0.01739538        0.00248037
       -5.43430702        0.53740251        0.01508561        0.50129989        0.01866347        0.00235355
       -5.42430702        0.56353278        0.01591947        0.52657249        0.01882247        0.00221835
       -5.41430702        0.32565053        0.00723021        0.30757588        0.00929571        0.00154873
       -5.40430702        0.35661702        0.00790565        0.33694020        0.01010678        0.00166438
       -5.39430702        0.38827466        0.00868225        0.36683967        0.01096616        0.00178657
       -5.38430702        0.57796716        0.01707722        0.53977512        0.01867106        0.00244376
       -5.37430702        1.15008055        0.03613975        1.07017004        0.03877381        0.00499696
       -5.36430702        1.28048403        0.04152084        1.18132601        0.05295679        0.00468038
       -5.35430702        0.88693155        0.03355013        0.81336871        0.03654346        0.00346925
       -5.34430702        0.63704819        0.02703351        0.58103939        0.02631262        0.00266267
       -5.33430702        1.19184112        0.04783676        1.09124878        0.04922285        0.00353273
       -5.32430702        0.75314419        0.02832912        0.68890728        0.03361271        0.00229509
       -5.31430702        0.36860300        0.01253733        0.33609855        0.01857178        0.00139534
       -5.30430702        0.67619293        0.02064259        0.62097854        0.03186624        0.00270555
       -5.29430702        0.71911729        0.01793581        0.66341137        0.03419658        0.00357353
       -5.28430702        0.86291905        0.01999588        0.79573668        0.04211559        0.00507090
       -5.27430702        2.29871950        0.05781529        2.09033860        0.13123991        0.01932570
       -5.26430702        1.67438674        0.04276382        1.52913309        0.09288748        0.00960235
       -5.25430702        0.90596484        0.02481049        0.83845820        0.03811289        0.00458326
       -5.24430702        0.87627689        0.02206252        0.81424747        0.03584690        0.00411999
       -5.23430702        0.82528158        0.01948226        0.76687873        0.03477807        0.00414252
       -5.22430702        0.70502644        0.01584816        0.65269857        0.03262907        0.00385064
       -5.21430702        0.56180634        0.01527492        0.51271534        0.02957673        0.00423936
       -5.20430702        2.51124576        0.07945547        2.28412864        0.12946232        0.01819934
       -5.19430702        0.38885835        0.01283044        0.35940764        0.01468170        0.00193858
       -5.18430702        0.74084960        0.01551948        0.69604181        0.02497251        0.00431580
       -5.17430702        1.18965167        0.02543710        1.12030308        0.03844780        0.00546369
       -5.16430702        1.01993992        0.02057737        0.96559080        0.02874483        0.00502691
       -5.15430702        0.72750377        0.01383150        0.68989467        0.02004457        0.00373303
       -5.14430702        0.77664571        0.01550697        0.73082869        0.02588913        0.00442092
       -5.13430702        1.06228516        0.02206886        0.99854382        0.03575806        0.00591442
       -5.12430702        1.02592144        0.02127932        0.96191324        0.03719806        0.00553081
       -5.11430702        1.16345412        0.02327223        1.08998001        0.04409260        0.00610927
       -5.10430702        0.72536000        0.01537097        0.67634078        0.02876496        0.00488329
       -5.09430702        0.68903789        0.01408880        0.64248901        0.02764798        0.00481211
       -5.08430702        0.65341023        0.01293620        0.60931757        0.02645034        0.00470613
       -5.07430702        0.61847704        0.01191317        0.57682647        0.02517204        0.00456536
       -5.06430702        0.66297696        0.01159970        0.61922630        0.02677395        0.00537700
       -5.05430702        0.64729887        0.01116375        0.60461348        0.02613296        0.00538868
       -5.04430702        0.79922419        0.01342948        0.74624008        0.03230713        0.00724749
       -5.03430702        0.75318130        0.01173930        0.70468350        0.03044331        0.00631519
       -5.02430702        0.56303468        0.00954331        0.52510306        0.02333434        0.00505397
       -5.01430702        0.38103202        0.00728491        0.35323811        0.01682152        0.00368748
       -5.00430702        0.62368643        0.01290422        0.57669631        0.02757817        0.00650773
       -4.99430702        0.30064593        0.00517822        0.26885393        0.02243815        0.00417563
       -4.98430702        0.43325919        0.00671721        0.39130518        0.03050347        0.00473334
       -4.97430702        1.09771250        0.00946983        0.99094310        0.08880245        0.00849712
       -4.96430702        0.40813431        0.00708455        0.37647508        0.02082248        0.00375220
       -4.95430702        0.55287213        0.00804163        0.51374742        0.02561124        0.00547183
       -4.94430702        0.69450784        0.00749455        0.65028201        0.02915026        0.00758102
       -4.93430702        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.92430702        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.91430702        0.52713481        0.00619286        0.50039645        0.01411895        0.00642655
       -4.90430702        0.52887244        0.00435169        0.50021182        0.01617799        0.00813095
       -4.89430702        0.30173156        0.00220021        0.28512611        0.00948432        0.00492091
       -4.88430702        2.87518270        0.04965773        2.66623530        0.12102182        0.03826786
       -4.87430702        1.14133176        0.02392420        1.05850825        0.04664892        0.01225039
       -4.86430702        0.88793663        0.01600879        0.83137087        0.03103113        0.00952584
       -4.85430702        0.82604930        0.01647135        0.77021627        0.03062008        0.00874160
       -4.84430702        0.85589516        0.01183954        0.79050607        0.04048787        0.01306168
       -4.83430702        0.59967530        0.00995581        0.55238218        0.02923065        0.00810667
       -4.82430702        0.53828637        0.00917003        0.49204371        0.02961478        0.00745784
       -4.81430702        0.47900168        0.00821374        0.43388055        0.02994027        0.00696712
       -4.80430702        0.56259391        0.01060673        0.50883046        0.03544402        0.00771269
       -4.79430702        0.62782015        0.01136397        0.56979330        0.03816556        0.00849731
       -4.78430702        0.69227204        0.01113192        0.63234961        0.03931343        0.00947707
       -4.77430702        1.12562767        0.02151476        1.03215633        0.05840553        0.01355105
       -4.76430702        0.91580510        0.02144121        0.83017760        0.05592543        0.00826086
       -4.75430702        0.56726037        0.01085940        0.51559370        0.03460130        0.00620597
