#  aims_uuid : EB15EA6B-9F42-41DE-AFD1-2FF52FA8EE4B                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.30849072        0.02263064        0.27215472        0.01162438        0.00208097
       -9.99000000        0.34527074        0.02466372        0.30381764        0.01430819        0.00248118
       -9.98000000        0.37820111        0.02564108        0.33225075        0.01739687        0.00291241
       -9.97000000        0.25144156        0.01746102        0.22113047        0.01095719        0.00189288
       -9.96000000        0.23194661        0.01612983        0.20401113        0.01005253        0.00175312
       -9.95000000        0.21235480        0.01477466        0.18679653        0.00917010        0.00161351
       -9.94000000        0.19266614        0.01339551        0.16948666        0.00830992        0.00147405
       -9.93000000        0.17288063        0.01199239        0.15208152        0.00747197        0.00133474
       -9.92000000        0.15299826        0.01056529        0.13458112        0.00665626        0.00119559
       -9.91000000        0.13301904        0.00911421        0.11698546        0.00586279        0.00105658
       -9.90000000        0.20342034        0.01682840        0.17801437        0.00702709        0.00155048
       -9.89000000        0.24263783        0.01905172        0.21427689        0.00755357        0.00175564
       -9.88000000        0.27947898        0.01870328        0.25081551        0.00809461        0.00186558
       -9.87000000        0.31394379        0.01578306        0.28763023        0.00865022        0.00188028
       -9.86000000        0.81211535        0.04818952        0.73944736        0.01958014        0.00489833
       -9.85000000        0.47468230        0.01931591        0.44073407        0.01189035        0.00274198
       -9.84000000        0.78573313        0.03079645        0.71743919        0.03154141        0.00595608
       -9.83000000        0.34257130        0.01655565        0.30918593        0.01418957        0.00264014
       -9.82000000        0.27460812        0.01093469        0.24976037        0.01181035        0.00210271
       -9.81000000        0.28072750        0.01056946        0.25632191        0.01175978        0.00207635
       -9.80000000        0.28681528        0.01023039        0.26286711        0.01167429        0.00204350
       -9.79000000        0.29287147        0.00991749        0.26939597        0.01155387        0.00200414
       -9.78000000        0.29889605        0.00963074        0.27590849        0.01139853        0.00195829
       -9.77000000        0.30488904        0.00937016        0.28240467        0.01120827        0.00190594
       -9.76000000        0.31085043        0.00913575        0.28888451        0.01098308        0.00184709
       -9.75000000        0.31678023        0.00892749        0.29534801        0.01072297        0.00178175
       -9.74000000        0.32267842        0.00874540        0.30179518        0.01042794        0.00170990
       -9.73000000        0.32854502        0.00858948        0.30822600        0.01009798        0.00163156
       -9.72000000        0.34457842        0.00884818        0.32361885        0.01044272        0.00166868
       -9.71000000        0.39502554        0.01036992        0.36974553        0.01288337        0.00202671
       -9.70000000        0.44944087        0.01194224        0.42007255        0.01513647        0.00228960
       -9.69000000        0.50782441        0.01356514        0.47459991        0.01720202        0.00245733
       -9.68000000        0.53465309        0.01512885        0.49853522        0.01863805        0.00235097
       -9.67000000        0.56516483        0.01575102        0.52808406        0.01907586        0.00225390
       -9.66000000        0.32740134        0.00705581        0.30920381        0.00955573        0.00158599
       -9.65000000        0.35759615        0.00775181        0.33782564        0.01032149        0.00169722
       -9.64000000        0.38818025        0.00856418        0.36669327        0.01111053        0.00181227
       -9.63000000        0.56884439        0.01650375        0.53095289        0.01892389        0.00246386
       -9.62000000        1.13879598        0.03561836        1.05926396        0.03890839        0.00500527
       -9.61000000        1.27101342        0.04369302        1.17150693        0.05118441        0.00462905
       -9.60000000        0.90294378        0.03396087        0.82894813        0.03658840        0.00344638
       -9.59000000        0.64074652        0.02670912        0.58473995        0.02662640        0.00267104
       -9.58000000        1.19933328        0.04746284        1.09868171        0.04964738        0.00354135
       -9.57000000        0.76798225        0.02822508        0.70348022        0.03398289        0.00229406
       -9.56000000        0.37231005        0.01223815        0.33975183        0.01890736        0.00141271
       -9.55000000        0.67392956        0.02058028        0.61865093        0.03196793        0.00273042
       -9.54000000        0.71608022        0.01718041        0.66072814        0.03460075        0.00357092
       -9.53000000        0.86072532        0.01974345        0.79368928        0.04222855        0.00506405
       -9.52000000        2.33841920        0.05907120        2.12794251        0.13203991        0.01936558
       -9.51000000        1.69737555        0.04337315        1.55102114        0.09335777        0.00962348
       -9.50000000        0.87641000        0.02382974        0.81050290        0.03752317        0.00455420
       -9.49000000        0.85888285        0.02148921        0.79780199        0.03549118        0.00410047
       -9.48000000        0.82104121        0.01934052        0.76288689        0.03467934        0.00413447
       -9.47000000        0.71068394        0.01580265        0.65824830        0.03279380        0.00383920
       -9.46000000        0.56406534        0.01524580        0.51497029        0.02961918        0.00423007
       -9.45000000        2.48880529        0.07891160        2.26249625        0.12918034        0.01821709
       -9.44000000        0.37547286        0.01234342        0.34614820        0.01502785        0.00195339
       -9.43000000        0.72642123        0.01459547        0.68258293        0.02502341        0.00421942
       -9.42000000        1.17761382        0.02407526        1.10925521        0.03889897        0.00538438
       -9.41000000        1.01040728        0.01907420        0.95666776        0.02964740        0.00501793
       -9.40000000        0.72292589        0.01279910        0.68562926        0.02075221        0.00374532
       -9.39000000        0.77654291        0.01551837        0.73069836        0.02591352        0.00441266
       -9.38000000        0.99259512        0.02222818        0.92902167        0.03553991        0.00580535
       -9.37000000        0.99993207        0.02084521        0.93639285        0.03724527        0.00544874
       -9.36000000        1.16194176        0.02286068        1.08876298        0.04425645        0.00606165
       -9.35000000        0.72575997        0.01547032        0.67675682        0.02864596        0.00488688
