#  aims_uuid : 4FE3AFA9-29B9-4EA3-AA53-4840FD84E21C                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.87959068        0.02223388        0.80827315        0.04597485        0.00310881
       -9.98998999        0.65903587        0.01432432        0.60468877        0.03758331        0.00243946
       -9.97997998        2.17327898        0.04096972        2.04070089        0.08549323        0.00611513
       -9.96996997        2.61548951        0.02079291        2.50063934        0.08796571        0.00609155
       -9.95995996        1.78393437        0.03363052        1.71826637        0.02633176        0.00570574
       -9.94994995        0.29438323        0.00580420        0.28260983        0.00491065        0.00105855
       -9.93993994        0.29678906        0.00594231        0.28496044        0.00481849        0.00106782
       -9.92992993        0.29982030        0.00608186        0.28793533        0.00472475        0.00107837
       -9.91991992        0.30347695        0.00622284        0.29153451        0.00462941        0.00109019
       -9.90990991        0.30775902        0.00636527        0.29575797        0.00453249        0.00110329
       -9.89989990        0.31266650        0.00650914        0.30060573        0.00443397        0.00111766
       -9.88988989        0.31819940        0.00665445        0.30607777        0.00433386        0.00113332
       -9.87987988        0.32435771        0.00680120        0.31217410        0.00423217        0.00115024
       -9.86986987        0.33114144        0.00694939        0.31889472        0.00412888        0.00116845
       -9.85985986        0.33855058        0.00709902        0.32623963        0.00402400        0.00118793
       -9.84984985        0.16711755        0.00353541        0.16089497        0.00210254        0.00058462
       -9.83983984        0.14768378        0.00297560        0.14228951        0.00190447        0.00051421
       -9.82982983        0.13704315        0.00260518        0.13216669        0.00179807        0.00047322
       -9.81981982        0.15156717        0.00288104        0.14629691        0.00187345        0.00051577
       -9.80980981        0.16606238        0.00315972        0.16038182        0.00196232        0.00055853
       -9.79979980        0.18052879        0.00344121        0.17442142        0.00206465        0.00060150
       -9.78978979        0.19496639        0.00372551        0.18841572        0.00218047        0.00064469
       -9.77977978        0.20937518        0.00401262        0.20236471        0.00230976        0.00068809
       -9.76976977        0.22375517        0.00430254        0.21626840        0.00245252        0.00073170
       -9.75975976        0.23810635        0.00459528        0.23012678        0.00260876        0.00077553
       -9.74974975        0.35241076        0.00633930        0.34037283        0.00449637        0.00120227
       -9.73973974        0.42230528        0.00741935        0.40775222        0.00567029        0.00146342
       -9.72972973        0.49162593        0.00843114        0.47455962        0.00690590        0.00172927
       -9.71971972        0.56037271        0.00937467        0.54079503        0.00820319        0.00199983
       -9.70970971        0.62854563        0.01024992        0.60645844        0.00956217        0.00227509
       -9.69969970        0.69614467        0.01105691        0.67154986        0.01098284        0.00255506
       -9.68968969        0.48702687        0.00567487        0.46975197        0.00964013        0.00195991
       -9.67967968        0.54509827        0.00609946        0.52572759        0.01104948        0.00222174
       -9.66966967        0.24314371        0.00326596        0.23425899        0.00461407        0.00100469
       -9.65965966        0.22695488        0.00313488        0.21860775        0.00427694        0.00093531
       -9.64964965        0.21072539        0.00298939        0.20292499        0.00394461        0.00086640
       -9.63963964        0.19445522        0.00282949        0.18721072        0.00361707        0.00079795
       -9.62962963        0.17814438        0.00265517        0.17146493        0.00329432        0.00072996
       -9.61961962        0.16179287        0.00246643        0.15568763        0.00297636        0.00066244
       -9.60960961        0.14540068        0.00226329        0.13987881        0.00266319        0.00059539
       -9.59959960        0.12896782        0.00204572        0.12403848        0.00235482        0.00052880
       -9.58958959        0.11249429        0.00181375        0.10816662        0.00205124        0.00046268
       -9.57957958        0.09598009        0.00156736        0.09226326        0.00175245        0.00039702
       -9.56956957        0.07942521        0.00130655        0.07632838        0.00145845        0.00033183
       -9.55955956        0.06282966        0.00103134        0.06036198        0.00116924        0.00026710
       -9.54954955        0.04619344        0.00074170        0.04436406        0.00088483        0.00020284
       -9.53953954        0.02951654        0.00043766        0.02833463        0.00060521        0.00013905
       -9.52952953        0.02467159        0.00025840        0.02384323        0.00045686        0.00011310
       -9.51951952        0.13723663        0.00201483        0.13302270        0.00174326        0.00045584
       -9.50950951        0.25064367        0.00444684        0.24215161        0.00325477        0.00079046
       -9.49949950        0.25008612        0.00440874        0.24157687        0.00331230        0.00078820
       -9.48948949        0.24950425        0.00437164        0.24097712        0.00336891        0.00078658
       -9.47947948        0.24889807        0.00433552        0.24035238        0.00342458        0.00078559
       -9.46946947        0.24826759        0.00430040        0.23970263        0.00347933        0.00078523
       -9.45945946        0.24761280        0.00426626        0.23902787        0.00353315        0.00078551
       -9.44944945        0.24693370        0.00423312        0.23832812        0.00358605        0.00078642
       -9.43943944        0.24623029        0.00420096        0.23760336        0.00363801        0.00078796
       -9.42942943        0.24550257        0.00416980        0.23685360        0.00368905        0.00079013
       -9.41941942        0.24475055        0.00413962        0.23607883        0.00373916        0.00079294
       -9.40940941        0.24397421        0.00411043        0.23527906        0.00378834        0.00079638
       -9.39939940        0.24317357        0.00408224        0.23445429        0.00383659        0.00080045
       -9.38938939        0.24234862        0.00405503        0.23360452        0.00388392        0.00080516
       -9.37937938        0.24149936        0.00402881        0.23272974        0.00393031        0.00081049
       -9.36936937        0.69430649        0.00918600        0.66962864        0.01255227        0.00293958
       -9.35935936        0.58970040        0.00772453        0.56851774        0.01094336        0.00251476
       -9.34934935        0.48473438        0.00626663        0.46697836        0.00939693        0.00209247
       -9.33933934        0.37940842        0.00481228        0.36501049        0.00791296        0.00167269
       -9.32932933        0.18338144        0.00163721        0.17572917        0.00504090        0.00097415
       -9.31931932        0.15449854        0.00152933        0.14730851        0.00488537        0.00077533
       -9.30930931        0.13061809        0.00152373        0.12376081        0.00477736        0.00055619
       -9.29929930        0.13002909        0.00178700        0.12258433        0.00517887        0.00047889
       -9.28928929        0.15462429        0.00258230        0.14515634        0.00628167        0.00060398
       -9.27927928        0.18008454        0.00378345        0.16804091        0.00752734        0.00073285
       -9.26926927        0.20640983        0.00539045        0.19123804        0.00891586        0.00086548
       -9.25925926        0.23360015        0.00740330        0.21474773        0.01044724        0.00100188
       -9.24924925        0.74708677        0.01269918        0.68761129        0.04437900        0.00239730
       -9.23923924        0.43815267        0.01812031        0.39561419        0.02258881        0.00182937
       -9.22922923        0.21123613        0.01385740        0.18875111        0.00756363        0.00106400
       -9.21921922        0.97800524        0.06681893        0.86635231        0.03997893        0.00485507
       -9.20920921        1.36684600        0.10145962        1.18817940        0.06767008        0.00953690
       -9.19919920        0.01490505        0.00112124        0.01297928        0.00071142        0.00009311
       -9.18918919        4.08732555        0.32243426        3.56413709        0.17762824        0.02312596
       -9.17917918        2.65787562        0.21337266        2.32362811        0.10701037        0.01386448
       -9.16916917        2.97642870        0.23050918        2.61682092        0.11496366        0.01413493
       -9.15915916        3.83736472        0.30542739        3.34464484        0.16522768        0.02206481
