#  aims_uuid : 4FE3AFA9-29B9-4EA3-AA53-4840FD84E21C                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.012859 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.98714142        0.82458708        0.01894573        0.76427329        0.03866964        0.00269842
       -5.97713141        0.59171747        0.01186852        0.54866372        0.02924017        0.00194506
       -5.96712140        2.56918642        0.05219931        2.38379643        0.12486640        0.00832429
       -5.95711139        2.60990451        0.02083381        2.49476986        0.08825445        0.00604638
       -5.94710138        1.77990989        0.03347408        1.71435822        0.02637734        0.00570024
       -5.93709137        0.29100282        0.00541933        0.27954908        0.00498019        0.00105422
       -5.92708136        0.29551077        0.00531625        0.28421671        0.00491448        0.00106333
       -5.91707135        0.30030415        0.00526565        0.28912354        0.00484116        0.00107379
       -5.90706134        0.30538296        0.00526756        0.29426959        0.00476021        0.00108560
       -5.89705133        0.31074721        0.00532195        0.29965485        0.00467165        0.00109876
       -5.88704132        0.31639690        0.00542884        0.30527932        0.00457548        0.00111326
       -5.87703131        0.32233202        0.00558822        0.31114300        0.00447168        0.00112911
       -5.86702130        0.32855257        0.00580009        0.31724589        0.00436027        0.00114631
       -5.85701129        0.33505855        0.00606446        0.32358800        0.00424125        0.00116485
       -5.84700128        0.34184997        0.00638132        0.33016931        0.00411460        0.00118475
       -5.83699127        0.16956811        0.00303449        0.16378506        0.00216526        0.00058330
       -5.82698126        0.14904083        0.00274119        0.14385041        0.00193321        0.00051602
       -5.81697125        0.13725759        0.00266882        0.13232062        0.00178920        0.00047895
       -5.80696124        0.15128781        0.00318435        0.14574337        0.00183441        0.00052568
       -5.79695123        0.16538087        0.00366569        0.15924578        0.00189749        0.00057190
       -5.78694122        0.17953678        0.00411284        0.17282785        0.00197846        0.00061762
       -5.77693121        0.19375554        0.00452580        0.18648959        0.00207732        0.00066283
       -5.76692120        0.20803714        0.00490458        0.20023098        0.00219405        0.00070753
       -5.75691119        0.22238159        0.00524917        0.21405204        0.00232866        0.00075173
       -5.74690118        0.23678889        0.00555956        0.22795275        0.00248115        0.00079542
       -5.73689117        0.35120192        0.00728552        0.33832626        0.00436895        0.00122120
       -5.72688116        0.42111323        0.00831643        0.40577133        0.00554529        0.00148018
       -5.71687115        0.49050668        0.00924323        0.47273310        0.00678730        0.00174304
       -5.70686114        0.55938226        0.01006592        0.53921156        0.00809498        0.00200981
       -5.69685113        0.62773999        0.01078448        0.60520672        0.00946833        0.00228046
       -5.68684112        0.69557985        0.01139893        0.67071856        0.01090734        0.00255501
       -5.67683111        0.48671601        0.00579362        0.46938181        0.00958682        0.00195376
       -5.66682110        0.54310080        0.00618681        0.52368246        0.01101647        0.00221506
       -5.65681109        0.24080962        0.00334826        0.23188962        0.00457656        0.00099518
       -5.64680108        0.22483781        0.00321999        0.21646549        0.00423015        0.00092217
       -5.63679107        0.20887802        0.00307505        0.20106313        0.00388985        0.00085000
