#  aims_uuid : FDE56D45-CB1B-4D5D-A2ED-16EBF9EDF2C1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.153104 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.84689596        1.43811283        0.00042144        0.43094480        0.98965219        0.01696177        0.00013263
       -5.83689596       42.00071673        2.14471814        4.74775600       34.71813722        0.37875151        0.01135386
       -5.82689596       38.49187076        1.99877204        4.05757125       32.08945850        0.33363485        0.01243413
       -5.81689596       25.57125595        1.81556563        2.48040112       21.04016025        0.22606743        0.00906152
       -5.80689596       40.89703490        3.56999518        3.86940046       33.07588361        0.36613759        0.01561807
       -5.79689596       21.92845230        0.14954542        3.00900908       18.53837748        0.22408459        0.00743572
       -5.78689596        9.25031952        0.07835275        1.43544296        7.63777439        0.09568016        0.00306925
       -5.77689596        8.24290532        0.04135860        1.38006958        6.72865612        0.09045887        0.00236214
       -5.76689596        7.36910755        0.01744666        1.28704527        5.97819541        0.08452506        0.00189515
       -5.75689596        6.62892623        0.00661691        1.15637005        5.38639227        0.07787873        0.00166828
       -5.74689596        6.91015202        0.00663757        1.26370136        5.55475118        0.08335447        0.00170745
       -5.73689596        4.68986951        0.00628407        0.81516912        3.80956205        0.05760906        0.00124521
       -5.72689596        4.88190505        0.00723416        0.87598240        3.93591403        0.06148727        0.00128720
       -5.71689596        5.08284618        0.00827550        0.93168026        4.07607807        0.06546989        0.00134245
       -5.70689596        5.29269289        0.00940808        0.98226270        4.23005417        0.06955695        0.00141098
       -5.69689596        5.51144518        0.01063191        1.02772972        4.39784233        0.07374844        0.00149278
       -5.68689596       54.83842165        0.15784611        7.38247155       46.54917391        0.72690041        0.02202966
       -5.67689596        7.45619916        0.01776914        1.29885890        6.03499101        0.10227790        0.00230222
       -5.66689596        8.11867122        0.02043070        1.39516918        6.58775028        0.11275144        0.00256961
       -5.65689596        8.77869449        0.02305770        1.49235535        7.13708520        0.12336822        0.00282800
       -5.64689596        9.43626897        0.02565015        1.59041741        7.68299575        0.13412825        0.00307741
       -5.63689596       10.09139468        0.02820804        1.68935535        8.22548195        0.14503152        0.00331782
       -5.62689596       10.74407161        0.03073137        1.78916918        8.76454378        0.15607804        0.00354924
       -5.61689596       11.39429975        0.03322014        1.88985889        9.30018125        0.16726780        0.00377167
       -5.60689596        5.31810469        0.01153909        1.06670747        4.15811556        0.08041330        0.00132927
       -5.59689596        7.69045227        0.01400799        1.47435105        6.08500191        0.11510491        0.00198641
