#  aims_uuid : FDE56D45-CB1B-4D5D-A2ED-16EBF9EDF2C1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.06075946        0.00000906        0.01420493        0.04587543        0.00066467        0.00000538
       -9.99000000        1.65010244        0.07966267        0.19176911        1.36402157        0.01418888        0.00046021
       -9.98000000        1.54191998        0.07964752        0.16016164        1.28829544        0.01331687        0.00049851
       -9.97000000        1.05966579        0.07759118        0.09560019        0.87627631        0.00983858        0.00035953
       -9.96000000        1.65259117        0.14415850        0.15898751        1.33393177        0.01488892        0.00062447
       -9.95000000        0.87963293        0.00609131        0.12952534        0.73468752        0.00903218        0.00029659
       -9.94000000        0.36750817        0.00314406        0.06829994        0.29205751        0.00388568        0.00012098
       -9.93000000        0.32615184        0.00166671        0.06556758        0.25515948        0.00366571        0.00009236
       -9.92000000        0.29111786        0.00070824        0.05887072        0.22804969        0.00341511        0.00007410
       -9.91000000        0.26240624        0.00026868        0.04820936        0.21072814        0.00313387        0.00006619
       -9.90000000        0.27434931        0.00026681        0.04965686        0.22101689        0.00334043        0.00006833
       -9.89000000        0.18562978        0.00025306        0.03095784        0.15206662        0.00230236        0.00004989
       -9.88000000        0.19286630        0.00029167        0.03268647        0.15738302        0.00245353        0.00005161
       -9.87000000        0.20059293        0.00033377        0.03435958        0.16323648        0.00260924        0.00005386
       -9.86000000        0.20880967        0.00037936        0.03597716        0.16962703        0.00276949        0.00005663
       -9.85000000        0.21751652        0.00042843        0.03753923        0.17655465        0.00293429        0.00005992
       -9.84000000        1.95029693        0.00553445        0.33369527        1.58030771        0.02990421        0.00085529
       -9.83000000        0.29546753        0.00071411        0.04837449        0.24221942        0.00406736        0.00009215
       -9.82000000        0.32215185        0.00082082        0.05248182        0.26426586        0.00448071        0.00010264
       -9.81000000        0.34885503        0.00092605        0.05677975        0.28613671        0.00489976        0.00011275
       -9.80000000        0.37557707        0.00102983        0.06126829        0.30783195        0.00532452        0.00012248
       -9.79000000        0.40231798        0.00113214        0.06594745        0.32935159        0.00575499        0.00013181
       -9.78000000        0.42907775        0.00123298        0.07081721        0.35069563        0.00619117        0.00014076
