#  aims_uuid : FDE56D45-CB1B-4D5D-A2ED-16EBF9EDF2C1                                
#  angular momentum projected density of states for species Mo as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.153104 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.84689596        0.06114797        0.00000835        0.02239568        0.03805972        0.00067954        0.00000468
       -5.83689596        1.73098804        0.08918809        0.19551521        1.42981243        0.01603170        0.00044060
       -5.82689596        1.54426052        0.08007188        0.16984922        1.28044113        0.01340281        0.00049548
       -5.81689596        0.97920706        0.06979462        0.10807402        0.79266042        0.00830916        0.00036883
       -5.80689596        1.62122350        0.14201679        0.16023564        1.30392521        0.01442263        0.00062323
       -5.79689596        0.88308157        0.00589009        0.12091408        0.74701664        0.00896449        0.00029627
       -5.78689596        0.38333357        0.00309792        0.05500920        0.32123788        0.00386533        0.00012324
       -5.77689596        0.34378134        0.00162170        0.05156179        0.28684709        0.00365524        0.00009552
       -5.76689596        0.30591753        0.00067511        0.04828487        0.25346779        0.00341275        0.00007701
       -5.75689596        0.26974214        0.00025815        0.04517843        0.22109998        0.00313787        0.00006772
       -5.74689596        0.27623669        0.00026959        0.04990305        0.22264569        0.00334932        0.00006904
       -5.73689596        0.18516789        0.00026072        0.03117821        0.15136303        0.00231544        0.00005049
       -5.72689596        0.19138936        0.00030312        0.03296473        0.15559798        0.00247121        0.00005232
       -5.71689596        0.19828367        0.00034828        0.03469287        0.16055765        0.00263024        0.00005464
       -5.70689596        0.20585080        0.00039618        0.03636263        0.16624204        0.00279251        0.00005745
       -5.69689596        0.21409076        0.00044682        0.03797402        0.17265116        0.00295802        0.00006074
       -5.68689596        2.45237399        0.00741882        0.27108279        2.14352600        0.02945217        0.00089420
       -5.67689596        0.29188449        0.00073505        0.04891651        0.23804416        0.00409579        0.00009299
       -5.66689596        0.31891311        0.00084279        0.05308099        0.26037189        0.00451392        0.00010352
       -5.65689596        0.34616984        0.00094848        0.05743505        0.28273539        0.00493728        0.00011364
       -5.64689596        0.37365468        0.00105212        0.06197867        0.30513466        0.00536587        0.00012335
       -5.63689596        0.40136763        0.00115371        0.06671187        0.32756971        0.00579968        0.00013266
       -5.62689596        0.42930868        0.00125324        0.07163464        0.35004052        0.00623872        0.00014156
       -5.61689596        0.45747784        0.00135072        0.07674698        0.37254710        0.00668299        0.00015005
       -5.60689596        0.21513853        0.00048537        0.04414486        0.16724035        0.00321580        0.00005215
       -5.59689596        0.30921336        0.00058389        0.06009541        0.24382792        0.00462754        0.00007860
       -5.58689596        0.19614423        0.00041651        0.03212318        0.16064237        0.00289930        0.00006287
       -5.57689596        0.20657381        0.00043675        0.03293348        0.17006917        0.00306648        0.00006792
       -5.56689596        0.21720086        0.00045512        0.03357494        0.17986120        0.00323624        0.00007337
       -5.55689596        0.22802541        0.00047162        0.03404755        0.19001844        0.00340857        0.00007924
       -5.54689596        0.23904743        0.00048625        0.03435131        0.20054089        0.00358347        0.00008552
       -5.53689596        0.25026694        0.00049901        0.03448622        0.21142857        0.00376094        0.00009221
       -5.52689596        0.26168394        0.00050990        0.03445228        0.22268146        0.00394099        0.00009931
       -5.51689596        0.27329842        0.00051892        0.03424949        0.23429957        0.00412361        0.00010683
       -5.50689596        0.28511038        0.00052607        0.03387785        0.24628289        0.00430881        0.00011475
       -5.49689596        0.20907672        0.00045956        0.02563962        0.17967913        0.00321400        0.00008440
       -5.48689596        0.16686800        0.00041825        0.02056176        0.14322185        0.00259780        0.00006834
       -5.47689596        0.12600044        0.00035639        0.01544676        0.10816038        0.00198431        0.00005261
       -5.46689596        0.08647402        0.00027395        0.01029461        0.07449472        0.00137353        0.00003720
       -5.45689596        0.04828876        0.00017096        0.00510533        0.04222487        0.00076548        0.00002212
       -5.44689596        0.03133682        0.00012654        0.00273800        0.02796355        0.00049321        0.00001552
       -5.43689596        0.02987206        0.00013809        0.00259779        0.02664422        0.00047683        0.00001513
       -5.42689596        0.02841122        0.00014800        0.00245909        0.02532955        0.00045988        0.00001470
       -5.41689596        0.15035605        0.00064964        0.02697063        0.12001097        0.00268456        0.00004025
       -5.40689596        0.18699278        0.00085815        0.03314473        0.14960373        0.00333364        0.00005253
       -5.39689596        0.20439694        0.00100668        0.03551786        0.16415628        0.00365539        0.00006073
       -5.38689596        0.20955541        0.00111848        0.03573335        0.16886053        0.00377777        0.00006528
       -5.37689596        0.21459507        0.00123611        0.03592497        0.17346582        0.00389833        0.00006985
       -5.36689596        0.21951593        0.00135956        0.03609272        0.17797216        0.00401706        0.00007443
       -5.35689596        0.22431798        0.00148884        0.03623662        0.18237954        0.00413396        0.00007902
       -5.34689596        0.22900123        0.00162395        0.03635664        0.18668797        0.00424903        0.00008364
       -5.33689596        0.23356567        0.00176489        0.03645281        0.19089744        0.00436227        0.00008826
       -5.32689596        0.23801130        0.00191166        0.03652510        0.19500795        0.00447369        0.00009291
       -5.31689596        0.24233813        0.00206425        0.03657354        0.19901950        0.00458327        0.00009756
       -5.30689596        0.24654615        0.00222268        0.03659811        0.20293210        0.00469103        0.00010224
       -5.29689596        0.50246618        0.00502644        0.06445264        0.42309846        0.00962728        0.00026137
       -5.28689596        0.44171580        0.00467516        0.05890762        0.36935020        0.00855677        0.00022604
       -5.27689596        0.38276862        0.00427155        0.05303772        0.31777194        0.00749536        0.00019204
       -5.26689596        0.32562464        0.00381563        0.04684293        0.26836368        0.00644304        0.00015936
       -5.25689596        0.27028388        0.00330739        0.04032324        0.22112542        0.00539982        0.00012801
       -5.24689596        0.21674631        0.00274682        0.03347867        0.17605717        0.00436569        0.00009797
       -5.23689596        0.11110260        0.00145098        0.01758854        0.08975471        0.00225907        0.00004930
       -5.22689596        0.06633941        0.00082352        0.01094957        0.05320579        0.00133680        0.00002372
       -5.21689596        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.20689596        0.20266379        0.00182115        0.02840080        0.16825920        0.00407895        0.00010369
       -5.19689596        0.19257744        0.00266869        0.03031432        0.15566239        0.00383516        0.00009687
       -5.18689596        0.18255496        0.00378328        0.03202140        0.14307441        0.00358488        0.00009099
       -5.17689596        0.17259636        0.00516492        0.03352206        0.13049524        0.00332811        0.00008604
       -5.16689596        0.16270164        0.00681360        0.03481630        0.11792488        0.00306483        0.00008203
       -5.15689596        0.15287079        0.00872934        0.03590411        0.10536333        0.00279505        0.00007896
       -5.14689596        0.14310383        0.01091212        0.03678549        0.09281061        0.00251878        0.00007683
       -5.13689596        0.17540099        0.01746348        0.05472732        0.10018395        0.00293793        0.00008831
       -5.12689596        0.15147133        0.01989897        0.04902430        0.08007575        0.00238484        0.00008747
       -5.11689596        0.13292014        0.02135105        0.04414118        0.06537024        0.00197126        0.00008641
       -5.10689596        0.16383621        0.02273775        0.04519266        0.09324470        0.00254258        0.00011851
       -5.09689596        0.19522095        0.02399410        0.04791472        0.12025062        0.00290557        0.00015594
       -5.08689596        0.31967666        0.03924865        0.09048430        0.18545829        0.00423515        0.00025027
       -5.07689596        0.25937823        0.03129284        0.05450920        0.17032526        0.00298565        0.00026529
       -5.06689596        0.84091894        0.09112500        0.19244168        0.54720033        0.00870783        0.00144409
       -5.05689596        1.38618016        0.18550304        0.33031410        0.85468876        0.01374847        0.00192578
       -5.04689596        7.77287150        0.48681493        1.20789766        6.03631323        0.03275450        0.00909118
       -5.03689596        2.00310642        0.13141409        0.33756358        1.52203269        0.00971267        0.00238339
       -5.02689596        8.98777082        0.56454496        1.52781719        6.83249416        0.05270730        0.01020719
       -5.01689596        2.12720821        0.15499680        0.32965890        1.62133258        0.01899099        0.00222895
       -5.00689596        0.89168369        0.07572527        0.12322632        0.68660417        0.00513021        0.00099772
       -4.99689596        2.42864072        0.27904124        0.31092532        1.82201822        0.01380526        0.00285068
       -4.98689596        5.79089568        1.16150346        1.29380690        3.25724189        0.07007204        0.00827140
       -4.97689596        4.99210021        0.61112327        0.99160623        3.34548642        0.03763158        0.00625270
       -4.96689596        2.03325386        0.34718180        0.38778224        1.27840980        0.01719601        0.00268401
       -4.95689596        1.78784339        0.16239337        0.30711813        1.29904038        0.01740612        0.00188539
       -4.94689596        1.61075024        0.13855657        0.28122064        1.17381254        0.01562416        0.00153634
       -4.93689596        1.28475194        0.13233604        0.24369041        0.89392862        0.01358666        0.00121021
       -4.92689596        1.63351048        0.14484044        0.34819020        1.12206125        0.01708745        0.00133115
       -4.91689596        2.40322130        0.20703602        0.43614272        1.73749342        0.02025831        0.00229083
       -4.90689596        2.30555244        0.11842005        0.34865268        1.82115171        0.01527787        0.00205012
       -4.89689596        1.82826395        0.35638519        0.27794275        1.17539261        0.01593214        0.00261127
       -4.88689596        2.50999348        0.34322192        0.38438742        1.75868620        0.02048801        0.00320994
       -4.87689596        1.78087313        0.24581988        0.24931191        1.26956600        0.01381889        0.00235645
       -4.86689596        1.03525979        0.29151741        0.15809802        0.57300456        0.01073044        0.00190936
       -4.85689596        1.25482129        0.34935391        0.17496367        0.71455950        0.01362460        0.00231961
       -4.84689596        0.75057213        0.17121524        0.09496757        0.47113134        0.01217199        0.00108599
       -4.83689596        0.95644099        0.14847533        0.11212855        0.67550046        0.01915589        0.00118076
       -4.82689596        0.17984135        0.04246346        0.04125984        0.09266012        0.00325647        0.00020147
       -4.81689596        0.21134318        0.04690233        0.04697026        0.11345925        0.00378369        0.00022765
       -4.80689596        3.26989469        0.24843041        0.42682795        2.52622826        0.06582954        0.00257852
       -4.79689596        1.23646796        0.05469509        0.13429592        1.02234345        0.02421428        0.00091923
       -4.78689596        0.84958838        0.06869767        0.11199112        0.65595245        0.01215580        0.00079135
       -4.77689596        0.96052515        0.07334888        0.11939244        0.75151728        0.01537595        0.00089060
       -4.76689596        0.18622761        0.02237860        0.02434406        0.13675328        0.00250688        0.00024480
       -4.75689596        0.18710885        0.02465095        0.02264019        0.13714319        0.00241109        0.00026344
       -4.74689596        0.18749119        0.02677778        0.02103597        0.13708503        0.00231151        0.00028090
       -4.73689596        0.18737465        0.02875911        0.01953140        0.13657881        0.00220816        0.00029717
       -4.72689596        0.29125901        0.04754905        0.03345593        0.20594639        0.00386966        0.00043798
       -4.71689596        0.36022840        0.06282950        0.04070534        0.25157762        0.00454393        0.00057201
       -4.70689596        0.44014137        0.08212068        0.04787409        0.30433000        0.00506785        0.00074875
