#  aims_uuid : FDE56D45-CB1B-4D5D-A2ED-16EBF9EDF2C1                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.153104 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -5.84689596        0.07612635        0.00264907        0.07280590        0.00038622        0.00028516
       -5.83689596        1.26162353        0.03429076        1.15739923        0.06580075        0.00413279
       -5.82689596        1.18240847        0.02973063        1.08751834        0.06129702        0.00386248
       -5.81689596        0.89877429        0.01559265        0.84026092        0.04023832        0.00268240
       -5.80689596        1.47438436        0.01534118        1.39329902        0.06153406        0.00421010
       -5.79689596        0.86963252        0.01348260        0.83401622        0.01916504        0.00296867
       -5.78689596        0.39839704        0.00567624        0.38338675        0.00804191        0.00129214
       -5.77689596        0.37286481        0.00546558        0.35992689        0.00628096        0.00119138
       -5.76689596        0.33718137        0.00531922        0.32572634        0.00505024        0.00108558
       -5.75689596        0.29134672        0.00523714        0.28078511        0.00434974        0.00097473
       -5.74689596        0.30021126        0.00594153        0.28883982        0.00440159        0.00102832
       -5.73689596        0.19721538        0.00388507        0.18953248        0.00310765        0.00069018
       -5.72689596        0.20592950        0.00417924        0.19784355        0.00317964        0.00072708
       -5.71689596        0.21505670        0.00445559        0.20656559        0.00327038        0.00076513
       -5.70689596        0.22459696        0.00471412        0.21569860        0.00337989        0.00080435
       -5.69689596        0.23455028        0.00495482        0.22524259        0.00350815        0.00084472
       -5.68689596        2.07804874        0.04049389        1.98949915        0.03826804        0.00978767
       -5.67689596        0.31612641        0.00636736        0.30368958        0.00490739        0.00116207
       -5.66689596        0.34539684        0.00687846        0.33187108        0.00537624        0.00127106
       -5.65689596        0.37530593        0.00739931        0.36068485        0.00584263        0.00137914
       -5.64689596        0.40585369        0.00792993        0.39013090        0.00630655        0.00148631
       -5.63689596        0.43704012        0.00847031        0.42020922        0.00676800        0.00159258
       -5.62689596        0.46886522        0.00902046        0.45091982        0.00722699        0.00169795
       -5.61689596        0.50132898        0.00958036        0.48226269        0.00768351        0.00180242
       -5.60689596        0.25128449        0.00528298        0.24191890        0.00325214        0.00083048
       -5.59689596        0.35410687        0.00717483        0.34086197        0.00488211        0.00118796
       -5.58689596        0.20990782        0.00371114        0.20208147        0.00336246        0.00075276
       -5.57689596        0.21926786        0.00381652        0.21106539        0.00359088        0.00079507
       -5.56689596        0.22851138        0.00391057        0.21992893        0.00383264        0.00083925
       -5.55689596        0.23763839        0.00399328        0.22867209        0.00408772        0.00088529
       -5.54689596        0.24664887        0.00406467        0.23729485        0.00435615        0.00093321
       -5.53689596        0.25554285        0.00412472        0.24579723        0.00463790        0.00098300
       -5.52689596        0.26432030        0.00417344        0.25417921        0.00493299        0.00103465
       -5.51689596        0.27298124        0.00421083        0.26244081        0.00524142        0.00108818
       -5.50689596        0.28152566        0.00423689        0.27058202        0.00556318        0.00114357
       -5.49689596        0.21181992        0.00344670        0.20342447        0.00410333        0.00084542
       -5.48689596        0.17148543        0.00291563        0.16458439        0.00330461        0.00068079
       -5.47689596        0.13058808        0.00228124        0.12527210        0.00251613        0.00051862
       -5.46689596        0.08912788        0.00154350        0.08548758        0.00173789        0.00035891
       -5.45689596        0.04710483        0.00070243        0.04523085        0.00096988        0.00020167
       -5.44689596        0.02805571        0.00030167        0.02699762        0.00062478        0.00013164
       -5.43689596        0.02677256        0.00028900        0.02576322        0.00059391        0.00012644
       -5.42689596        0.02549024        0.00027622        0.02452957        0.00056328        0.00012117
       -5.41689596        0.17341527        0.00370732        0.16646938        0.00268158        0.00055699
       -5.40689596        0.21362335        0.00464562        0.20490566        0.00337294        0.00069913
       -5.39689596        0.23123912        0.00499415        0.22176189        0.00371177        0.00077131
       -5.38689596        0.23551274        0.00499643        0.22590782        0.00381192        0.00079656
       -5.37689596        0.23973480        0.00500364        0.22999509        0.00391498        0.00082109
       -5.36689596        0.24390531        0.00501577        0.23402368        0.00402096        0.00084490
       -5.35689596        0.24802426        0.00503283        0.23799359        0.00412984        0.00086800
       -5.34689596        0.25209166        0.00505482        0.24190483        0.00424163        0.00089037
       -5.33689596        0.25610750        0.00508173        0.24575739        0.00435634        0.00091203
       -5.32689596        0.26007178        0.00511357        0.24955128        0.00447395        0.00093297
       -5.31689596        0.26398452        0.00515034        0.25328650        0.00459448        0.00095320
       -5.30689596        0.26784569        0.00519203        0.25696304        0.00471792        0.00097270
       -5.29689596        0.52936575        0.00895044        0.50847551        0.00980604        0.00213375
       -5.28689596        0.47781832        0.00814901        0.45906708        0.00875857        0.00184366
       -5.27689596        0.42463411        0.00732573        0.40803268        0.00770794        0.00156775
       -5.26689596        0.36981312        0.00648059        0.35537233        0.00665416        0.00130605
       -5.25689596        0.31335535        0.00561360        0.30108600        0.00559722        0.00105853
