#  aims_uuid : FDE56D45-CB1B-4D5D-A2ED-16EBF9EDF2C1                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.06864619        0.00221600        0.06568942        0.00048528        0.00025549
       -9.99000000        1.31781414        0.03776952        1.20724214        0.06863595        0.00416653
       -9.98000000        1.17044618        0.02932410        1.07566641        0.06162799        0.00382769
       -9.97000000        0.82823088        0.01183549        0.77539691        0.03840034        0.00259815
       -9.96000000        1.43774071        0.01408530        1.35821922        0.06127158        0.00416461
       -9.95000000        0.83722203        0.01310473        0.80193408        0.01926366        0.00291956
       -9.94000000        0.36421162        0.00542976        0.34949192        0.00805249        0.00123747
       -9.93000000        0.34261460        0.00530075        0.32993801        0.00623405        0.00114178
       -9.92000000        0.31594966        0.00522030        0.30469410        0.00498506        0.00105020
       -9.91000000        0.28421682        0.00518840        0.27376019        0.00430549        0.00096273
       -9.90000000        0.30287358        0.00598437        0.29149210        0.00436310        0.00103400
       -9.89000000        0.20519240        0.00402896        0.19740277        0.00305440        0.00070627
       -9.88000000        0.21798835        0.00439763        0.20973259        0.00310692        0.00075121
       -9.87000000        0.23040058        0.00473386        0.22168894        0.00318209        0.00079569
       -9.86000000        0.24242909        0.00503765        0.23327182        0.00327990        0.00083972
       -9.85000000        0.25407387        0.00530900        0.24448123        0.00340035        0.00088329
       -9.84000000        2.23317808        0.03901879        2.14816653        0.03767165        0.00832110
       -9.83000000        0.33624638        0.00675385        0.32349213        0.00479868        0.00120171
       -9.82000000        0.36436879        0.00726861        0.35051699        0.00527473        0.00130846
       -9.81000000        0.39228691        0.00778023        0.37734150        0.00575256        0.00141262
       -9.80000000        0.42000074        0.00828872        0.40396566        0.00623215        0.00151421
       -9.79000000        0.44751029        0.00879408        0.43038948        0.00671351        0.00161322
       -9.78000000        0.47481555        0.00929630        0.45661295        0.00719664        0.00170966
       -9.77000000        0.50191651        0.00979538        0.48263607        0.00768154        0.00180352
       -9.76000000        0.24903793        0.00549622        0.23944886        0.00326591        0.00082693
       -9.75000000        0.35053929        0.00736602        0.33708262        0.00490753        0.00118311
       -9.74000000        0.20547401        0.00387722        0.19745421        0.00339554        0.00074704
       -9.73000000        0.21518985        0.00396932        0.20680944        0.00362138        0.00078971
       -9.72000000        0.22502625        0.00404116        0.21629172        0.00385877        0.00083460
       -9.71000000        0.23498320        0.00409273        0.22590105        0.00410770        0.00088172
       -9.70000000        0.24506071        0.00412405        0.23563743        0.00436818        0.00093105
       -9.69000000        0.25525879        0.00413510        0.24550086        0.00464021        0.00098261
       -9.68000000        0.26557741        0.00412589        0.25549134        0.00492378        0.00103639
       -9.67000000        0.27601660        0.00409642        0.26560888        0.00521891        0.00109240
       -9.66000000        0.28657635        0.00404669        0.27585346        0.00552558        0.00115062
       -9.65000000        0.21902023        0.00317626        0.21093926        0.00404976        0.00085494
       -9.64000000        0.17959231        0.00261075        0.17304538        0.00324433        0.00069185
       -9.63000000        0.13809595        0.00199844        0.13310777        0.00246043        0.00052931
       -9.62000000        0.09453115        0.00133934        0.09112643        0.00169804        0.00036733
       -9.61000000        0.04889792        0.00063345        0.04710138        0.00095718        0.00020591
       -9.60000000        0.02786640        0.00030589        0.02680027        0.00062654        0.00013370
       -9.59000000        0.02655846        0.00029376        0.02554002        0.00059590        0.00012878
       -9.58000000        0.02525452        0.00028147        0.02428385        0.00056547        0.00012374
       -9.57000000        0.17463788        0.00368195        0.16772101        0.00268041        0.00055452
       -9.56000000        0.21838844        0.00454700        0.20977137        0.00337406        0.00069600
       -9.55000000        0.23730345        0.00486851        0.22796146        0.00370995        0.00076353
       -9.54000000        0.24065613        0.00488897        0.23118539        0.00380160        0.00078018
       -9.53000000        0.24406799        0.00491215        0.23446116        0.00389735        0.00079732
       -9.52000000        0.24753900        0.00493808        0.23778878        0.00399719        0.00081495
       -9.51000000        0.25106919        0.00496674        0.24116823        0.00410113        0.00083309
       -9.50000000        0.25465854        0.00499813        0.24459953        0.00420917        0.00085172
       -9.49000000        0.25830706        0.00503225        0.24808266        0.00432130        0.00087085
       -9.48000000        0.26201475        0.00506911        0.25161764        0.00443753        0.00089047
       -9.47000000        0.26578160        0.00510871        0.25520445        0.00455785        0.00091059
       -9.46000000        0.26960762        0.00515104        0.25884311        0.00468227        0.00093121
       -9.45000000        0.53031039        0.00892423        0.50950093        0.00978098        0.00210426
       -9.44000000        0.47445016        0.00821643        0.45559662        0.00877376        0.00186335
       -9.43000000        0.41829288        0.00745791        0.40146200        0.00775121        0.00162176
       -9.42000000        0.36183855        0.00664865        0.34709707        0.00671334        0.00137949
       -9.41000000        0.30508717        0.00578865        0.29250182        0.00566015        0.00113655
       -9.40000000        0.24803875        0.00487793        0.23767626        0.00459164        0.00089293
       -9.39000000        0.12849624        0.00255048        0.12310278        0.00238361        0.00045937
       -9.38000000        0.07701340        0.00166125        0.07372832        0.00138933        0.00023449
       -9.37000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.36000000        0.21238324        0.00259597        0.20442626        0.00444783        0.00091318
       -9.35000000        0.20416748        0.00235053        0.19599170        0.00496940        0.00085584
       -9.34000000        0.19540911        0.00215306        0.18701989        0.00543665        0.00079952
       -9.33000000        0.18610814        0.00200357        0.17751081        0.00584956        0.00074420
       -9.32000000        0.17626457        0.00190206        0.16746447        0.00620814        0.00068989
       -9.31000000        0.16587839        0.00184852        0.15688088        0.00651239        0.00063660
       -9.30000000        0.15494960        0.00184296        0.14576002        0.00676231        0.00058431
       -9.29000000        0.19578350        0.00222617        0.18238226        0.01051141        0.00066366
       -9.28000000        0.16444640        0.00230741        0.15219963        0.00936657        0.00057279
       -9.27000000        0.13973195        0.00234560        0.12849781        0.00838300        0.00050553
       -9.26000000        0.16385088        0.00314172        0.15151791        0.00849299        0.00069826
       -9.25000000        0.18902666        0.00467035        0.17444496        0.00901852        0.00089282
       -9.24000000        0.31323482        0.00840489        0.28651017        0.01690303        0.00141672
       -9.23000000        0.23678257        0.01040361        0.21437828        0.01069003        0.00131064
       -9.22000000        1.03307960        0.06676627        0.93934252        0.02325729        0.00371352
       -9.21000000        1.50065343        0.09794568        1.34478598        0.05132490        0.00659687
       -9.20000000        6.39808081        0.49202143        5.54835042        0.31406598        0.04364299
       -9.19000000        1.66699783        0.12421085        1.45165334        0.08025437        0.01087927
       -9.18000000        7.81941772        0.56963219        6.84513552        0.35598245        0.04866756
       -9.17000000        1.98437083        0.12682984        1.76720274        0.07929532        0.01104294
       -9.16000000        0.79094043        0.06065813        0.68908240        0.03603593        0.00516396
       -9.15000000        2.00318619        0.16133288        1.73354436        0.09474078        0.01356818
       -9.14000000        6.27951494        0.42978333        5.60456894        0.21709632        0.02806636
       -9.13000000        4.83354153        0.38037059        4.22376317        0.20276044        0.02664733
       -9.12000000        1.99149433        0.15737243        1.74169844        0.08153643        0.01088703
       -9.11000000        1.71318526        0.11485087        1.51677140        0.07232135        0.00924165
       -9.10000000        1.55080695        0.10027127        1.37011993        0.07216568        0.00825006
       -9.09000000        1.29045438        0.08168480        1.14111748        0.06123244        0.00641966
       -9.08000000        1.64638430        0.09219467        1.45825513        0.08797488        0.00795961
       -9.07000000        2.28629115        0.15827970        2.00188968        0.11349390        0.01262787
       -9.06000000        1.96333766        0.11354824        1.71723488        0.12048120        0.01207334
       -9.05000000        1.67999889        0.13100249        1.46693919        0.07197769        0.01007952
       -9.04000000        2.27766078        0.17671960        1.98475169        0.10227104        0.01391844
       -9.03000000        1.53720798        0.11369571        1.34079738        0.07297796        0.00973692
       -9.02000000        0.94642563        0.06628957        0.83608560        0.03850336        0.00554710
       -9.01000000        1.11039419        0.07195525        0.98687326        0.04485504        0.00671064
       -9.00000000        0.72824607        0.04157142        0.65950382        0.02294109        0.00422975
       -8.99000000        0.95191220        0.04045303        0.88075509        0.02532948        0.00537460
       -8.98000000        0.23352314        0.02117195        0.20490584        0.00631837        0.00112699
       -8.97000000        0.27898819        0.02563057        0.24472166        0.00727844        0.00135753
       -8.96000000        3.63460300        0.20106124        3.32105201        0.09588155        0.01660820
       -8.95000000        1.28000474        0.05820559        1.17890063        0.03695856        0.00593995
       -8.94000000        0.86805860        0.05904714        0.77107247        0.03289834        0.00504064
       -8.93000000        1.01340823        0.06069901        0.90980529        0.03708420        0.00581973
       -8.92000000        0.19905824        0.01301479        0.17747670        0.00735328        0.00121347
       -8.91000000        0.18678955        0.01178381        0.16664582        0.00718386        0.00117605
       -8.90000000        0.17506032        0.01063356        0.15627607        0.00701039        0.00114029
       -8.89000000        0.16387056        0.00956406        0.14636745        0.00683287        0.00110619
       -8.88000000        0.28119200        0.02006136        0.24936191        0.00994692        0.00182181
       -8.87000000        0.33468253        0.02392073        0.29636809        0.01215912        0.00223460
       -8.86000000        0.38300069        0.02655671        0.33887835        0.01488812        0.00267751
       -8.85000000        0.42614648        0.02796932        0.37689269        0.01813391        0.00315056
       -8.84000000        0.40620321        0.02508025        0.35940611        0.01857018        0.00314666
       -8.83000000        0.25389012        0.01637299        0.22545471        0.01019940        0.00186303
       -8.82000000        0.23283429        0.01480158        0.20696935        0.00934285        0.00172050
       -8.81000000        0.21145614        0.01322257        0.18815745        0.00850021        0.00157591
       -8.80000000        0.18975569        0.01163595        0.16901901        0.00767147        0.00142925
