#  aims_uuid : 19D5C4FC-0097-4009-A916-1454C899516E                                
#  angular momentum projected density of states for species Se as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055446 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.94455375        0.71014164        0.01283681        0.66706351        0.02772947        0.00251185
       -4.93455375        0.85121064        0.01677833        0.79495441        0.03665433        0.00282357
       -4.92455375        1.40045495        0.02736269        1.29707719        0.07118833        0.00482674
       -4.91455375        0.45409195        0.00830522        0.42289592        0.02121117        0.00167964
       -4.90455375        0.50135971        0.00982898        0.47045175        0.01933122        0.00174775
       -4.89455375        0.53699609        0.01099463        0.50697236        0.01722393        0.00180517
       -4.88455375        0.56100109        0.01180217        0.53245775        0.01488928        0.00185188
       -4.87455375        0.57337470        0.01225160        0.54690791        0.01232729        0.00188790
       -4.86455375        8.13695277        0.17382562        7.85050348        0.08562964        0.02699404
       -4.85455375        0.20792748        0.00488799        0.19735198        0.00500783        0.00067967
       -4.84455375        0.18291620        0.00457049        0.17317361        0.00455667        0.00061544
       -4.83455375        0.18928617        0.00477677        0.17957432        0.00429648        0.00063860
       -4.82455375        0.19586056        0.00497405        0.18615818        0.00406624        0.00066209
       -4.81455375        0.20263938        0.00516232        0.19292518        0.00386595        0.00068593
       -4.80455375        0.20962263        0.00534159        0.19987534        0.00369560        0.00071009
       -4.79455375        0.21681030        0.00551186        0.20700864        0.00355520        0.00073460
       -4.78455375        0.22420240        0.00567312        0.21432510        0.00344475        0.00075944
       -4.77455375        0.23179893        0.00582538        0.22182470        0.00336424        0.00078461
       -4.76455375        0.23959989        0.00596863        0.22950746        0.00331368        0.00081013
       -4.75455375        0.24760528        0.00610288        0.23737336        0.00329307        0.00083597
       -4.74455375        0.25581509        0.00622812        0.24542241        0.00330240        0.00086215
       -4.73455375        0.38319889        0.00824507        0.36812081        0.00548926        0.00134375
       -4.72455375        0.43303402        0.00896102        0.41621880        0.00632345        0.00153075
       -4.71455375        0.48284490        0.00962269        0.46428382        0.00721692        0.00172147
       -4.70455375        0.53263154        0.01023006        0.51231588        0.00816968        0.00191592
       -4.69455375        0.31137376        0.00444812        0.29948996        0.00616935        0.00126633
       -4.68455375        0.35524766        0.00489602        0.34177847        0.00711676        0.00145641
       -4.67455375        0.39910005        0.00529812        0.38405594        0.00809529        0.00165070
       -4.66455375        0.44293092        0.00565442        0.42632237        0.00910494        0.00184919
       -4.65455375        0.48674028        0.00596493        0.46857775        0.01014571        0.00205189
       -4.64455375        0.25736396        0.00345764        0.24807530        0.00483698        0.00099404
       -4.63455375        0.24007341        0.00322853        0.23150845        0.00442106        0.00091537
       -4.62455375        0.22240034        0.00299206        0.21455694        0.00401387        0.00083746
       -4.61455375        0.20434475        0.00274825        0.19722077        0.00361540        0.00076033
       -4.60455375        0.18590664        0.00249707        0.17949994        0.00322565        0.00068397
       -4.59455375        0.16708600        0.00223855        0.16139445        0.00284463        0.00060838
       -4.58455375        0.14788285        0.00197267        0.14290429        0.00247232        0.00053357
