  x             y         z
 -20.000  0.1692E-82  0.5075E-84
 -19.970  0.1692E-82  0.1015E-83
 -19.940  0.1692E-82  0.1523E-83
 -19.910  0.1692E-82  0.2030E-83
 -19.880  0.1692E-82  0.2538E-83
 -19.850  0.1692E-82  0.3045E-83
 -19.820  0.1692E-82  0.3553E-83
 -19.790  0.1692E-82  0.4060E-83
 -19.760  0.1692E-82  0.4568E-83
 -19.730  0.1692E-82  0.5075E-83
 -19.700  0.1692E-82  0.5583E-83
 -19.670  0.1692E-82  0.6090E-83
 -19.640  0.1692E-82  0.6598E-83
 -19.610  0.1692E-82  0.7105E-83
 -19.580  0.1692E-82  0.7613E-83
 -19.550  0.1692E-82  0.8120E-83
 -19.520  0.1692E-82  0.8628E-83
 -19.490  0.1692E-82  0.9135E-83
 -19.460  0.1692E-82  0.9643E-83
 -19.430  0.1692E-82  0.1015E-82
 -19.400  0.1692E-82  0.1066E-82
 -19.370  0.1692E-82  0.1117E-82
 -19.340  0.1692E-82  0.1167E-82
 -19.310  0.1692E-82  0.1218E-82
 -19.280  0.1692E-82  0.1269E-82
 -19.250  0.1692E-82  0.1320E-82
 -19.220  0.1692E-82  0.1370E-82
 -19.190  0.1692E-82  0.1421E-82
 -19.160  0.1692E-82  0.1472E-82
 -19.130  0.1692E-82  0.1523E-82
 -19.100  0.1692E-82  0.1573E-82
 -19.070  0.1692E-82  0.1624E-82
 -19.040  0.1692E-82  0.1675E-82
 -19.010  0.1692E-82  0.1726E-82
 -18.980  0.1692E-82  0.1776E-82
 -18.950  0.1692E-82  0.1827E-82
 -18.920  0.1692E-82  0.1878E-82
 -18.890  0.1692E-82  0.1929E-82
 -18.860  0.1692E-82  0.1979E-82
 -18.830  0.1692E-82  0.2030E-82
 -18.800  0.1692E-82  0.2081E-82
 -18.770  0.1692E-82  0.2132E-82
 -18.740  0.1692E-82  0.2182E-82
 -18.710  0.1692E-82  0.2233E-82
 -18.680  0.1692E-82  0.2284E-82
 -18.650  0.1692E-82  0.2335E-82
 -18.620  0.1692E-82  0.2385E-82
 -18.590  0.1692E-82  0.2436E-82
 -18.560  0.1692E-82  0.2487E-82
 -18.530  0.1692E-82  0.2538E-82
 -18.500  0.1692E-82  0.2588E-82
 -18.470  0.1692E-82  0.2639E-82
 -18.440  0.1692E-82  0.2690E-82
 -18.410  0.1692E-82  0.2741E-82
 -18.380  0.1692E-82  0.2791E-82
 -18.350  0.1692E-82  0.2842E-82
 -18.320  0.1692E-82  0.2893E-82
 -18.290  0.1692E-82  0.2944E-82
 -18.260  0.1692E-82  0.2994E-82
 -18.230  0.1692E-82  0.3045E-82
 -18.200  0.1692E-82  0.3096E-82
 -18.170  0.1692E-82  0.3147E-82
 -18.140  0.1692E-82  0.3197E-82
 -18.110  0.1692E-82  0.3248E-82
 -18.080  0.1692E-82  0.3299E-82
 -18.050  0.1692E-82  0.3350E-82
 -18.020  0.1692E-82  0.3400E-82
 -17.990  0.1692E-82  0.3451E-82
 -17.960  0.1692E-82  0.3502E-82
 -17.930  0.1692E-82  0.3553E-82
 -17.900  0.1692E-82  0.3603E-82
 -17.870  0.1692E-82  0.3654E-82
 -17.840  0.1692E-82  0.3705E-82
 -17.810  0.1692E-82  0.3756E-82
 -17.780  0.1692E-82  0.3806E-82
 -17.750  0.1692E-82  0.3857E-82
 -17.720  0.1692E-82  0.3908E-82
 -17.690  0.1692E-82  0.3959E-82
 -17.660  0.1692E-82  0.4009E-82
 -17.630  0.1692E-82  0.4060E-82
 -17.600  0.1692E-82  0.4111E-82
 -17.570  0.1692E-82  0.4162E-82
 -17.540  0.1692E-82  0.4212E-82
 -17.510  0.1692E-82  0.4263E-82
 -17.480  0.1692E-82  0.4314E-82
 -17.450  0.1692E-82  0.4365E-82
 -17.420  0.1692E-82  0.4415E-82
 -17.390  0.1692E-82  0.4466E-82
 -17.360  0.1692E-82  0.4517E-82
 -17.330  0.1692E-82  0.4568E-82
 -17.300  0.1692E-82  0.4618E-82
 -17.270  0.1692E-82  0.4669E-82
 -17.240  0.1692E-82  0.4720E-82
 -17.210  0.1692E-82  0.4771E-82
 -17.180  0.1692E-82  0.4821E-82
 -17.150  0.1692E-82  0.4872E-82
 -17.120  0.1692E-82  0.4923E-82
 -17.090  0.1692E-82  0.4974E-82
 -17.060  0.1692E-82  0.5024E-82
 -17.030  0.1692E-82  0.5075E-82
 -17.000  0.1692E-82  0.5126E-82
 -16.970  0.1692E-82  0.5177E-82
 -16.940  0.1692E-82  0.5227E-82
 -16.910  0.1692E-82  0.5278E-82
 -16.880  0.1692E-82  0.5329E-82
 -16.850  0.1692E-82  0.5380E-82
 -16.820  0.1692E-82  0.5430E-82
 -16.790  0.1692E-82  0.5481E-82
 -16.760  0.1692E-82  0.5532E-82
 -16.730  0.1692E-82  0.5583E-82
 -16.700  0.1692E-82  0.5633E-82
 -16.670  0.1692E-82  0.5684E-82
 -16.640  0.1692E-82  0.5735E-82
 -16.610  0.1692E-82  0.5786E-82
 -16.580  0.1692E-82  0.5836E-82
 -16.550  0.1692E-82  0.5887E-82
 -16.520  0.1692E-82  0.5938E-82
 -16.490  0.1692E-82  0.5989E-82
 -16.460  0.1692E-82  0.6039E-82
 -16.430  0.1692E-82  0.6090E-82
 -16.400  0.1692E-82  0.6141E-82
 -16.370  0.1692E-82  0.6192E-82
 -16.340  0.1692E-82  0.6242E-82
 -16.310  0.1692E-82  0.6293E-82
 -16.280  0.1692E-82  0.6344E-82
 -16.250  0.1692E-82  0.6395E-82
 -16.220  0.1692E-82  0.6445E-82
 -16.190  0.1692E-82  0.6496E-82
 -16.160  0.1692E-82  0.6547E-82
 -16.130  0.1692E-82  0.6598E-82
 -16.100  0.1692E-82  0.6648E-82
 -16.070  0.1692E-82  0.6699E-82
 -16.040  0.1692E-82  0.6750E-82
 -16.010  0.1692E-82  0.6801E-82
 -15.980  0.1692E-82  0.6851E-82
 -15.950  0.1692E-82  0.6902E-82
 -15.920  0.1692E-82  0.6953E-82
 -15.890  0.1692E-82  0.7004E-82
 -15.860  0.1692E-82  0.7054E-82
 -15.830  0.1692E-82  0.7105E-82
 -15.800  0.1692E-82  0.7156E-82
 -15.770  0.1692E-82  0.7207E-82
 -15.740  0.1692E-82  0.7257E-82
 -15.710  0.1692E-82  0.7308E-82
 -15.680  0.1692E-82  0.7359E-82
 -15.650  0.1692E-82  0.7410E-82
 -15.620  0.1692E-82  0.7460E-82
 -15.590  0.1692E-82  0.7511E-82
 -15.560  0.1692E-82  0.7562E-82
 -15.530  0.1692E-82  0.7613E-82
 -15.500  0.1692E-82  0.7663E-82
 -15.470  0.1692E-82  0.7714E-82
 -15.440  0.1692E-82  0.7765E-82
 -15.410  0.1692E-82  0.7816E-82
 -15.380  0.1692E-82  0.7866E-82
 -15.350  0.1692E-82  0.7917E-82
 -15.320  0.1692E-82  0.7968E-82
 -15.290  0.1692E-82  0.8019E-82
 -15.260  0.1692E-82  0.8069E-82
 -15.230  0.1692E-82  0.8120E-82
 -15.200  0.1692E-82  0.8171E-82
 -15.170  0.1713E-82  0.8222E-82
 -15.140  0.1325E-72  0.3975E-74
 -15.110  0.1034E-61  0.3102E-63
 -15.080  0.1092E-51  0.3276E-53
 -15.050  0.1561E-42  0.4683E-44
 -15.020  0.3020E-34  0.9059E-36
 -14.990  0.7906E-27  0.2372E-28
 -14.960  0.2801E-20  0.8403E-22
 -14.930  0.1343E-14  0.4030E-16
 -14.900  0.8717E-10  0.2615E-11
 -14.870  0.7655E-06  0.2297E-07
 -14.840  0.9099E-03  0.2732E-04
 -14.810  0.1464E+00  0.4418E-02
 -14.780  0.3186E+01  0.1000E+00
 -14.750  0.9388E+01  0.3816E+00
 -14.720  0.3743E+01  0.4939E+00
 -14.690  0.2500E+00  0.5014E+00
 -14.660  0.3600E+01  0.6094E+00
 -14.630  0.3652E+02  0.1705E+01
 -14.600  0.5023E+02  0.3212E+01
 -14.570  0.9360E+01  0.3493E+01
 -14.540  0.2363E+00  0.3500E+01
 -14.510  0.8086E-03  0.3500E+01
 -14.480  0.5382E-06  0.3500E+01
 -14.450  0.4220E-03  0.3500E+01
 -14.420  0.1484E+00  0.3504E+01
 -14.390  0.7111E+01  0.3718E+01
 -14.360  0.4640E+02  0.5110E+01
 -14.330  0.4125E+02  0.6347E+01
 -14.300  0.5066E+01  0.6499E+01
 -14.270  0.4653E+01  0.6639E+01
 -14.240  0.4001E+02  0.7839E+01
 -14.210  0.4752E+02  0.9265E+01
 -14.180  0.7658E+01  0.9494E+01
 -14.150  0.1675E+00  0.9499E+01
 -14.120  0.4969E-03  0.9499E+01
 -14.090  0.2000E-06  0.9499E+01
 -14.060  0.1094E-10  0.9499E+01
 -14.030  0.7746E-09  0.9499E+01
 -14.000  0.6712E-05  0.9499E+01
 -13.970  0.8068E-02  0.9500E+01
 -13.940  0.1358E+01  0.9540E+01
 -13.910  0.3230E+02  0.1051E+02
 -13.880  0.1095E+03  0.1380E+02
 -13.850  0.5311E+02  0.1539E+02
 -13.820  0.3883E+01  0.1550E+02
 -13.790  0.3842E+01  0.1562E+02
 -13.760  0.9491E+01  0.1590E+02
 -13.730  0.1045E+02  0.1622E+02
 -13.700  0.7070E+02  0.1834E+02
 -13.670  0.1003E+03  0.2135E+02
 -13.640  0.2107E+02  0.2198E+02
 -13.610  0.7926E+00  0.2200E+02
 -13.580  0.7086E+01  0.2222E+02
 -13.550  0.4649E+02  0.2361E+02
 -13.520  0.4399E+02  0.2493E+02
 -13.490  0.3757E+02  0.2606E+02
 -13.460  0.5390E+02  0.2768E+02
 -13.430  0.2964E+02  0.2856E+02
 -13.400  0.5179E+02  0.3012E+02
 -13.370  0.4512E+02  0.3147E+02
 -13.340  0.9615E+02  0.3436E+02
 -13.310  0.1081E+03  0.3760E+02
 -13.280  0.1209E+03  0.4122E+02
 -13.250  0.5540E+02  0.4289E+02
 -13.220  0.6364E+01  0.4308E+02
 -13.190  0.3926E+02  0.4426E+02
 -13.160  0.1021E+03  0.4732E+02
 -13.130  0.5134E+02  0.4886E+02
 -13.100  0.4608E+01  0.4900E+02
 -13.070  0.1012E+01  0.4903E+02
 -13.040  0.2113E+02  0.4966E+02
 -13.010  0.9469E+02  0.5250E+02
 -12.980  0.1921E+03  0.5827E+02
 -12.950  0.2206E+03  0.6488E+02
 -12.920  0.1923E+03  0.7065E+02
 -12.890  0.9866E+02  0.7361E+02
 -12.860  0.2796E+02  0.7445E+02
 -12.830  0.5504E+01  0.7462E+02
 -12.800  0.8366E+02  0.7712E+02
 -12.770  0.2861E+03  0.8571E+02
 -12.740  0.1765E+03  0.9100E+02
 -12.710  0.5585E+02  0.9268E+02
 -12.680  0.7142E+02  0.9482E+02
 -12.650  0.8102E+02  0.9725E+02
 -12.620  0.6606E+02  0.9923E+02
 -12.590  0.2424E+02  0.9996E+02
 -12.560  0.1402E+01  0.1000E+03
 -12.530  0.1115E-01  0.1000E+03
 -12.500  0.1210E-04  0.1000E+03
 -12.470  0.1787E-08  0.1000E+03
 -12.440  0.3595E-13  0.1000E+03
 -12.410  0.9845E-19  0.1000E+03
 -12.380  0.3669E-25  0.1000E+03
 -12.350  0.1860E-32  0.1000E+03
 -12.320  0.1282E-40  0.1000E+03
 -12.290  0.1201E-49  0.1000E+03
 -12.260  0.1528E-59  0.1000E+03
 -12.230  0.2640E-70  0.1000E+03
 -12.200  0.7879E-82  0.1000E+03
 -12.170  0.1692E-82  0.1000E+03
 -12.140  0.1692E-82  0.1000E+03
 -12.110  0.1692E-82  0.1000E+03
 -12.080  0.1692E-82  0.1000E+03
 -12.050  0.1692E-82  0.1000E+03
 -12.020  0.1692E-82  0.1000E+03
 -11.990  0.1692E-82  0.1000E+03
 -11.960  0.1692E-82  0.1000E+03
 -11.930  0.1692E-82  0.1000E+03
 -11.900  0.1692E-82  0.1000E+03
 -11.870  0.1692E-82  0.1000E+03
 -11.840  0.1692E-82  0.1000E+03
 -11.810  0.1692E-82  0.1000E+03
