#  aims_uuid : 923E0239-36BF-4EB9-A4D8-E2906AE73742                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.13085687        0.00190273        0.12068846        0.00709538        0.00117030
       -9.99000000        0.51612451        0.00774519        0.46240496        0.04135345        0.00462091
       -9.98000000        0.30663949        0.00412358        0.27705761        0.02260513        0.00285318
       -9.97000000        0.34666777        0.00455595        0.31384418        0.02503365        0.00323398
       -9.96000000        0.38649434        0.00505259        0.35087876        0.02698406        0.00357893
       -9.95000000        0.82591005        0.02291455        0.74976407        0.04642847        0.00680295
       -9.94000000        0.79314232        0.01076653        0.72691856        0.04874191        0.00671533
       -9.93000000        1.38157513        0.02240075        1.25424876        0.09172990        0.01319571
       -9.92000000        0.68225682        0.01012964        0.62760579        0.03919792        0.00532347
       -9.91000000        0.70998574        0.01065115        0.65580680        0.03841137        0.00511642
       -9.90000000        0.72740957        0.01076430        0.67376175        0.03787989        0.00500363
       -9.89000000        0.73452832        0.01046909        0.68147063        0.03760347        0.00498513
       -9.88000000        0.67784154        0.00905828        0.62877949        0.03535237        0.00465140
       -9.87000000        0.70985290        0.00873122        0.65872920        0.03722762        0.00516485
       -9.86000000        1.85390823        0.02229702        1.72503393        0.09258251        0.01399477
       -9.85000000        0.08785986        0.00171237        0.08136538        0.00416787        0.00061424
       -9.84000000        0.11983119        0.00231608        0.11084898        0.00580327        0.00086286
       -9.83000000        0.15228650        0.00291757        0.14072075        0.00752047        0.00112771
       -9.82000000        0.18522579        0.00351684        0.17098068        0.00931948        0.00140879
       -9.81000000        0.21864906        0.00411390        0.20162877        0.01120028        0.00170611
       -9.80000000        0.80608955        0.02115391        0.73590277        0.04303504        0.00599783
       -9.79000000        0.43816241        0.00808188        0.40258982        0.02375976        0.00373094
       -9.78000000        0.33003200        0.00561302        0.30387339        0.01734052        0.00320509
       -9.77000000        0.47852567        0.00646090        0.44180088        0.02606035        0.00420354
       -9.76000000        0.78451349        0.01164381        0.72469532        0.04152397        0.00665039
       -9.75000000        1.14948640        0.01935802        1.06399620        0.05629161        0.00984056
       -9.74000000        1.20618883        0.02351367        1.11294366        0.05952229        0.01020921
       -9.73000000        0.34336571        0.00387134        0.31512909        0.02183895        0.00252634
       -9.72000000        0.32359025        0.00448885        0.29799847        0.01868312        0.00241981
       -9.71000000        0.43725913        0.00650718        0.40420283        0.02322389        0.00332522
       -9.70000000        0.58343877        0.00903225        0.54121967        0.02881506        0.00437178
       -9.69000000        0.71165587        0.01150703        0.65899692        0.03539065        0.00576127
       -9.68000000        0.76776119        0.01486181        0.70779268        0.03835679        0.00674991
       -9.67000000        1.00675632        0.02260878        0.92394587        0.05087061        0.00933106
       -9.66000000        0.30471807        0.00440326        0.28044419        0.01666715        0.00320347
       -9.65000000        0.42328500        0.00652542        0.38924723        0.02316409        0.00434827
       -9.64000000        0.33713940        0.00462282        0.30912638        0.01988023        0.00350997
       -9.63000000        0.37030492        0.00493403        0.33882541        0.02270154        0.00384394
       -9.62000000        0.40542463        0.00528432        0.37014703        0.02581361        0.00417968
       -9.61000000        0.31966512        0.00418683        0.29238444        0.01992580        0.00316804
       -9.60000000        0.34201594        0.00446297        0.31231881        0.02184520        0.00338896
       -9.59000000        0.36274448        0.00442175        0.33070298        0.02397019        0.00364956
       -9.58000000        0.38185074        0.00406319        0.34753697        0.02630076        0.00394982
       -9.57000000        0.75636758        0.01187583        0.68551808        0.05100650        0.00796716
       -9.56000000        0.62865536        0.00685800        0.56981387        0.04490073        0.00708276
       -9.55000000        1.07396466        0.02006962        0.98354428        0.06010032        0.01025044
       -9.54000000        0.50265345        0.00764908        0.46043487        0.02977678        0.00479273
       -9.53000000        0.44519348        0.00626027        0.40861270        0.02625090        0.00406961
       -9.52000000        0.66828718        0.00550885        0.61538439        0.04141436        0.00597958
       -9.51000000        0.26963562        0.00374992        0.24294576        0.02026922        0.00267073
       -9.50000000        1.02156107        0.01727564        0.93401283        0.05934761        0.01092500
       -9.49000000        0.83612902        0.02027983        0.75497909        0.05152804        0.00934207
       -9.48000000        0.26274572        0.00594153        0.23062994        0.02300050        0.00317375
       -9.47000000        0.23918433        0.00494945        0.21430661        0.01746606        0.00246222
       -9.46000000        0.48701840        0.00933652        0.44414291        0.02870628        0.00483269
       -9.45000000        0.71672995        0.01462357        0.66130944        0.03458239        0.00621455
       -9.44000000        0.88199479        0.01874101        0.81963613        0.03679144        0.00682621
       -9.43000000        0.17718975        0.00456420        0.15906072        0.01171347        0.00185136
       -9.42000000        0.12683226        0.00320065        0.11409312        0.00821422        0.00132428
       -9.41000000        0.20975455        0.00468934        0.19268865        0.01029382        0.00208274
       -9.40000000        0.21240137        0.00457444        0.19627975        0.00948506        0.00206212
       -9.39000000        0.22177539        0.00457882        0.20602636        0.00906176        0.00210844
       -9.38000000        0.26019667        0.00519578        0.24215989        0.01038254        0.00245846
       -9.37000000        0.31676090        0.00612134        0.29489408        0.01274788        0.00299761
       -9.36000000        0.38042402        0.00709884        0.35423780        0.01547839        0.00360898
       -9.35000000        0.31945678        0.00579085        0.29541139        0.01506274        0.00319179
       -9.34000000        0.41548845        0.00577568        0.37975740        0.02516572        0.00478965
       -9.33000000        0.23302787        0.00304129        0.21383736        0.01346467        0.00268455
       -9.32000000        0.65640805        0.01068399        0.60979100        0.02976501        0.00616805
       -9.31000000        0.76193572        0.01305207        0.70235280        0.03894438        0.00758647
       -9.30000000        0.81937499        0.01487703        0.74639690        0.04919066        0.00891039
       -9.29000000        0.55102958        0.01015273        0.49998373        0.03472991        0.00616322
       -9.28000000        0.33714919        0.00556373        0.30506100        0.02266026        0.00386421
       -9.27000000        0.35218615        0.00576793        0.31893282        0.02345365        0.00403175
       -9.26000000        0.36246287        0.00600890        0.32813794        0.02411983        0.00419621
       -9.25000000        0.36797936        0.00628663        0.33267636        0.02465879        0.00435758
       -9.24000000        0.52348083        0.01079466        0.47547240        0.03113597        0.00607780
       -9.23000000        0.58635855        0.01258704        0.53183974        0.03500389        0.00692787
       -9.22000000        0.46043354        0.00930242        0.41931475        0.02679063        0.00502574
       -9.21000000        0.78059118        0.03224088        0.70872532        0.03392680        0.00569818
       -9.20000000        0.88674930        0.02953839        0.80728600        0.04298687        0.00693804
       -9.19000000        0.71014623        0.02026045        0.64282507        0.04036518        0.00669553
       -9.18000000        0.86147416        0.01556331        0.78112629        0.05573364        0.00905092
       -9.17000000        0.96129864        0.01447817        0.86172316        0.07362842        0.01146889
       -9.16000000        0.59556250        0.01282936        0.54303523        0.03401620        0.00568172
       -9.15000000        0.84595693        0.03196261        0.77679544        0.03162946        0.00556942
       -9.14000000        0.87434980        0.04080387        0.79387392        0.03422255        0.00544946
       -9.13000000        0.39511118        0.02351612        0.36073862        0.00915045        0.00170599
       -9.12000000        0.57244821        0.02423605        0.52800497        0.01657760        0.00362958
       -9.11000000        1.23879573        0.04032415        1.17929347        0.01371068        0.00546743
       -9.10000000        0.59028209        0.01798991        0.55160361        0.01712071        0.00356786
       -9.09000000        1.49392003        0.04531164        1.38433129        0.05440505        0.00987205
       -9.08000000        0.92805166        0.03123184        0.85620950        0.03415329        0.00645703
       -9.07000000        1.13462461        0.04080296        1.03323925        0.05145645        0.00912595
       -9.06000000        0.84634713        0.02935414        0.76447481        0.04530237        0.00721581
       -9.05000000        0.74803137        0.01821807        0.68092570        0.04170928        0.00717831
       -9.04000000        0.64917619        0.02461740        0.59286044        0.02594002        0.00575833
       -9.03000000        0.67173822        0.02414016        0.61550023        0.02610010        0.00599773
       -9.02000000        0.97170232        0.03787036        0.88756868        0.03857227        0.00769101
       -9.01000000        0.95199687        0.03637673        0.86672669        0.04087335        0.00802011
       -9.00000000        0.93740594        0.03334574        0.85188520        0.04337590        0.00879909
       -8.99000000        0.73928781        0.02849770        0.66810730        0.03575230        0.00693050
       -8.98000000        0.75823221        0.02939855        0.68835658        0.03353335        0.00694374
       -8.97000000        0.98407835        0.03762215        0.89380181        0.04363204        0.00902235
       -8.96000000        1.26731198        0.04723778        1.15333029        0.05561843        0.01112548
       -8.95000000        1.00735532        0.04180996        0.92468327        0.03311067        0.00775142
       -8.94000000        1.02244563        0.04403071        0.94028082        0.03056449        0.00756961
       -8.93000000        1.23189268        0.05552169        1.13641812        0.03130886        0.00864401
       -8.92000000        1.04103160        0.05016793        0.96277221        0.02129171        0.00679974
       -8.91000000        1.35640313        0.06864799        1.25711497        0.02256532        0.00807485
       -8.90000000        1.20555755        0.05874483        1.11290375        0.02601246        0.00789651
       -8.89000000        1.17768735        0.05905871        1.08530333        0.02601465        0.00731066
       -8.88000000        1.01022863        0.04789939        0.93162606        0.02422654        0.00647664
       -8.87000000        0.99408801        0.04671406        0.91923637        0.02217079        0.00596679
       -8.86000000        1.36153951        0.05761808        1.25935524        0.03579484        0.00877135
       -8.85000000        1.36990624        0.05253937        1.26933696        0.03901979        0.00901012
       -8.84000000        1.11131341        0.03602965        1.03309223        0.03467540        0.00751614
       -8.83000000        0.98932820        0.03057552        0.91947228        0.03213389        0.00714651
       -8.82000000        1.23385319        0.03164483        1.14435326        0.04825366        0.00960144
