#  aims_uuid : 923E0239-36BF-4EB9-A4D8-E2906AE73742                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.061398 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.93860233        0.13013029        0.00208523        0.11799436        0.00900811        0.00104259
       -4.92860233        0.50175116        0.00374358        0.43428703        0.05865422        0.00506632
       -4.91860233        0.27778489        0.00452595        0.24539297        0.02522373        0.00264223
       -4.90860233        0.29648727        0.00652247        0.26409286        0.02313792        0.00273402
       -4.89860233        0.31108739        0.00819473        0.27871396        0.02133125        0.00284745
       -4.88860233        0.56699638        0.02624176        0.50024612        0.03550089        0.00500761
       -4.87860233        0.58996864        0.02080973        0.53369595        0.03057695        0.00488601
       -4.86860233        0.86089739        0.02585883        0.76079467        0.06338262        0.01086126
       -4.85860233        0.40771583        0.01261947        0.36578763        0.02480287        0.00450586
       -4.84860233        0.40061427        0.01220421        0.36024737        0.02378563        0.00437706
       -4.83860233        0.39402734        0.01140527        0.35466364        0.02359180        0.00436663
       -4.82860233        0.38795504        0.01022267        0.34903644        0.02422136        0.00447457
       -4.81860233        0.35554783        0.00777605        0.31928414        0.02411231        0.00437532
       -4.80860233        0.38468904        0.00679820        0.34441117        0.02846389        0.00501578
       -4.79860233        0.90418603        0.01350148        0.80433239        0.07323142        0.01312075
       -4.78860233        0.08225683        0.00119463        0.07611085        0.00440417        0.00054717
       -4.77860233        0.11610526        0.00159513        0.10765221        0.00609385        0.00076406
       -4.76860233        0.15239877        0.00198336        0.14157107        0.00785148        0.00099285
       -4.75860233        0.19113737        0.00235933        0.17786744        0.00967705        0.00123355
       -4.74860233        0.23232106        0.00272304        0.21654130        0.01157058        0.00148614
       -4.73860233        0.88110183        0.01549612        0.81775208        0.04277537        0.00507825
       -4.72860233        0.48786173        0.00528643        0.45446436        0.02484777        0.00326317
       -4.71860233        0.32488802        0.00289534        0.30024612        0.01903249        0.00271407
       -4.70860233        0.35474132        0.00313416        0.32463055        0.02309593        0.00388069
       -4.69860233        0.58630985        0.00734847        0.54146514        0.03150115        0.00599510
       -4.68860233        0.90807186        0.01393835        0.84667202        0.03896994        0.00849155
       -4.67860233        0.96826687        0.01870742        0.90620044        0.03527533        0.00808367
       -4.66860233        0.21573153        0.00358001        0.19453261        0.01552060        0.00209831
       -4.65860233        0.22798687        0.00346885        0.20843605        0.01395246        0.00212952
       -4.64860233        0.32119531        0.00488496        0.29524288        0.01804242        0.00302504
       -4.63860233        0.41655576        0.00626215        0.38387723        0.02239104        0.00402534
