#  aims_uuid : D3DB02C7-E11A-4E68-A37C-1FF4BECB2756                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.05028773        0.00266260        0.04537759        0.00195930        0.00028823
       -9.99000000        0.06088039        0.00275365        0.05511094        0.00258776        0.00042805
       -9.98000000        0.08974619        0.00355010        0.08077063        0.00455238        0.00087308
       -9.97000000        0.13604389        0.00454485        0.12192671        0.00811364        0.00145869
       -9.96000000        0.19176480        0.00525198        0.17235054        0.01212546        0.00203682
       -9.95000000        0.24706637        0.00559926        0.22307452        0.01582720        0.00256539
       -9.94000000        0.32272257        0.00628120        0.29236390        0.02080543        0.00327205
       -9.93000000        0.34213966        0.00609576        0.30971368        0.02296439        0.00336584
       -9.92000000        0.35810844        0.00595249        0.32405843        0.02466730        0.00343022
       -9.91000000        0.37091402        0.00585135        0.33566303        0.02593299        0.00346666
       -9.90000000        0.39068348        0.00579465        0.35392059        0.02743755        0.00353069
       -9.89000000        0.40705326        0.00578804        0.36919541        0.02849793        0.00357188
       -9.88000000        0.37024038        0.00555280        0.33495090        0.02663196        0.00310473
       -9.87000000        0.41023181        0.00594593        0.37243178        0.02842320        0.00343090
       -9.86000000        0.38418028        0.00451417        0.35028907        0.02618747        0.00318956
       -9.85000000        0.53461264        0.00718003        0.48737315        0.03504361        0.00501585
       -9.84000000        0.33948945        0.00226012        0.31278697        0.02211286        0.00232949
       -9.83000000        0.39114643        0.00267374        0.36112446        0.02462249        0.00272574
       -9.82000000        0.59313046        0.00440965        0.54900228        0.03575996        0.00395858
       -9.81000000        0.50325905        0.00358772        0.46465167        0.03117416        0.00384550
       -9.80000000        0.42826826        0.00295285        0.39423050        0.02738747        0.00369743
       -9.79000000        0.36815809        0.00250504        0.33773877        0.02439989        0.00351437
       -9.78000000        0.32292854        0.00224429        0.29517649        0.02221143        0.00329633
       -9.77000000        0.43467450        0.00299107        0.38446652        0.04205798        0.00515893
       -9.76000000        0.35748903        0.00282608        0.32539885        0.02558597        0.00367813
       -9.75000000        0.30350164        0.00283635        0.28054821        0.01711257        0.00300451
       -9.74000000        0.23261263        0.00276011        0.21327307        0.01399089        0.00258856
       -9.73000000        0.16125674        0.00265968        0.14120968        0.01496957        0.00241780
       -9.72000000        0.28567035        0.00301199        0.25726703        0.02172000        0.00367133
       -9.71000000        0.39190975        0.00338767        0.35551281        0.02822715        0.00478212
       -9.70000000        0.61542056        0.00590479        0.54899320        0.05190344        0.00861913
       -9.69000000        0.36309192        0.00049077        0.33965657        0.01952409        0.00342049
       -9.68000000        0.60986312        0.00169939        0.56368535        0.03797656        0.00650183
       -9.67000000        0.37525277        0.00247672        0.34416203        0.02488830        0.00372572
       -9.66000000        0.14550811        0.00371836        0.12270072        0.01638794        0.00270108
       -9.65000000        0.16445909        0.00586475        0.13793738        0.01754640        0.00311056
       -9.64000000        0.08440366        0.00205234        0.07197847        0.00873634        0.00163652
       -9.63000000        0.07628362        0.00191730        0.06530679        0.00756552        0.00149401
       -9.62000000        0.06857544        0.00171400        0.05908587        0.00642926        0.00134632
       -9.61000000        0.06127913        0.00144244        0.05331571        0.00532755        0.00119343
       -9.60000000        0.05439469        0.00110263        0.04799631        0.00426038        0.00103536
       -9.59000000        0.07963359        0.00121511        0.06960102        0.00711998        0.00169748
       -9.58000000        0.33765679        0.01106627        0.29656359        0.02377092        0.00625601
       -9.57000000        0.23466667        0.00392603        0.21124468        0.01518174        0.00431421
       -9.56000000        0.09538602        0.00258006        0.08570695        0.00573393        0.00136507
       -9.55000000        0.10455648        0.00230037        0.09462336        0.00621064        0.00142211
       -9.54000000        0.11173243        0.00201828        0.10165866        0.00659357        0.00146191
       -9.53000000        0.11691386        0.00173381        0.10681286        0.00688271        0.00148448
