#  aims_uuid : DB0545DB-F5F0-463A-A8CC-36775FFD9C0D                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.00510309        0.10716850        0.83904040        0.05234199        0.00610487        0.00044733
       -9.98998999        1.01749522        0.11174771        0.84689659        0.05228581        0.00620079        0.00036432
       -9.97997998        0.73145385        0.07962589        0.60799811        0.03904829        0.00456538        0.00021618
       -9.96996997        0.52505459        0.05094848        0.44217679        0.02854217        0.00326054        0.00012662
       -9.95995996        0.54476714        0.05462145        0.45746938        0.02898582        0.00352464        0.00016585
       -9.94994995        0.51127078        0.06439483        0.42334597        0.02043259        0.00298394        0.00011344
       -9.93993994        0.63067716        0.08212503        0.52066536        0.02433805        0.00339527        0.00015345
       -9.92992993        0.82586131        0.10935835        0.67996004        0.03263241        0.00367471        0.00023580
       -9.91991992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.90990991        0.02067309        0.00295173        0.01574910        0.00167073        0.00026524        0.00003629
       -9.89989990        0.06345760        0.00644477        0.05139678        0.00479436        0.00071256        0.00010913
       -9.88988989        0.49794672        0.02496374        0.44284151        0.02585644        0.00353601        0.00074902
       -9.87987988        0.54172122        0.01954240        0.49184572        0.02625487        0.00332658        0.00075164
       -9.86986987        0.82922957        0.02295028        0.76605111        0.03428830        0.00493353        0.00100634
       -9.85985986        0.58425486        0.01522982        0.54123593        0.02285935        0.00417517        0.00075458
       -9.84984985        0.80765842        0.01620706        0.75772557        0.02748940        0.00514351        0.00109288
       -9.83983984        0.41498571        0.01312401        0.38241545        0.01671154        0.00228203        0.00045269
       -9.82982983        0.33919132        0.01216277        0.31030536        0.01471402        0.00166671        0.00034245
       -9.81981982        0.36119126        0.02166599        0.32286106        0.01477580        0.00157494        0.00031346
       -9.80980981        0.35432826        0.02825181        0.30917446        0.01483970        0.00173630        0.00032598
       -9.79979980        0.32359427        0.03121734        0.27424628        0.01556193        0.00217468        0.00039404
       -9.78978979        0.36187230        0.03443357        0.30291338        0.02100145        0.00296200        0.00056190
       -9.77977978        0.16682030        0.01650874        0.14064474        0.00831492        0.00115673        0.00019517
       -9.76976977        0.24424231        0.01540093        0.21736492        0.00954472        0.00154608        0.00038564
       -9.75975976        0.25285143        0.01420012        0.22653012        0.00999079        0.00169989        0.00043052
       -9.74974975        0.26616266        0.01363934        0.23747149        0.01224614        0.00228710        0.00051859
       -9.73973974        0.27857006        0.01418685        0.24625292        0.01459795        0.00293027        0.00060207
       -9.72972973        0.28845182        0.01585118        0.25168591        0.01669464        0.00354937        0.00067071
       -9.71971972        0.29596831        0.01863306        0.25391946        0.01854083        0.00414934        0.00072562
       -9.70970971        0.30177354        0.02253272        0.25358437        0.02015431        0.00473390        0.00076824
       -9.69969970        0.15436679        0.00518873        0.13644263        0.01031490        0.00203764        0.00038290
       -9.68968969        0.13334449        0.00287093        0.11856775        0.00966307        0.00189486        0.00034788
       -9.67967968        0.36864625        0.01960054        0.32282035        0.02149327        0.00424609        0.00048601
       -9.66966967        0.42929549        0.02178407        0.37428105        0.02718847        0.00544272        0.00059918
       -9.65965966        0.46836302        0.02072661        0.40649627        0.03358078        0.00680214        0.00075722
       -9.64964965        0.48584886        0.01642818        0.41946598        0.04067020        0.00832435        0.00096015
       -9.63963964        0.20216693        0.00906039        0.17526580        0.01407776        0.00333061        0.00043237
       -9.62962963        0.08761731        0.00376331        0.07790248        0.00451312        0.00123678        0.00020162
       -9.61961962        0.04553992       -0.00000041        0.04406059        0.00123380        0.00016193        0.00008401
       -9.60960961        0.05443289       -0.00000273        0.05268353        0.00147391        0.00018019        0.00009800
       -9.59959960        0.29097172        0.01498039        0.26831981        0.00649676        0.00099267        0.00018209
       -9.58958959        0.61089076        0.03099407        0.56166475        0.01555294        0.00223959        0.00043940
       -9.57957958        0.82886128        0.03431243        0.76488146        0.02546789        0.00334008        0.00085940
       -9.56956957        0.45943625        0.02975582        0.40453788        0.02169904        0.00295058        0.00049294
       -9.55955956        0.05182646        0.00127346        0.04833010        0.00180394        0.00035123        0.00006773
       -9.54954955        0.07711571        0.00181027        0.07195953        0.00272827        0.00051215        0.00010549
       -9.53953954        0.10191746        0.00230437        0.09511204        0.00368343        0.00067445        0.00014317
       -9.52952953        0.12623172        0.00275577        0.11778762        0.00466943        0.00083813        0.00018077
       -9.51951952        0.15005849        0.00316447        0.13998628        0.00568626        0.00100321        0.00021828
       -9.50950951        0.17339776        0.00353046        0.16170801        0.00673392        0.00116966        0.00025571
       -9.49949950        0.19624954        0.00385375        0.18295281        0.00781242        0.00133751        0.00029305
       -9.48948949        0.22624505        0.00423576        0.21089737        0.00918944        0.00157902        0.00034345
       -9.47947948        0.25873571        0.00469557        0.24103653        0.01076028        0.00184548        0.00039785
       -9.46946947        0.29150224        0.00521422        0.27126564        0.01245488        0.00211521        0.00045229
       -9.45945946        0.32454463        0.00579171        0.30158468        0.01427324        0.00238823        0.00050677
       -9.44944945        0.90692349        0.01190581        0.83473622        0.05032611        0.00838403        0.00157133
       -9.43943944        0.23440893        0.00719713        0.21112694        0.01366144        0.00208856        0.00033486
       -9.42942943        0.25551860        0.00819681        0.23057295        0.01432709        0.00208974        0.00033201
       -9.41941942        0.27577638        0.00934005        0.24890032        0.01509002        0.00211477        0.00033123
       -9.40940941        0.34860650        0.01300924        0.31449742        0.01827754        0.00241097        0.00041134
       -9.39939940        0.74379214        0.03939502        0.66409487        0.03499406        0.00459699        0.00071119
       -9.38938939        1.05152817        0.04624574        0.94455882        0.05208492        0.00723222        0.00140648
       -9.37937938        0.91971017        0.03990651        0.82347256        0.04917712        0.00583570        0.00131828
       -9.36936937        1.87835925        0.07907973        1.68858571        0.10013427        0.00796170        0.00259784
       -9.35935936        1.45937552        0.05878499        1.31089243        0.08092433        0.00660736        0.00216642
       -9.34934935        1.08049185        0.04131424        0.96918708        0.06292206        0.00537381        0.00169465
       -9.33933934        0.72514427        0.02561801        0.64920580        0.04509782        0.00402166        0.00120099
       -9.32932933        0.42008550        0.00948878        0.37766960        0.02915518        0.00297451        0.00079743
       -9.31931932        0.90316247        0.02064385        0.83258912        0.04375238        0.00457057        0.00160655
       -9.30930931        0.51950010        0.00681216        0.47926837        0.02797763        0.00438270        0.00105923
       -9.29929930        0.70364628        0.00736812        0.66793878        0.02367072        0.00354777        0.00112089
       -9.28928929        0.82222769        0.00827079        0.77998895        0.02769685        0.00489875        0.00137235
       -9.27927928        3.22354174        0.02553628        3.04376678        0.13439355        0.01441746        0.00542768
       -9.26926927        1.19201573        0.02854580        1.09964949        0.05128189        0.00972700        0.00281156
       -9.25925926        0.17269577        0.00129456        0.16483371        0.00541768        0.00083780        0.00031203
       -9.24924925        0.29239152        0.00395180        0.27412283        0.01250223        0.00124997        0.00056469
       -9.23923924        1.77096104        0.03602779        1.66843530        0.05336245        0.01022493        0.00291057
       -9.22922923        0.98688692        0.02316313        0.92161410        0.03335470        0.00683678        0.00191821
       -9.21921922        1.53496066        0.02965420        1.45062178        0.04220913        0.01001847        0.00245708
       -9.20920921        2.77282528        0.04643573        2.62026662        0.08708792        0.01518127        0.00385375
       -9.19919920        1.94556000        0.02756595        1.84389166        0.06039619        0.01107349        0.00263270
       -9.18918919        2.36826963        0.02656297        2.26016916        0.06323934        0.01467390        0.00362426
       -9.17917918        2.06418457        0.01911038        1.97223894        0.05733620        0.01270643        0.00279263
       -9.16916917        2.03317844        0.01918747        1.93144867        0.06434723        0.01527569        0.00291939
       -9.15915916        1.49012868        0.01429897        1.40813316        0.05392861        0.01134864        0.00241931
       -9.14914915        0.97880244        0.00921453        0.92663820        0.03591365        0.00569047        0.00134559
       -9.13913914        2.07779058        0.01507920        1.98741704        0.06222049        0.01030425        0.00276960
       -9.12912913        0.42744739        0.00281019        0.40184733        0.01738030        0.00457804        0.00083154
       -9.11911912        1.43527741        0.01981365        1.35242081        0.05084082        0.00983145        0.00237068
       -9.10910911        0.46463245        0.00909182        0.42336466        0.02794831        0.00336935        0.00085832
       -9.09909910        0.44347676        0.00947700        0.40089486        0.02815783        0.00412341        0.00082364
       -9.08908909        0.71358081        0.01688306        0.64669440        0.04057138        0.00806018        0.00137178
       -9.07907908        0.58210085        0.00496420        0.53548624        0.03433127        0.00644723        0.00087191
       -9.06906907        0.92399703        0.00340857        0.87490947        0.03838644        0.00625888        0.00103366
       -9.05905906        0.32121049        0.00251862        0.30024709        0.01508636        0.00295263        0.00040579
       -9.04904905        1.36596832        0.00677614        1.28789461        0.05644002        0.01326052        0.00159702
       -9.03903904        0.77308882        0.00527634        0.72694131        0.03252833        0.00736774        0.00097510
       -9.02902903        0.70320471        0.00573870        0.65813171        0.03371724        0.00475300        0.00086406
       -9.01901902        0.78047719        0.00531307        0.73276132        0.03598265        0.00553035        0.00088981
       -9.00900901        0.88554827        0.00472038        0.83713996        0.03636892        0.00641408        0.00090493
       -8.99899900        0.48365559        0.01136107        0.43877261        0.02827646        0.00447800        0.00076745
       -8.98898899        0.58381914        0.01740541        0.52295026        0.03740471        0.00516893        0.00088983
       -8.97897898        0.74141911        0.02311080        0.66240615        0.04916755        0.00578598        0.00094863
       -8.96896897        0.42559317        0.01400361        0.37710842        0.02963154        0.00422641        0.00062319
       -8.95895896        1.00247213        0.02792340        0.89082569        0.06747991        0.01461359        0.00162955
       -8.94894895        0.64306451        0.01768088        0.57871460        0.03931644        0.00644808        0.00090452
       -8.93893894        0.61366974        0.01494112        0.55555339        0.03676585        0.00565305        0.00075634
       -8.92892893        1.38895448        0.01330988        1.27735861        0.08155686        0.01472871        0.00200042
       -8.91891892        0.78269498        0.00818217        0.71430824        0.05079785        0.00826399        0.00114273
       -8.90890891        0.94196072        0.01036856        0.86222453        0.05856124        0.00944466        0.00136173
