#  aims_uuid : DB0545DB-F5F0-463A-A8CC-36775FFD9C0D                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.621107 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -4.37889321        1.01798767        0.09191661        0.86668265        0.05406250        0.00465180        0.00067411
       -4.36888320        0.80774144        0.07050568        0.68392394        0.04892087        0.00383449        0.00055647
       -4.35887319        0.61374857        0.06051987        0.51092472        0.03873596        0.00321533        0.00035269
       -4.34886318        0.67089312        0.07093539        0.55638228        0.03968407        0.00358723        0.00030415
       -4.33885317        0.88661287        0.09895293        0.73592904        0.04677008        0.00463856        0.00032226
       -4.32884316        0.29008658        0.01689946        0.25089155        0.02080008        0.00123435        0.00026114
       -4.31883315        0.36882747        0.02210910        0.32197106        0.02292440        0.00152969        0.00029322
       -4.30882314        0.46823926        0.02791265        0.41377961        0.02424215        0.00196968        0.00033517
       -4.29881313        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.28880312        0.00870442        0.00026792        0.00763428        0.00064603        0.00012682        0.00002937
       -4.27879311        0.04862752        0.00150942        0.04412071        0.00249505        0.00040941        0.00009293
       -4.26878310        0.63262249        0.03390930        0.56347700        0.03145480        0.00309291        0.00068848
       -4.25877309        0.77523145        0.02605489        0.71647703        0.02880965        0.00315756        0.00073232
       -4.24876308        1.10620222        0.02464937        1.03854100        0.03779406        0.00414680        0.00107097
       -4.23875307        0.56349536        0.00797883        0.52686310        0.02503420        0.00283202        0.00078721
       -4.22874306        0.80505872        0.00700017        0.76189203        0.03118618        0.00387951        0.00110082
       -4.21873305        0.31009070        0.00349320        0.28630986        0.01759222        0.00222186        0.00047355
       -4.20872304        0.21699584        0.00271785        0.19657493        0.01532788        0.00201138        0.00036379
       -4.19871303        0.25254242        0.00876184        0.22551519        0.01569906        0.00218607        0.00038026
       -4.18870302        0.29693398        0.01305793        0.26209998        0.01874694        0.00259268        0.00043645
       -4.17869301        0.34565778        0.01471645        0.30111357        0.02588248        0.00339716        0.00054812
       -4.16868300        0.41437250        0.01422845        0.35375692        0.04048383        0.00513131        0.00077198
       -4.15867299        0.17688634        0.00804625        0.15467923        0.01224796        0.00164999        0.00026291
       -4.14866298        0.22845777        0.01032623        0.20297875        0.01291705        0.00189014        0.00034560
       -4.13865297        0.23317925        0.01051427        0.20751628        0.01290860        0.00188485        0.00035525
       -4.12864296        0.27752936        0.01363330        0.24527523        0.01612903        0.00208699        0.00040481
       -4.11863295        0.32154623        0.01661166        0.28234326        0.01980691        0.00231959        0.00046481
       -4.10862294        0.35715148        0.01885089        0.31186443        0.02336496        0.00254312        0.00052808
       -4.09861293        0.38574419        0.02043386        0.33502177        0.02692802        0.00276457        0.00059597
       -4.08860292        0.40828147        0.02140595        0.35264968        0.03056746        0.00298871        0.00066967
       -4.07859291        0.18853356        0.00879123        0.16423263        0.01361950        0.00155728        0.00033293
       -4.06858290        0.17018244        0.00787789        0.14791938        0.01266752        0.00141184        0.00030581
       -4.05857289        0.40271708        0.02391797        0.34969311        0.02566799        0.00293703        0.00050098
       -4.04856288        0.48808111        0.02820906        0.42406482        0.03151842        0.00368394        0.00060488
       -4.03855287        0.56462555        0.03104838        0.49051692        0.03780209        0.00452436        0.00073379
       -4.02854286        0.63235037        0.03243593        0.54904941        0.04451903        0.00545829        0.00088772
       -4.01853285        0.30147046        0.01304322        0.26836790        0.01761727        0.00211349        0.00032859
       -4.00852284        0.13659260        0.00505676        0.12361491        0.00699431        0.00079745        0.00012916
       -3.99851283        0.03816984        0.00140530        0.03417268        0.00234362        0.00019114        0.00005709
       -3.98850282        0.04175133        0.00144115        0.03759204        0.00244426        0.00020918        0.00006469
       -3.97849281        0.23267952        0.01314108        0.21091806        0.00719277        0.00125421        0.00017341
       -3.96848280        0.51059274        0.03086861        0.45909726        0.01731173        0.00292386        0.00039128
       -3.95847279        0.73058859        0.04562244        0.64982292        0.03003762        0.00444546        0.00066015
       -3.94846278        0.60621937        0.05015820        0.52211490        0.02921813        0.00430467        0.00042346
       -3.93845277        0.06289760        0.00233506        0.05856185        0.00169145        0.00024200        0.00006723
       -3.92844276        0.09299979        0.00313511        0.08668746        0.00269518        0.00037636        0.00010569
       -3.91843275        0.12209780        0.00383842        0.11384428        0.00375252        0.00051877        0.00014380
       -3.90842274        0.15019163        0.00444500        0.14003233        0.00486350        0.00066924        0.00018156
       -3.89841273        0.17728127        0.00495485        0.16525160        0.00602809        0.00082776        0.00021897
       -3.88840272        0.20336674        0.00536797        0.18950208        0.00724631        0.00099434        0.00025603
       -3.87839271        0.22844801        0.00568436        0.21278379        0.00851816        0.00116897        0.00029274
       -3.86838270        0.26058443        0.00631558        0.24244161        0.01004689        0.00143382        0.00034653
       -3.85837269        0.29463756        0.00696025        0.27374644        0.01179629        0.00173044        0.00040413
       -3.84836268        0.32823142        0.00749227        0.30452644        0.01371881        0.00203379        0.00046010
       -3.83835267        0.36136603        0.00791164        0.33478160        0.01581447        0.00234386        0.00051446
       -3.82834266        1.00867412        0.01446188        0.93177664        0.05307093        0.00784110        0.00152357
       -3.81833265        0.27183479        0.00810381        0.24689839        0.01446484        0.00202098        0.00034677
       -3.80832264        0.29006757        0.00906532        0.26359297        0.01504212        0.00201955        0.00034760
       -3.79831263        0.30792253        0.01007980        0.27963415        0.01582101        0.00204089        0.00034667
       -3.78830262        0.36397935        0.01430464        0.32702948        0.02002806        0.00223028        0.00038689
       -3.77829261        0.79087056        0.04423699        0.70494100        0.03682652        0.00426496        0.00060110
       -3.76828260        1.05877805        0.04687977        0.94377889        0.06097433        0.00606025        0.00108481
       -3.75827259        0.93188958        0.03894688        0.83296829        0.05381485        0.00515780        0.00100176
       -3.74826258        1.37811097        0.05093820        1.24873981        0.07027443        0.00662663        0.00153190
       -3.73825257        1.10996574        0.03580381        1.00770447        0.05950859        0.00568838        0.00126049
       -3.72824256        0.88210712        0.02435129        0.80307982        0.04892764        0.00476131        0.00098705
       -3.71823255        0.67870569        0.01577120        0.62147453        0.03709504        0.00363166        0.00073325
       -3.70822254        0.56419184        0.01051800        0.52232661        0.02802621        0.00274091        0.00058011
       -3.69821253        1.01493680        0.02252051        0.94931843        0.03769320        0.00398602        0.00141864
       -3.68820252        0.86042094        0.02036306        0.80048070        0.03494362        0.00344971        0.00118385
       -3.67819251        0.93969501        0.02639357        0.87553403        0.03267471        0.00342203        0.00167066
       -3.66818250        0.94922408        0.02599459        0.88360821        0.03409302        0.00383414        0.00169411
       -3.65817249        2.60269571        0.09853008        2.37410511        0.11161423        0.01306654        0.00537975
       -3.64816248        1.45360211        0.03168193        1.35357877        0.05740920        0.00849339        0.00243883
       -3.63815247        0.17966965        0.00374734        0.16886764        0.00615495        0.00062126        0.00027846
       -3.62814246        0.31959718        0.00693954        0.29777253        0.01264909        0.00172031        0.00051572
       -3.61813245        0.92187238        0.01516577        0.86110898        0.03768201        0.00622204        0.00169358
       -3.60812244        0.87635915        0.01408526        0.82379726        0.03091719        0.00603964        0.00151980
       -3.59811243        0.95559912        0.01394483        0.89789782        0.03406269        0.00782164        0.00187215
       -3.58810242        1.17623931        0.03029663        1.08054721        0.05135732        0.01120722        0.00283093
       -3.57809241        0.90340075        0.02034576        0.83664927        0.03601701        0.00829178        0.00209694
       -3.56808240        1.47540712        0.02523888        1.38598113        0.05120313        0.01014182        0.00284216
       -3.55807239        1.31347511        0.01961779        1.24283814        0.04137929        0.00746362        0.00217627
       -3.54806238        1.22393158        0.01824109        1.15405138        0.04070817        0.00892915        0.00200179
       -3.53805237        1.60159883        0.02568544        1.51998691        0.04276556        0.01062839        0.00253253
       -3.52804236        1.13144386        0.01588597        1.07623517        0.03048097        0.00725883        0.00158292
       -3.51803235        1.49873282        0.01689221        1.42045955        0.04724564        0.01158968        0.00254574
       -3.50802234        1.06018714        0.00796068        1.01793148        0.02632549        0.00657638        0.00139311
       -3.49801233        1.16768557        0.01366261        1.09664507        0.04331650        0.01161953        0.00244186
       -3.48800232        0.37755612        0.00554001        0.35187705        0.01555363        0.00373758        0.00084784
       -3.47799231        0.34822445        0.00608194        0.32156845        0.01660732        0.00325930        0.00070744
       -3.46798230        0.48147574        0.01107647        0.43910647        0.02568391        0.00464528        0.00096360
       -3.45797229        0.37767369        0.00557249        0.34468135        0.02261887        0.00400747        0.00079352
       -3.44796228        0.90662408        0.00369370        0.86104341        0.03382988        0.00686055        0.00119654
       -3.43795227        0.26015963        0.00165603        0.23967724        0.01499903        0.00328068        0.00054666
       -3.42794226        1.34255718        0.01087224        1.23942858        0.08128044        0.00898358        0.00199234
       -3.41793225        0.85149490        0.00658797        0.77947320        0.05684205        0.00725632        0.00133536
       -3.40792224        0.83790424        0.00921373        0.76496000        0.05477996        0.00762036        0.00133019
       -3.39791223        1.00434386        0.00990145        0.93104573        0.05360042        0.00840404        0.00139220
       -3.38790222        1.26315088        0.00990814        1.19130331        0.05217368        0.00842306        0.00134270
       -3.37789221        0.66302380        0.00608584        0.61908139        0.03267267        0.00441735        0.00076655
       -3.36788220        0.72852836        0.00710645        0.67757275        0.03823234        0.00482800        0.00078882
       -3.35787219        0.84387101        0.00905421        0.78103772        0.04748236        0.00547580        0.00082092
       -3.34786218        0.62435501        0.00605979        0.58296920        0.03138032        0.00342025        0.00052545
       -3.33785217        1.48618304        0.02623669        1.35216887        0.09380312        0.01201467        0.00195969
       -3.32784216        0.71850634        0.01503411        0.64985669        0.04580934        0.00683719        0.00096902
       -3.31783215        0.71381507        0.01450972        0.65135781        0.04085218        0.00625492        0.00084044
       -3.30782214        1.31509942        0.02304563        1.19939182        0.07696192        0.01378852        0.00191152
       -3.29781213        0.85637932        0.01548034        0.78493262        0.04743473        0.00742494        0.00110670
       -3.28780212        0.98886478        0.01403746        0.91309123        0.05167750        0.00870887        0.00134972
       -3.27779211        2.07041009        0.03538177        1.91619468        0.10171679        0.01497559        0.00214126
       -3.26778210        0.54559387        0.00832609        0.48620152        0.04615545        0.00435303        0.00055779
       -3.25777209        0.08793371        0.00197768        0.07886928        0.00630671        0.00070768        0.00007235
       -3.24776208        0.08827081        0.00228898        0.08011644        0.00504839        0.00073749        0.00007952
       -3.23775207        0.16674945        0.00440992        0.14887279        0.01177773        0.00148242        0.00020659
       -3.22774206        0.26486008        0.00635341        0.23679634        0.01889461        0.00245368        0.00036203
       -3.21773205        0.40920028        0.00793735        0.36837513        0.02832647        0.00398037        0.00058096
       -3.20772204        0.58056930        0.00922416        0.52685407        0.03786125        0.00579946        0.00083037
       -3.19771203        1.00087993        0.01164849        0.91630763        0.06086698        0.01057815        0.00147868
       -3.18770202        0.93964339        0.01155327        0.86553652        0.05223446        0.00905440        0.00126473
       -3.17769201        0.87575799        0.01166115        0.81033396        0.04478364        0.00789918        0.00108005
       -3.16768200        0.79454351        0.01120415        0.73726468        0.03816043        0.00699444        0.00091980
       -3.15767199        0.57524413        0.00884277        0.53296610        0.02742941        0.00536369        0.00064216
       -3.14766198        0.71357036        0.01081345        0.66281138        0.03263092        0.00652642        0.00078819
       -3.13765197        0.64049977        0.01131016        0.59329455        0.02916824        0.00597220        0.00075462
       -3.12764196        0.77282478        0.01342365        0.71615814        0.03504281        0.00725637        0.00094382
       -3.11763195        0.88466789        0.01571373        0.81911419        0.04021117        0.00849231        0.00113650
       -3.10762194        0.40185204        0.00763813        0.36527443        0.02397549        0.00427505        0.00068894
       -3.09761193        0.45276389        0.00787130        0.41081023        0.02830687        0.00495197        0.00082352
       -3.08760192        0.56922055        0.00950046        0.51829243        0.03403297        0.00631894        0.00107575
       -3.07759191        0.34277659        0.00494877        0.31431249        0.01991249        0.00311376        0.00048907
       -3.06758190        0.29951856        0.00381436        0.27333447        0.01944811        0.00255738        0.00036423
       -3.05757189        1.30413651        0.01928377        1.15610239        0.11298609        0.01339668        0.00236757
       -3.04756188        0.60267564        0.00606160        0.54241476        0.04717125        0.00618490        0.00084314
       -3.03755187        0.59461452        0.00530513        0.53929361        0.04220780        0.00686245        0.00094554
       -3.02754186        0.60221462        0.00511281        0.55004244        0.03884398        0.00720509        0.00101030
       -3.01753185        0.62547594        0.00548463        0.57466125        0.03707980        0.00721283        0.00103743
       -3.00752184        0.65473050        0.00631558        0.60389367        0.03653622        0.00695528        0.00102975
       -2.99751183        1.35871955        0.01077715        1.22606220        0.10113963        0.01803408        0.00270648
       -2.98750182        1.21312097        0.01555411        1.13916995        0.04893098        0.00831519        0.00115073
       -2.97749181        1.00564512        0.01335700        0.93995948        0.04349695        0.00779475        0.00103695
       -2.96748180        0.67486244        0.00755989        0.62481039        0.03427370        0.00741176        0.00080670
       -2.95747179        0.84022754        0.00937420        0.77536164        0.04514793        0.00928325        0.00106052
       -2.94746178        0.46586042        0.00473978        0.43091885        0.02476230        0.00492391        0.00051558
       -2.93745177        0.41990502        0.00408817        0.38832332        0.02273128        0.00432346        0.00043880
       -2.92744176        0.37631745        0.00351384        0.34809697        0.02061747        0.00372686        0.00036231
       -2.91743175        0.36751362        0.00391413        0.33846028        0.02109663        0.00366139        0.00038119
       -2.90742174        1.00671262        0.01017788        0.92389379        0.06040495        0.01106572        0.00117028
       -2.89741173        0.57863384        0.00726598        0.52428282        0.03739016        0.00849603        0.00119885
       -2.88740172        1.14801959        0.01677794        1.05221879        0.06480651        0.01233403        0.00188231
       -2.87739171        0.41334257        0.00540278        0.37890649        0.02344110        0.00481748        0.00077473
