#  aims_uuid : DB0545DB-F5F0-463A-A8CC-36775FFD9C0D                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.89492639        0.05968984        0.09287830        0.72376149        0.01746263        0.00113413
       -9.98998999        0.83264207        0.05131404        0.09005021        0.67319039        0.01701493        0.00107250
       -9.97997998        0.58213848        0.03619142        0.06974142        0.46187512        0.01350791        0.00082262
       -9.96996997        0.55392701        0.03652837        0.06023980        0.44372964        0.01259449        0.00083472
       -9.95995996        0.62340849        0.04851130        0.06954349        0.48922203        0.01513048        0.00100119
       -9.94994995        0.35003033        0.04724420        0.03419873        0.25952910        0.00864814        0.00041017
       -9.93993994        0.37534313        0.05867620        0.03548461        0.27116094        0.00962741        0.00039397
       -9.92992993        0.42313253        0.06911933        0.03627460        0.30765728        0.00970667        0.00037465
       -9.91991992        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.90990991        0.03323415        0.00519792        0.00069901        0.02672711        0.00052562        0.00008449
       -9.89989990        0.09432226        0.01562592        0.00304671        0.07388019        0.00156256        0.00020688
       -9.88988989        0.85143684        0.04347557        0.07391124        0.71334667        0.01960508        0.00109827
       -9.87987988        0.78054444        0.04435031        0.05522238        0.66367575        0.01633937        0.00095664
       -9.86986987        0.94741210        0.04900597        0.06405603        0.81253651        0.02081885        0.00099474
       -9.85985986        0.56253721        0.04128931        0.04373128        0.46099332        0.01589305        0.00063025
       -9.84984985        0.76099990        0.04061729        0.05456740        0.64314211        0.02182611        0.00084698
       -9.83983984        0.37179383        0.02203516        0.02930859        0.31053259        0.00941854        0.00049896
       -9.82982983        0.29839501        0.02057589        0.02419810        0.24616323        0.00701102        0.00044676
       -9.81981982        0.31454813        0.02186167        0.02655407        0.25821861        0.00744502        0.00046878
       -9.80980981        0.35235535        0.02701688        0.02792179        0.28857250        0.00824735        0.00059683
       -9.79979980        0.42091268        0.03808768        0.02890604        0.34350378        0.00955500        0.00086019
       -9.78978979        0.56943652        0.05997913        0.03635216        0.45943582        0.01234786        0.00132154
       -9.77977978        0.21431887        0.01857349        0.01551435        0.17521709        0.00454037        0.00047356
       -9.76976977        0.29352554        0.01949933        0.02136690        0.24568125        0.00643954        0.00053852
       -9.75975976        0.30709581        0.01940910        0.02225111        0.25816237        0.00670835        0.00056489
       -9.74974975        0.34411776        0.02168441        0.02570441        0.28861342        0.00744651        0.00066901
       -9.73973974        0.39062782        0.02481933        0.02944547        0.32709810        0.00847151        0.00079341
       -9.72972973        0.44239051        0.02843407        0.03296271        0.37035543        0.00971415        0.00092416
       -9.71971972        0.50069376        0.03257105        0.03628718        0.41956796        0.01120519        0.00106238
       -9.70970971        0.56653782        0.03725459        0.03946585        0.47563425        0.01297427        0.00120886
       -9.69969970        0.27048814        0.01842677        0.01545235        0.23056477        0.00543414        0.00061010
       -9.68968969        0.23906063        0.01688369        0.01263577        0.20416831        0.00482696        0.00054591
       -9.67967968        0.43460526        0.02078961        0.05472751        0.34856099        0.00961527        0.00091189
       -9.66966967        0.54509374        0.02890220        0.06697435        0.43677107        0.01126448        0.00118164
       -9.65965966        0.67944691        0.04220021        0.07394485        0.54901090        0.01274816        0.00154279
       -9.64964965        0.83766476        0.06068363        0.07563903        0.68528047        0.01406628        0.00199534
       -9.63963964        0.35507638        0.01670729        0.05189081        0.27882446        0.00695431        0.00069951
       -9.62962963        0.15412532        0.00393043        0.02672338        0.11979748        0.00344319        0.00023084
       -9.61961962        0.04414867        0.00080126        0.00279249        0.03903447        0.00148959        0.00003085
       -9.60960961        0.04930247        0.00083643        0.00327287        0.04345709        0.00170237        0.00003371
       -9.59959960        0.19600131        0.00123535        0.01868214        0.16990960        0.00594796        0.00022626
       -9.58958959        0.41304182        0.00361864        0.04129671        0.35334519        0.01425034        0.00053094
       -9.57957958        0.59262276        0.00823122        0.05956464        0.49990529        0.02411684        0.00080478
       -9.56956957        0.35857038        0.00905634        0.04517719        0.28316673        0.02036014        0.00080999
       -9.55955956        0.04863441        0.00061500        0.00395138        0.04230284        0.00171253        0.00005265
       -9.54954955        0.07148969        0.00108370        0.00580693        0.06189915        0.00261525        0.00008466
       -9.53953954        0.09412402        0.00166749        0.00775692        0.08107612        0.00350212        0.00012137
       -9.52952953        0.11653738        0.00236637        0.00980133        0.09983375        0.00437315        0.00016277
       -9.51951952        0.13872978        0.00318035        0.01194018        0.11817206        0.00522833        0.00020887
       -9.50950951        0.16070122        0.00410942        0.01417346        0.13609102        0.00606766        0.00025966
       -9.49949950        0.18245171        0.00515358        0.01650118        0.15359066        0.00689115        0.00031514
       -9.48948949        0.21350883        0.00673831        0.01962891        0.17862155        0.00812692        0.00039315
       -9.47947948        0.24742221        0.00853407        0.02356168        0.20540060        0.00944448        0.00048137
       -9.46946947        0.28133312        0.01040799        0.02815123        0.23148943        0.01071004        0.00057443
