#  aims_uuid : 8A4D6FF5-0AEB-4F7D-AF3A-240B1ABACB7F                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.809734 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.19026578        1.43385316        0.11969587        1.23346883        0.07186177        0.00804074        0.00078595
       -5.18025577        0.95810247        0.08277534        0.81227104        0.05552449        0.00680100        0.00073061
       -5.17024576        2.40606739        0.24089883        2.00921283        0.14004502        0.01444112        0.00146959
       -5.16023575        0.26890043        0.02678816        0.22296341        0.01697888        0.00203576        0.00013423
       -5.15022574        0.73835174        0.05590686        0.63993898        0.03779206        0.00421811        0.00049572
       -5.14021573        1.05051982        0.06953221        0.93192028        0.04325989        0.00498461        0.00082283
       -5.13020572        0.73368939        0.05410583        0.64400675        0.03173537        0.00339455        0.00044688
       -5.12019571        1.32862343        0.11600932        1.14008939        0.06570651        0.00618045        0.00063776
       -5.11018570        0.44453572        0.03303613        0.38210945        0.02707492        0.00209876        0.00021645
       -5.10017569        0.52743956        0.05321402        0.44376005        0.02713399        0.00306431        0.00026719
       -5.09016568        1.52362980        0.18773482        1.25910993        0.06694951        0.00926136        0.00057417
       -5.08015567        1.90992819        0.20348940        1.60388865        0.09053048        0.01108162        0.00093803
       -5.07014566        0.11715919        0.00526945        0.10364407        0.00743494        0.00069564        0.00011509
       -5.06013565        1.60354270        0.13747710        1.36292205        0.09313178        0.00886598        0.00114579
       -5.05012564        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04011563        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.03010562        0.35067001        0.00464214        0.33771124        0.00701645        0.00092211        0.00037807
       -5.02009561        0.32546736        0.00632425        0.31027264        0.00751256        0.00100201        0.00035589
       -5.01008560        0.30760863        0.00810323        0.28980072        0.00828676        0.00108276        0.00033515
       -5.00007559        0.52300437        0.01787838        0.48195318        0.01968253        0.00286241        0.00062788
       -4.99006558        0.95596457        0.02541130        0.89893716        0.02640472        0.00407416        0.00113723
       -4.98005557        0.80715093        0.02949128        0.74586221        0.02745619        0.00348180        0.00085945
       -4.97004556        0.53313603        0.02310428        0.48617091        0.02091470        0.00242258        0.00052357
       -4.96003555        0.32561326        0.01424229        0.29600851        0.01341552        0.00161303        0.00033391
       -4.95002554        0.25259236        0.01102340        0.22891164        0.01097092        0.00140178        0.00028462
