#  aims_uuid : 8A4D6FF5-0AEB-4F7D-AF3A-240B1ABACB7F                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.36031454        0.12643468        1.16035289        0.06503803        0.00764748        0.00084147
       -9.98998999        0.95402808        0.08309711        0.80816924        0.05524791        0.00678008        0.00073373
       -9.97997998        2.40837668        0.24139411        2.01124980        0.13984321        0.01442664        0.00146292
       -9.96996997        0.26899895        0.02681049        0.22302607        0.01699163        0.00203664        0.00013412
       -9.95995996        0.73995144        0.05602356        0.64140147        0.03781004        0.00422021        0.00049617
       -9.94994995        1.04701872        0.06949899        0.92850769        0.04322565        0.00496627        0.00082013
       -9.93993994        0.74190928        0.05424010        0.65208981        0.03175231        0.00337841        0.00044864
       -9.92992993        1.30269896        0.11299340        1.11763126        0.06539752        0.00603271        0.00064407
       -9.91991992        0.44332793        0.03295034        0.38096101        0.02710538        0.00209459        0.00021661
       -9.90990991        0.52691002        0.05375282        0.44295753        0.02687745        0.00305520        0.00026702
       -9.89989990        1.51980533        0.19212551        1.25306389        0.06485559        0.00918811        0.00057223
       -9.88988989        1.91214586        0.20021611        1.60762120        0.09223427        0.01113591        0.00093837
       -9.87987988        0.11764332        0.00524696        0.10413600        0.00744841        0.00069661        0.00011534
       -9.86986987        1.62742755        0.13517470        1.38797579        0.09413197        0.00899238        0.00115270
       -9.85985986        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.84984985        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.83983984        0.34885117        0.00453870        0.33596841        0.00703567        0.00092928        0.00037909
       -9.82982983        0.32495682        0.00630303        0.30977173        0.00752141        0.00100443        0.00035622
       -9.81981982        0.30789923        0.00813128        0.29006226        0.00828858        0.00108207        0.00033504
       -9.80980981        0.53339780        0.01949933        0.49049535        0.01988808        0.00286972        0.00064532
       -9.79979980        0.95890743        0.02592609        0.90128664        0.02647365        0.00407845        0.00114261
       -9.78978979        0.80421174        0.02937169        0.74305274        0.02744304        0.00348683        0.00085744
       -9.77977978        0.53813162        0.02296990        0.49136343        0.02088075        0.00239379        0.00052376
       -9.76976977        0.32665054        0.01410199        0.29722230        0.01339067        0.00160306        0.00033253
       -9.75975976        0.25214990        0.01082851        0.22869923        0.01094314        0.00139639        0.00028263
       -9.74974975        0.22273050        0.00989834        0.20047132        0.01067870        0.00141697        0.00026516
       -9.73973974        0.27194788        0.01003201        0.24822565        0.01176315        0.00159965        0.00032741
       -9.72972973        0.36100402        0.01127121        0.33408854        0.01336957        0.00185125        0.00042346
       -9.71971972        0.38024492        0.01139319        0.35252661        0.01389314        0.00197580        0.00045619
       -9.70970971        0.44278271        0.01426173        0.40872016        0.01689609        0.00237723        0.00052751
       -9.69969970        0.53589001        0.01895409        0.49271779        0.02074738        0.00284195        0.00062880
       -9.68968969        0.56223271        0.02011725        0.51614232        0.02219932        0.00309637        0.00067745
       -9.67967968        0.58434513        0.02137765        0.53512204        0.02375183        0.00336799        0.00072561
       -9.66966967        0.60222726        0.02273531        0.54965696        0.02540490        0.00365683        0.00077327
       -9.65965966        0.61637360        0.02422897        0.56013564        0.02721580        0.00397161        0.00082159
       -9.64964965        0.34314995        0.01057111        0.32123253        0.00952606        0.00142374        0.00039651
       -9.63963964        0.21360651        0.00777696        0.19779654        0.00688394        0.00091713        0.00023193
       -9.62962963        0.22464829        0.00759018        0.20892287        0.00691525        0.00096593        0.00025407
       -9.61961962        0.23471774        0.00729936        0.21924980        0.00688041        0.00101145        0.00027672
       -9.60960961        0.24381488        0.00690453        0.22877733        0.00677941        0.00105371        0.00029991
       -9.59959960        0.36356541        0.01440955        0.33385488        0.01305143        0.00187806        0.00037150
       -9.58958959        0.33754170        0.01328861        0.31012171        0.01199494        0.00177939        0.00035706
       -9.57957958        0.36154195        0.01879874        0.32173141        0.01834223        0.00228795        0.00038163
       -9.56956957        0.24130957        0.01474022        0.20999879        0.01462881        0.00173278        0.00020898
       -9.55955956        0.67020028        0.06536047        0.56763272        0.03125908        0.00568709        0.00026093
       -9.54954955        0.21121760        0.01692425        0.18090466        0.01155664        0.00172454        0.00010751
       -9.53953954        0.19982559        0.01515736        0.17154612        0.01137328        0.00164016        0.00010867
       -9.52952953        0.21626624        0.01396529        0.18840503        0.01210780        0.00164290        0.00014522
       -9.51951952        0.26355647        0.01357397        0.23411301        0.01388181        0.00176793        0.00021975
       -9.50950951        0.30897998        0.01343411        0.27781789        0.01552345        0.00191412        0.00029040
       -9.49949950        0.38131493        0.01471531        0.34510984        0.01885012        0.00226879        0.00037088
       -9.48948949        0.77757757        0.03292881        0.69679975        0.04234373        0.00478772        0.00071755
       -9.47947948        1.11616065        0.04487952        0.99907203        0.06370850        0.00747940        0.00102120
       -9.46946947        0.64943324        0.01858319        0.59951341        0.02729382        0.00334570        0.00069712
