#  aims_uuid : 8A4D6FF5-0AEB-4F7D-AF3A-240B1ABACB7F                                
#  angular momentum projected density of states for species W as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.809734 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.19026578        1.14066512        0.12258709        0.23298939        0.75913224        0.02385205        0.00210435
       -5.18025577        0.98127473        0.09794423        0.15135973        0.71252566        0.01733073        0.00211439
       -5.17024576        2.73980110        0.25906882        0.44484405        1.97214289        0.06017138        0.00357395
       -5.16023575        0.34260453        0.02499918        0.03644719        0.27398593        0.00664341        0.00052881
       -5.15022574        0.78104373        0.06223624        0.08766173        0.61256716        0.01747822        0.00110038
       -5.14021573        0.95969898        0.07136984        0.10975466        0.75552382        0.02179728        0.00125340
       -5.13020572        0.61193654        0.02591950        0.07097140        0.49454844        0.01958517        0.00091203
       -5.12019571        0.99562224        0.11290777        0.14193777        0.70944012        0.02921832        0.00211826
       -5.11018570        0.35635035        0.03530944        0.05287124        0.25646234        0.01088209        0.00082525
       -5.10017569        0.43257863        0.02062736        0.05696665        0.34291160        0.01117076        0.00090226
       -5.09016568        1.14952505        0.03158906        0.15960483        0.92611477        0.02955130        0.00266509
       -5.08015567        1.45213704        0.05576788        0.20200683        1.15166046        0.03867473        0.00402714
       -5.07014566        0.09163777        0.00680755        0.01541833        0.06739527        0.00160198        0.00041464
       -5.06013565        1.05140136        0.25839435        0.16918390        0.58918910        0.03125755        0.00337646
       -5.05012564        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04011563        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.03010562        0.19803767        0.00122270        0.02476231        0.15914865        0.01269485        0.00020915
       -5.02009561        0.20123586        0.00191542        0.02384733        0.16403643        0.01118656        0.00025012
       -5.01008560        0.20280778        0.00271041        0.02430988        0.16551190        0.00996344        0.00031215
       -5.00007559        0.47461851        0.00942097        0.05265115        0.39635812        0.01502447        0.00116380
       -4.99006558        0.73877003        0.01047979        0.09615281        0.59893057        0.03198503        0.00122184
       -4.98005557        0.59163672        0.01302222        0.08455091        0.46793072        0.02475508        0.00137780
       -4.97004556        0.37417000        0.01245598        0.06087667        0.28399378        0.01569387        0.00114970
       -4.96003555        0.24922873        0.01085772        0.03636142        0.19146849        0.00977330        0.00076779
       -4.95002554        0.22238362        0.01182757        0.02518709        0.17668576        0.00804510        0.00063810
       -4.94001553        0.21905037        0.01383791        0.02209966        0.17531693        0.00717351        0.00062237
       -4.93000552        0.25099254        0.01705720        0.02743630        0.19690507        0.00893814        0.00065582
       -4.91999551        0.29989319        0.01915520        0.03759443        0.23055916        0.01186330        0.00072110
       -4.90998550        0.31712695        0.02134345        0.03840748        0.24403434        0.01260199        0.00073968
       -4.89997549        0.36701540        0.02753309        0.04363564        0.28049863        0.01445392        0.00089412
       -4.88996548        0.42240700        0.03726314        0.05424151        0.31259611        0.01716658        0.00113966
       -4.87995547        0.45365476        0.04145196        0.05491119        0.33779370        0.01828452        0.00121340
       -4.86994546        0.48609274        0.04590906        0.05481355        0.36481682        0.01926081        0.00129249
       -4.85993545        0.51972091        0.05063444        0.05394860        0.39366548        0.02009544        0.00137695
       -4.84992544        0.55597401        0.05572797        0.05234551        0.42562106        0.02080903        0.00147044
       -4.83991543        0.21355273        0.01408058        0.02451269        0.16175267        0.01271576        0.00049103
       -4.82990542        0.13685238        0.00932818        0.02036007        0.09874134        0.00806890        0.00035390
       -4.81989541        0.14903331        0.00837777        0.02024334        0.11127007        0.00880598        0.00033615
       -4.80988540        0.16140729        0.00718891        0.01987380        0.12449691        0.00953559        0.00031209
       -4.79987539        0.17397433        0.00576159        0.01925144        0.13842186        0.01025774        0.00028171
       -4.78986538        0.26595850        0.00500020        0.04159756        0.20602807        0.01288013        0.00045255
       -4.77985537        0.26527866        0.00343785        0.03697167        0.21263508        0.01184837        0.00038569
