#  aims_uuid : F45473DD-0ACD-4CF6-A79A-92562CE6034B                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.57163217        0.00302050        0.53576509        0.02713152        0.00571504
       -9.99000000        0.44497685        0.00250772        0.41345769        0.02477993        0.00423151
       -9.98000000        0.33420347        0.00217550        0.30947483        0.01968907        0.00286407
       -9.97000000        0.02486739        0.00098491        0.02256381        0.00110534        0.00021334
       -9.96000000        0.18308035        0.00248085        0.16565421        0.01358968        0.00135561
       -9.95000000        0.42853782        0.00460928        0.38602241        0.03392567        0.00398045
       -9.94000000        0.30316390        0.00442688        0.27727266        0.01902164        0.00244272
       -9.93000000        0.34463384        0.00525766        0.31751666        0.01913737        0.00272216
       -9.92000000        0.38667339        0.00597556        0.35853391        0.01914197        0.00302196
       -9.91000000        0.42928254        0.00658058        0.40032442        0.01903543        0.00334211
       -9.90000000        0.39424495        0.00565217        0.36558267        0.01956627        0.00344385
       -9.89000000        0.33481952        0.00444773        0.30732448        0.01973409        0.00331322
       -9.88000000        0.25684526        0.00360775        0.23498896        0.01575566        0.00249289
       -9.87000000        0.25550297        0.00424751        0.22859002        0.02042051        0.00224493
       -9.86000000        0.40548521        0.00558840        0.36493691        0.03147072        0.00348918
       -9.85000000        0.66757604        0.00772388        0.60861222        0.04563581        0.00560413
       -9.84000000        0.65209972        0.00733590        0.59700090        0.04158703        0.00617588
       -9.83000000        0.57465121        0.00680673        0.52629442        0.03536082        0.00618923
       -9.82000000        0.52412463        0.00671757        0.47987567        0.03146107        0.00607032
       -9.81000000        0.50825401        0.00727054        0.46476508        0.03029285        0.00592554
       -9.80000000        1.90329943        0.04018271        1.72528253        0.11544452        0.02238967
       -9.79000000        0.10891139        0.00141979        0.10008731        0.00601350        0.00139079
       -9.78000000        0.13452255        0.00198607        0.12347391        0.00745054        0.00161203
       -9.77000000        0.17027807        0.00278924        0.15618665        0.00942305        0.00187912
       -9.76000000        0.20561911        0.00356374        0.18827254        0.01161008        0.00217275
       -9.75000000        0.24054567        0.00430956        0.21973158        0.01401163        0.00249291
       -9.74000000        0.28659974        0.00386094        0.26260969        0.01753191        0.00259719
       -9.73000000        0.42343103        0.00484928        0.38894007        0.02599723        0.00364445
       -9.72000000        0.55160837        0.00533932        0.50893495        0.03254152        0.00479258
       -9.71000000        0.48308071        0.00453609        0.44094357        0.03292165        0.00467940
       -9.70000000        0.72471680        0.01591322        0.63881996        0.06120759        0.00877603
       -9.69000000        0.22894293        0.00172822        0.21133800        0.01354944        0.00232727
       -9.68000000        0.39709492        0.00278187        0.36712844        0.02395696        0.00322765
       -9.67000000        0.31613300        0.00261389        0.28821259        0.02221076        0.00309576
       -9.66000000        0.31252631        0.00288749        0.28384450        0.02249255        0.00330177
       -9.65000000        0.40019863        0.00389529        0.36141185        0.03069751        0.00419398
       -9.64000000        0.51794593        0.00459855        0.47146965        0.03699535        0.00488238
       -9.63000000        0.40400810        0.00351890        0.36601735        0.03008392        0.00438793
       -9.62000000        0.39477305        0.00314136        0.35696296        0.03019461        0.00447413
       -9.61000000        0.31302113        0.00182874        0.28794936        0.02044766        0.00279536
       -9.60000000        0.34836727        0.00170895        0.32473086        0.01946968        0.00245778
       -9.59000000        0.38321340        0.00172723        0.35719248        0.02149385        0.00279984
       -9.58000000        0.38346522        0.00166473        0.35483392        0.02364891        0.00331766
       -9.57000000        0.34912275        0.00152145        0.31765518        0.02593485        0.00401127
       -9.56000000        0.13734966        0.00049127        0.12369251        0.01131214        0.00185375
       -9.55000000        0.12773023        0.00041063        0.11579306        0.00988199        0.00164455
       -9.54000000        0.33343296        0.00282317        0.31257742        0.01470749        0.00332489
       -9.53000000        0.41894486        0.00396239        0.39047875        0.02024797        0.00425576
       -9.52000000        0.45327907        0.00467805        0.41947001        0.02397590        0.00515511
       -9.51000000        0.32419176        0.00337161        0.29824932        0.01883629        0.00373454
       -9.50000000        0.38959607        0.00452401        0.35886610        0.02181031        0.00439564
       -9.49000000        0.85863359        0.01359000        0.78480929        0.05089802        0.00933628
       -9.48000000        0.96711657        0.01795631        0.88233168        0.05722297        0.00960561
       -9.47000000        1.07160540        0.02318707        0.98678311        0.05364376        0.00799145
       -9.46000000        0.25000584        0.00531867        0.23001714        0.01278127        0.00188877
       -9.45000000        0.24414451        0.00343475        0.22197789        0.01570250        0.00302937
       -9.44000000        0.34962983        0.00417731        0.31301881        0.02743613        0.00499757
       -9.43000000        0.31503988        0.00393187        0.28374391        0.02327161        0.00409250
       -9.42000000        0.39072898        0.00548356        0.35556051        0.02532873        0.00435617
       -9.41000000        0.61327500        0.00635731        0.54206404        0.05603733        0.00881631
       -9.40000000        0.11729532        0.00191464        0.10521239        0.00880840        0.00135989
       -9.39000000        0.07900512        0.00118549        0.07039624        0.00636398        0.00105942
       -9.38000000        0.20031910        0.00162845        0.18692249        0.00959386        0.00217431
       -9.37000000        0.51097961        0.00618321        0.47798381        0.02265014        0.00416245
       -9.36000000        0.40029195        0.00362652        0.37468944        0.01860114        0.00337485
       -9.35000000        0.38535411        0.00485493        0.35334830        0.02357908        0.00357180
       -9.34000000        0.39622405        0.00642838        0.35940068        0.02653944        0.00385555
       -9.33000000        0.41705939        0.00807052        0.37960066        0.02533965        0.00404855
       -9.32000000        0.19080235        0.00062311        0.17615303        0.01187399        0.00215222
       -9.31000000        0.64519654        0.00542742        0.58389893        0.04829689        0.00757330
       -9.30000000        0.48537027        0.00409612        0.43887776        0.03686589        0.00553050
       -9.29000000        0.40241938        0.00313674        0.36540102        0.02949514        0.00438647
       -9.28000000        0.30891380        0.00223271        0.28144336        0.02204317        0.00319456
       -9.27000000        0.79633479        0.00381838        0.71157273        0.06825463        0.01268905
       -9.26000000        0.69636571        0.00247301        0.63196346        0.05223907        0.00969017
       -9.25000000        0.37994944        0.00099186        0.34810802        0.02620500        0.00464456
       -9.24000000        0.10080438        0.00047601        0.09080004        0.00835340        0.00117492
       -9.23000000        0.07479398        0.00032868        0.06708406        0.00646023        0.00092102
       -9.22000000        0.05031256        0.00020501        0.04480780        0.00461229        0.00068746
       -9.21000000        1.57244636        0.03178299        1.44692322        0.08147267        0.01226747
       -9.20000000        1.19167874        0.04227835        1.08510832        0.05384881        0.01044326
       -9.19000000        1.59410244        0.02600116        1.48773868        0.06929696        0.01106563
       -9.18000000        0.92948367        0.01428245        0.86279632        0.04576073        0.00664417
       -9.17000000        0.30587143        0.00373925        0.28446207        0.01513494        0.00253517
       -9.16000000        1.32365869        0.06666908        1.21390696        0.03597583        0.00710682
       -9.15000000        0.82018001        0.04405006        0.74300536        0.02875480        0.00436979
       -9.14000000        0.52354235        0.00768202        0.47865537        0.03097019        0.00623477
       -9.13000000        0.50697161        0.01086759        0.45811016        0.03202233        0.00597153
       -9.12000000        0.71240461        0.02307499        0.63565568        0.04636217        0.00731177
       -9.11000000        0.40422822        0.02084850        0.36965906        0.01163189        0.00208878
       -9.10000000        2.01466299        0.05151332        1.80205796        0.14252729        0.01856443
       -9.09000000        0.74739196        0.01667893        0.67416795        0.04832860        0.00821648
       -9.08000000        0.83175011        0.02489070        0.75797109        0.04151712        0.00737120
       -9.07000000        0.56505022        0.02263262        0.51986683        0.01933775        0.00321302
       -9.06000000        0.88714936        0.02966460        0.81531257        0.03662501        0.00554719
       -9.05000000        0.79433513        0.02103940        0.72668025        0.04095693        0.00565856
       -9.04000000        0.87664283        0.01796206        0.80876269        0.04393417        0.00598391
       -9.03000000        0.76439783        0.01712825        0.70030668        0.04086892        0.00609398
       -9.02000000        0.89403948        0.02040724        0.81440830        0.05086055        0.00836340
       -9.01000000        0.80155642        0.01631913        0.73709586        0.04135343        0.00678801
       -9.00000000        0.76355603        0.02012709        0.70004904        0.03666013        0.00671977
       -8.99000000        0.83681419        0.02640117        0.76880285        0.03477455        0.00683562
       -8.98000000        1.29365165        0.05361398        1.19008371        0.04140005        0.00855391
       -8.97000000        0.75888448        0.02659347        0.70300664        0.02449247        0.00479190
       -8.96000000        1.04637440        0.03476975        0.96378891        0.04046887        0.00734688
       -8.95000000        1.16781691        0.03949232        1.08094363        0.04013667        0.00724428
       -8.94000000        0.99426079        0.04029282        0.92857639        0.02045618        0.00493540
       -8.93000000        1.10588071        0.04292664        1.03105090        0.02610958        0.00579358
       -8.92000000        1.11395969        0.04454541        1.03998424        0.02403680        0.00539324
       -8.91000000        1.07429578        0.04602804        1.00550783        0.01816942        0.00459050
       -8.90000000        0.66588973        0.02793370        0.62165604        0.01316386        0.00313614
       -8.89000000        0.64054549        0.02868358        0.59852570        0.01031779        0.00301842
       -8.88000000        1.33050988        0.06747591        1.24846478        0.00944780        0.00512139
       -8.87000000        1.94950060        0.09607918        1.82968791        0.01667333        0.00706018
       -8.86000000        0.65635025        0.02876375        0.60992111        0.01420979        0.00345560
       -8.85000000        0.87807979        0.03375951        0.81630947        0.02225866        0.00575216
       -8.84000000        1.07729214        0.03989570        1.00163744        0.02855741        0.00720158
       -8.83000000        1.74256331        0.06587528        1.61153049        0.05357249        0.01158505
       -8.82000000        1.67108390        0.06047682        1.55675739        0.04339161        0.01045808
       -8.81000000        1.41707305        0.06262539        1.31605345        0.03059719        0.00779701
       -8.80000000        1.23790268        0.05022068        1.15130626        0.02942061        0.00695514
       -8.79000000        1.14376229        0.04511936        1.06534871        0.02689981        0.00639440
       -8.78000000        1.27665400        0.04265192        1.18378955        0.04241433        0.00779820
       -8.77000000        1.01949381        0.04193915        0.95242637        0.01980290        0.00532538
       -8.76000000        0.90041539        0.03978644        0.84065495        0.01551774        0.00445627
       -8.75000000        0.94174130        0.04087469        0.87958815        0.01667884        0.00459962
       -8.74000000        1.24408989        0.05163433        1.16285569        0.02377933        0.00582055
       -8.73000000        1.27409665        0.05487186        1.19208468        0.02154486        0.00559524
       -8.72000000        1.23243198        0.05165352        1.15140605        0.02356788        0.00580454
       -8.71000000        1.18239206        0.04752358        1.10217151        0.02648094        0.00621603
       -8.70000000        1.14641467        0.04285485        1.06573230        0.03087729        0.00695023
       -8.69000000        1.05584080        0.03783578        0.97951220        0.03168291        0.00680991
       -8.68000000        1.13677578        0.04390195        1.05461578        0.03185192        0.00640612
       -8.67000000        0.86830662        0.03362568        0.79949237        0.02965258        0.00553597
       -8.66000000        0.68566228        0.02743981        0.62691145        0.02653322        0.00477780
       -8.65000000        0.60381011        0.02368625        0.54990765        0.02571337        0.00450283
       -8.64000000        1.90798428        0.09627160        1.75748853        0.04505513        0.00916901
       -8.63000000        0.33578057        0.00967219        0.30153166        0.02121058        0.00336613
       -8.62000000        0.95048198        0.03029406        0.88221922        0.03100977        0.00695893
       -8.61000000        0.83270485        0.02910236        0.77724844        0.02105156        0.00530249
       -8.60000000        0.60737239        0.01940095        0.56652133        0.01713878        0.00431134
       -8.59000000        0.05278044        0.00103646        0.05069345        0.00066881        0.00038173
       -8.58000000        0.78852519        0.01663358        0.73190231        0.03429303        0.00569628
       -8.57000000        0.43887163        0.01082676        0.41047208        0.01495282        0.00261997
       -8.56000000        0.96018507        0.02416476        0.90243918        0.02822806        0.00535308
       -8.55000000        0.69781869        0.02012438        0.65554632        0.01849956        0.00364843
       -8.54000000        0.87797867        0.02791064        0.82346769        0.02206016        0.00454018
       -8.53000000        0.80743421        0.02876971        0.75970840        0.01533535        0.00362074
       -8.52000000        0.90306790        0.02513850        0.84458182        0.02780536        0.00554222
       -8.51000000        1.19609505        0.03646868        1.12246483        0.03045210        0.00670943
       -8.50000000        1.27374814        0.03671611        1.19976312        0.03077352        0.00649540
       -8.49000000        0.90501507        0.01714600        0.84873257        0.03290491        0.00623159
       -8.48000000        0.51443948        0.01069256        0.48410444        0.01636511        0.00327738
       -8.47000000        0.49479412        0.01040973        0.46603706        0.01522554        0.00312179
       -8.46000000        0.57802863        0.01366948        0.54361810        0.01711516        0.00362589
       -8.45000000        0.61205890        0.01508224        0.57556919        0.01759376        0.00381372
       -8.44000000        0.68590451        0.01731968        0.64414568        0.02004077        0.00439838
       -8.43000000        0.93822357        0.02405986        0.88223735        0.02603258        0.00589378
       -8.42000000        1.02784561        0.02858049        0.96851749        0.02527380        0.00547382
       -8.41000000        0.87240883        0.02292407        0.82237444        0.02218206        0.00492827
       -8.40000000        0.94895721        0.02641468        0.89448773        0.02297164        0.00508316
       -8.39000000        0.80321128        0.02047639        0.75680734        0.02127159        0.00465596
       -8.38000000        1.05935803        0.02874824        0.99921232        0.02547397        0.00592350
       -8.37000000        0.98414132        0.02438929        0.92717297        0.02637812        0.00620095
       -8.36000000        0.93974748        0.02189123        0.88470141        0.02687376        0.00628108
       -8.35000000        1.01270737        0.02201860        0.95224693        0.03142755        0.00701429
       -8.34000000        0.83529965        0.01913380        0.78455257        0.02603737        0.00557590
       -8.33000000        0.77505050        0.01876614        0.72805080        0.02314993        0.00508364
       -8.32000000        0.59087807        0.01426414        0.55597126        0.01678563        0.00385705
       -8.31000000        0.53554845        0.01382483        0.50347960        0.01491862        0.00332539
       -8.30000000        0.52049349        0.01348988        0.48918691        0.01458951        0.00322719
       -8.29000000        0.75922743        0.01861693        0.71231191        0.02283912        0.00545948
       -8.28000000        0.64033307        0.01650098        0.60093837        0.01896638        0.00392734
       -8.27000000        0.67115587        0.01629743        0.63095247        0.02021112        0.00369485
       -8.26000000        1.57378820        0.02846876        1.49010934        0.04413490        0.01107520
       -8.25000000        1.15251160        0.01718904        1.10197371        0.02636629        0.00698256
       -8.24000000        0.82135232        0.01457159        0.77997053        0.02194043        0.00486976
       -8.23000000        0.78213179        0.01447161        0.74362934        0.01974677        0.00428407
       -8.22000000        0.86250068        0.01632840        0.81577312        0.02499167        0.00540749
       -8.21000000        0.78991474        0.01706348        0.74737339        0.02093634        0.00454153
       -8.20000000        0.73963047        0.01832754        0.69971770        0.01775399        0.00383123
       -8.19000000        1.04150574        0.03151255        0.98354734        0.02197836        0.00446750
       -8.18000000        0.85767594        0.02697662        0.81103264        0.01616992        0.00349676
       -8.17000000        0.78407430        0.02587566        0.74204526        0.01319539        0.00295798
       -8.16000000        0.61818433        0.01988670        0.58672157        0.00926754        0.00230852
       -8.15000000        0.50153433        0.01593484        0.47805431        0.00582298        0.00172221
       -8.14000000        0.42284266        0.01299816        0.40449177        0.00398416        0.00136857
       -8.13000000        0.34395864        0.01031272        0.33010996        0.00249889        0.00103706
       -8.12000000        1.09772028        0.02865987        1.05541827        0.00998291        0.00365924
       -8.11000000        1.43823049        0.03859394        1.38340427        0.01183633        0.00439595
       -8.10000000        0.81864584        0.01639545        0.78556081        0.01357654        0.00311303
       -8.09000000        0.51701204        0.00678459        0.49461225        0.01347922        0.00213598
       -8.08000000        2.15262222        0.02166556        2.05664683        0.06567380        0.00863602
       -8.07000000        0.59765730        0.01427738        0.57138892        0.00968600        0.00230499
       -8.06000000        0.90780627        0.01660116        0.86163635        0.02416254        0.00540623
       -8.05000000        1.38601156        0.01585473        1.30842444        0.04995220        0.01178019
       -8.04000000        0.80833541        0.00847125        0.77323474        0.02200836        0.00462106
       -8.03000000        0.82625342        0.00766525        0.79113757        0.02315162        0.00429899
       -8.02000000        0.65806895        0.00577752        0.63092721        0.01807481        0.00328941
       -8.01000000        0.63626826        0.00535479        0.60967640        0.01781795        0.00341911
       -8.00000000        0.70392522        0.00642850        0.67395185        0.01981288        0.00373199
