#  aims_uuid : A24154FC-B979-4B81-AAFD-732203126F3C                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        0.64033014        0.07522093        0.52942469        0.03201686        0.00359068        0.00007697
       -9.98998999        0.90812879        0.09474438        0.76333566        0.04447698        0.00507793        0.00049384
       -9.97997998        0.98493382        0.07871599        0.85179616        0.04753570        0.00558752        0.00129844
       -9.96996997        1.31200736        0.05809214        1.17961698        0.06368661        0.00753748        0.00307414
       -9.95995996        0.05272018        0.00399833        0.04262980        0.00523409        0.00080983        0.00004813
       -9.94994995        0.06866398        0.00528747        0.05530997        0.00690210        0.00109511        0.00006934
       -9.93993994        0.08152441        0.00638881        0.06537486        0.00831293        0.00135626        0.00009156
       -9.92992993        0.09130147        0.00730234        0.07282448        0.00946658        0.00159328        0.00011479
       -9.91991992        2.70630676        0.35495709        2.18410298        0.15052067        0.01610716        0.00061887
       -9.90990991        0.94816868        0.10828485        0.76172633        0.06705594        0.01041497        0.00068659
       -9.89989990        0.03784967        0.00369659        0.02807068        0.00522932        0.00077534        0.00007773
       -9.88988989        2.24231198        0.23885095        1.84300923        0.14774471        0.01107060        0.00163649
       -9.87987988        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.86986987        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -9.85985986        0.52922363        0.01291309        0.48491733        0.02494564        0.00489256        0.00155500
       -9.84984985        0.33750400        0.00811459        0.30796453        0.01780693        0.00284375        0.00077420
       -9.83983984        0.17662238        0.00394807        0.16426280        0.00659960        0.00136240        0.00044952
       -9.82982983        0.19038535        0.00530043        0.17607635        0.00706538        0.00150973        0.00043346
       -9.81981982        1.67796287        0.00974663        1.54910325        0.10292565        0.01368650        0.00250084
       -9.80980981        0.72311053        0.02558223        0.66556421        0.02538150        0.00535858        0.00122400
       -9.79979980        0.48247509        0.03143932        0.42471043        0.02077844        0.00489574        0.00065115
       -9.78978979        0.34704927        0.02981475        0.29584160        0.01695971        0.00405497        0.00037824
       -9.77977978        0.20997693        0.01729495        0.17965813        0.01057625        0.00221159        0.00023601
       -9.76976977        0.19536310        0.01555716        0.16699025        0.01047982        0.00210790        0.00022797
       -9.75975976        0.18112651        0.01393225        0.15466050        0.01031331        0.00200115        0.00021929
       -9.74974975        0.28322804        0.01333195        0.25354137        0.01363433        0.00221938        0.00050102
       -9.73973974        0.28501901        0.01228519        0.25575303        0.01422599        0.00221846        0.00053634
       -9.72972973        0.32805987        0.01265882        0.29228495        0.01923820        0.00322934        0.00064856
       -9.71971972        0.33937590        0.01235956        0.30244967        0.02049878        0.00337507        0.00069281
       -9.70970971        0.35091813        0.01238768        0.31244325        0.02181426        0.00354061        0.00073233
       -9.69969970        0.36268658        0.01274318        0.32226570        0.02318463        0.00372595        0.00076711
       -9.68968969        0.37468124        0.01342607        0.33191702        0.02460988        0.00393110        0.00079716
       -9.67967968        0.38690210        0.01443634        0.34139720        0.02609003        0.00415606        0.00082247
       -9.66966967        0.39934918        0.01577399        0.35070625        0.02762507        0.00440083        0.00084305
       -9.65965966        0.24734378        0.00629859        0.22207902        0.01584257        0.00253691        0.00058669
       -9.64964965        0.15061202        0.00153142        0.14104654        0.00656167        0.00118628        0.00028613
       -9.63963964        0.16790849        0.00155672        0.15827353        0.00661478        0.00114620        0.00031726
       -9.62962963        0.18602735        0.00157529        0.17639370        0.00661730        0.00109141        0.00034966
       -9.61961962        0.46645726        0.02704777        0.42153329        0.01427796        0.00317555        0.00042269
       -9.60960961        0.45529673        0.02216837        0.41677929        0.01319291        0.00268094        0.00047521
       -9.59959960        0.38945281        0.01799889        0.35804980        0.01087608        0.00209732        0.00043073
       -9.58958959        0.25710746        0.01510313        0.23192177        0.00820113        0.00160886        0.00027257
       -9.57957958        0.21854151        0.01450731        0.19422372        0.00804068        0.00152660        0.00024321
       -9.56956957        0.19282708        0.01480131        0.16828642        0.00803785        0.00148951        0.00021199
