#  aims_uuid : CFADA39C-600C-454C-A673-9136FA5F3297                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -10.00000000        1.10500793        0.10451364        0.94277419        0.05110676        0.00604697        0.00056638
       -9.98998999        1.30833824        0.11455775        1.13124630        0.05529878        0.00655296        0.00068246
       -9.97997998        1.13424540        0.09792769        0.98775164        0.04279092        0.00517855        0.00059660
       -9.96996997        2.05895797        0.17368656        1.76045629        0.11403297        0.00988087        0.00090128
       -9.95995996        1.28472000        0.11515307        1.10338901        0.05992203        0.00573815        0.00051773
       -9.94994995        1.57627916        0.10906445        1.37610533        0.08266879        0.00771988        0.00072070
       -9.93993994        0.87311007        0.06454675        0.74907442        0.05428497        0.00476686        0.00043708
       -9.92992993        1.13711357        0.07437844        0.98103127        0.07402886        0.00686215        0.00081286
       -9.91991992        0.86411786        0.06735325        0.73914929        0.05135954        0.00554445        0.00071134
       -9.90990991        0.90094948        0.07553920        0.76752394        0.05074596        0.00629066        0.00084972
       -9.89989990        0.60208269        0.04325705        0.51851740        0.03574074        0.00396929        0.00059820
       -9.88988989        0.91511009        0.05789430        0.79243429        0.05906045        0.00490155        0.00081950
       -9.87987988        0.87910969        0.04494955        0.78070188        0.04897177        0.00367402        0.00081248
       -9.86986987        0.53758902        0.02867640        0.47664285        0.02899083        0.00281508        0.00046386
       -9.85985986        1.02491172        0.05032054        0.91347848        0.05365437        0.00662330        0.00083503
       -9.84984985        0.34442073        0.01640970        0.31013929        0.01559504        0.00194222        0.00033449
       -9.83983984        0.28228457        0.01156009        0.25664639        0.01213620        0.00159900        0.00034290
       -9.82982983        0.24896143        0.00779605        0.22906280        0.01038756        0.00139349        0.00032153
       -9.81981982        0.27815659        0.01292855        0.24977052        0.01355879        0.00154065        0.00035808
       -9.80980981        0.70861509        0.03257145        0.64039920        0.03122523        0.00355938        0.00085983
       -9.79979980        0.77765574        0.03191530        0.70403297        0.03634449        0.00438011        0.00098288
       -9.78978979        0.60904930        0.02560341        0.54706767        0.03179950        0.00378146        0.00079725
       -9.77977978        0.55455556        0.02114580        0.49839072        0.03062513        0.00368815        0.00070576
       -9.76976977        0.50934839        0.01902039        0.45937949        0.02734156        0.00312564        0.00048131
       -9.75975976        0.67403813        0.02779856        0.60577065        0.03544282        0.00435757        0.00066852
       -9.74974975        0.55894444        0.02219777        0.50344235        0.02929984        0.00348608        0.00051840
       -9.73973974        0.40959720        0.01754107        0.36702846        0.02186411        0.00275370        0.00040987
       -9.72972973        0.26036861        0.01131197        0.23261151        0.01429215        0.00188199        0.00027098
       -9.71971972        0.11244659        0.00579616        0.09916275        0.00650395        0.00085223        0.00013150
       -9.70970971        0.41770096        0.01936478        0.36790935        0.02673126        0.00329187        0.00040371
       -9.69969970        0.85594641        0.03272148        0.76916519        0.04712425        0.00610358        0.00083191
       -9.68968969        0.52684473        0.02104446        0.46834763        0.03276734        0.00413043        0.00055486
       -9.67967968        0.37680504        0.01547772        0.33312616        0.02484778        0.00292990        0.00042348
       -9.66966967        0.23497388        0.01031151        0.20513779        0.01747285        0.00175703        0.00029469
       -9.65965966        0.21497322        0.00931296        0.18712975        0.01685727        0.00141227        0.00026097
       -9.64964965        0.66423073        0.03579079        0.57145601        0.05183482        0.00435400        0.00079510
       -9.63963964        0.48972776        0.02572257        0.42791621        0.03243043        0.00303386        0.00062469
       -9.62962963        0.31410950        0.01508588        0.26533007        0.03035008        0.00286068        0.00048280
       -9.61961962        0.29422436        0.01164065        0.24613822        0.03259168        0.00333465        0.00051915
       -9.60960961        0.23085632        0.00824891        0.20092424        0.01899091        0.00230434        0.00038792
       -9.59959960        0.18760432        0.00474811        0.16849480        0.01255279        0.00151640        0.00029222
       -9.58958959        0.22504781        0.00625073        0.20436014        0.01256466        0.00154783        0.00032445
       -9.57957958        1.14222747        0.05984759        1.02688083        0.04859428        0.00596834        0.00093643
       -9.56956957        0.70598233        0.04342699        0.62898727        0.02927659        0.00367669        0.00061479
       -9.55955956        0.05515302        0.00154464        0.05116334        0.00213019        0.00028015        0.00003470
       -9.54954955        0.32032058        0.01299984        0.28814416        0.01565065        0.00311307        0.00041286
       -9.53953954        0.45630661        0.01695893        0.41713171        0.01836348        0.00336265        0.00048984
       -9.52952953        0.39675279        0.01428974        0.36426549        0.01522727        0.00257145        0.00039884
       -9.51951952        0.34148473        0.01197339        0.31269119        0.01403486        0.00243299        0.00035229
       -9.50950951        0.20240661        0.00651361        0.18422131        0.00971610        0.00170899        0.00024660
       -9.49949950        0.22279010        0.00739662        0.20146543        0.01158877        0.00205052        0.00028876
       -9.48948949        0.17511274        0.00612102        0.15781701        0.00926157        0.00167457        0.00023858
       -9.47947948        0.15345218        0.00573434        0.13812269        0.00807063        0.00131234        0.00021217
       -9.46946947        0.25227519        0.00906230        0.22793919        0.01333017        0.00157179        0.00037175
       -9.45945946        0.35086954        0.01103317        0.31590810        0.02035747        0.00296909        0.00060171
       -9.44944945        0.32959326        0.00974149        0.29804714        0.01880886        0.00251791        0.00047787
       -9.43943944        0.45553919        0.01169127        0.41271955        0.02680250        0.00368479        0.00064108
       -9.42942943        0.52516865        0.01363100        0.47724428        0.02959806        0.00403551        0.00065980
