#  aims_uuid : CFADA39C-600C-454C-A673-9136FA5F3297                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -4.937864 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -5.06213638        0.83807789        0.06921782        0.71082162        0.05226258        0.00527859        0.00049729
       -5.05212637        0.92698409        0.07123529        0.78501432        0.06475455        0.00537778        0.00060214
       -5.04211636        0.69618830        0.06105176        0.58972169        0.04070528        0.00418318        0.00052638
       -5.03210635        1.53932274        0.15817062        1.27911719        0.09138461        0.00987655        0.00077376
       -5.02209634        0.74889597        0.06136438        0.64001908        0.04237249        0.00456995        0.00057007
       -5.01208633        1.16876305        0.10412269        0.97845741        0.07597354        0.00942779        0.00078162
       -5.00207632        0.91510322        0.09147327        0.76622783        0.05060495        0.00635512        0.00044205
       -4.99206631        1.19511048        0.11515771        1.00271613        0.06787350        0.00859974        0.00076341
       -4.98205630        1.08019989        0.09616406        0.91723279        0.05928444        0.00691956        0.00059904
       -4.97204629        1.23872215        0.11078238        1.05175406        0.06795895        0.00754634        0.00068042
       -4.96203628        0.78404281        0.06915500        0.66644957        0.04301090        0.00492731        0.00050002
       -4.95202627        1.62587586        0.18492815        1.35499022        0.07562815        0.00964854        0.00068081
       -4.94201626        1.15620631        0.11564224        0.97133478        0.06089263        0.00761137        0.00072529
       -4.93200625        0.52797294        0.05380306        0.44036101        0.02949349        0.00380192        0.00051346
       -4.92199624        0.94086390        0.08047969        0.79724597        0.05522208        0.00687680        0.00103937
       -4.91198623        0.18266346        0.01377963        0.15319114        0.01325698        0.00206544        0.00037027
       -4.90197622        0.13610794        0.00853595        0.11560814        0.00983017        0.00178498        0.00034870
       -4.89196621        0.12527599        0.00567866        0.10905406        0.00866621        0.00153364        0.00034342
       -4.88195620        0.20605122        0.00897548        0.18510211        0.01005594        0.00153817        0.00037952
       -4.87194619        0.48281073        0.01728925        0.43827571        0.02221350        0.00404875        0.00098352
       -4.86193618        0.58998526        0.02561452        0.53337605        0.02481050        0.00503359        0.00115060
       -4.85192617        0.51699087        0.02631537        0.46385829        0.02112100        0.00473235        0.00096386
       -4.84191616        0.50176650        0.02625180        0.44833378        0.02210514        0.00426766        0.00080811
       -4.83190615        0.41604443        0.02191748        0.36801915        0.02253227        0.00305373        0.00052180
       -4.82189614        0.70526568        0.03229821        0.63102410        0.03668748        0.00449452        0.00076137
       -4.81188613        0.50328741        0.02266043        0.44827109        0.02799687        0.00375597        0.00060305
       -4.80187612        0.39666492        0.01468866        0.35581661        0.02257079        0.00311580        0.00047306
       -4.79186611        0.22902417        0.00769026        0.20509722        0.01385918        0.00207529        0.00030223
       -4.78185610        0.08087532        0.00302180        0.07054947        0.00618711        0.00095495        0.00016198
       -4.77184609        0.32099147        0.01496220        0.28291059        0.01916763        0.00341377        0.00053727
       -4.76183608        0.58708538        0.02428460        0.52008080        0.03519776        0.00657418        0.00094804
       -4.75182607        0.42760755        0.01776577        0.37967824        0.02518053        0.00435637        0.00062664
       -4.74181606        0.33786886        0.01352479        0.30065422        0.01990295        0.00329236        0.00049455
       -4.73180605        0.23166310        0.00727896        0.20873959        0.01323433        0.00208671        0.00032351
       -4.72179604        0.15121516        0.00478043        0.13590855        0.00863703        0.00163217        0.00025698
       -4.71178603        0.45381695        0.01936271        0.40400774        0.02468651        0.00491374        0.00084626
       -4.70177602        0.30194001        0.01319163        0.26556995        0.01903516        0.00348750        0.00065576
       -4.69176601        0.28293014        0.00816891        0.25728388        0.01463948        0.00232109        0.00051677
       -4.68175600        0.32583541        0.00575910        0.30114579        0.01603764        0.00226751        0.00062536
       -4.67174599        0.26922035        0.00348721        0.24963107        0.01368368        0.00185060        0.00056780
       -4.66173598        0.18920226        0.00294105        0.17394250        0.01028753        0.00155171        0.00047947
       -4.65172597        0.21365562        0.00347511        0.19638829        0.01137218        0.00186578        0.00055426
       -4.64171596        0.74037293        0.02053054        0.67402833        0.03506910        0.00902850        0.00171647
       -4.63170595        0.47203462        0.01233231        0.43087546        0.02207558        0.00560115        0.00115013
       -4.62169594        0.05251387        0.00015106        0.04843345        0.00331340        0.00046390        0.00015206
       -4.61168593        0.27905307        0.01234849        0.24787087        0.01601931        0.00223453        0.00057987
       -4.60167592        0.35167181        0.01213872        0.31782318        0.01848681        0.00252446        0.00069865
       -4.59166591        0.34099785        0.00988885        0.31373912        0.01470418        0.00203871        0.00062699
       -4.58165590        0.31429661        0.00890598        0.28973554        0.01316226        0.00193029        0.00056255
       -4.57164589        0.19820914        0.00653923        0.18094666        0.00889330        0.00146299        0.00036696
       -4.56163588        0.25839670        0.00908331        0.23630499        0.01080503        0.00176809        0.00043527
       -4.55162587        0.20033061        0.00949574        0.18121812        0.00785195        0.00148053        0.00028428
       -4.54161586        0.14762148        0.00737500        0.13233886        0.00645057        0.00124595        0.00021110
       -4.53160585        0.15788709        0.00567397        0.13984975        0.01034666        0.00166936        0.00034735
       -4.52159584        0.30947908        0.01537215        0.27401872        0.01686664        0.00265360        0.00056798
       -4.51158583        0.24443617        0.01037625        0.21545762        0.01565221        0.00245448        0.00049560
       -4.50157582        0.33457438        0.01469132        0.29324311        0.02249039        0.00346956        0.00067999
       -4.49156581        0.38915660        0.01519652        0.34423962        0.02520289        0.00379024        0.00072733
       -4.48155580        0.38482648        0.01272459        0.34597153        0.02213022        0.00328505        0.00071509
       -4.47154579        0.37514306        0.01203241        0.33793521        0.02124967        0.00322475        0.00070103
       -4.46153578        0.56939532        0.01783165        0.51188078        0.03246122        0.00608574        0.00113592
       -4.45152577        0.54975153        0.01823643        0.49856985        0.02750285        0.00454768        0.00089472
       -4.44151576        0.64511835        0.02344711        0.59019274        0.02709116        0.00361081        0.00077654
       -4.43150575        0.52762450        0.01716782        0.48416966        0.02224483        0.00331498        0.00072721
       -4.42149574        0.80110750        0.01785157        0.74991786        0.02832664        0.00392517        0.00108626
       -4.41148573        1.24045156        0.01896713        1.16544498        0.04915526        0.00518615        0.00169803
       -4.40147572        0.59399868        0.01045659        0.55643562        0.02292183        0.00329627        0.00088836
       -4.39146571        1.14608997        0.02316090        1.06316350        0.05165903        0.00630869        0.00179786
