#  aims_uuid : F705CE7E-79D0-4465-A436-4BB4AF1404C5                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.111215 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -4.88878503        0.36637551        0.00946303        0.33873899        0.01573872        0.00243476
       -4.87878503        0.69215722        0.01268536        0.63845720        0.03714005        0.00387461
       -4.86878503        0.45288815        0.00920758        0.42030229        0.02065212        0.00272616
       -4.85878503        0.29635857        0.00495319        0.27887042        0.01076663        0.00176833
       -4.84878503        0.17773309        0.00373287        0.16734479        0.00551399        0.00114144
       -4.83878503        0.49537722        0.00765822        0.46953451        0.01539011        0.00279438
       -4.82878503        0.59902710        0.01016424        0.56454842        0.02088638        0.00342807
       -4.81878503        0.67478808        0.01362806        0.63426237        0.02344837        0.00344928
       -4.80878503        0.63870240        0.01187251        0.59792486        0.02527859        0.00362644
       -4.79878503        0.55096315        0.00867245        0.51858196        0.02073363        0.00297510
       -4.78878503        0.41848165        0.00504066        0.39589071        0.01531236        0.00223792
       -4.77878503        0.47500902        0.00465611        0.45058200        0.01728556        0.00248534
       -4.76878503        0.72538643        0.00711853        0.68740032        0.02693746        0.00393011
       -4.75878503        0.93304346        0.00876251        0.88281055        0.03635026        0.00512014
       -4.74878503        1.25852455        0.01193143        1.18818871        0.05148031        0.00692410
       -4.73878503        0.79057546        0.00918725        0.74205585        0.03469540        0.00463697
       -4.72878503        0.96651607        0.01151126        0.90998685        0.03996064        0.00505732
       -4.71878503        0.54749870        0.00754073        0.50484865        0.03113883        0.00397049
       -4.70878503        1.05405113        0.01844179        0.94741054        0.08019787        0.00800092
       -4.69878503        0.39202195        0.00560570        0.35554139        0.02741777        0.00345709
       -4.68878503        0.39036150        0.00579426        0.35616172        0.02518525        0.00322028
       -4.67878503        0.55954126        0.00848406        0.51668755        0.03042685        0.00394280
       -4.66878503        0.53258480        0.00853455        0.49220916        0.02821914        0.00362195
       -4.65878503        0.51143139        0.00558151        0.47624104        0.02624135        0.00336748
       -4.64878503        0.71525258        0.00756071        0.66737659        0.03570952        0.00460576
       -4.63878503        0.46344087        0.00655234        0.43020005        0.02336229        0.00332619
       -4.62878503        0.49195703        0.00856287        0.45621136        0.02353024        0.00365256
       -4.61878503        0.42745341        0.00749267        0.39610727        0.02041311        0.00344036
       -4.60878503        0.62078810        0.00997069        0.57408330        0.03131941        0.00541470
       -4.59878503        0.83861782        0.00867662        0.77485846        0.04755412        0.00752862
       -4.58878503        0.96487868        0.01024841        0.89288910        0.05229928        0.00944189
       -4.57878503        0.79871251        0.01038497        0.74116030        0.03992492        0.00724233
       -4.56878503        0.59273593        0.00599515        0.54912822        0.03200142        0.00561115
       -4.55878503        0.43270578        0.00436986        0.40238096        0.02215832        0.00379664
       -4.54878503        0.45490843        0.00447420        0.42247169        0.02373881        0.00422373
       -4.53878503        0.62749640        0.00573974        0.58033497        0.03500864        0.00641306
       -4.52878503        0.62220523        0.00660723        0.57084919        0.03824501        0.00650381
       -4.51878503        0.41359071        0.00518272        0.37790701        0.02579356        0.00470741
       -4.50878503        0.52965826        0.00750954        0.48156173        0.03467210        0.00591490
       -4.49878503        0.52709865        0.00808847        0.47245427        0.04086789        0.00568803
       -4.48878503        0.39874097        0.00549890        0.36715226        0.02259369        0.00349611
       -4.47878503        0.61709611        0.00535172        0.57407096        0.03345868        0.00421475
       -4.46878503        0.77228278        0.01083705        0.71633271        0.04039838        0.00471465
       -4.45878503        0.40860763        0.00869494        0.37073945        0.02516768        0.00400556
       -4.44878503        0.68020049        0.01014334        0.62265090        0.04201158        0.00539466
       -4.43878503        0.37128368        0.00586444        0.33990025        0.02264678        0.00287222
       -4.42878503        0.63132429        0.00804480        0.57900518        0.03956727        0.00470704
       -4.41878503        0.18394680        0.00503943        0.16591652        0.01128393        0.00170692
       -4.40878503        0.27237941        0.00637280        0.24430362        0.01904065        0.00266234
       -4.39878503        0.30731091        0.00756687        0.27622860        0.02025054        0.00326489
       -4.38878503        0.40111008        0.01008395        0.35949908        0.02671048        0.00481657
       -4.37878503        0.37380808        0.00798076        0.33695512        0.02454232        0.00432988
       -4.36878503        0.43759801        0.00622145        0.40127583        0.02571918        0.00438155
       -4.35878503        0.54587461        0.00580410        0.50571093        0.02942923        0.00493035
       -4.34878503        0.71962656        0.00833603        0.66858311        0.03689595        0.00581148
       -4.33878503        0.63750217        0.00836078        0.59354673        0.03082278        0.00477188
       -4.32878503        0.49531608        0.00655255        0.46251323        0.02252734        0.00372296
       -4.31878503        0.44501657        0.00561813        0.41703789        0.01871103        0.00364952
       -4.30878503        0.50204239        0.00661213        0.45998329        0.02897659        0.00647038
       -4.29878503        0.25811973        0.00336611        0.23725534        0.01423396        0.00326432
       -4.28878503        0.12259804        0.00148647        0.11241294        0.00700205        0.00169658
       -4.27878503        0.69444102        0.00791935        0.63945857        0.04012117        0.00694193
       -4.26878503        0.42332801        0.00511112        0.38621475        0.02643044        0.00557170
       -4.25878503        0.23898987        0.00175255        0.21778629        0.01616532        0.00328571
       -4.24878503        0.34534976        0.00289995        0.31760680        0.02097150        0.00387152
       -4.23878503        0.43085303        0.00473444        0.39482112        0.02607841        0.00521907
       -4.22878503        0.55794393        0.00918365        0.50626192        0.03508522        0.00741314
       -4.21878503        0.42765509        0.00787308        0.39230950        0.02301819        0.00445433
       -4.20878503        0.43246499        0.00546190        0.39236045        0.02909460        0.00554804
       -4.19878503        0.89739491        0.00860776        0.81434351        0.06350304        0.01094061
       -4.18878503        0.51389836        0.00914447        0.46889441        0.02995585        0.00590363
       -4.17878503        0.52221357        0.00813395        0.48231517        0.02719791        0.00456655
       -4.16878503        0.51556583        0.00769240        0.47866317        0.02518723        0.00402303
       -4.15878503        0.86646622        0.01218193        0.80221106        0.04581845        0.00625478
       -4.14878503        0.53882931        0.00724601        0.49400066        0.03355464        0.00402800
       -4.13878503        0.78347003        0.01240681        0.71954588        0.04599599        0.00552135
       -4.12878503        0.46620787        0.00736049        0.42345942        0.03108601        0.00430195
       -4.11878503        0.42477296        0.00543707        0.38573674        0.02901083        0.00458831
       -4.10878503        0.47687277        0.00640473        0.43242026        0.03275684        0.00529094
       -4.09878503        0.48289053        0.00503117        0.43635070        0.03588392        0.00562475
       -4.08878503        0.75976645        0.00782049        0.69113023        0.05228444        0.00853128
       -4.07878503        0.90373658        0.01292722        0.81021582        0.07021062        0.01038291
       -4.06878503        0.36147865        0.00501141        0.32736798        0.02474449        0.00435477
