#  aims_uuid : F705CE7E-79D0-4465-A436-4BB4AF1404C5                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -10.00000000        0.37058369        0.00764787        0.34116112        0.01905280        0.00272189
       -9.99000000        0.73018183        0.01236166        0.67031791        0.04287505        0.00462721
       -9.98000000        0.42334449        0.00553381        0.39086356        0.02426215        0.00268498
       -9.97000000        0.23052823        0.00237990        0.21245228        0.01408811        0.00160793
       -9.96000000        0.09567013        0.00113773        0.08754883        0.00606709        0.00091648
       -9.95000000        0.36634512        0.00434444        0.34023784        0.01905109        0.00271174
       -9.94000000        0.48234025        0.00831371        0.44584819        0.02423672        0.00394164
       -9.93000000        0.35093633        0.00733296        0.31939394        0.02087456        0.00333487
       -9.92000000        0.36487770        0.00812273        0.33016727        0.02315288        0.00343482
       -9.91000000        0.32927484        0.00712261        0.29679587        0.02221230        0.00314406
       -9.90000000        0.27870737        0.00534880        0.25299803        0.01794649        0.00241405
       -9.89000000        0.30482646        0.00527021        0.27986479        0.01736851        0.00232295
       -9.88000000        0.49741711        0.00860910        0.45691813        0.02807165        0.00381822
       -9.87000000        0.65574095        0.01002801        0.60464535        0.03582196        0.00524562
       -9.86000000        0.88755015        0.01210760        0.81673953        0.05105662        0.00764641
       -9.85000000        0.62149483        0.00635885        0.57777607        0.03278828        0.00457164
       -9.84000000        0.62920271        0.00605662        0.58401337        0.03437128        0.00476144
       -9.83000000        0.51057238        0.00480074        0.46883137        0.03303338        0.00390689
       -9.82000000        1.22133551        0.00909804        1.12285264        0.08023353        0.00915131
       -9.81000000        0.39843303        0.00329259        0.36180511        0.02988068        0.00345465
       -9.80000000        0.36974055        0.00212707        0.33667938        0.02766651        0.00326758
       -9.79000000        0.45843837        0.00173616        0.42062641        0.03187287        0.00420293
       -9.78000000        0.46291521        0.00221459        0.42602967        0.03070583        0.00396513
       -9.77000000        0.36662664        0.00253264        0.33422716        0.02626452        0.00360232
       -9.76000000        0.48068181        0.00330688        0.44036845        0.03221240        0.00479407
       -9.75000000        0.34815966        0.00262930        0.31921625        0.02289252        0.00342160
       -9.74000000        0.35244990        0.00196621        0.32526206        0.02176548        0.00345615
       -9.73000000        0.29965714        0.00169107        0.27615375        0.01875821        0.00305412
